frame,connection,engine_seconds,ClientReceiveEncodedPoseBlock_calls,ClientReceivePublicPoseFrame_calls,MulticastGroundProjectileSnapshot_calls,MulticastReliableStates_calls,MulticastShots_calls,ServerAcknowledgePoseBlocks_calls,accounted_bytes,building_properties,combat_states_and_shots,ground_projectile_snapshots,mass_pose,other_properties,other_rpc,packets,pose_ack,wire_bytes
138463,0,3718.75390625,2,,,1,1,,2218,752.5,245.75,,177.75,,,3,,2221
138464,0,3718.781005859375,2,1,2,,,,2603,311.25,,1608.25,148.75,,4.0,4,,2606
138465,0,3718.8017578125,,,,,,,613,252.0,,,,,,1,,614
138466,0,3718.83056640625,2,,,1,1,,2119,570.0,475.75,,169.75,8.0,,3,,2122
138467,0,3718.853271484375,2,,,,,,1666,686.0,,,161.75,,,2,,1668
138468,0,3718.875,2,1,,1,,,1949,686.25,111.375,,163.75,8.0,4.0,2,,1951
138469,0,3718.898681640625,,,,,,,953,380.5,,,,,,1,,954
138470,0,3718.920654296875,2,,,1,1,,2082,692.25,245.75,,155.75,,,3,,2085
138471,0,3718.947021484375,2,,,,,,1814,692.0,,,177.75,,,2,,1816
138472,0,3718.96875,2,1,2,,,,2722,252.5,,1778.875,148.75,,4.0,4,,2725
138473,0,3718.990478515625,,,,,,,932,379.25,,,,,,1,,932
138474,0,3719.01123046875,2,,,,,,1108,375.0,,,169.75,,,2,,1110
138475,0,3719.03173828125,,,,1,1,,644,65.25,360.75,,,8.0,,1,,645
138476,0,3719.058837890625,2,1,,,,,938,314.25,,,161.75,,4.0,1,,939
138477,0,3719.081787109375,2,,,1,,,1727,562.5,283.875,,163.75,8.0,,2,,1729
138478,0,3719.10400390625,,,,,,,1395,626.75,,,,,,2,,1396
138479,0,3719.125244140625,2,,,1,1,,2004,687.0,245.75,,155.75,,,2,,2006
138480,0,3719.146728515625,,,,,,,1009,382.0,,,,,,1,,1010
138481,0,3719.171630859375,2,1,2,,,,3533,689.25,,1608.25,177.75,,4.0,5,,3537
138482,0,3719.193603515625,2,,,,,,1598,626.75,,,148.75,,,2,,1600
138483,0,3719.216796875,,,,1,1,,963,256.25,245.75,,,8.0,,1,,964
138484,0,3719.2373046875,2,,,,,,1266,440.0,,,169.75,,,2,,1267
138485,0,3719.258544921875,,1,,,,,763,313.0,,,,,4.0,1,,764
138486,0,3719.283203125,2,,,1,,,762,128.75,145.875,,161.75,8.0,,1,,763
138487,0,3719.30419921875,2,,,,,,891,313.5,,,163.75,,,1,,892
138488,0,3719.323974609375,,,,1,1,,1384,375.75,475.75,,,,,2,,1386
138489,0,3719.344482421875,2,,,,,,1534,625.25,,,155.75,,,2,,1535
138490,0,3719.367431640625,,1,2,,,,3643,810.0,,1722.0,,,4.0,4,,3647
138491,0,3719.40087890625,2,,,,,,1495,508.75,,,177.75,,,2,,1497
138492,0,3719.427490234375,2,,,1,1,,1938,685.5,245.75,,148.75,8.0,,2,,1940
138493,0,3719.454833984375,,,,,,,1559,633.5,,,,,,2,,1561
138494,0,3719.480224609375,2,1,,1,,,1676,563.5,145.875,,169.75,8.0,4.0,2,,1678
138495,0,3719.507080078125,2,,,,,,906,256.5,,,161.75,,,1,,907
138496,0,3719.530517578125,2,,,1,1,,1237,251.25,360.75,,163.75,,,2,,1239
138497,0,3719.551513671875,,,,,,,612,251.25,,,,,,1,,613
138498,0,3719.571533203125,2,1,2,,,,3064,438.75,,1778.875,155.75,,4.0,4,,3067
138499,0,3719.59228515625,,,,,,,1143,500.75,,,,,,2,,1145
138500,0,3719.618896484375,2,,,1,1,,2584,936.0,245.75,,177.75,8.0,,3,,2586
