frame,connection,engine_seconds,ClientReceiveEncodedPoseBlock_calls,ClientReceivePublicPoseFrame_calls,MulticastState_calls,ServerAcknowledgePoseBlocks_calls,accounted_bytes,building_properties,mass_pose,other_properties,other_rpc,packets,pose_ack,soldier_roster,wire_bytes
161798,0,4225.71435546875,7,1,,,1679,301.0,737.625,112.0,4.0,2,,,1680
161799,0,4225.77392578125,7,,,,1431,186.0,757.625,82.125,,2,,,1432
161800,0,4225.82568359375,7,1,,,1965,492.25,772.625,34.5,4.0,2,,,1967
161801,0,4225.88720703125,7,,,,1132,7.5,760.625,113.0,,2,,,1133
161802,0,4225.935546875,7,1,,,1221,119.5,734.625,75.5,4.0,2,,,1222
161803,0,4225.994140625,7,,,,1884,427.25,753.625,93.0,,2,,,1886
161804,0,4226.041015625,7,1,,,1263,3.75,773.625,172.5,4.0,2,,,1265
161805,0,4226.10302734375,7,,,,2110,491.5,777.625,104.0,,3,,,2113
161806,0,4226.15087890625,7,1,,,1094,65.0,782.625,34.5,4.0,2,,,1096
161807,0,4226.20751953125,7,,,,1524,242.0,781.625,56.0,,2,,,1526
161808,0,4226.2568359375,7,1,,,1404,185.25,762.625,101.5,4.0,2,,,1406
161809,0,4226.31787109375,7,1,,,4233,431.75,795.625,1002.25,4.0,5,,1169.625,4238
161810,0,4226.3671875,7,,,,1034,3.75,776.625,75.375,,1,,,1035
161811,0,4226.42431640625,7,1,,,1333,121.75,775.625,104.375,4.0,2,,,1335
161812,0,4226.47119140625,7,,,,2174,242.75,916.625,71.625,,3,,503.125,2177
161813,0,4226.53076171875,7,1,,,1584,187.5,894.625,118.625,4.0,2,,,1585
161814,0,4226.57861328125,7,,,,2269,492.25,873.625,106.5,,3,,,2272
161815,0,4226.63720703125,7,1,,,1209,6.0,847.625,105.375,4.0,2,,,1211
161816,0,4226.6884765625,7,,,,1332,119.5,840.625,78.25,,2,,,1333
161817,0,4226.7470703125,7,1,,,1925,427.25,840.625,67.625,4.0,2,,,1927
161818,0,4226.796875,7,,,,939,3.0,827.625,8.0,,1,,,940
161819,0,4226.85400390625,7,1,,,2201,492.25,814.625,99.375,4.0,3,,,2204
161820,0,4226.9033203125,7,,,,1211,65.75,826.625,69.25,,2,,,1212
161821,0,4226.9619140625,7,1,,,1559,188.0,820.625,131.25,4.0,2,,,1561
161822,0,4227.01416015625,7,1,,,1404,186.75,843.625,24.5,4.0,2,,,1406
161823,0,4227.078125,7,,,,1951,369.75,832.625,149.875,,2,,,1953
161824,0,4227.12890625,7,1,,,2698,122.75,815.625,870.875,4.0,3,,40.25,2701
161825,0,4227.19921875,14,,,,2660,365.25,1580.25,62.125,,4,,,2664
161826,0,4227.25390625,7,1,,,1447,186.75,784.625,62.25,4.0,2,,35.25,1448
161827,0,4227.3173828125,7,1,,,2151,493.75,775.625,118.875,4.0,3,,,2154
161828,0,4227.37060546875,7,,,,953,3.75,784.625,29.125,,1,,,953
161829,0,4227.4306640625,7,1,,,2953,184.0,852.625,277.125,4.0,4,,1026.5,2956
161830,0,4227.48583984375,7,,,,1806,370.75,848.625,65.25,,2,,,1808
161831,0,4227.5478515625,7,1,,,1095,4.5,829.625,50.5,4.0,2,,,1097
161832,0,4227.59814453125,7,,,,1982,490.0,853.625,16.25,,2,,,1984
161833,0,4227.65576171875,7,1,,,1546,187.75,850.625,95.5,4.0,2,,,1548
161834,0,4227.70947265625,7,,,,1628,186.25,858.625,120.875,,2,,,1630
161835,0,4227.7705078125,7,1,,,1432,186.75,800.625,34.5,4.0,2,,40.25,1434
161836,0,4227.82177734375,7,1,,,1956,492.25,796.625,24.875,4.0,2,,,1958
161837,0,4227.88330078125,7,,,,1172,64.25,777.625,51.0,,2,,,1173
161838,0,4227.9365234375,7,1,,,1165,61.25,763.625,90.875,4.0,2,,,1167
161839,0,4227.99853515625,7,,,,1908,370.0,784.625,138.625,,2,,,1910
161840,0,4228.05419921875,7,1,,,1027,3.75,777.625,86.0,4.0,1,,,1028
161841,0,4228.115234375,7,1,,,3866,490.75,814.625,991.125,4.0,4,,776.375,3870
161842,0,4228.17138671875,7,,,,1339,187.75,800.625,,,2,,,1341
161843,0,4228.23291015625,7,1,,,1789,370.75,799.625,50.25,4.0,2,,,1791
161844,0,4228.28759765625,7,,,,1278,3.0,842.625,126.875,,2,,35.25,1280
161845,0,4228.3525390625,7,1,,,2152,491.5,851.625,91.625,4.0,3,,,2155
161846,0,4228.40576171875,7,,,,1511,187.0,864.625,86.875,,2,,,1513
161847,0,4228.4677734375,7,1,,,1369,126.5,842.625,59.0,4.0,2,,,1371
161848,0,4228.5185546875,7,1,,,1398,185.25,831.625,46.0,4.0,2,,,1399
161849,0,4228.58056640625,7,,,,2301,492.25,839.625,139.0,,3,,,2304
161850,0,4228.63134765625,7,1,,,1862,125.75,820.625,66.0,4.0,2,,513.25,1863
161851,0,4228.6962890625,7,,,,1359,124.75,786.625,101.625,,2,,,1360
161852,0,4228.751953125,7,1,,,1578,308.0,822.625,8.125,4.0,2,,,1580
161853,0,4228.81201171875,7,,,,1611,3.75,830.625,65.875,,2,,518.25,1613
161854,0,4228.86474609375,7,1,,,2209,490.75,834.625,91.375,4.0,3,,,2212
161855,0,4228.92626953125,7,1,,,1546,187.75,827.625,109.375,4.0,2,,,1547
161856,0,4228.9814453125,7,,,,1434,185.5,830.625,62.75,,2,,,1436
161857,0,4229.04345703125,7,1,,,1514,186.75,822.625,117.375,4.0,2,,,1516
161858,0,4229.1005859375,7,,,,2239,493.0,852.625,143.625,,3,,,2242
161859,0,4229.1640625,7,1,,,1614,187.75,809.625,106.125,4.0,2,,,1615
161860,0,4229.2158203125,7,1,,,1437,185.5,807.625,70.0,4.0,2,,,1438
161861,0,4229.275390625,7,,,,1508,187.5,793.625,131.25,,2,,,1510
161862,0,4229.326171875,7,1,,,2126,491.5,801.625,74.625,4.0,3,,40.25,2129
161863,0,4229.390625,7,,,,1517,188.5,803.625,104.375,,2,,,1519
161864,0,4229.44140625,7,1,,,1281,1.5,826.625,159.0,4.0,2,,,1283
161865,0,4229.5029296875,7,,,,1750,308.0,824.625,114.25,,2,,,1752
161866,0,4229.55224609375,7,1,,,941,1.5,805.625,32.875,4.0,1,,,942
161867,0,4229.6123046875,7,1,,,2213,492.25,813.625,188.375,4.0,3,,,2216
161868,0,4229.66162109375,7,,,,1954,185.5,815.625,74.875,,2,,513.25,1956
161869,0,4229.72412109375,7,1,,,2399,65.75,824.625,1043.25,4.0,3,,,2402
161870,0,4229.7763671875,7,,,,1346,184.5,838.625,8.0,,2,,,1348
161871,0,4229.83251953125,7,1,,,2524,431.0,818.625,85.5,4.0,3,,523.25,2527
161872,0,4229.88916015625,7,,,,1485,187.0,842.625,67.5,,2,,,1487
161873,0,4229.951171875,7,1,,,1518,187.0,822.625,100.0,4.0,2,,,1520
161874,0,4230.00048828125,7,,,,1574,186.0,810.625,87.375,,2,,40.25,1576
161875,0,4230.05908203125,7,1,,,1281,2.25,816.625,221.25,4.0,2,,,1283
161876,0,4230.11328125,7,1,,,1959,490.0,821.625,24.125,4.0,2,,,1961
161877,0,4230.17333984375,7,,,,1461,187.75,805.625,85.875,,2,,,1463
161878,0,4230.21875,7,1,,,1352,184.75,820.625,16.125,4.0,2,,,1354
161879,0,4230.27880859375,7,,,,3584,308.75,816.625,1273.5,,4,,,3587
161880,0,4230.34326171875,7,1,,,2718,490.0,850.625,81.5,4.0,3,,609.625,2721
161881,0,4230.412109375,14,,,,2135,6.25,1691.25,163.125,,3,,,2138
161882,0,4230.4638671875,7,1,,,1603,193.0,848.625,106.5,4.0,2,,,1604
161883,0,4230.5283203125,7,1,,,1646,63.5,817.625,439.625,4.0,2,,,1648
161884,0,4230.57958984375,7,,,,2408,610.5,836.625,89.25,,3,,,2411
161885,0,4230.6376953125,7,1,,,2927,120.5,866.625,75.875,4.0,4,,1529.5,2931
161886,0,4230.6875,7,,,,1331,70.25,843.625,109.375,,2,,,1333
161887,0,4230.7451171875,7,1,,,1772,308.75,836.625,76.625,4.0,2,,,1773
161888,0,4230.79345703125,7,,,,1246,122.75,786.625,34.5,,2,,40.25,1248
161889,0,4230.85205078125,7,1,,,2211,493.0,791.625,116.625,4.0,3,,,2214
161890,0,4230.904296875,7,,,,1400,187.0,791.625,42.5,,2,,,1402
161891,0,4230.96044921875,7,1,,,1492,187.0,777.625,68.625,4.0,2,,60.375,1494
161892,0,4231.01025390625,7,,,,1332,186.75,776.625,34.5,,2,,,1334
161893,0,4231.0703125,7,1,,,2376,550.75,774.625,210.0,4.0,3,,,2379
161894,0,4231.125,7,1,,,2771,125.75,741.625,938.625,4.0,4,,40.25,2775
161895,0,4231.19921875,14,,,,5231,,1494.25,3436.125,,7,,,5237
161896,0,4231.25,1,1,,,166,,114.375,,4.0,1,,,166
161897,0,4231.30810546875,7,,,,2141,489.0,860.625,107.0,,3,,,2144
161898,0,4231.3583984375,7,1,,,3766,61.25,836.625,65.5,4.0,5,,2505.0,3771
161899,0,4231.416015625,2,1,,,336,,281.75,,4.0,1,,,337
161900,0,4231.47021484375,7,,,,2005,120.5,971.625,262.5,,2,,,2005
161901,0,4231.53564453125,7,1,,,2150,15.5,962.625,705.75,4.0,3,,,2153
161902,0,4231.583984375,7,,,,1584,6.25,999.625,125.25,,2,,139.625,1586
161903,0,4231.6455078125,7,1,,,1911,186.5,948.625,381.25,4.0,2,,,1913
161904,0,4231.6982421875,7,,,,1602,182.5,949.625,82.5,,2,,,1604
161905,0,4231.75830078125,7,1,,,2839,309.5,864.625,76.625,4.0,4,,1016.375,2843
161906,0,4231.8056640625,7,,,,1228,122.75,809.625,34.5,,2,,,1230
161907,0,4231.8642578125,7,1,,,2124,493.0,813.625,82.5,4.0,3,,,2127
161908,0,4231.912109375,7,,,,1697,306.0,817.625,38.125,,2,,60.375,1699
161909,0,4231.96875,7,1,,,1747,249.0,806.625,117.0,4.0,2,,,1749
161910,0,4232.015625,7,1,,,1370,186.0,815.625,17.25,4.0,2,,,1372
161911,0,4232.072265625,7,,,,2395,552.25,779.625,166.125,,3,,40.25,2398
161912,0,4232.12451171875,7,1,,,973,5.25,804.625,17.25,4.0,1,,,974
161913,0,4232.1826171875,7,,,,1902,424.25,769.625,75.5,,2,,,1904
161914,0,4232.22705078125,7,1,,,1522,187.75,750.625,73.25,4.0,2,,80.5,1523
161915,0,4232.28369140625,7,,,,1730,308.75,752.625,139.875,,2,,,1732
161916,0,4232.33544921875,7,1,,,1967,492.25,749.625,59.25,4.0,2,,,1969
161917,0,4232.3935546875,7,,,,1603,193.25,756.625,133.625,,2,,40.25,1605
161918,0,4232.44482421875,7,1,,,1379,183.25,744.625,75.25,4.0,2,,,1381
161919,0,4232.50439453125,7,,,,3080,431.5,733.625,707.0,,4,,,3082
161920,0,4232.5654296875,7,1,,,2436,615.75,753.625,85.0,4.0,3,,40.25,2439
161921,0,4232.62841796875,7,1,,,1413,126.5,778.625,127.875,4.0,2,,,1415
161922,0,4232.6796875,7,,,,1609,304.5,782.625,30.5,,2,,,1611
161923,0,4232.732421875,7,1,,,1957,249.75,732.625,73.0,4.0,2,,443.375,1959
161924,0,4232.78369140625,7,,,,1784,365.75,755.625,66.5,,2,,,1786
161925,0,4232.84033203125,7,1,,,2005,496.0,730.625,64.625,4.0,2,,,2006
161926,0,4232.8916015625,7,,,,2094,306.75,765.625,38.125,,3,,433.25,2097
161927,0,4232.94677734375,7,1,,,1509,185.5,762.625,110.75,4.0,2,,,1511
161928,0,4232.99365234375,7,,,,1570,310.25,766.625,30.125,,2,,,1572
161929,0,4233.0498046875,7,1,,,1677,245.5,738.625,103.75,4.0,2,,55.375,1679
161930,0,4233.10009765625,7,,,,2011,491.5,734.625,96.625,,2,,,2013
161931,0,4233.15380859375,7,1,,,1603,309.0,736.625,42.5,4.0,2,,,1605
161932,0,4233.201171875,7,,,,1600,309.0,752.625,34.5,,2,,,1602
161933,0,4233.25341796875,7,1,,,1440,188.25,754.625,80.5,4.0,2,,,1441
161934,0,4233.30078125,7,,,,1656,243.25,786.625,123.5,,2,,,1658
161935,0,4233.3486328125,7,1,,,2022,491.5,730.625,75.125,4.0,2,,40.25,2024
161936,0,4233.40966796875,7,,,,1759,309.75,745.625,139.875,,2,,,1760
161937,0,4233.45654296875,7,1,,,1555,309.0,724.625,24.875,4.0,2,,,1557
161938,0,4233.513671875,7,1,,,1734,308.0,736.625,74.75,4.0,2,,40.25,1735
161939,0,4233.56298828125,7,,,,1473,245.25,715.625,48.0,,2,,,1474
161940,0,4233.61767578125,7,1,,,1817,371.25,743.625,114.875,4.0,2,,,1819
161941,0,4233.66650390625,7,,,,1913,426.5,735.625,81.0,,2,,35.25,1914
161942,0,4233.72509765625,7,1,,,1529,191.5,775.625,94.0,4.0,2,,,1531
161943,0,4233.7744140625,7,,,,1542,306.5,729.625,29.25,,2,,,1544
161944,0,4233.8291015625,7,1,,,2938,614.25,743.625,112.75,4.0,3,,513.25,2941
161945,0,4233.87890625,7,,,,1390,247.0,724.625,8.0,,2,,,1392
161946,0,4233.9365234375,7,1,,,1439,186.25,736.625,73.25,4.0,2,,,1440
161947,0,4233.9853515625,7,,,,1637,370.0,738.625,23.375,,2,,,1639
161948,0,4234.04052734375,7,1,,,4209,241.0,747.625,2703.0,4.0,5,,,4213
161949,0,4234.08935546875,7,,,,1987,374.25,750.625,145.25,,2,,,1989
161950,0,4234.14453125,7,1,,,4656,302.25,871.625,111.375,4.0,5,,2819.125,4661
161951,0,4234.189453125,,,,,38,,,,,1,,,39
161952,0,4234.2421875,7,1,,,1502,68.0,878.625,152.25,4.0,2,,,1504
161953,0,4234.28857421875,7,,,,1617,132.5,926.625,165.5,,2,,,1619
161954,0,4234.3330078125,7,1,,,2333,491.5,954.625,154.875,4.0,3,,,2336
161955,0,4234.3896484375,7,,,,3071,422.75,935.625,692.125,,4,,,3075
161956,0,4234.447265625,7,1,,,1496,181.75,894.625,8.0,4.0,2,,118.375,1497
161957,0,4234.5107421875,7,,,,2058,366.25,921.625,163.625,,3,,,2060
161958,0,4234.5595703125,7,1,,,1571,71.0,874.625,159.125,4.0,2,,,1573
161959,0,4234.6181640625,7,1,,,3335,61.25,884.625,81.25,4.0,5,,1987.75,3339
161960,0,4234.6640625,7,,,,1351,13.25,884.625,141.25,,2,,,1353
161961,0,4234.71875,7,1,,,1413,64.5,867.625,134.25,4.0,2,,,1415
161962,0,4234.76220703125,7,,,,1885,305.0,939.625,142.25,,2,,,1887
161963,0,4234.81005859375,7,,,,1478,122.0,908.625,134.25,,2,,,1480
161964,0,4234.86767578125,7,1,,,2124,491.5,918.625,33.75,4.0,3,,,2127
161965,0,4234.912109375,7,1,,,1966,426.5,741.625,150.5,4.0,2,,,1967
161966,0,4234.9677734375,7,,,,1715,312.75,753.625,62.125,,2,,,1717
161967,0,4235.0126953125,7,1,,,1691,307.25,763.625,100.5,4.0,2,,,1693
161968,0,4235.0693359375,7,,,,2163,492.5,761.625,112.125,,3,,,2166
161969,0,4235.115234375,7,1,,,1011,2.25,757.625,101.25,4.0,1,,,1012
161970,0,4235.1669921875,7,,,,2116,547.0,785.625,17.25,,3,,,2118
161971,0,4235.21337890625,7,1,,,1474,190.0,747.625,127.25,4.0,2,,,1476
161972,0,4235.25927734375,7,,,,1732,307.25,769.625,79.25,,2,,,1734
161973,0,4235.31494140625,7,1,,,2407,615.0,774.625,119.0,4.0,3,,,2410
161974,0,4235.3623046875,7,,,,3469,,889.625,178.875,,4,,2022.625,3473
161975,0,4235.41748046875,7,1,,,2380,543.25,870.625,195.25,4.0,3,,,2383
161976,0,4235.4609375,7,,,,1613,187.75,883.625,152.625,,2,,,1615
161977,0,4235.5029296875,7,,,,1708,186.0,885.625,161.0,,2,,40.25,1710
161978,0,4235.5576171875,7,1,,,1873,241.0,890.625,205.0,4.0,2,,,1875
161979,0,4235.60498046875,7,,,,2210,490.0,884.625,128.5,,3,,,2213
161980,0,4235.66357421875,7,1,,,2118,428.75,898.625,110.75,4.0,3,,,2121
161981,0,4235.70849609375,7,,,,1732,309.0,852.625,66.375,,2,,,1734
161982,0,4235.75927734375,7,1,,,1764,309.5,858.625,50.75,4.0,2,,,1766
161983,0,4235.8017578125,7,,,,1409,122.0,821.625,136.25,,2,,,1411
161984,0,4235.84423828125,7,1,,,2182,493.75,845.625,53.25,4.0,3,,,2185
161985,0,4235.89697265625,7,,,,2167,428.75,836.625,167.0,,3,,,2169
161986,0,4235.939453125,7,1,,,1291,125.0,780.625,58.25,4.0,2,,,1293
161987,0,4235.98486328125,7,,,,1840,370.0,765.625,126.25,,2,,,1842
161988,0,4236.03857421875,7,1,,,1576,245.5,782.625,85.0,4.0,2,,,1578
161989,0,4236.08349609375,7,,,,2247,490.75,835.625,173.625,,3,,,2250
161990,0,4236.125,7,1,,,1469,125.75,830.625,113.0,4.0,2,,,1471
161991,0,4236.17822265625,7,,,,2131,428.0,849.625,132.625,,3,,,2134
