event,local_seconds,local_frame,soldier_id,command_id,order_id,render_server_seconds,sample_server_seconds,sample_frame,displacement_disabled,net_mode,has_prediction,resolving,has_speed,signed_presented_cm_s,signed_authoritative_cm_s,authoritative_x,authoritative_y,authoritative_z,presented_x,presented_y,presented_z,offset_x,offset_y,offset_z,requested_offset_x,requested_offset_y,requested_offset_z,sample_x,sample_y,sample_z,sample_velocity_x,sample_velocity_y,sample_velocity_z,direction_x,direction_y,direction_z,target_x,target_y,target_z
start,408.050639,159494,477,0,0,0.000000,0.000000,0,0,3,0,0,0,0.000,0.000,-69673.389,2973.389,-1738.025,-69673.389,2973.389,-1738.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.112712,159494,477,0,0,400.253562,0.000000,0,0,3,0,0,0,0.000,0.000,-69706.779,3006.777,-1738.000,-69706.779,3006.777,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.140912,159495,477,0,0,400.284583,0.000000,0,0,3,0,0,0,0.000,0.000,-69722.291,3022.289,-1738.000,-69722.291,3022.289,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.176376,159496,477,0,0,400.323394,0.000000,0,0,3,0,0,0,0.000,0.000,-69741.697,3041.697,-1738.000,-69741.697,3041.697,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.199564,159497,477,0,0,400.344264,0.000000,0,0,3,0,0,0,0.000,0.000,-69752.133,3052.133,-1738.000,-69752.133,3052.133,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.227701,159498,477,0,0,400.369586,0.000000,0,0,3,0,0,0,0.000,0.000,-69764.796,3064.796,-1738.000,-69764.796,3064.796,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.256282,159499,477,0,0,400.395309,0.000000,0,0,3,0,0,0,0.000,0.000,-69777.658,3077.658,-1738.000,-69777.658,3077.658,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sample_arrival,408.291684,159500,477,0,581,400.395309,400.600006,4001,0,3,0,0,0,0.000,0.000,-69777.658,3077.658,-1738.000,-69777.658,3077.658,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,-69880.000,3180.000,-1738.000,-500.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.291684,159500,477,0,0,400.427172,0.000000,0,0,3,0,0,0,0.000,0.000,-69793.589,3093.589,-1738.000,-69793.589,3093.589,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.320458,159501,477,0,0,400.453067,0.000000,0,0,3,0,0,0,0.000,0.000,-69806.538,3106.536,-1738.000,-69806.538,3106.536,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.343521,159502,477,0,0,400.473824,0.000000,0,0,3,0,0,0,0.000,0.000,-69816.911,3116.913,-1738.000,-69816.911,3116.913,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.367674,159503,477,0,0,400.495562,0.000000,0,0,3,0,0,0,0.000,0.000,-69827.781,3127.781,-1738.000,-69827.781,3127.781,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.401960,159504,477,0,0,400.526420,0.000000,0,0,3,0,0,0,0.000,0.000,-69843.209,3143.209,-1738.000,-69843.209,3143.209,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.428755,159505,477,0,0,400.550535,0.000000,0,0,3,0,0,0,0.000,0.000,-69855.265,3155.265,-1738.000,-69855.265,3155.265,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sample_arrival,408.456798,159506,477,0,581,400.550535,400.800018,4003,0,3,0,0,0,0.000,0.000,-69855.265,3155.265,-1738.000,-69855.265,3155.265,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,-69980.000,3280.000,-1736.000,-500.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.456798,159506,477,0,0,400.576831,0.000000,0,0,3,0,0,0,0.000,0.000,-69868.413,3168.413,-1738.000,-69868.413,3168.413,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.485076,159507,477,0,0,400.606425,0.000000,0,0,3,0,0,0,0.000,0.000,-69883.209,3183.210,-1737.994,-69883.209,3183.210,-1737.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.520227,159508,477,0,0,400.644834,0.000000,0,0,3,0,0,0,0.000,0.000,-69902.414,3202.413,-1737.744,-69902.414,3202.413,-1737.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.546847,159509,477,0,0,400.673897,0.000000,0,0,3,0,0,0,0.000,0.000,-69916.946,3216.944,-1737.383,-69916.946,3216.944,-1737.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.573413,159510,477,0,0,400.702296,0.000000,0,0,3,0,0,0,0.000,0.000,-69931.142,3231.142,-1736.966,-69931.142,3231.142,-1736.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.598388,159511,477,0,0,400.728646,0.000000,0,0,3,0,0,0,0.000,0.000,-69944.316,3244.316,-1736.582,-69944.316,3244.316,-1736.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.641888,159512,477,0,0,400.767795,0.000000,0,0,3,0,0,0,0.000,0.000,-69963.889,3263.889,-1736.139,-69963.889,3263.889,-1736.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sample_arrival,408.667809,159513,477,0,581,400.767795,401.000000,4005,0,3,0,0,0,0.000,0.000,-69963.889,3263.889,-1736.139,-69963.889,3263.889,-1736.139,0.000,0.000,0.000,0.000,0.000,0.000,-70080.000,3380.000,-1736.000,-500.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.667809,159513,477,0,0,400.795558,0.000000,0,0,3,0,0,0,0.000,0.000,-69977.770,3277.770,-1736.003,-69977.770,3277.770,-1736.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.693691,159514,477,0,0,400.818975,0.000000,0,0,3,0,0,0,0.000,0.000,-69989.480,3289.479,-1736.000,-69989.480,3289.479,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.720276,159515,477,0,0,400.848218,0.000000,0,0,3,0,0,0,0.000,0.000,-70004.102,3304.101,-1736.000,-70004.102,3304.101,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.754726,159516,477,0,0,400.886113,0.000000,0,0,3,0,0,0,0.000,0.000,-70023.051,3323.051,-1736.000,-70023.051,3323.051,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.777404,159517,477,0,0,400.910909,0.000000,0,0,3,0,0,0,0.000,0.000,-70035.451,3335.451,-1736.000,-70035.451,3335.451,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.805244,159518,477,0,0,400.940250,0.000000,0,0,3,0,0,0,0.000,0.000,-70050.123,3350.123,-1736.000,-70050.123,3350.123,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.832463,159519,477,0,0,400.965548,0.000000,0,0,3,0,0,0,0.000,0.000,-70062.773,3362.773,-1736.000,-70062.773,3362.773,-1736.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
