Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,1318,1318.000000,25.244819,0.006907,0.038417,0.019154,0.017092,3.948981,0.000071,0.009340,0.002996,0.002786
RenderGraphExecute,6602,6602.000000,19.195238,0.000010,0.027495,0.002907,0.002370,9.574257,0.000003,0.027495,0.001450,0.000003
Frame,672,672.000000,18.023777,0.000000,0.041721,0.026821,0.026128,0.248391,0.000000,0.000585,0.000370,0.000367
SceneRender,2648,2648.000000,12.416314,0.000899,0.011957,0.004689,0.004585,1.777213,0.000001,0.002977,0.000671,0.000272
WaitForTasks,14673,14673.000000,10.657076,0.000000,0.007317,0.000726,0.000000,10.657076,0.000000,0.007317,0.000726,0.000000
WorldTick,2636,2636.000000,9.757698,0.000005,0.016688,0.003702,0.004218,0.070212,0.000003,0.001370,0.000027,0.000017
Scene,2648,2648.000000,9.182033,0.000895,0.008655,0.003468,0.003403,1.082782,0.000089,0.002386,0.000409,0.000321
SceneRender,1335,1335.000000,5.849465,0.000000,0.014144,0.004382,0.004286,0.147354,0.000000,0.000316,0.000110,0.000112
Scene,6626,6626.000000,3.619609,0.000001,0.004931,0.000546,0.000001,0.241887,0.000000,0.000348,0.000037,0.000000
FDeferredShadingSceneRenderer_Render,1322,1322.000000,3.565182,0.002184,0.004932,0.002697,0.002628,0.000898,0.000000,0.000002,0.000001,0.000001
RayTracingDynamicGeometry,2646,2646.000000,1.772137,0.000075,0.002602,0.000670,0.000509,0.008753,0.000001,0.000011,0.000003,0.000003
RenderGraphExecute,3312,3312.000000,1.534297,0.000000,0.009543,0.000463,0.000193,0.073698,0.000000,0.000121,0.000022,0.000008
RayTracingDynamicGeometryUpdate,2646,2646.000000,1.453973,0.000036,0.002599,0.000549,0.000308,1.453973,0.000036,0.002599,0.000549,0.000308
UpdateAllPrimitiveSceneInfos,3942,3942.000000,1.026491,0.000002,0.001311,0.000260,0.000333,0.487780,0.000000,0.000893,0.000124,0.000081
DiffuseIndirectAndAO,2647,2647.000000,0.889908,0.000037,0.001027,0.000336,0.000487,0.016019,0.000001,0.000053,0.000006,0.000005
FRDGBuilder::CollectResources,3300,3300.000000,0.863754,0.000007,0.003255,0.000262,0.000007,0.198080,0.000002,0.000308,0.000060,0.000006
LumenSceneUpdate:,2646,2646.000000,0.790242,0.000002,0.001578,0.000299,0.000225,0.058409,0.000002,0.000275,0.000022,0.000021
LumenScreenProbeGather,2647,2647.000000,0.749609,0.000035,0.000866,0.000283,0.000405,0.345594,0.000001,0.000644,0.000131,0.000196
Nanite::DrawGeometry,3919,3919.000000,0.724004,0.000069,0.000716,0.000185,0.000180,0.118237,0.000003,0.000496,0.000030,0.000033
ShadowDepths,1324,1324.000000,0.699029,0.000416,0.001037,0.000528,0.000510,0.022251,0.000007,0.000080,0.000017,0.000014
Nanite::DrawGeometry,3915,3915.000000,0.673043,0.000058,0.000617,0.000172,0.000205,0.061538,0.000007,0.000131,0.000016,0.000017
