seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017489,17.48910,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.037017,19.52820,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.050376,13.35860,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.071988,21.61230,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.091145,19.15660,1,7.45370,1.46490,1200,1200,0,0,0,5957,120655,0.000
0.106458,15.31350,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.117723,11.26420,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.138088,20.36570,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.151306,13.21750,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.172842,21.53600,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.192228,19.38600,1,7.42170,1.31210,1200,1200,0,0,0,5957,120655,0.000
0.204984,12.75580,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.219423,14.43990,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.239202,19.77860,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.254512,15.30970,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.271384,16.87210,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.294291,22.90720,1,9.09240,1.31600,1200,1200,0,0,0,5957,120655,0.000
0.304721,10.42990,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.318916,14.19510,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.337628,18.71230,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.353378,15.74940,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.372479,19.10160,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.391991,19.51140,1,7.39420,1.30440,1200,1200,0,0,0,5957,120655,0.000
0.405411,13.42060,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.417614,12.20260,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.436334,18.72030,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.451704,15.36960,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.471069,19.36570,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.491483,20.41390,1,7.03900,1.99610,1200,1200,0,0,0,5957,120655,0.000
0.506454,14.97030,0,0.00000,0.00000,1200,1200,0,0,0,5957,120655,0.000
0.517916,11.46210,0,0.00000,0.00000,1200,1200,1200,0,0,5957,120655,0.000
0.538393,20.47670,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.550150,11.75760,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.570443,20.29240,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.594251,23.80850,1,8.50960,1.94380,1200,1200,1200,0,0,5934,137375,0.000
0.606883,12.63240,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.617689,10.80560,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.636637,18.94840,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.652258,15.62040,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.669702,17.44450,0,0.00000,0.00000,1200,1200,1200,0,0,5934,137375,0.000
0.691711,22.00820,1,6.94620,1.29840,1200,1200,1200,0,0,5934,137375,0.000
0.704700,12.98910,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.718231,13.53170,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.735641,17.40950,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.752035,16.39370,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.774002,21.96710,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.791463,17.46180,1,6.18100,1.29430,1200,1200,1200,0,0,5776,162764,0.000
0.805540,14.07680,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.818275,12.73490,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.838642,20.36730,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.851678,13.03550,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.870205,18.52720,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
0.893968,23.76300,1,8.39350,1.34840,1200,1200,1200,0,0,5776,162764,0.000
0.908366,14.39770,0,0.00000,0.00000,1200,1200,1200,0,0,5776,162764,0.000
