seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.015867,15.86720,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,5.791
0.022128,6.26120,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,12.053
0.032024,9.89580,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,21.948
0.041192,9.16760,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,31.116
0.050653,9.46150,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,8.653
0.061117,10.46320,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,9.662
0.070362,9.24540,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,18.907
0.080264,9.90190,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,28.809
0.089620,9.35590,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,8.576
0.098667,9.04770,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,8.116
0.110169,11.50120,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,10.756
0.119631,9.46200,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,20.218
0.130097,10.46590,0,0.00000,0.00000,1200,1200,1200,0,0,59625,3631,30.684
0.139301,9.20460,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,39.888
0.149712,10.41120,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,9.382
0.159858,10.14530,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,19.527
0.168924,9.06630,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,28.593
0.179079,10.15550,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,38.749
0.188224,9.14450,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,8.384
0.198646,10.42240,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,9.563
0.207648,9.00130,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,8.253
0.217746,10.09810,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,18.351
0.227365,9.61920,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,27.970
0.236679,9.31410,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,37.284
0.246244,9.56500,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,8.662
0.255722,9.47790,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,8.658
0.264730,9.00780,0,0.00000,0.00000,1200,1200,1200,0,0,61275,3535,8.169
