monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16862894.694441099,36.091849700,127.0.0.1:18531,1037532,46506,28
16862894.710308298,36.107716899,127.0.0.1:18531,1039348,46544,28
16862894.716569498,36.113978099,127.0.0.1:18531,1039412,46544,28
16862894.726465300,36.123873901,127.0.0.1:18531,1039412,46582,28
16862894.735632900,36.133041501,127.0.0.1:18531,1039698,46703,28
16862894.745094400,36.142503001,127.0.0.1:18531,1040738,46741,28
16862894.755557600,36.152966201,127.0.0.1:18531,1041493,46779,28
16862894.764803000,36.162211601,127.0.0.1:18531,1041569,46817,28
16862894.774704900,36.172113501,127.0.0.1:18531,1041569,46817,28
16862894.784060799,36.181469399,127.0.0.1:18531,1042754,46855,28
16862894.793108501,36.190517101,127.0.0.1:18531,1044652,46893,28
16862894.804609701,36.202018302,127.0.0.1:18531,1047602,46931,28
16862894.814071700,36.211480301,127.0.0.1:18531,1047640,46969,28
16862894.824537601,36.221946202,127.0.0.1:18531,1047640,46969,28
16862894.833742201,36.231150802,127.0.0.1:18531,1051139,47090,28
16862894.844153401,36.241562001,127.0.0.1:18531,1053120,47128,28
16862894.854298700,36.251707301,127.0.0.1:18531,1053120,47128,28
16862894.863364998,36.260773599,127.0.0.1:18531,1053158,47166,28
16862894.873520501,36.270929102,127.0.0.1:18531,1053158,47166,28
16862894.882665001,36.280073602,127.0.0.1:18531,1054395,47204,28
16862894.893087398,36.290495999,127.0.0.1:18531,1056342,47242,28
16862894.902088702,36.299497303,127.0.0.1:18531,1059326,47280,28
16862894.912186801,36.309595402,127.0.0.1:18531,1059379,47318,28
16862894.921806000,36.319214601,127.0.0.1:18531,1059379,47318,28
16862894.931120101,36.328528702,127.0.0.1:18531,1059417,47439,28
16862894.940685101,36.338093702,127.0.0.1:18531,1060603,47477,28
16862894.950162999,36.347571600,127.0.0.1:18531,1061404,47515,28
16862894.959170800,36.356579401,127.0.0.1:18531,1062614,47553,28
16862894.969590999,36.366999600,127.0.0.1:18531,1063432,47591,28
16862894.978938099,36.376346700,127.0.0.1:18531,1063432,47591,28
16862894.988447201,36.385855801,127.0.0.1:18531,1063728,47629,28
16862894.998253901,36.395662501,127.0.0.1:18531,1068025,47667,28
16862895.007952500,36.405361101,127.0.0.1:18531,1068025,47667,28
16862895.019269802,36.416678403,127.0.0.1:18531,1071530,47705,28
16862895.028679501,36.426088102,127.0.0.1:18531,1071589,47743,28
16862895.039233200,36.436641801,127.0.0.1:18531,1071589,47864,28
16862895.048591200,36.445999801,127.0.0.1:18531,1073763,47902,28
16862895.058005098,36.455413699,127.0.0.1:18531,1073763,47902,28
16862895.067147899,36.464556500,127.0.0.1:18531,1073826,47940,28
16862895.076900300,36.474308901,127.0.0.1:18531,1074960,47978,28
16862895.087539900,36.484948501,127.0.0.1:18531,1075948,48016,28
16862895.096618898,36.494027499,127.0.0.1:18531,1080231,48054,28
16862895.105742998,36.503151599,127.0.0.1:18531,1080231,48054,28
16862895.116260301,36.513668902,127.0.0.1:18531,1080269,48092,28
16862895.125532899,36.522941500,127.0.0.1:18531,1080269,48092,28
16862895.135035899,36.532444499,127.0.0.1:18531,1080307,48213,28
16862895.144862600,36.542271201,127.0.0.1:18531,1082613,48251,28
16862895.154198900,36.551607501,127.0.0.1:18531,1082613,48251,28
16862895.163633998,36.561042599,127.0.0.1:18531,1082651,48289,28
16862895.173614301,36.571022902,127.0.0.1:18531,1082651,48289,28
16862895.182742599,36.580151200,127.0.0.1:18531,1084806,48327,28
16862895.192638800,36.590047400,127.0.0.1:18531,1086043,48365,28
16862895.202565599,36.599974200,127.0.0.1:18531,1086928,48403,28
16862895.212412000,36.609820601,127.0.0.1:18531,1086966,48441,28
16862895.221828900,36.619237501,127.0.0.1:18531,1086966,48441,28
16862895.231314100,36.628722701,127.0.0.1:18531,1089500,48562,28
16862895.241095498,36.638504099,127.0.0.1:18531,1089500,48562,28
16862895.250479899,36.647888500,127.0.0.1:18531,1089551,48600,28
16862895.260576501,36.657985102,127.0.0.1:18531,1089551,48600,28
16862895.269285001,36.666693602,127.0.0.1:18531,1089604,48638,28
16862895.278673600,36.676082201,127.0.0.1:18531,1090834,48676,28
16862895.288707700,36.686116301,127.0.0.1:18531,1091736,48714,28
16862895.297915202,36.695323803,127.0.0.1:18531,1096088,48752,28
16862895.307596900,36.705005500,127.0.0.1:18531,1096126,48752,28
16862895.317192201,36.714600801,127.0.0.1:18531,1096126,48790,28
16862895.326685201,36.724093802,127.0.0.1:18531,1097311,48828,28
16862895.336678900,36.734087501,127.0.0.1:18531,1101829,48949,28
16862895.346742000,36.744150601,127.0.0.1:18531,1101948,48987,28
16862895.355963700,36.753372300,127.0.0.1:18531,1101948,48987,28
16862895.365660600,36.763069201,127.0.0.1:18531,1102002,49025,28
16862895.374531601,36.771940202,127.0.0.1:18531,1103178,49063,28
16862895.383543599,36.780952200,127.0.0.1:18531,1104211,49101,28
16862895.394203398,36.791611999,127.0.0.1:18531,1105322,49139,28
16862895.403923899,36.801332500,127.0.0.1:18531,1108515,49177,28
16862895.413980100,36.811388701,127.0.0.1:18531,1108577,49215,28
16862895.423416499,36.820825100,127.0.0.1:18531,1109709,49253,28
16862895.432554599,36.829963200,127.0.0.1:18531,1110743,49374,28
16862895.442407001,36.839815602,127.0.0.1:18531,1110781,49412,28
16862895.451389700,36.848798301,127.0.0.1:18531,1110781,49412,28
16862895.460606501,36.858015101,127.0.0.1:18531,1111931,49450,28
16862895.470017400,36.867426001,127.0.0.1:18531,1112969,49488,28
16862895.479566298,36.876974899,127.0.0.1:18531,1112969,49488,28
16862895.490025301,36.887433901,127.0.0.1:18531,1113289,49526,28
16862895.499265801,36.896674402,127.0.0.1:18531,1115499,49564,28
16862895.508930899,36.906339500,127.0.0.1:18531,1115550,49602,28
16862895.518647801,36.916056402,127.0.0.1:18531,1115550,49602,28
16862895.528332300,36.925740901,127.0.0.1:18531,1116978,49640,28
16862895.537801601,36.935210202,127.0.0.1:18531,1117748,49761,28
16862895.547215100,36.944623701,127.0.0.1:18531,1117811,49799,28
16862895.556900900,36.954309501,127.0.0.1:18531,1117811,49799,28
16862895.567832999,36.965241600,127.0.0.1:18531,1117849,49837,28
16862895.575808398,36.973216999,127.0.0.1:18531,1119293,49875,28
16862895.586168900,36.983577501,127.0.0.1:18531,1120085,49875,28
16862895.596116900,36.993525501,127.0.0.1:18531,1124479,49913,28
16862895.606128700,37.003537301,127.0.0.1:18531,1124479,49913,28
16862895.615591701,37.013000302,127.0.0.1:18531,1124557,49951,28
16862895.625457600,37.022866201,127.0.0.1:18531,1125762,49989,28
16862895.635862499,37.033271100,127.0.0.1:18531,1130281,50110,28
16862895.645119101,37.042527702,127.0.0.1:18531,1130319,50148,28
16862895.654713500,37.052122101,127.0.0.1:18531,1130319,50148,28
16862895.664246500,37.061655100,127.0.0.1:18531,1132555,50186,28
16862895.673452798,37.070861399,127.0.0.1:18531,1132555,50186,28
16862895.682491101,37.079899702,127.0.0.1:18531,1132628,50224,28
16862895.692431498,37.089840099,127.0.0.1:18531,1134017,50262,28
16862895.701732300,37.099140901,127.0.0.1:18531,1137088,50300,28
16862895.710675601,37.108084202,127.0.0.1:18531,1137141,50300,28
16862895.719198700,37.116607301,127.0.0.1:18531,1137141,50338,28
16862895.729413599,37.126822200,127.0.0.1:18531,1138508,50376,28
16862895.738706499,37.136115100,127.0.0.1:18531,1139680,50497,28
16862895.748449702,37.145858303,127.0.0.1:18531,1139773,50535,28
16862895.758360900,37.155769501,127.0.0.1:18531,1141139,50535,28
16862895.769539099,37.166947700,127.0.0.1:18531,1142039,50573,28
16862895.778729301,37.176137902,127.0.0.1:18531,1142039,50573,28
16862895.789350498,37.186759099,127.0.0.1:18531,1142149,50611,28
16862895.799333699,37.196742300,127.0.0.1:18531,1144416,50649,28
16862895.809541099,37.206949700,127.0.0.1:18531,1144454,50687,28
16862895.818239201,37.215647802,127.0.0.1:18531,1144454,50687,28
16862895.827566501,37.224975102,127.0.0.1:18531,1144454,50687,28
16862895.837421201,37.234829802,127.0.0.1:18531,1144507,50808,28
16862895.846273702,37.243682303,127.0.0.1:18531,1146824,50846,28
16862895.854861099,37.252269700,127.0.0.1:18531,1146824,50846,28
16862895.865274601,37.262683202,127.0.0.1:18531,1149097,50884,28
16862895.874420200,37.271828800,127.0.0.1:18531,1149097,50884,28
16862895.884414699,37.281823300,127.0.0.1:18531,1149145,50884,28
16862895.894292701,37.291701302,127.0.0.1:18531,1150608,50922,28
16862895.904295199,37.301703800,127.0.0.1:18531,1153666,50960,28
16862895.914073098,37.311481699,127.0.0.1:18531,1157190,50998,28
16862895.923250102,37.320658702,127.0.0.1:18531,1157190,50998,28
16862895.932483900,37.329892501,127.0.0.1:18531,1157243,51119,28
16862895.942678802,37.340087403,127.0.0.1:18531,1159669,51157,28
16862895.951817300,37.349225901,127.0.0.1:18531,1159669,51157,28
16862895.962165602,37.359574202,127.0.0.1:18531,1159669,51157,28
16862895.971910000,37.369318601,127.0.0.1:18531,1159707,51195,28
16862895.981722500,37.379131101,127.0.0.1:18531,1161165,51233,28
16862895.991999499,37.389408100,127.0.0.1:18531,1163827,51271,28
16862896.001686100,37.399094701,127.0.0.1:18531,1166913,51309,28
16862896.012210801,37.409619402,127.0.0.1:18531,1166958,51347,28
16862896.020591099,37.417999700,127.0.0.1:18531,1166958,51347,28
16862896.031487200,37.428895801,127.0.0.1:18531,1167041,51468,28
16862896.041539401,37.438948002,127.0.0.1:18531,1168474,51506,28
16862896.053191599,37.450600199,127.0.0.1:18531,1169416,51544,28
16862896.062968701,37.460377302,127.0.0.1:18531,1169454,51582,28
16862896.073094800,37.470503401,127.0.0.1:18531,1169454,51582,28
16862896.082182299,37.479590900,127.0.0.1:18531,1170877,51620,28
16862896.091883000,37.489291601,127.0.0.1:18531,1173258,51658,28
16862896.101894502,37.499303102,127.0.0.1:18531,1174216,51696,28
16862896.111568499,37.508977100,127.0.0.1:18531,1174279,51734,28
16862896.122438598,37.519847199,127.0.0.1:18531,1174279,51734,28
16862896.132297400,37.529706001,127.0.0.1:18531,1174317,51855,28
16862896.142582200,37.539990801,127.0.0.1:18531,1176764,51893,28
16862896.152865902,37.550274502,127.0.0.1:18531,1176764,51893,28
16862896.163535800,37.560944401,127.0.0.1:18531,1176817,51931,28
16862896.172320001,37.569728602,127.0.0.1:18531,1178222,51969,28
16862896.182178799,37.579587400,127.0.0.1:18531,1179176,51969,28
16862896.192706000,37.590114601,127.0.0.1:18531,1180636,52007,28
16862896.201298900,37.598707501,127.0.0.1:18531,1187239,52045,28
16862896.211364798,37.608773399,127.0.0.1:18531,1187277,52045,28
16862896.220938500,37.618347101,127.0.0.1:18531,1187277,52083,28
16862896.229938600,37.627347201,127.0.0.1:18531,1187563,52204,28
16862896.239120800,37.636529401,127.0.0.1:18531,1189975,52242,28
16862896.248050801,37.645459402,127.0.0.1:18531,1189975,52242,28
16862896.258016001,37.655424602,127.0.0.1:18531,1189975,52242,28
16862896.268173900,37.665582500,127.0.0.1:18531,1190026,52280,28
16862896.276832700,37.674241301,127.0.0.1:18531,1191513,52318,28
16862896.286458701,37.683867302,127.0.0.1:18531,1192469,52318,28
16862896.296042599,37.693451200,127.0.0.1:18531,1197019,52356,28
16862896.305765700,37.703174300,127.0.0.1:18531,1197057,52394,28
16862896.316202100,37.713610701,127.0.0.1:18531,1197057,52394,28
16862896.325856201,37.723264802,127.0.0.1:18531,1197095,52432,28
16862896.335145101,37.732553702,127.0.0.1:18531,1197095,52553,28
16862896.345209599,37.742618199,127.0.0.1:18531,1199628,52591,28
16862896.354246799,37.751655400,127.0.0.1:18531,1199628,52591,28
16862896.364403900,37.761812501,127.0.0.1:18531,1199666,52629,28
16862896.373526100,37.770934701,127.0.0.1:18531,1201097,52667,28
16862896.383083999,37.780492600,127.0.0.1:18531,1202109,52705,28
16862896.393711399,37.791120000,127.0.0.1:18531,1204523,52743,28
16862896.403017100,37.800425701,127.0.0.1:18531,1204523,52743,28
16862896.412609600,37.810018200,127.0.0.1:18531,1204561,52781,28
16862896.421621300,37.819029901,127.0.0.1:18531,1206060,52819,28
16862896.431357700,37.828766301,127.0.0.1:18531,1207051,52940,28
16862896.441886801,37.839295402,127.0.0.1:18531,1207089,52978,28
16862896.450997200,37.848405801,127.0.0.1:18531,1207089,52978,28
16862896.461974699,37.859383300,127.0.0.1:18531,1209469,53016,28
16862896.471136902,37.868545502,127.0.0.1:18531,1209469,53016,28
16862896.480656199,37.878064800,127.0.0.1:18531,1209765,53054,28
16862896.490773998,37.888182599,127.0.0.1:18531,1211151,53092,28
16862896.501431201,37.898839802,127.0.0.1:18531,1212110,53130,28
16862896.511530999,37.908939600,127.0.0.1:18531,1212163,53168,28
16862896.519874200,37.917282801,127.0.0.1:18531,1212163,53168,28
16862896.529430199,37.926838800,127.0.0.1:18531,1212201,53289,28
16862896.539636299,37.937044900,127.0.0.1:18531,1212201,53289,28
16862896.549160302,37.946568903,127.0.0.1:18531,1214528,53327,28
16862896.560494799,37.957903400,127.0.0.1:18531,1214528,53327,28
16862896.569500901,37.966909502,127.0.0.1:18531,1214528,53327,28
16862896.579420902,37.976829503,127.0.0.1:18531,1215915,53365,28
16862896.588751700,37.986160301,127.0.0.1:18531,1216876,53403,28
16862896.598532401,37.995941002,127.0.0.1:18531,1219152,53441,28
16862896.608592998,38.006001599,127.0.0.1:18531,1219190,53479,28
16862896.618254099,38.015662700,127.0.0.1:18531,1219190,53479,28
16862896.628149901,38.025558501,127.0.0.1:18531,1221636,53517,28
16862896.637305599,38.034714200,127.0.0.1:18531,1221636,53638,28
16862896.647032201,38.044440802,127.0.0.1:18531,1221674,53676,28
16862896.657861698,38.055270299,127.0.0.1:18531,1223059,53714,28
16862896.667193901,38.064602502,127.0.0.1:18531,1223968,53752,28
16862896.677852299,38.075260900,127.0.0.1:18531,1223968,53752,28
16862896.687502202,38.084910803,127.0.0.1:18531,1224016,53790,28
16862896.697536498,38.094945099,127.0.0.1:18531,1226273,53828,28
16862896.707692601,38.105101202,127.0.0.1:18531,1226273,53828,28
16862896.717284702,38.114693303,127.0.0.1:18531,1226311,53866,28
16862896.726641700,38.124050301,127.0.0.1:18531,1227677,53904,28
16862896.735753801,38.133162402,127.0.0.1:18531,1228858,54025,28
16862896.745334499,38.142743099,127.0.0.1:18531,1228911,54025,28
16862896.756366801,38.153775401,127.0.0.1:18531,1228911,54063,28
16862896.766099401,38.163508002,127.0.0.1:18531,1229043,54101,28
16862896.775403701,38.172812302,127.0.0.1:18531,1230421,54139,28
16862896.785017401,38.182426002,127.0.0.1:18531,1231338,54177,28
16862896.794814400,38.192223001,127.0.0.1:18531,1233556,54215,28
16862896.803932101,38.201340701,127.0.0.1:18531,1233556,54215,28
16862896.813549999,38.210958600,127.0.0.1:18531,1233594,54253,28
