monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16862894.694441099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1897520,1897520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.710308298,0.000000000,0.108789653,0.000000000,0.000000000,0.005003065,0,13,0,0,13,300,0,0,0,0,1900400,1900400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.716569498,0.000000000,0.108789653,0.000000000,0.000000000,0.005003065,0,13,0,0,13,300,0,0,0,0,1900400,1900400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.726465300,0.000000000,0.108789653,0.000000000,0.000000000,0.005003065,0,13,0,0,13,300,0,0,0,0,1900400,1900400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.735632900,0.000000000,0.108789653,0.076502562,0.000000000,0.005003065,0,13,1,0,13,300,0,0,0,0,1900400,1900400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.745094400,0.000000000,0.171292573,0.076502562,0.000000000,0.007703900,0,19,1,0,19,492,0,0,0,0,1903248,1903248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.755557600,0.000000000,0.219188631,0.076502562,0.000000000,0.010099262,0,26,1,0,26,600,0,0,0,0,1903408,1903408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.764803000,0.000000000,0.219188631,0.076502562,0.000000000,0.010099262,0,26,1,0,26,600,0,0,0,0,1903408,1903408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.774704900,0.000000000,0.219188631,0.076502562,0.000000000,0.010099262,0,26,1,0,26,600,0,0,0,0,1903408,1903408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.784060799,0.000000000,0.285189599,0.076502562,0.000000000,0.012900680,0,33,1,0,33,812,0,0,0,0,1906448,1906448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.793108501,0.000000000,0.372689217,0.076502562,0.000000000,0.017397106,0,45,1,0,45,1092,0,0,0,0,1909328,1909328,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.804609701,0.000000000,0.417191535,0.076502562,0.000000000,0.019893050,0,52,1,0,52,1200,0,0,0,0,1909488,1909488,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.814071700,0.000000000,0.417191535,0.076502562,0.000000000,0.019893050,0,52,1,0,52,1200,0,0,0,0,1909488,1909488,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.824537601,0.000000000,0.417191535,0.076502562,0.000000000,0.019893050,0,52,1,0,52,1200,0,0,0,0,1909488,1909488,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16862894.833742201,0.000000000,0.417191535,0.138904899,0.000000000,0.019893050,0,52,2,0,52,1200,0,0,0,0,1909488,1909488,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
