EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiCombatEffectReplicationComponent,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.5089,0.063100,0.1301,0.013800,0.1345,0.016300,0.1253,0.073000,0.002300,0.006900,1.9312,1.9510,0.001500,0.008100,0.037500,0.8526,0.3086,0.3938,0.016400,0.004700,0.093000,3.0814,0.2999,0.022500,0.000700,0.002400,0.1174,0.3380,0.001800,0.000900,0.002700,0.018800,0.050200,0.7123,0.097600,0.001400,0.029600,0.002800,0.001400,0.4699,0.043800,0.000200,0,0,18.5011,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,1,1,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0.1716,0,30.5000,0,0,0.6449,0.8165,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1901,4662.2109,5511.3086,6236.0820,0,10173.5195,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1322,0.074100,0.1698,0.010900,0.1029,0.015500,0.076700,0,0.002200,0.005700,1.8371,1.8552,0.001400,0.008300,0.037300,1.3528,0.3114,0.5660,0.017900,0.006600,0,0,0.4821,0.027100,0.000800,0.002100,0.2473,0.4560,0.001600,0.000800,0.002400,0.014500,0.1107,0.6043,0.2316,0.001900,0.026200,0.001700,0.002300,0.1758,0.014200,0.000300,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,2,2,0,1,27,0,26,1,0,2,4,0,0,0,0,0,0,0,0.1471,0,22,0,0,0.5252,0.6723,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1704,4654.4297,5511.3438,6236.0820,0,10165.7734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.2347,0.075300,0.1332,0.013200,0.1165,0.017200,0.074300,0,0.002200,0.007100,1.8741,1.8957,0.001800,0.007600,0.045100,0.5886,0.2907,0.4964,0.017900,0.006800,0,2.0983,0.4242,0.037500,0.001500,0.003600,0.3417,0.6273,0.001900,0.001000,0.003800,0.020400,0.1375,0.7952,0.1602,0.001900,0.030200,0.001900,0.002500,0.1248,0.013800,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,9,1,1,0,3,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1845,0,27,0,0,0.7142,0.8987,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0203,4649.0977,5512.3281,6237.7070,0,10161.4258,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1421,0.063700,0.1916,0.008600,0.1525,0.016200,0.1095,0.079400,0.002600,0.007900,2.2416,2.2661,0.001600,0.010200,0.049300,1.4414,0.3176,0.4564,0.019200,0.005200,0.1582,0,0.4660,0.036400,0.000900,0.002900,9.0500,10.1614,0.001700,0.001000,0.004500,0.023100,0.053400,0.7326,0.2551,0.001700,0.023200,0.001400,0.002000,0.7105,0.014300,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,50,2,99,0,8,3,3,0,10,27,0,27,0,0,1,6,0,0,0,0,0,0,0,0.1604,0,36,0,0,0.6670,0.8274,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6004,4638.0586,5514.1016,6239.4570,0,10152.1602,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,7.2025,1,82289,40367,0,2.2857,0,0,0,0,0,0,0,0,0,0,0,0
,5.2232,0.061100,0.3933,0.015000,0.096100,0.014900,0.095800,0,0.002300,0.009700,2.0796,2.1044,0.001500,0.009500,0.041700,1.9971,0.3999,0.6388,0.016700,0.006500,0,2.1078,0.3506,0.033700,0.000800,0.078400,0.092600,0.3160,0.001800,0.000900,0.002400,0.018100,0.1025,1.0315,0.4034,0.001200,0.020600,0.000900,0.001200,0.1042,0.013200,0.000300,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,6,6,0,4,626,0,26,1,0,2,12,0,0,0,0,0,0,0,0.1801,0,27.5000,5.5283,0,1.1671,1.3472,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7387,4636.2656,5514.1172,6239.4570,0,10150.3828,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1683,0.073900,0.1379,0.032600,0.1115,0.017800,0.1311,0.090200,0.002500,0.006800,1.8068,1.8278,0.001400,0.008700,0.043200,0.8386,0.4179,0.4689,0.017500,0.005000,0,0,0.3833,0.026600,0.000800,0.001700,0.2721,0.4789,0.002200,0.001300,0.002300,0.018200,0.049000,0.7643,0.1846,0.001700,0.022500,0.001500,0.001500,0.1109,0.014100,0.000300,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,98,0,6,2,4,0,0,401,0,1,0,0,2,5,0,0,0,0,0,0,0,0.1192,0,20.5000,2.9082,0,0.9047,1.0239,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9428,4633.0977,5514.1172,6239.4570,0,10147.2148,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.5607,0.072300,0.1925,0.013700,0.097200,0.015500,0.089700,0,0.002400,0.006400,1.8234,1.8448,0.002100,0.010200,0.044400,1.1266,0.3620,0.5185,0.017200,0.006900,0,1.4161,0.3614,0.026100,0.000800,0.002000,0.2697,0.4628,0.002500,0.000800,0.002300,0.018200,0.047000,0.5783,0.3538,0.001300,0.020500,0.001400,0.001400,0.1195,0.015700,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,4,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1360,0,28.5000,0,0,0.5112,0.6472,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7431,4627.4062,5514.1992,6239.5820,0,10141.6055,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,7318,391,0,0.4658,0,0,0,0,0,0,0,0,0,0,0,0
,0.1342,0.1005,0.087600,0.014300,0.1016,0.015000,0.080700,0,0.002400,0.007000,1.9124,1.9351,0.001800,0.009300,0.037900,0.7968,0.3099,0.4804,0.017100,0.004800,0.1142,0.1205,0.4249,0.028900,0.000900,0.002600,0.9145,0.9975,0.001500,0.000800,0.003400,0.017900,0.045600,0.6362,0.1212,0.001500,0.022100,0.001000,0.001400,0.1309,0.014300,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1634,0,24.5000,0,0,0.5409,0.7043,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4346,4620.4570,5514.1992,6239.5820,0,10134.6562,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.6933,0.070900,0.1597,0.015000,0.094600,0.016200,0.070700,0,0.002600,0.006600,1.8457,1.8672,0.001700,0.007100,0.037000,0.9807,0.2849,0.5091,0.015900,0.004900,0,2.9687,0.3795,0.029500,0.000700,0.002900,0.1726,0.3814,0.002200,0.000900,0.002900,0.017600,0.053400,0.4875,0.2848,0.002000,0.021900,0.001500,0.002000,0.1266,0.013500,0.000300,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1181,0,24,0,0,0.4243,0.5424,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6690,4616.4961,5514.2578,6240.0820,0,10130.7539,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,2284,292,0,0.1864,0,0,0,0,0,0,0,0,0,0,0,0
,0.1597,0.072300,0.057400,0.011900,0.1356,0.014600,0.065500,0,0.002200,0.007000,1.3439,1.3635,0.001400,0.005700,0.032900,0.3928,0.3321,0.4975,0.014800,0.004600,0,0,0.3705,0.023500,0.000400,0.002300,7.8237,8.0228,0.001800,0.001000,0.005300,0.022400,0.046400,0.3651,0.079400,0.001200,0.023600,0.001300,0.001700,0.6612,0.014100,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1045,0,18,0,0,0.3050,0.4095,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2643,4610.0195,5514.2656,6240.0820,0,10124.2852,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,7.5495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
