EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Exclusive/GameThread/HandleRPC,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,0.075600,0.3251,0.013500,0.7688,0.018900,0.089900,0.002300,0.007100,2.2622,2.2832,0.001600,0.010100,0.045800,2.1260,0.4099,0.024300,0.5810,0.007600,0.3722,2.7960,0.4357,0.027200,0.000600,0.002300,0.1553,0.3670,0.001400,0.000900,0.003200,0.019600,0.066900,1.1115,0.002500,0.3219,0.004600,0.002400,0.4638,0.043300,0.000200,0,0,20.5205,0,0,62,0,0,26,0,0,0,0,2,2,2,2,48,4,96,0,6,3,3,0,10,26,0,26,0,0,4,6,0,0,0,0,0,0,0,0.2398,0,41,0,0,1.0264,1.2662,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3217,4925.1797,5510.9375,6239.2617,0,10436.1172,32.8831,0.4375,32.0039,0.002930,0.4387,0,0,5.5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.073000,0.054700,0.011500,0.1059,0.016300,0.026100,0.002400,0.007500,1.6819,1.7022,0.001400,0.007600,0.043400,0.5828,0.4119,0.020400,0.3419,0.006400,0,0,0.3636,0.032400,0.000800,0.003000,0.6255,0.8444,0.001800,0.000900,0.003900,0.019200,0.048100,0.3369,0.001600,0.027800,0.001900,0.002100,0.1413,0.017800,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099715,0,15,0,0,0.2850,0.3847,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9261,4924.9492,5510.9375,6239.2617,0,10435.8867,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.066300,0.2197,0.015600,0.1121,0.044700,0.083100,0.002400,0.007600,2.1418,2.1669,0.001600,0.009500,0.049000,1.7674,0.3204,0.019800,0.3375,0.007400,0.2893,0.8005,0.2780,0.028500,0.000700,0.075600,0.3576,0.6061,0.002100,0.001000,0.003000,0.022000,0.038300,0.5932,0.000800,0.020500,0.001200,0.000900,0.1075,0.013000,0.000200,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,26,0,26,1,0,2,6,0,0,0,0,0,0,0,0.1458,0,26.5000,0,0,0.5057,0.6515,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1254,4924.4375,5511,6239.2617,0,10435.4375,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,2.7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1425,0.087300,0.008800,0.1633,0.017500,0.025300,0.002300,0.007300,1.4777,1.4981,0.001500,0.007100,0.041900,0.5528,0.2689,0.018000,0.3300,0.005800,0,0,0.3055,0.017400,0.000500,0.002100,11.5204,11.6143,0.002600,0.001100,0.005500,0.032400,0.056900,0.8212,0.001700,0.028300,0.001700,0.002000,0.8426,0.013900,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2767,0,22.5000,0,0,0.6233,0.9000,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0417,4919.9961,5513.8164,6243.0117,0,10433.8125,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1691,0.1748,9.4584,0,1,76315,40398,0,3.5102,0,0,0,0,0,0,0,0
,0.072500,0.6107,0.012100,0.1134,0.019400,0.1424,0.003000,0.009700,2.3271,2.3528,0.002200,0.007800,0.044300,3.0366,0.3491,0.018900,0.3588,0.007800,0.6876,2.4200,0.3480,0.022200,0.000900,0.002400,0.1526,0.4205,0.002100,0.001000,0.003600,0.024300,0.063800,2.1140,0.002200,0.030200,0.001500,0.002000,0.1184,0.014400,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,8,10,0,4,1028,0,28,0,0,2,16,0,0,0,0,0,0,0,0.2403,0,30,8.7656,0,2.7176,2.9579,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8636,4918.2734,5513.8164,6243.0117,0,10432.0898,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,5.7443,0,0,0.1691,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067900,0.084800,0.008200,0.1025,0.014300,0.022900,0.002100,0.007700,1.6167,1.6380,0.001500,0.007600,0.043300,0.5457,0.3244,0.017600,0.3398,0.006800,0,0,0.3419,0.016000,0.000300,0.001900,0.3704,0.6165,0.001900,0.001000,0.002900,0.021300,0.044700,0.6445,0.001300,0.022300,0.001300,0.001500,0.1395,0.016100,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1663,0,24,0,0,0.5555,0.7218,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0322,4917.9648,5513.8789,6243.0117,0,10431.8438,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.090700,0.2275,0.012200,0.1274,0.019200,0.094800,0.002500,0.007400,1.8045,1.8277,0.001900,0.008200,0.039800,1.7852,0.3706,0.014100,0.3007,0.008100,0.4572,3.4766,0.3719,0.020900,0.001000,0.002600,0.3576,0.6228,0.002100,0.000900,0.003800,0.024600,0.066400,0.6475,0.002300,0.028900,0.001700,0.002200,0.1509,0.017700,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1827,0,20.5000,0,0,0.5359,0.7186,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9327,4910.2031,5513.9023,6243.1367,0,10424.1055,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,5.5588,0,0,0,0,6842,365,0,0.7360,0,0,0,0,0,0,0,0
,0.080700,0.087600,0.013500,0.1285,0.020100,0.042000,0.002300,0.009100,1.9589,1.9857,0.001700,0.007800,0.037400,0.4604,0.3064,0.014400,0.2993,0.004000,0,0,0.3989,0.015800,0.000600,0.002400,1.7154,1.7534,0.001700,0.001000,0.003700,0.025000,0.064200,0.6384,0.001800,0.027400,0.001800,0.002000,0.1395,0.016300,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1530,0,25,0,0,0.5632,0.7162,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0336,4911.4492,5513.9023,6243.1367,0,10425.3516,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1860,0.1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.075100,0.3606,0.012700,0.1579,0.017400,0.081400,0.002400,0.007200,1.5405,1.5623,0.001500,0.006700,0.047500,2.0187,0.3538,0.016800,0.3115,0.007100,0.3408,2.2742,0.3613,0.020800,0.000500,0.072500,9.8485,10.1193,0.002500,0.000900,0.005000,0.026400,0.059700,1.3748,0.005900,0.027200,0.001600,0.001800,0.8549,0.016200,0.000200,0,0,0,0,0,64,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,6,3,3,0,68,34,0,26,1,0,2,6,0,0,0,0,0,0,0,0.2942,0,29,0,0,1.2660,1.5602,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9862,4911.0273,5514.1289,6244.1367,0,10425.1562,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,4.3904,0,9.6225,0,1,1695,291,0,0.2129,2,0,0,0,0,0,0,0
,0.063300,0.5294,0.013100,0.1126,0.016700,0.1284,0.002100,0.007700,2.1683,2.1896,0.002200,0.008800,0.044700,2.8382,0.3471,0.018400,0.3473,0.008900,0.5709,2.4105,0.3315,0.015600,0.000600,0.001900,0.3503,0.6166,0.002100,0.000900,0.003500,0.022800,0.054500,1.5804,0.001700,0.027200,0.001400,0.001400,0.1183,0.014300,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,10,6,6,0,4,630,0,28,0,0,2,12,0,0,0,0,0,0,0,0.2280,0,32.5000,5.4736,0,1.8125,2.0405,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8455,4912.7773,5514.1914,6244.1367,0,10426.9688,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,6.1969,0,0,0.1473,0,0,0,0,0,0,0,0,0,0,0,0,0
