monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16863315.525157001,92.853402000,127.0.0.1:55590,43118,1092971,28
16863315.525157001,92.853402000,127.0.0.1:53546,35876,1056332,28
16863315.566261102,92.894506101,127.0.0.1:55590,43194,1094879,28
16863315.566261102,92.894506101,127.0.0.1:53546,35952,1058236,28
16863315.575524699,92.903769698,127.0.0.1:55590,43194,1094879,28
16863315.575524699,92.903769698,127.0.0.1:53546,35952,1058236,28
16863315.595681001,92.923926000,127.0.0.1:55590,43232,1096737,28
16863315.595681001,92.923926000,127.0.0.1:53546,35990,1060112,28
16863315.620982300,92.949227300,127.0.0.1:55590,43232,1096737,28
16863315.620982300,92.949227300,127.0.0.1:53546,35990,1060112,28
16863315.635575201,92.963820200,127.0.0.1:55590,43353,1104397,28
16863315.635575201,92.963820200,127.0.0.1:53546,36112,1064288,28
16863315.643585701,92.971830700,127.0.0.1:55590,43353,1104397,28
16863315.643585701,92.971830700,127.0.0.1:53546,36112,1064288,28
16863315.666513398,92.994758397,127.0.0.1:55590,43391,1106352,28
16863315.666513398,92.994758397,127.0.0.1:53546,36150,1066256,28
16863315.679553501,93.007798500,127.0.0.1:55590,43391,1106352,28
16863315.679553501,93.007798500,127.0.0.1:53546,36150,1066256,28
16863315.709827501,93.038072500,127.0.0.1:55590,43429,1108579,28
16863315.709827501,93.038072500,127.0.0.1:53546,36188,1068497,28
16863315.723407000,93.051651999,127.0.0.1:55590,43550,1112778,28
16863315.723407000,93.051651999,127.0.0.1:53546,36310,1072692,28
16863315.735818502,93.064063501,127.0.0.1:55590,43588,1112868,28
16863315.735818502,93.064063501,127.0.0.1:53546,36348,1076242,28
16863315.754598599,93.082843598,127.0.0.1:55590,43626,1112929,28
16863315.754598599,93.082843598,127.0.0.1:53546,36386,1076301,28
16863315.769055899,93.097300898,127.0.0.1:55590,43664,1114930,28
16863315.769055899,93.097300898,127.0.0.1:53546,36424,1078315,28
16863315.787574600,93.115819599,127.0.0.1:55590,43702,1116917,28
16863315.787574600,93.115819599,127.0.0.1:53546,36462,1080302,28
16863315.809676901,93.137921900,127.0.0.1:55590,43740,1116965,28
16863315.809676901,93.137921900,127.0.0.1:53546,36500,1080351,28
16863315.823010199,93.151255198,127.0.0.1:55590,43778,1119049,28
16863315.823010199,93.151255198,127.0.0.1:53546,36622,1082381,28
16863315.836292598,93.164537597,127.0.0.1:55590,43899,1119087,28
16863315.836292598,93.164537597,127.0.0.1:53546,36660,1082419,28
16863315.856538601,93.184783600,127.0.0.1:55590,43937,1121092,28
16863315.856538601,93.184783600,127.0.0.1:53546,36698,1084437,28
16863315.870280899,93.198525898,127.0.0.1:55590,43975,1121145,28
16863315.870280899,93.198525898,127.0.0.1:53546,36736,1084490,28
16863315.889710400,93.217955399,127.0.0.1:55590,44013,1123160,28
16863315.889710400,93.217955399,127.0.0.1:53546,36774,1086518,28
16863315.914109699,93.242354698,127.0.0.1:55590,44051,1123208,28
16863315.914109699,93.242354698,127.0.0.1:53546,36812,1086567,28
16863315.929881800,93.258126799,127.0.0.1:55590,44089,1127547,28
16863315.929881800,93.258126799,127.0.0.1:53546,36934,1090848,28
16863315.938966598,93.267211597,127.0.0.1:55590,44210,1131046,28
16863315.938966598,93.267211597,127.0.0.1:53546,36972,1090886,28
16863315.958670702,93.286915701,127.0.0.1:55590,44248,1133378,28
16863315.958670702,93.286915701,127.0.0.1:53546,37010,1093231,28
16863315.970789999,93.299034998,127.0.0.1:55590,44286,1133416,28
16863315.970789999,93.299034998,127.0.0.1:53546,37048,1093269,28
16863315.993986301,93.322231300,127.0.0.1:55590,44362,1133512,28
16863315.993986301,93.322231300,127.0.0.1:53546,37086,1093361,28
16863316.014544301,93.342789300,127.0.0.1:55590,44362,1135642,28
16863316.014544301,93.342789300,127.0.0.1:53546,37086,1095505,28
16863316.029429700,93.357674699,127.0.0.1:55590,44483,1139873,28
16863316.029429700,93.357674699,127.0.0.1:53546,37208,1103234,28
16863316.039686900,93.367931899,127.0.0.1:55590,44521,1139911,28
16863316.039686900,93.367931899,127.0.0.1:53546,37246,1103272,28
16863316.060257401,93.388502400,127.0.0.1:55590,44559,1142032,28
16863316.060257401,93.388502400,127.0.0.1:53546,37284,1105406,28
16863316.072599601,93.400844600,127.0.0.1:55590,44597,1142070,28
16863316.072599601,93.400844600,127.0.0.1:53546,37322,1105444,28
16863316.093581799,93.421826798,127.0.0.1:55590,44635,1144185,28
16863316.093581799,93.421826798,127.0.0.1:53546,37360,1107725,28
16863316.114016701,93.442261700,127.0.0.1:55590,44673,1144223,28
16863316.114016701,93.442261700,127.0.0.1:53546,37398,1107763,28
16863316.125772100,93.454017099,127.0.0.1:55590,44794,1146311,28
16863316.125772100,93.454017099,127.0.0.1:53546,37520,1109864,28
16863316.138040502,93.466285501,127.0.0.1:55590,44832,1146349,28
16863316.138040502,93.466285501,127.0.0.1:53546,37558,1109902,28
16863316.161072299,93.489317298,127.0.0.1:55590,44870,1146445,28
16863316.161072299,93.489317298,127.0.0.1:53546,37596,1110016,28
16863316.174670201,93.502915200,127.0.0.1:55590,44908,1148565,28
16863316.174670201,93.502915200,127.0.0.1:53546,37634,1112202,28
16863316.194886100,93.523131099,127.0.0.1:55590,44946,1150924,28
16863316.194886100,93.523131099,127.0.0.1:53546,37672,1114575,28
16863316.217915598,93.546160597,127.0.0.1:55590,44984,1151001,28
16863316.217915598,93.546160597,127.0.0.1:53546,37710,1114652,28
16863316.232897699,93.561142698,127.0.0.1:55590,45143,1157553,28
16863316.232897699,93.561142698,127.0.0.1:53546,37832,1121213,28
16863316.244380999,93.572625998,127.0.0.1:55590,45181,1161078,28
16863316.244380999,93.572625998,127.0.0.1:53546,37870,1124739,28
16863316.263219599,93.591464598,127.0.0.1:55590,45219,1161129,28
16863316.263219599,93.591464598,127.0.0.1:53546,37908,1124777,28
16863316.277502399,93.605747398,127.0.0.1:55590,45219,1163458,28
16863316.277502399,93.605747398,127.0.0.1:53546,37908,1127119,28
16863316.296937801,93.625182800,127.0.0.1:55590,45257,1165716,28
16863316.296937801,93.625182800,127.0.0.1:53546,37946,1129391,28
16863316.319157001,93.647402000,127.0.0.1:55590,45295,1165792,28
16863316.319157001,93.647402000,127.0.0.1:53546,38068,1129484,28
16863316.329373199,93.657618199,127.0.0.1:55590,45416,1168041,28
16863316.329373199,93.657618199,127.0.0.1:53546,38106,1131747,28
16863316.343107600,93.671352599,127.0.0.1:55590,45454,1168079,28
16863316.343107600,93.671352599,127.0.0.1:53546,38144,1131785,28
16863316.366989799,93.695234798,127.0.0.1:55590,45492,1170300,28
16863316.366989799,93.695234798,127.0.0.1:53546,38182,1134018,28
16863316.378330801,93.706575800,127.0.0.1:55590,45530,1170338,28
16863316.378330801,93.706575800,127.0.0.1:53546,38220,1134056,28
16863316.399428599,93.727673598,127.0.0.1:55590,45568,1172594,28
16863316.399428599,93.727673598,127.0.0.1:53546,38258,1136339,28
16863316.419418901,93.747663900,127.0.0.1:55590,45606,1172632,28
16863316.419418901,93.747663900,127.0.0.1:53546,38296,1136377,28
16863316.434172899,93.762417898,127.0.0.1:55590,45727,1174730,28
16863316.434172899,93.762417898,127.0.0.1:53546,38418,1138488,28
16863316.451052301,93.779297300,127.0.0.1:55590,45765,1175028,28
16863316.451052301,93.779297300,127.0.0.1:53546,38456,1138786,28
16863316.462881699,93.791126698,127.0.0.1:55590,45841,1177163,28
16863316.462881699,93.791126698,127.0.0.1:53546,38532,1140930,28
16863316.482503202,93.810748201,127.0.0.1:55590,45879,1177214,28
16863316.482503202,93.810748201,127.0.0.1:53546,38570,1140968,28
16863316.510323498,93.838568497,127.0.0.1:55590,45917,1179441,28
16863316.510323498,93.838568497,127.0.0.1:53546,38570,1143209,28
16863316.522022799,93.850267798,127.0.0.1:55590,45955,1183910,28
16863316.522022799,93.850267798,127.0.0.1:53546,38692,1147616,28
16863316.536014799,93.864259798,127.0.0.1:55590,46076,1187409,28
16863316.536014799,93.864259798,127.0.0.1:53546,38730,1147654,28
16863316.554994501,93.883239500,127.0.0.1:55590,46114,1187462,28
16863316.554994501,93.883239500,127.0.0.1:53546,38768,1147707,28
16863316.568302199,93.896547198,127.0.0.1:55590,46152,1189790,28
16863316.568302199,93.896547198,127.0.0.1:53546,38806,1150023,28
16863316.590021100,93.918266099,127.0.0.1:55590,46190,1192018,28
16863316.590021100,93.918266099,127.0.0.1:53546,38844,1152310,28
16863316.611750599,93.939995598,127.0.0.1:55590,46228,1192066,28
16863316.611750599,93.939995598,127.0.0.1:53546,38920,1152359,28
16863316.624813601,93.953058600,127.0.0.1:55590,46387,1196503,28
16863316.624813601,93.953058600,127.0.0.1:53546,39042,1160307,28
16863316.634983901,93.963228900,127.0.0.1:55590,46425,1196565,28
16863316.634983901,93.963228900,127.0.0.1:53546,39080,1160369,28
16863316.655998800,93.984243799,127.0.0.1:55590,46463,1196603,28
16863316.655998800,93.984243799,127.0.0.1:53546,39118,1160407,28
16863316.671345200,93.999590199,127.0.0.1:55590,46463,1198870,28
16863316.671345200,93.999590199,127.0.0.1:53546,39118,1162687,28
16863316.690733299,94.018978298,127.0.0.1:55590,46501,1201152,28
16863316.690733299,94.018978298,127.0.0.1:53546,39156,1164982,28
16863316.714942198,94.043187197,127.0.0.1:55590,46539,1201469,28
16863316.714942198,94.043187197,127.0.0.1:53546,39194,1165300,28
16863316.723893698,94.052138697,127.0.0.1:55590,46577,1203847,28
16863316.723893698,94.052138697,127.0.0.1:53546,39316,1167577,28
16863316.737800300,94.066045299,127.0.0.1:55590,46698,1203894,28
16863316.737800300,94.066045299,127.0.0.1:53546,39354,1167622,28
16863316.759539600,94.087784600,127.0.0.1:55590,46736,1203991,28
16863316.759539600,94.087784600,127.0.0.1:53546,39392,1167717,28
16863316.772642702,94.100887701,127.0.0.1:55590,46774,1206244,28
16863316.772642702,94.100887701,127.0.0.1:53546,39468,1169977,28
16863316.789202899,94.117447898,127.0.0.1:55590,46812,1208512,28
16863316.789202899,94.117447898,127.0.0.1:53546,39506,1172252,28
16863316.814060502,94.142305501,127.0.0.1:55590,46850,1208614,28
16863316.814060502,94.142305501,127.0.0.1:53546,39628,1172339,28
16863316.826366000,94.154610999,127.0.0.1:55590,47009,1216605,28
16863316.826366000,94.154610999,127.0.0.1:53546,39628,1176846,28
16863316.840035100,94.168280099,127.0.0.1:55590,47047,1216643,28
16863316.840035100,94.168280099,127.0.0.1:53546,39666,1176884,28
16863316.860572599,94.188817598,127.0.0.1:55590,47085,1219013,28
16863316.860572599,94.188817598,127.0.0.1:53546,39704,1179267,28
16863316.872710198,94.200955197,127.0.0.1:55590,47123,1219051,28
16863316.872710198,94.200955197,127.0.0.1:53546,39742,1179305,28
16863316.893027399,94.221272398,127.0.0.1:55590,47161,1221412,28
16863316.893027399,94.221272398,127.0.0.1:53546,39780,1181680,28
16863316.915950600,94.244195599,127.0.0.1:55590,47199,1221450,28
16863316.915950600,94.244195599,127.0.0.1:53546,39818,1181718,28
16863316.928354200,94.256599199,127.0.0.1:55590,47320,1225976,28
16863316.928354200,94.256599199,127.0.0.1:53546,39940,1189755,28
16863316.938936900,94.267181899,127.0.0.1:55590,47358,1226259,28
16863316.938936900,94.267181899,127.0.0.1:53546,39978,1190038,28
16863316.960385401,94.288630400,127.0.0.1:55590,47396,1226297,28
16863316.960385401,94.288630400,127.0.0.1:53546,40016,1190076,28
16863316.974309500,94.302554499,127.0.0.1:55590,47396,1228626,28
16863316.974309500,94.302554499,127.0.0.1:53546,40054,1192414,28
16863316.991475500,94.319720499,127.0.0.1:55590,47434,1228674,28
16863316.991475500,94.319720499,127.0.0.1:53546,40092,1192463,28
16863317.017121200,94.345366199,127.0.0.1:55590,47472,1231117,28
16863317.017121200,94.345366199,127.0.0.1:53546,40130,1194906,28
16863317.029479299,94.357724298,127.0.0.1:55590,47593,1233467,28
16863317.029479299,94.357724298,127.0.0.1:53546,40252,1197269,28
16863317.041103099,94.369348098,127.0.0.1:55590,47631,1233505,28
16863317.041103099,94.369348098,127.0.0.1:53546,40290,1197307,28
16863317.060119599,94.388364598,127.0.0.1:55590,47669,1235841,28
16863317.060119599,94.388364598,127.0.0.1:53546,40328,1199656,28
16863317.073821101,94.402066100,127.0.0.1:55590,47707,1235879,28
16863317.073821101,94.402066100,127.0.0.1:53546,40404,1199694,28
16863317.092998002,94.421243001,127.0.0.1:55590,47745,1238331,28
16863317.092998002,94.421243001,127.0.0.1:53546,40442,1202160,28
16863317.117948100,94.446193099,127.0.0.1:55590,47783,1238369,28
16863317.117948100,94.446193099,127.0.0.1:53546,40564,1202198,28
16863317.130755700,94.459000699,127.0.0.1:55590,47942,1242918,28
16863317.130755700,94.459000699,127.0.0.1:53546,40564,1206760,28
16863317.141423900,94.469668899,127.0.0.1:55590,47980,1246417,28
16863317.141423900,94.469668899,127.0.0.1:53546,40602,1206798,28
16863317.163095601,94.491340600,127.0.0.1:55590,48018,1246455,28
16863317.163095601,94.491340600,127.0.0.1:53546,40640,1206836,28
16863317.176811900,94.505056899,127.0.0.1:55590,48018,1248862,28
16863317.176811900,94.505056899,127.0.0.1:53546,40640,1209256,28
16863317.195837200,94.524082199,127.0.0.1:55590,48056,1249155,28
16863317.195837200,94.524082199,127.0.0.1:53546,40678,1209550,28
16863317.219033100,94.547278099,127.0.0.1:55590,48056,1251574,28
16863317.219033100,94.547278099,127.0.0.1:53546,40800,1211973,28
16863317.229127899,94.557372898,127.0.0.1:55590,48177,1256145,28
16863317.229127899,94.557372898,127.0.0.1:53546,40838,1216553,28
16863317.242587801,94.570832800,127.0.0.1:55590,48215,1256198,28
16863317.242587801,94.570832800,127.0.0.1:53546,40876,1220068,28
16863317.263410199,94.591655198,127.0.0.1:55590,48253,1256275,28
16863317.263410199,94.591655198,127.0.0.1:53546,40914,1220132,28
16863317.275837701,94.604082700,127.0.0.1:55590,48291,1258639,28
16863317.275837701,94.604082700,127.0.0.1:53546,40952,1222509,28
16863317.296501901,94.624746900,127.0.0.1:55590,48329,1261074,28
16863317.296501901,94.624746900,127.0.0.1:53546,40990,1225105,28
16863317.315748699,94.643993698,127.0.0.1:55590,48367,1261112,28
16863317.315748699,94.643993698,127.0.0.1:53546,41028,1225143,28
16863317.329154901,94.657399900,127.0.0.1:55590,48488,1263543,28
16863317.329154901,94.657399900,127.0.0.1:53546,41150,1227642,28
16863317.342166200,94.670411199,127.0.0.1:55590,48526,1263581,28
16863317.342166200,94.670411199,127.0.0.1:53546,41188,1227696,28
16863317.362620901,94.690865900,127.0.0.1:55590,48564,1265934,28
16863317.362620901,94.690865900,127.0.0.1:53546,41226,1230062,28
16863317.375421099,94.703666098,127.0.0.1:55590,48602,1265972,28
16863317.375421099,94.703666098,127.0.0.1:53546,41264,1230100,28
16863317.392545201,94.720790200,127.0.0.1:55590,48640,1266044,28
16863317.392545201,94.720790200,127.0.0.1:53546,41302,1230173,28
16863317.414076101,94.742321100,127.0.0.1:55590,48678,1268391,28
16863317.414076101,94.742321100,127.0.0.1:53546,41340,1232533,28
16863317.426581401,94.754826400,127.0.0.1:55590,48799,1270692,28
16863317.426581401,94.754826400,127.0.0.1:53546,41462,1234847,28
16863317.441317700,94.769562699,127.0.0.1:55590,48837,1270975,28
16863317.441317700,94.769562699,127.0.0.1:53546,41500,1235130,28
16863317.461724401,94.789969400,127.0.0.1:55590,48875,1273291,28
16863317.461724401,94.789969400,127.0.0.1:53546,41538,1237450,28
16863317.473450199,94.801695198,127.0.0.1:55590,48951,1273361,28
16863317.473450199,94.801695198,127.0.0.1:53546,41576,1237516,28
16863317.495579399,94.823824398,127.0.0.1:55590,48989,1275772,28
16863317.495579399,94.823824398,127.0.0.1:53546,41614,1239935,28
16863317.516984701,94.845229700,127.0.0.1:55590,49027,1275817,28
16863317.516984701,94.845229700,127.0.0.1:53546,41652,1239973,28
16863317.529874198,94.858119197,127.0.0.1:55590,49148,1278132,28
16863317.529874198,94.858119197,127.0.0.1:53546,41774,1242301,28
16863317.541762400,94.870007399,127.0.0.1:55590,49186,1278216,28
16863317.541762400,94.870007399,127.0.0.1:53546,41812,1242394,28
16863317.563588001,94.891833000,127.0.0.1:55590,49224,1280507,28
16863317.563588001,94.891833000,127.0.0.1:53546,41850,1244698,28
16863317.575427800,94.903672799,127.0.0.1:55590,49262,1280545,28
16863317.575427800,94.903672799,127.0.0.1:53546,41888,1244736,28
16863317.597044300,94.925289299,127.0.0.1:55590,49300,1282853,28
16863317.597044300,94.925289299,127.0.0.1:53546,41926,1247058,28
16863317.617416400,94.945661400,127.0.0.1:55590,49338,1282891,28
16863317.617416400,94.945661400,127.0.0.1:53546,41964,1247096,28
16863317.630994499,94.959239498,127.0.0.1:55590,49459,1285127,28
16863317.630994499,94.959239498,127.0.0.1:53546,42086,1249345,28
16863317.642417401,94.970662400,127.0.0.1:55590,49497,1285165,28
16863317.642417401,94.970662400,127.0.0.1:53546,42124,1249383,28
16863317.662418399,94.990663398,127.0.0.1:55590,49535,1287403,28
16863317.662418399,94.990663398,127.0.0.1:53546,42162,1251634,28
16863317.674638700,95.002883699,127.0.0.1:55590,49573,1287441,28
16863317.674638700,95.002883699,127.0.0.1:53546,42200,1251672,28
16863317.693795402,95.022040401,127.0.0.1:55590,49611,1287734,28
16863317.693795402,95.022040401,127.0.0.1:53546,42238,1251966,28
16863317.718991298,95.047236297,127.0.0.1:55590,49649,1290012,28
16863317.718991298,95.047236297,127.0.0.1:53546,42360,1254252,28
