monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16863315.525157001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4025120,4025120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.566261102,0.967606902,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,600,3320,4030944,4030944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.575524699,0.967606902,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,600,3320,4030944,4030944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.595681001,1.853201538,0.000000000,0.000000000,0.000000000,0.000000000,52,0,0,0,0,0,0,0,1200,6634,4036832,4036832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.620982300,1.853201538,0.000000000,0.000000000,0.000000000,0.000000000,52,0,0,0,0,0,0,0,1200,6634,4036832,4036832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.635575201,2.847798169,0.000000000,0.137500465,0.558800995,0.000000000,78,0,2,1,0,0,0,0,1800,10224,4042784,4042784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.643585701,2.847798169,0.000000000,0.137500465,0.558800995,0.000000000,78,0,2,1,0,0,0,0,1800,10224,4042784,4042784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.666513398,3.917600960,0.000000000,0.137500465,0.558800995,0.000000000,104,0,2,1,0,0,0,0,2400,13748,4048608,4048608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.679553501,3.917600960,0.000000000,0.137500465,0.558800995,0.000000000,104,0,2,1,0,0,0,0,2400,13748,4048608,4048608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.709827501,4.949301481,0.000000000,0.137500465,0.558800995,0.000000000,130,0,2,1,0,0,0,0,3000,17306,4054624,4054624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.723407000,6.328098476,0.000000000,0.250998884,1.166101545,0.000000000,156,0,4,2,0,0,0,0,3600,20964,4060320,4060320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.735818502,6.328098476,0.000000000,0.250998884,1.166101545,0.000000000,156,0,4,2,0,0,0,0,3600,20964,4060320,4060320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.754598599,6.328098476,0.000000000,0.250998884,1.166101545,0.000000000,156,0,4,2,0,0,0,0,3600,20964,4060320,4060320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.769055899,7.390692830,0.000000000,0.250998884,1.166101545,0.000000000,182,0,4,2,0,0,0,0,4200,24580,4066208,4066208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.787574600,8.263975382,0.000000000,0.250998884,1.166101545,0.000000000,208,0,4,2,0,0,0,0,4800,28142,4072224,4072224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.809676901,8.263975382,0.000000000,0.250998884,1.166101545,0.000000000,208,0,4,2,0,0,0,0,4800,28142,4072224,4072224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.823010199,9.243063629,0.000000000,0.326897949,1.820299774,0.000000000,234,0,5,3,0,0,0,0,5400,31857,4078112,4078112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.836292598,9.243063629,0.000000000,0.396795571,1.820299774,0.000000000,234,0,6,3,0,0,0,0,5400,31857,4078112,4078112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.856538601,10.248564184,0.000000000,0.396795571,1.820299774,0.000000000,260,0,6,3,0,0,0,0,6000,35481,4083936,4083936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.870280899,10.248564184,0.000000000,0.396795571,1.820299774,0.000000000,260,0,6,3,0,0,0,0,6000,35481,4083936,4083936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.889710400,11.301163584,0.000000000,0.396795571,1.820299774,0.000000000,286,0,6,3,0,0,0,0,6600,39125,4089888,4089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.914109699,11.301163584,0.000000000,0.396795571,1.820299774,0.000000000,286,0,6,3,0,0,0,0,6600,39125,4089888,4089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.929881800,12.225467712,0.000000000,0.467393547,2.418998629,0.000000000,312,0,7,4,0,0,0,0,7200,43026,4096032,4096032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.938966598,12.225467712,0.000000000,0.534694642,2.418998629,0.000000000,312,0,8,4,0,0,0,0,7200,43026,4096032,4096032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.958670702,13.225473464,0.000000000,0.534694642,2.418998629,0.000000000,338,0,8,4,0,0,0,0,7800,46740,4101728,4101728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.970789999,13.225473464,0.000000000,0.534694642,2.418998629,0.000000000,338,0,8,4,0,0,0,0,7800,46740,4101728,4101728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863315.993986301,13.225473464,0.000000000,0.534694642,2.418998629,0.000000000,338,0,8,4,0,0,0,0,7800,46740,4101728,4101728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863316.014544301,14.070469886,0.000000000,0.534694642,2.418998629,0.000000000,364,0,8,4,0,0,0,0,8400,50594,4107680,4107680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863316.029429700,15.021178871,0.000000000,0.663693994,3.049299121,0.000000000,390,0,10,5,0,0,0,0,9000,54398,4112672,4112672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863316.039686900,15.021178871,0.000000000,0.663693994,3.049299121,0.000000000,390,0,10,5,0,0,0,0,9000,54398,4112672,4112672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863316.060257401,16.053993255,0.000000000,0.663693994,3.049299121,0.000000000,416,0,10,5,0,0,0,0,9600,58254,4118432,4118432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
