"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.000789","52371.0322113","server","37968","0","5514.69140625","6270.09765625"
"0.000789","52371.0322113","client1","33928","0","38.8359375","23.859375"
"1.0552948","52372.085313","server","37968","0.19262577787623358","5515.0078125","6270.09765625"
"1.0552948","52372.085313","client1","33928","1.5410062230098687","486.765625","520.07421875"
"2.0834519","52373.1134631","server","37968","0","5515.1953125","6270.09765625"
"2.0834519","52373.1134631","client1","33928","0.6686721319144711","601.79296875","553.3359375"
"3.1078989","52374.1379026","server","37968","0.19827770494715682","5515.33203125","6270.09765625"
"3.1078989","52374.1379026","client1","33928","0.9608842624362216","610.5859375","566.37890625"
"4.1351776","52375.1651806","server","37968","0.07605044278636361","5515.71875","6270.09765625"
"4.1351776","52375.1651806","client1","33928","0.8213447820927271","764.43359375","750.62890625"
"5.161051","52376.1910642","server","37968","0","5515.90625","6270.09765625"
"5.161051","52376.1910642","client1","33928","0.39600402934709095","951.65625","1061.0703125"
"6.1863068","52377.216319","server","37968","0.24384158568037362","5516.09375","6270.09765625"
"6.1863068","52377.216319","client1","33928","0","951.66015625","1061.0703125"
"7.2151288","52378.245139","server","37968","0.13668545190518866","5516.34375","6270.09765625"
"7.2151288","52378.245139","client1","33928","0.13668545190518866","998.6953125","1103.00390625"
"8.2564987","52379.2865113","server","37968","0","5516.53125","6270.09765625"
"8.2564987","52379.2865113","client1","33928","4.411256749402877","1065.13671875","1178.37890625"
"9.2894148","52380.3194245","server","37968","0.3176685889589677","5516.125","6270.09765625"
"9.2894148","52380.3194245","client1","33928","1.1647848261828817","1631.8359375","1900.2265625"
"10.3167504","52381.3467642","server","37968","0.16730170744594075","5516.32421875","6270.09765625"
"10.3167504","52381.3467642","client1","33928","0.9277640140183987","1747.078125","2019.30859375"
"11.3443714","52382.3743865","server","37968","0.13684519876491433","5516.44921875","6270.09765625"
"11.3443714","52382.3743865","client1","33928","1.6877574514339433","2007.515625","2231.37890625"
"12.3715053","52383.4015139","server","37968","0.10648562957565709","5516.63671875","6270.09765625"
"12.3715053","52383.4015139","client1","33928","3.7422092679445202","2418.41796875","2693.73046875"
"13.4045278","52384.4345909","server","37968","0.10587862316648476","5516.82421875","6270.09765625"
"13.4045278","52384.4345909","client1","33928","1.93606625218715","2508.34765625","2795.4296875"
"14.4299578","52385.4599744","server","37968","0.12190008094165374","5516.96875","6270.09765625"
"14.4299578","52385.4599744","client1","33928","1.4475634611821382","2755.35546875","3058.41796875"
"15.4562581","52386.4862703","server","37968","0.12179670998829485","5517.66015625","6270.09765625"
"15.4562581","52386.4862703","client1","33928","1.0961703898946538","2808.98828125","3115.22265625"
"16.4939451","52387.5239543","server","37968","0.24092043169086633","5517.7890625","6270.09765625"
"16.4939451","52387.5239543","client1","33928","1.3250623742997647","3039.84375","3400.46875"
"17.520042","52388.5500662","server","37968","0.07613803335727844","5517.9765625","6270.09765625"
"17.520042","52388.5500662","client1","33928","3.015066120948226","2886.13671875","3200.15234375"
"18.5504499","52389.5804593","server","37968","0.10614728400277211","5518.1640625","6270.09765625"
"18.5504499","52389.5804593","client1","33928","1.8954872143352164","3297.36328125","3629.36328125"
"19.5799546","52390.6099732","server","37968","0.060708804923377234","5518.3671875","6270.09765625"
"19.5799546","52390.6099732","client1","33928","1.8516185501630056","3970.8671875","4557.26171875"
"20.6096299","52391.6396345","server","37968","0.09104811973250207","5518.5546875","6270.09765625"
"20.6096299","52391.6396345","client1","33928","1.1684508699004432","4464.78125","5420.26171875"
"21.6435048","52392.6735321","server","37968","0.16624351747005367","5519.61328125","6269.984375"
"21.6435048","52392.6735321","client1","33928","2.251844009367091","4688.96484375","7628.5546875"
"22.707506","52393.7375283","server","37968","0.1615364719513474","5518.0234375","6269.984375"
"22.707506","52393.7375283","client1","33928","5.183852236256876","5096.8515625","9539.75"
"23.7302554","52394.7602731","server","37968","0.2749940503509462","5516.4296875","6269.984375"
"23.7302554","52394.7602731","client1","33928","4.109633308022474","4894.68359375","9358.84375"
"24.7545242","52395.7845466","server","37968","0.1067834927706477","5515.03515625","6269.984375"
"24.7545242","52395.7845466","client1","33928","4.759492820634583","4736.09765625","9193.875"
"25.7954805","52396.8255071","server","37968","0.3152149614734067","5518.046875","6269.984375"
"25.7954805","52396.8255071","client1","33928","5.073459856095784","4745.42578125","9198.62890625"
"26.82266","52397.8527114","server","37968","0.31944270694654636","5519.90234375","6269.984375"
"26.82266","52397.8527114","client1","33928","4.6851597018826805","4896.578125","9471.96875"
"27.8480543","52398.8780707","server","37968","0.4114270968738562","5518.67578125","6269.734375"
"27.8480543","52398.8780707","client1","33928","5.165695771860639","3175.35546875","10547.80078125"
"28.9140938","52399.9441236","server","37968","0.6595674925741495","5516.76171875","6269.609375"
"28.9140938","52399.9441236","client1","33928","4.0453472877881165","2090.109375","11734.23828125"
"29.9486228","52400.978649","server","37968","1.1629688486257996","5519.46875","6274.37109375"
"29.9486228","52400.978649","client1","33928","4.047735732879407","2112.0078125","11734.63671875"
"30.99986","52402.0298839","server","37968","1.0850310472270197","5521.15625","6275.99609375"
"30.99986","52402.0298839","client1","33928","4.919798310029363","2142.4375","11737.03515625"
"32.0355415","52403.0655603","server","37968","0.9957211748978814","5521.28515625","6275.99609375"
"32.0355415","52403.0655603","client1","33928","4.209184966613771","2145.5625","11698.40625"
"33.0700152","52404.1000289","server","37968","0.9968837293785237","5521.3046875","6275.99609375"
"33.0700152","52404.1000289","client1","33928","4.2443079993237145","2153.03515625","11694.58203125"
"34.1061752","52405.1361916","server","37968","0.9349424799258802","5521.90625","6275.99609375"
"34.1061752","52405.1361916","client1","33928","4.011204833230389","2158.6015625","11657.48828125"
"35.1456987","52406.1757142","server","37968","1.0221029154223065","5522.15625","6275.99609375"
"35.1456987","52406.1757142","client1","33928","4.358968315771601","2081.62109375","11577.72265625"
"36.1975077","52407.2275205","server","37968","0.965598316804667","5522.34375","6275.99609375"
"36.1975077","52407.2275205","client1","33928","4.29319867010075","2024.94921875","11514.27734375"
"37.2369487","52408.2669694","server","37968","0.9921198028555733","5522.53125","6275.99609375"
