seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.694317,694.31670,4,16.98930,4.07300,1200,1200,1200,0,0,1208,6820,0.000
1.293304,598.98710,4,16.39230,4.06120,1200,1200,1200,0,0,1208,6820,0.000
1.844480,551.17580,4,17.32420,4.11320,1200,1200,1200,0,0,1466,6819,0.000
2.329923,485.44340,4,17.88120,4.15940,1200,1200,1200,0,0,1466,6819,0.000
2.747643,417.72010,4,24.51140,6.45550,1200,1200,1200,0,0,1466,6819,0.000
3.221391,473.74770,4,17.40130,4.16650,1200,1200,1200,0,0,1395,11907,0.000
3.653129,431.73810,4,20.19160,4.88330,1200,1200,1200,0,0,1395,11907,0.000
4.235639,582.51000,4,18.80380,4.21720,1200,1200,1200,0,0,1395,11907,0.000
4.796484,560.84520,4,17.02320,4.10350,1200,1200,1200,0,0,1347,7268,0.000
5.430079,633.59480,4,16.91560,4.10400,1200,1200,1200,0,0,1347,7268,0.000
6.083496,653.41730,4,17.16490,4.22400,1200,1200,1200,0,0,1216,6172,0.000
6.673615,590.11860,4,17.29370,4.06030,1200,1200,1200,0,0,1216,6172,0.000
7.233263,559.64790,4,24.33110,5.45500,1200,1200,1200,0,0,1396,7366,0.000
7.698867,465.60440,4,15.97900,3.77110,1200,1200,1200,0,0,1396,7366,0.000
8.140780,441.91250,4,15.86530,3.87620,1200,1200,1200,0,0,1396,7366,0.000
8.613492,472.71220,4,23.04130,4.73280,1200,1200,1200,0,0,1461,8351,0.000
9.065936,452.44430,4,16.86010,3.81310,1200,1200,1200,0,0,1461,8351,0.000
9.616374,550.43830,4,20.89130,5.07270,1200,1200,1200,0,0,1225,9502,0.000
10.168973,552.59820,4,16.31010,3.83890,1200,1200,1200,0,0,1225,9502,0.000
10.807672,638.69950,4,16.42530,3.75260,1200,1200,1200,0,0,1212,7749,0.000
11.503738,696.06580,4,17.61750,3.89460,1200,1200,1200,0,0,1212,7749,0.000
12.119000,615.26250,4,15.52340,3.50910,1200,1200,1200,0,0,1387,5547,0.000
12.712637,593.63670,4,22.44090,4.51170,1200,1200,1200,0,0,1387,5547,0.000
13.232384,519.74650,4,25.00680,4.87300,1200,1200,1200,0,0,1405,8647,0.000
13.674855,442.47100,4,22.98200,4.41500,1200,1200,1200,0,0,1405,8647,0.000
14.137535,462.68000,4,21.12240,3.56760,1200,1200,1200,0,0,1405,8647,0.000
14.630336,492.80170,4,30.22310,6.57980,1200,1200,1200,0,0,1311,8052,0.000
15.192388,562.05140,4,19.62990,3.67710,1200,1200,1200,0,0,1311,8052,0.000
15.688757,496.36930,4,24.26730,3.91680,1200,1200,1200,0,0,1400,7545,0.000
16.365303,676.54580,4,23.88860,3.59340,1200,1200,1200,0,0,1400,7545,0.000
17.009790,644.48710,4,20.56590,3.55710,1200,1200,1199,0,0,1122,6547,0.000
17.628369,618.57940,4,20.34390,4.64620,1200,1200,1200,0,0,1122,6547,0.000
18.235569,607.19940,4,19.92180,3.59680,1200,1200,1199,0,0,1376,6967,0.000
18.703029,467.46040,4,24.72440,4.21400,1200,1200,1199,0,0,1376,6967,0.000
19.183574,480.54490,4,25.50650,4.52020,1200,1200,1199,0,0,1376,6967,0.000
19.682699,499.12520,4,19.36430,3.62550,1200,1200,1199,0,0,1411,9467,0.000
20.151826,469.12660,4,19.90030,3.46500,1200,1200,1200,0,0,1411,9467,0.000
20.706876,555.05000,4,21.03610,3.47590,1200,1200,1197,0,0,1292,8005,0.000
21.219369,512.49280,4,21.20020,3.35170,1200,1200,1199,0,0,1292,8005,0.000
21.853886,634.51740,4,21.13270,3.54390,1200,1200,1199,0,0,1259,5873,0.000
22.538017,684.13090,4,19.01990,3.22170,1200,1200,1199,0,0,1259,5873,0.000
23.225369,687.35170,4,17.66370,3.17350,1200,1200,1200,0,0,1285,5490,0.000
23.809738,584.36950,4,16.49960,3.08550,1200,1200,1196,0,0,1285,5490,0.000
24.264326,454.58830,4,16.43920,3.01900,1200,1200,1196,0,0,1623,8833,0.000
24.674618,410.29190,4,16.48410,2.98600,1200,1200,1199,0,0,1623,8833,0.000
25.140320,465.70160,4,16.17000,2.91730,1200,1200,1199,0,0,1623,8833,0.000
25.596883,456.56290,4,17.30370,2.96390,1200,1200,1198,0,0,1323,9392,0.000
26.203996,607.11350,4,16.64410,3.03270,1200,1199,1193,1,0,1323,9392,0.000
26.687671,483.67430,4,16.07050,2.91350,1200,1199,1193,1,0,1359,7641,0.000
27.337392,649.72180,4,17.34400,3.05540,1200,1198,1196,2,0,1359,7641,0.000
27.980202,642.81000,4,19.66400,2.80390,1200,1197,1190,1,2,1117,6710,0.000
28.634409,654.20650,4,16.07990,2.80090,1200,1194,1183,1,5,1117,6710,0.000
29.223530,589.12140,4,16.88490,2.70610,1200,1183,1181,2,15,1356,6349,0.000
29.666269,442.73850,4,16.07920,2.70540,1200,1183,1181,2,15,1356,6349,0.000
30.096048,429.77910,4,15.68860,2.68060,1200,1151,1179,2,47,1356,6349,0.000
30.551962,455.91360,4,22.78130,3.93720,1200,1151,1179,2,47,1509,9369,0.000
31.017132,465.17040,4,16.82710,2.90160,1200,1113,1146,4,83,1509,9369,0.000
31.548790,531.65770,4,15.99040,2.70060,1200,1084,1099,8,108,1509,9369,0.000
32.081950,533.16020,4,16.49600,2.66430,1200,1065,1073,9,126,1256,8600,0.000
32.695533,613.58310,4,20.84130,3.71600,1200,1047,1057,6,147,1256,8600,0.000
33.344690,649.15680,4,16.38050,2.68240,1200,1028,1029,11,161,1240,6161,0.000
33.974065,629.37540,4,18.50350,2.82990,1200,1012,1010,13,175,1240,6161,0.000
34.547931,573.86590,4,15.90610,2.55870,1200,998,997,16,186,1333,6799,0.000
35.005914,457.98340,4,14.92630,2.53630,1200,998,997,16,186,1333,6799,0.000
35.459201,453.28640,4,17.55590,2.87100,1200,964,991,20,216,1333,6799,0.000
35.924950,465.74920,4,15.25570,2.56920,1200,964,991,20,216,1456,9341,0.000
36.405869,480.91930,4,14.79770,2.52850,1200,916,956,23,261,1456,9341,0.000
36.880859,474.98990,4,15.13090,2.53610,1200,916,956,23,261,1456,9341,0.000
