Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Tick,55,55.000000,29.999922,0.410474,0.696051,0.545453,0.551820,0.000393,0.000002,0.000010,0.000007,0.000007
Frame,55,55.000000,29.998553,0.410453,0.696027,0.545428,0.551798,0.000156,0.000000,0.000012,0.000003,0.000003
FrameTime,109,109.000000,29.997940,0.000016,0.695994,0.275210,0.407761,0.001772,0.000001,0.000065,0.000016,0.000023
Tick_Engine,55,55.000000,29.965611,0.409975,0.695432,0.544829,0.548379,0.000086,0.000000,0.000003,0.000002,0.000002
GameEngine Tick,55,55.000000,29.965525,0.409974,0.695431,0.544828,0.548377,0.007964,0.000011,0.005966,0.000145,0.000011
UWorld_Tick,55,55.000000,29.954019,0.409888,0.695311,0.544619,0.548275,0.000146,0.000001,0.000006,0.000003,0.000003
FRHIBreadcrumbScope_GameThread_Begin,55,55.000000,29.953873,0.409886,0.695308,0.544616,0.548272,0.000617,0.000002,0.000019,0.000011,0.000011
World Tick Time,55,55.000000,29.952776,0.409871,0.695287,0.544596,0.548255,0.001818,0.000017,0.000085,0.000033,0.000032
Nav Tick Time,55,55.000000,27.347810,0.369024,0.654598,0.497233,0.487292,0.000868,0.000005,0.000063,0.000016,0.000014
Nav Tick: crowd simulation,55,55.000000,27.346546,0.369019,0.654575,0.497210,0.487280,0.007306,0.000004,0.000287,0.000133,0.000130
Step: proximity,55,55.000000,27.272169,0.368862,0.653275,0.495858,0.486649,27.272169,0.368862,0.653275,0.495858,0.486649
Tick Time,218,218.000000,1.308197,0.000007,0.050598,0.006001,0.000007,0.000678,0.000000,0.000012,0.000003,0.000001
ReleaseTickGroup Block,383,383.000000,1.304226,0.000000,0.049909,0.003405,0.000000,0.000053,0.000000,0.000001,0.000000,0.000000
TickCompletionEvents,329,329.000000,1.304173,0.000014,0.049909,0.003964,0.000014,0.000377,0.000000,0.000005,0.000001,0.000001
ProcessUntilTasksComplete,329,329.000000,1.303321,0.000011,0.049901,0.003961,0.000011,0.035381,0.000002,0.001542,0.000108,0.000002
TG_PrePhysics,55,55.000000,1.262715,0.005111,0.049923,0.022958,0.024122,0.000191,0.000003,0.000006,0.000003,0.000003
