seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.024433,24.43310,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,85.172
0.042600,18.16650,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,103.338
0.060284,17.68400,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,121.022
0.084800,24.51620,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,145.538
0.105538,20.73850,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,166.277
0.125487,19.94870,0,0.00000,0.00000,1200,1200,409,0,0,21781,1668,186.225
0.146604,21.11660,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,20.268
0.167608,21.00460,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,20.099
0.190372,22.76420,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,42.863
0.209106,18.73330,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,61.596
0.229782,20.67670,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,82.273
0.247173,17.39050,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,99.663
0.267534,20.36130,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,120.025
0.287775,20.24060,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,140.265
0.309910,22.13520,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,162.401
0.330520,20.61050,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,19.363
0.347855,17.33500,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,16.542
0.372229,24.37320,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,40.915
0.391511,19.28210,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,60.197
0.415492,23.98080,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,84.178
0.435960,20.46880,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,104.647
0.454902,18.94140,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,123.588
0.480149,25.24700,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,148.835
0.495406,15.25750,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,164.092
0.518801,23.39460,0,0.00000,0.00000,1200,1200,409,0,0,19723,1569,187.487
0.536143,17.34210,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,16.224
0.558748,22.60510,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,38.829
0.577761,19.01320,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,57.842
0.595108,17.34660,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,75.189
0.617411,22.30340,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,97.492
0.631812,14.40070,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,111.893
0.655821,24.00870,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,135.902
0.674685,18.86410,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,154.766
0.694044,19.35960,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,174.125
0.712433,18.38850,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,192.514
0.735703,23.26970,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,22.094
0.755351,19.64810,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,18.784
0.778623,23.27250,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,42.056
0.799612,20.98890,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,63.045
0.817041,17.42910,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,80.474
0.839476,22.43480,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,102.909
0.856601,17.12470,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,120.034
0.881557,24.95640,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,144.990
0.899138,17.58110,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,162.571
0.920373,21.23500,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,183.806
0.938989,18.61560,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,202.422
0.960161,21.17180,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,20.356
0.980257,20.09680,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,40.452
0.999907,19.64980,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,60.102
1.024349,24.44220,0,0.00000,0.00000,1200,1200,1000,0,0,19723,1569,84.544
1.040372,16.02220,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,13.859
1.063253,22.88140,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,36.740
1.082294,19.04060,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,55.781
1.104507,22.21370,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,77.995
1.125993,21.48530,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,99.480
1.144256,18.26330,0,0.00000,0.00000,1200,1200,1098,0,0,19723,1569,117.743
1.161966,17.71050,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,135.454
1.185689,23.72250,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,22.951
1.207409,21.71970,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,20.895
1.224772,17.36320,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,38.258
1.248345,23.57320,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,61.831
1.268556,20.21130,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,82.042
1.288250,19.69340,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,101.736
1.307001,18.75130,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,17.677
1.331000,23.99940,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,23.173
1.350940,19.93950,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,43.112
1.368441,17.50070,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,60.613
1.392065,23.62440,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,84.238
1.410381,18.31650,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,102.554
1.430252,19.87040,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,122.424
1.448629,18.37700,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,17.603
1.470590,21.96100,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,21.230
1.493487,22.89750,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,44.128
1.511056,17.56820,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,61.696
1.532563,21.50750,0,0.00000,0.00000,1200,1200,1098,0,0,21331,1535,83.203
1.550441,17.87780,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,101.081
1.574315,23.87440,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,124.955
1.595953,21.63760,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,20.535
1.612361,16.40830,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,36.943
1.633726,21.36480,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,58.308
1.651507,17.78100,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,76.089
1.673749,22.24210,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,98.331
1.694309,20.55960,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,118.891
1.713184,18.87580,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,18.035
1.737356,24.17200,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,42.207
1.757168,19.81160,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,19.115
1.782936,25.76750,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,44.883
1.807063,24.12770,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,69.010
1.826135,19.07160,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,88.082
1.848754,22.61950,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,110.701
1.873151,24.39690,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,23.362
1.892052,18.90040,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,17.687
1.915339,23.28740,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,40.974
1.936344,21.00480,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,61.979
1.957742,21.39830,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,83.377
1.981605,23.86320,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,107.241
1.999991,18.38570,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,125.626
2.022456,22.46500,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,148.091
2.046299,23.84290,0,0.00000,0.00000,1200,1200,1000,0,0,21331,1535,171.934
2.070621,24.32240,0,0.00000,0.00000,1200,1200,1045,0,0,21331,1535,23.421
2.094267,23.64540,0,0.00000,0.00000,1200,1200,1045,0,0,21331,1535,22.597
2.113548,19.28170,0,0.00000,0.00000,1200,1200,1045,0,0,21331,1535,41.879
2.131159,17.61030,0,0.00000,0.00000,1200,1200,1045,0,0,21331,1535,59.489
2.155703,24.54450,0,0.00000,0.00000,1200,1200,1045,0,0,21331,1535,84.033
2.175729,20.02560,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,104.059
2.199649,23.91970,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,127.979
2.220331,20.68200,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,148.661
2.243255,22.92460,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,171.585
2.266259,23.00420,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,194.589
2.287460,21.20080,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,19.904
2.306039,18.57890,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,17.640
2.332320,26.28090,0,0.00000,0.00000,1200,1200,1045,0,0,27951,1580,43.921
