Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,5916,5916.000000,59.513264,0.001669,0.019739,0.010060,0.010065,0.513154,0.000002,0.001680,0.000087,0.000070
SceneRender,5916,5916.000000,58.070700,0.001626,0.019592,0.009816,0.009792,12.389573,0.000002,0.011886,0.002094,0.001923
RenderGraphExecute,11830,11830.000000,46.512916,0.000009,0.017804,0.003932,0.002436,4.355462,0.000001,0.007891,0.000368,0.000081
Scene,5916,5916.000000,41.075397,0.001623,0.014374,0.006943,0.006517,6.141356,0.000005,0.005741,0.001038,0.000932
FEngineLoop::Tick,2958,2958.000000,29.997379,0.003556,0.017595,0.010141,0.009867,0.025245,0.000002,0.000042,0.000009,0.000008
Frame,2958,2958.000000,29.931494,0.003535,0.017574,0.010119,0.009775,0.010743,0.000000,0.000114,0.000004,0.000004
FrameTime,5915,5915.000000,29.872445,0.000106,0.017261,0.005050,0.003225,0.166052,0.000001,0.000272,0.000028,0.000031
Frame Sync Time,2957,2957.000000,13.311358,0.000008,0.010545,0.004502,0.004159,0.036425,0.000006,0.000136,0.000012,0.000012
GameThreadWaitForTask,2949,2949.000000,13.244676,0.000242,0.010509,0.004491,0.004079,0.003813,0.000000,0.000026,0.000001,0.000001
Game thread idle time,2949,2949.000000,13.240862,0.000241,0.010508,0.004490,0.004078,13.239399,0.000241,0.010508,0.004489,0.004078
Tick_Engine,2957,2957.000000,11.963492,0.002288,0.015861,0.004046,0.004070,0.003414,0.000001,0.000041,0.000001,0.000001
GameEngine Tick,2957,2957.000000,11.960079,0.002287,0.015860,0.004045,0.004069,0.170510,0.000042,0.000210,0.000058,0.000056
UWorld_Tick,2957,2957.000000,9.476111,0.001638,0.014898,0.003205,0.003245,0.067375,0.000016,0.000237,0.000023,0.000021
World Tick Time,2957,2957.000000,9.378555,0.001608,0.014864,0.003172,0.003215,0.078000,0.000020,0.000140,0.000026,0.000026
Tick Time,11828,11828.000000,8.006659,0.000003,0.012445,0.000677,0.000254,0.025805,0.000000,0.000093,0.000002,0.000002
