monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16829759.611749101,41.059279401,127.0.0.1:18412,656345,26913,28
16829759.630199701,41.077730000,127.0.0.1:18412,656345,26913,28
16829759.643138301,41.090668600,127.0.0.1:18412,656345,26913,28
16829759.655010201,41.102540500,127.0.0.1:18412,656345,27034,28
16829759.668963701,41.116494000,127.0.0.1:18412,656345,27034,28
16829759.677935701,41.125466000,127.0.0.1:18412,656345,27034,28
16829759.691594802,41.139125101,127.0.0.1:18412,656345,27034,28
16829759.701831300,41.149361599,127.0.0.1:18412,656345,27034,28
16829759.711432200,41.158962499,127.0.0.1:18412,656345,27034,28
16829759.723161001,41.170691300,127.0.0.1:18412,656345,27034,28
16829759.736361001,41.183891300,127.0.0.1:18412,656345,27034,28
16829759.746443901,41.193974201,127.0.0.1:18412,656345,27155,28
16829759.758513100,41.206043400,127.0.0.1:18412,656345,27155,28
16829759.769859899,41.217390198,127.0.0.1:18412,656345,27155,28
16829759.781674702,41.229205001,127.0.0.1:18412,656345,27155,28
16829759.791689299,41.239219598,127.0.0.1:18412,656345,27155,28
16829759.800263800,41.247794099,127.0.0.1:18412,656345,27155,28
16829759.815876301,41.263406601,127.0.0.1:18412,656345,27155,28
16829759.824505400,41.272035699,127.0.0.1:18412,656345,27155,28
16829759.835515801,41.283046100,127.0.0.1:18412,656345,27155,28
16829759.847759798,41.295290098,127.0.0.1:18412,656345,27276,28
16829759.857267201,41.304797500,127.0.0.1:18412,660745,27314,28
16829759.866101500,41.313631799,127.0.0.1:18412,660745,27314,28
16829759.877072200,41.324602500,127.0.0.1:18412,661662,27352,28
16829759.888881501,41.336411800,127.0.0.1:18412,661662,27352,28
16829759.897479702,41.345010001,127.0.0.1:18412,661662,27352,28
16829759.908316601,41.355846900,127.0.0.1:18412,661662,27352,28
16829759.922866300,41.370396599,127.0.0.1:18412,661662,27352,28
16829759.932267599,41.379797898,127.0.0.1:18412,661662,27352,28
16829759.942628101,41.390158400,127.0.0.1:18412,661662,27473,28
16829759.955106001,41.402636301,127.0.0.1:18412,661662,27473,28
16829759.963663701,41.411194000,127.0.0.1:18412,661662,27473,28
16829759.973616298,41.421146598,127.0.0.1:18412,661662,27473,28
16829759.987694599,41.435224898,127.0.0.1:18412,661662,27473,28
16829759.996471401,41.444001701,127.0.0.1:18412,661662,27473,28
