EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,FMsgLogf/FMsgLogfCount,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/Pathfinding,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Exclusive/GameThread/DeleteLinkers,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.082000,0.2272,0.014900,0.1620,0.016500,0.2825,0.1417,0.002100,0.009400,0,0,5.6438,0,0,80230,41257,0,6.5982,446.8181,446.8416,0.001900,0.009600,0.032000,37.0705,0.3059,2.0249,0.019000,0.003400,0.2771,57,0,0,1200,13,6.7916,0.5228,0.033700,0.000800,0.074100,16.6104,16.7129,17.6564,0.002700,0.000800,0.003900,0.022100,0.048700,0.9348,0.004500,0.038100,0.002300,0.001500,0.3773,0.031100,0.000200,0,0,0,0,1,1,13,13,46,2,49,0,3,4,4,0,49,28,0,24,1,0,13,4,0,0,0,0,0,0,0,0.2145,0,46,0,0,0.8294,1.0439,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.5659,541.6562,5529.0195,6274.9141,0,6070.6758,32.8820,0.5000,32.0039,0.001953,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GC,0.073100,0.1924,0.010200,19.9306,0.014400,0.1305,0.095700,0.001900,0.006600,0,0,0,0,0,1759,218,0,0.6127,560.5838,560.6018,0.001600,0.010400,0.036900,1.5173,0.3149,2.1865,0.067200,0.005000,0.3559,57,0,0,1,26,6.9138,0.4171,0.043900,0.001200,0.095300,18.4964,18.7754,19.8067,0.002800,0.000800,0.003900,0.020600,0.077100,0.9272,0.002300,0.028600,0.001200,0.003800,0.4132,0.014400,0.000200,0,0,0,0,1,1,6,6,46,2,49,0,5,8,8,0,19,31,0,31,2,0,6,8,0,0,0,0,0,0,0,0.1948,0,46,0,0,0.8106,1.0054,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.9461,1162.6523,5529.1914,6274.9805,0,6691.8438,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,3.1079,0.1025,21.0798,1,0,0,0,0,0,0,0,0,0
,0.062000,0.2963,0.7310,0.1153,0.016200,0.2205,0.1030,0.002300,0.007000,0,0,0,0,0,95,124,1,0.4036,710.7268,710.7474,0.001100,0.007100,0.037400,36.9746,0.2449,1.3419,0.019300,0.004400,0.2486,57,0,0,1200,13,6.6427,0.5466,0.027900,0.000900,0.091300,17.0958,17.3306,18.2206,0.003100,0.001100,0.004000,0.019600,0.1344,0.9019,0.001200,0.030200,0.001000,0.001500,0.3906,0.011100,0.000200,0,0,0,0,1,1,9,9,46,2,49,0,5,4,4,0,10,19,0,19,1,0,9,4,0,0,0,0,0,0,0,0.1886,0,45,0,0,0.9271,1.1157,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.7915,1078.6953,5529.5664,6275.1719,0,6608.2617,33.0061,0.5625,32.0039,0.000977,0.4387,0,0,0,0,2.0115,0,0,0,0,0,0,0,0,0,0
,0.056100,0.1970,0.008400,0.1302,0.012700,0.1650,0.1114,0.001500,0.006300,0,0,0,0,0,771,1373,0,0.4011,763.4675,763.4842,0.001600,0.008600,0.033100,1.4084,0.2867,1.2865,0.011800,0.004000,0.3776,57,0,0,1,26,7.0908,0.2841,0.034100,0.001100,0.071200,17.7098,18.6982,19.5014,0.002800,0.000600,0.003500,0.017900,0.053000,0.8981,0.004100,0.028600,0.001200,0.001500,0.7817,0.014100,0.000100,0,0,0,0,1,1,9,9,46,2,51,0,3,9,9,0,47,38,0,34,2,0,9,9,0,0,0,0,0,0,0,0.2088,0,45,0,0,0.7726,0.9814,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.9677,862.4453,5529.6328,6275.1719,0,6392.0781,33.0061,0.5625,32.0039,0.000977,0.4387,0,0,4.3774,0,2.0111,0,0.1014,0,0,0,0,0,0,0,0
,0.056600,0.2525,0.008600,0.1082,0.013000,0.1987,0.092400,0.001400,0.005700,0,0,0,0,0,1185,1123,0,0.7036,851.9665,851.9828,0.001400,0.007600,0.1454,31.3363,0.3117,0.2804,0.013600,0.003000,0.4928,57,0,0,1107,13,7.1324,0.3921,0.025800,0.000700,0.082000,16.9698,17.0703,18.0061,0.003000,0.000800,0.004600,0.021200,0.043800,1.0441,0.001600,0.027000,0.001100,0.001600,0.3968,0.010600,0.000100,0,0,0,0,1,1,11,11,46,2,49,0,5,17,17,1,7,1824,0,21,9,0,11,17,0,0,0,0,0,0,0,0.1535,0,13,12.3027,0,1.3895,1.5430,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907.5935,738.5664,5529.9062,6275.1719,0,6268.4727,33.0061,0.5625,32.0039,0.000977,0.4387,0,0,0,0,2.0109,0,0,0,0,0,0,0,0,0,0
,0.057000,0.038200,0.009700,0.1198,0.014200,0.2195,0.1548,0.002100,0.007900,0,0,0,0,0,8211,342,0,0.9157,487.1316,487.1517,0.001700,0.008500,0.042800,1.1382,0.3623,0.3224,0.013600,0.003100,0.1181,57,0,0,0,26,8.6439,0.2578,0.026400,0.001200,0.087500,21.9934,22.3172,23.2914,0.003000,0.000700,0.003300,0.022300,0.070500,0.1421,0.001900,0.034200,0.001400,0.001700,0.4501,0.014300,0.000200,0,0,0,0,1,1,11,11,46,2,49,0,5,1,1,1,0,9,0,9,3,0,11,1,0,0,0,0,0,0,0,0.1376,0,0,0,0,0,0.1376,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.6290,671.7461,5530.1602,6275.4219,0,6201.9062,33.0061,0.5625,32.0039,0.000977,0.4387,0,0,7.2217,0,2.0258,0,0,26,0,0,0,0,0,0,0
,0.060500,0.048100,0.010100,0.1108,0.014200,0.1649,0.088800,0.002200,0.007100,0,0,0,0,0,337,1440,0,0.4090,578.1602,578.1808,0.001600,0.008100,0.037400,39.1027,0.2493,0.2420,0.011300,0.002000,0.1076,57,0,0,1199,13,8.1042,0.3057,0.016600,0.000600,0.063100,17.5200,17.7595,18.6676,0.003100,0.000700,0.004200,0.021700,0.045000,0.1163,0.001600,0.024700,0.001400,0.001200,0.4271,0.009500,0.000200,0,0,0,0,1,1,6,6,46,2,49,0,5,1,1,1,0,8,0,8,3,0,6,1,0,0,0,0,0,0,0,0.1121,0,0,0,0,0,0.1121,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640.4024,1080.8594,5530.4258,6275.4883,0,6611.2852,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,0,0,2.0159,0,0,10,0,0,0,0,0,0,0
,0.061100,0.1072,0.009800,0.1460,0.013200,0.1571,0.065600,0.001400,0.006400,0,0,0,0,0,390,198,0,0.6675,696.7266,696.7450,0.001900,0.010800,0.039600,1.2485,0.3084,0.3440,0.015000,0.003600,0.3023,57,0,0,1,26,8.4437,0.2259,0.016400,0.000600,0.099800,19.6606,20.6479,21.4958,0.003400,0.001000,0.005200,0.023000,0.062200,0.1355,0.001400,0.030900,0.001200,0.001800,0.8960,0.014400,0.000100,0,0,0,0,1,1,8,8,46,2,49,0,5,7,7,1,0,23,0,23,2,0,8,7,0,0,0,0,0,0,0,0.1311,0,0,0,0,0,0.1311,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.7048,990.3281,5530.5625,6275.4883,0,6520.8906,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,6.7932,0,2.0038,0,0.1220,10,0,0,0,0,0,0,0
,0.071500,0.2093,0.011600,0.1216,0.014100,0.2142,0.094100,0.001800,0.007000,0,0,0,0,0,144,800,0,0.6035,783.5404,783.5593,0.001900,0.010600,0.041400,37.1204,0.3034,0.2738,0.012400,0.003200,0.6097,57,0,0,1104,13,8.0076,0.3864,0.015700,0.000700,0.088500,18.9612,19.2712,20.4601,0.003000,0.000600,0.003700,0.021700,0.045700,0.7846,0.001200,0.028000,0.001500,0.002000,0.4728,0.009500,0.000100,0,0,0,0,1,1,9,9,46,2,49,0,5,13,13,1,7,1420,0,20,9,0,9,13,0,0,0,0,0,0,0,0.1392,0,9,8.4053,0,0.9965,1.1357,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.3147,948.9961,5530.7617,6275.4883,0,6479.7578,33.0696,0.6250,32.0039,0.001953,0.4387,0,0,0,0,2.0106,0,0.052200,0,0,0,0,0,0,0,0
,0.061900,0.043500,0.012000,0.1156,0.014200,0.1961,0.1264,0.001700,0.007600,0,0,0,0,0,6315,646,0,0.9997,913.5439,913.5631,0.001600,0.009100,0.040800,1.5831,0.2950,0.2511,0.010500,0.002700,0.1053,58,0,0,0,26,7.0637,0.3524,0.017600,0.000600,0.093300,16.9548,17.1950,18.2316,0.002400,0.000600,0.004400,0.020800,0.063700,0.1211,0.001600,0.030300,0.001000,0.001900,0.4292,0.012900,0.000100,0,0,0,0,1,1,10,10,46,2,49,0,5,1,1,1,0,8,0,8,3,0,10,1,0,0,0,0,0,0,0,0.1169,0,0,0,0,0,0.1169,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,58,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.7808,946.7070,5530.8242,6275.4883,0,6477.5312,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,5.5432,0,2.0855,0,0.059300,26,0.069700,1,0,0,0,0,0
