monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16829759.861918502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1469888,1469888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829760.380619101,0.728506595,0.000000000,0.075202435,30.639000237,0.000000000,13,0,11,1,0,0,0,0,300,2356,1473536,1473536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829761.012530498,1.483097672,0.000000000,0.133298337,30.639000237,0.000000000,39,0,16,1,0,0,0,0,900,7031,1480608,1480608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829761.786358599,1.919895411,0.000000000,0.189695507,62.744501978,0.000000000,52,0,22,2,0,0,0,0,1200,9332,1484160,1484160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829762.581917100,2.647787333,0.000000000,0.257294625,62.744501978,0.000000000,78,0,30,2,0,0,0,0,1800,13988,1491392,1491392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829763.489916202,3.110982478,0.000000000,0.304587185,89.267600328,0.000000000,91,0,38,3,0,0,0,0,2100,16400,1494752,1494752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829764.013473399,3.433581442,0.000000000,0.398788601,89.267600328,0.000000000,117,0,47,3,0,0,0,0,2700,21287,1501824,1501824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829764.653915498,3.634482622,0.000000000,0.445488840,123.269099742,0.000000000,130,0,52,4,0,0,0,0,3000,23659,1505280,1505280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829765.385130499,4.356879741,0.000000000,0.469695777,123.269099742,0.000000000,156,0,59,4,0,0,0,0,3600,28959,1512224,1512224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829766.232924402,5.135882646,0.000000000,0.508196652,153.691701591,0.000000000,169,0,66,5,0,0,0,0,3900,31458,1515712,1515712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829767.176692899,5.403582007,0.000000000,0.572890043,153.691701591,0.000000000,195,0,74,5,0,0,0,304,4196,38470,1522560,1522560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829767.694829199,5.743980408,0.000000000,0.633288175,182.071100920,0.000000000,208,0,84,6,0,0,0,404,4396,41535,1526112,1526112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829768.297820199,6.532091647,0.000000000,0.651288778,182.071100920,0.000000000,234,0,89,6,0,0,0,608,4792,48110,1532992,1532992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829769.067376401,6.978400052,0.000000000,0.683683902,210.548199713,0.000000000,247,0,95,7,0,0,0,608,5092,50468,1536256,1536256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829769.915842500,7.682591677,0.000000000,0.748082995,210.548199713,0.000000000,273,0,103,7,0,0,0,880,5420,57126,1543104,1543104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829770.826405600,8.124999702,0.000000000,0.785376877,238.945297897,0.000000000,286,0,111,8,0,0,0,980,5620,60151,1546656,1546656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829771.349410899,8.842907846,0.000000000,0.844076276,238.945297897,0.000000000,312,0,120,8,0,0,0,1088,6112,65477,1553504,1553504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829771.995536301,9.332712740,0.000000000,0.919274986,265.310097486,0.000000000,325,0,126,9,0,0,0,1088,6412,67790,1556832,1556832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829772.705884699,9.821314365,0.000000000,0.945873559,265.310097486,0.000000000,351,0,132,9,0,0,0,1188,6912,73238,1563808,1563808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829773.542199899,10.304022580,0.000000000,0.994376838,294.059596956,0.000000000,364,0,139,10,0,0,0,1188,7212,75500,1567296,1567296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829774.467060700,10.531522334,0.000000000,1.065775752,294.059596956,0.000000000,390,0,148,10,0,0,0,1260,7740,80902,1574112,1574112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829774.979111701,10.928124189,0.000000000,1.099675894,327.081795782,0.000000000,403,0,157,11,0,0,0,1260,8040,83164,1577504,1577504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829775.563777801,11.645622551,0.000000000,1.116774976,327.081795782,0.000000000,429,0,162,11,0,0,0,1616,8284,90763,1584256,1584256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829776.291987099,12.091927230,0.000000000,1.172974706,358.666095883,0.000000000,442,0,168,12,0,0,0,1616,8584,93016,1587680,1587680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829777.113609102,12.844003737,0.000000000,1.206275076,358.666095883,0.000000000,468,0,175,12,0,0,0,1952,8848,100277,1594560,1594560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829778.103967100,13.287506998,0.000000000,1.269470900,390.578895807,0.000000000,481,0,183,13,0,0,0,2052,9048,103292,1597664,1597664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829778.660069700,13.718016446,0.000000000,1.326270401,390.578895807,0.000000000,507,0,193,13,0,0,0,2192,9508,108915,1604032,1604032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829779.340542201,13.908013701,0.000000000,1.366671175,424.026194960,0.000000000,520,0,199,14,0,0,0,2192,9808,111208,1607328,1607328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829780.082539000,14.768011868,0.000000000,1.399870962,424.026194960,0.000000000,546,0,206,14,0,0,0,2332,10268,117196,1613472,1613472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829780.950781301,15.520010144,0.000000000,1.427974552,457.961697131,0.000000000,559,0,213,15,0,0,0,2332,10568,119617,1616864,1616864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829781.886914399,16.221906990,0.000000000,1.500483602,457.961697131,0.000000000,585,0,222,15,0,0,0,2572,10928,126033,1622624,1622624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829782.462111998,17.037305981,0.000000000,1.534484327,486.569795758,0.000000000,598,0,231,16,0,0,0,2672,11128,129192,1626048,1626048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829783.099197600,17.707504332,0.000000000,1.601990312,486.569795758,0.000000000,624,0,237,16,0,0,0,2772,11628,134873,1631584,1631584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829783.862192500,18.160697073,0.000000000,1.626390964,520.824398845,0.000000000,637,0,243,17,0,0,0,2772,11928,137446,1634336,1634336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829784.710994501,19.026890397,0.000000000,1.690890640,520.824398845,0.000000000,663,0,251,17,0,0,0,2858,12442,143105,1640992,1640992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829785.712508600,19.491676241,0.000000000,1.803692430,548.941899091,0.000000000,676,0,259,18,0,0,0,2858,12742,145744,1643392,1643392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829786.263642099,19.998595119,0.000000000,1.868791878,548.941899091,0.000000000,702,0,269,18,0,0,0,2958,13242,151696,1650272,1650272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829786.974102799,20.410601050,0.000000000,1.920893788,583.690799773,0.000000000,715,0,275,19,0,0,0,2958,13542,154335,1652960,1652960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829787.704600900,20.637810230,0.000000000,1.949593425,583.690799773,0.000000000,741,0,282,19,0,0,0,3014,14086,160164,1658816,1658816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
