Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3294,3294.000000,59.665392,0.011201,0.026652,0.018113,0.018068,0.510166,0.000002,0.005996,0.000155,0.000063
SceneRender,3294,3294.000000,58.159639,0.011154,0.023687,0.017656,0.017610,11.282508,0.000078,0.011495,0.003425,0.002384
RenderGraphExecute,6586,6586.000000,47.744981,0.000026,0.023395,0.007249,0.007226,2.372189,0.000011,0.007186,0.000360,0.000011
Scene,3294,3294.000000,44.352333,0.006943,0.022194,0.013465,0.013413,1.818750,0.000038,0.005239,0.000552,0.000301
DiffuseIndirectAndAO,3294,3294.000000,8.331026,0.000042,0.008375,0.002529,0.002357,0.068565,0.000001,0.001771,0.000021,0.000001
PostProcessing,3293,3293.000000,7.527599,0.000211,0.006623,0.002286,0.002089,0.739759,0.000002,0.002588,0.000225,0.000133
LumenScreenProbeGather,3294,3294.000000,7.158211,0.000040,0.007123,0.002173,0.001936,4.611449,0.000002,0.006589,0.001400,0.000501
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3293,3293.000000,5.408598,0.000205,0.004605,0.001642,0.001538,5.408598,0.000205,0.004605,0.001642,0.001538
PrepareImageBasedVRS,1647,1647.000000,4.434450,0.000981,0.005268,0.002692,0.002626,0.026254,0.000001,0.001400,0.000016,0.000001
ContrastAdaptiveShading,1647,1647.000000,4.408195,0.000975,0.005263,0.002676,0.002578,4.408195,0.000975,0.005263,0.002676,0.002578
RenderDeferredLighting,1647,1647.000000,3.693200,0.000786,0.003892,0.002242,0.002104,0.036164,0.000000,0.001851,0.000022,0.000000
ParallelDraw,6587,6587.000000,3.502692,0.000000,0.003325,0.000532,0.000101,3.502692,0.000000,0.003325,0.000532,0.000101
ShadowDepths,1647,1647.000000,2.603030,0.000739,0.006753,0.001580,0.001529,0.079048,0.000007,0.001732,0.000048,0.000007
Nanite::DrawGeometry,3294,3294.000000,2.508512,0.000172,0.002128,0.000762,0.000804,0.462653,0.000028,0.001895,0.000140,0.000047
BasePass,1647,1647.000000,2.345715,0.000269,0.003746,0.001424,0.001393,0.182990,0.000023,0.001996,0.000111,0.000023
DiffuseIndirectAndAO,3293,3293.000000,2.078030,0.000070,0.002321,0.000631,0.000297,0.530352,0.000000,0.001987,0.000161,0.000060
UpdateRadianceCaches,3294,3294.000000,1.920765,0.000038,0.002151,0.000583,0.000316,1.920765,0.000038,0.002151,0.000583,0.000316
PrePass %s %s,1647,1647.000000,1.764724,0.000116,0.003150,0.001071,0.001096,0.137632,0.000020,0.001860,0.000084,0.000020
RenderVirtualShadowMaps,1647,1647.000000,1.680713,0.000262,0.002156,0.001020,0.000989,0.139403,0.000021,0.001759,0.000085,0.000021
CaptureConvolveSkyEnvMap,3294,3294.000000,1.680185,0.000008,0.003108,0.000510,0.000227,0.027024,0.000000,0.001535,0.000008,0.000000
LumenReflections,1647,1647.000000,1.547678,0.000200,0.002321,0.000940,0.000928,1.547678,0.000200,0.002321,0.000940,0.000928
ComputeVolumetricFog,1646,1646.000000,1.524655,0.000230,0.002227,0.000926,0.000916,0.002207,0.000000,0.000003,0.000001,0.000001
VolumetricFog,1646,1646.000000,1.522448,0.000229,0.002225,0.000925,0.000915,0.060972,0.000002,0.001618,0.000037,0.000002
FXSystemPreRender,3294,3294.000000,1.513145,0.000000,0.002343,0.000459,0.000118,1.513022,0.000000,0.002343,0.000459,0.000118
Lights,1647,1647.000000,1.255936,0.000155,0.002073,0.000763,0.000833,0.000166,0.000000,0.000002,0.000000,0.000000
DirectLighting,1647,1647.000000,1.255770,0.000155,0.002073,0.000762,0.000833,0.161843,0.000023,0.001857,0.000098,0.000023
LumenSceneLighting%s,1647,1647.000000,1.149800,0.000161,0.002075,0.000698,0.000451,0.103646,0.000010,0.001652,0.000063,0.000010
TranslucencyVolumeLighting,1647,1647.000000,1.104250,0.000128,0.002105,0.000670,0.000767,1.104250,0.000128,0.002105,0.000670,0.000767
UnbatchedLights,1647,1647.000000,1.093927,0.000131,0.002012,0.000664,0.000264,0.000346,0.000000,0.000003,0.000000,0.000000
