EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,FMsgLogf/FMsgLogfCount,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Exclusive/AllWorkers/MassProcessorTask,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush
,0.064800,0.1760,0.010700,0.1550,0.015600,0.2708,0.1357,0.001700,0.006500,0,0,5.7593,0,0,80292,41321,0,2.8446,1368.8884,1368.9069,0.002200,0.012200,0.040600,38.5758,0.3452,1.9154,0.022000,0.004300,0.2154,0.3010,0.030000,0.001100,0.084400,17.9527,57,0,0,1200,13,0,0,0,0,6.9285,18.0636,19.0877,0.002900,0.000900,0.004800,0.024000,0.1320,0.8055,0.001900,0.026600,0.002200,0.001300,0.3553,0.025700,0.000100,1,1,18,18,46,2,49,0,5,4,4,0,15,28,0,28,1,0,18,4,0,0,0,0,0,0,0,0.1857,0,46,0,0,0.7059,0.8916,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438.3224,1407.9727,5553.7266,6307.3828,0,6961.6992,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0
,0.056400,0.1992,0.009800,0.1056,0.012100,0.2258,0.1588,0.002700,0.008000,0,0,0,0,0,627,132,0,0.3743,454.9358,454.9572,0.001500,0.008100,0.033400,1.2586,0.2719,2.1589,0.022400,0.004700,0.3292,0.5398,0.035800,0.001100,0.090500,17.1423,57,0,0,0,26,0,0,0,0,6.7516,17.4158,18.3628,0.002600,0.000400,0.003900,0.020300,0.042600,0.8502,0.004200,0.019900,0.001100,0.001400,0.1391,0.008300,0.000200,1,1,15,15,46,2,51,0,3,9,9,0,45,44,0,40,2,0,15,9,0,0,0,0,0,0,0,0.1968,0,45,1.0098,0,0.8439,1.0407,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.4571,1415.1094,5553.8555,6307.3828,0,6968.9648,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,3.3187,0,0,0,0,0,0,0,0
,0.059500,0.4444,0.009400,0.1075,0.013400,0.1224,0.071800,0.001500,0.005500,0,0,0,0,0,1167,703,0,0.4271,540.8918,540.9078,0.002000,0.009200,0.032900,40.2663,0.3045,2.0798,0.018100,0.005900,0.3470,0.4037,0.035100,0.001100,0.079300,17.9677,57,0,0,1200,13,0,0,0,0,7.1244,18.2500,19.2844,0.003500,0.000800,0.004500,0.020600,0.054000,0.8471,0.001300,0.021900,0.001100,0.001300,0.3842,0.015800,0.000300,1,1,6,6,46,2,49,0,5,5,5,0,19,18,0,18,2,0,6,5,0,0,0,0,0,0,0,0.1902,0,46,1.0176,0,0.9423,1.1325,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.1431,1404.2070,5554.1758,6307.5078,0,6958.3828,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0
,0.084700,0.1847,0.011300,0.1497,0.017600,0.1779,0.1240,0.002100,0.009800,0,0,0,0,0,1206,886,0,0.3904,673.7171,673.7420,0.002700,0.012200,0.039200,1.4221,0.3207,1.2055,0.019400,0.004800,0.3502,0.4635,0.035500,0.000500,0.080600,18.3701,57,0,0,1,26,0,0,0,0,7.2270,19.3625,20.2454,0.016300,0.001000,0.004400,0.023000,0.1355,0.8010,0.001600,0.026800,0.001200,0.001800,0.7804,0.010400,0.000100,1,1,8,8,46,2,49,0,5,8,8,0,13,32,0,32,2,0,8,8,0,0,0,0,0,0,0,0.1727,0,45,0,0,0.6952,0.8679,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705.3351,1213.9922,5554.1758,6307.5078,0,6768.1680,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,4.4948,0.1066,0,0,0,0,0,0,0
GC,0.060600,0.1629,0.009100,16.0020,0.013800,0.1544,0.089100,0.001300,0.005800,0,0,0,0,0,4255,1322,0,0.7475,800.8288,800.8460,0.002400,0.012900,0.035900,35.4288,0.2926,0.2763,0.011900,0.003100,0.3763,0.3811,0.036300,0.000900,0.087700,17.0360,57,0,0,1106,13,0,0,0,0,7.8181,17.1337,18.0756,0.002800,0.000400,0.004200,0.018500,0.059000,0.7634,0.001600,0.028100,0.001300,0.001600,0.3839,0.012200,0.000200,1,1,8,8,46,2,49,0,3,11,11,1,2,720,0,20,2,0,8,11,0,0,0,0,0,0,0,0.1298,0,11,6.3652,0,0.9320,1.0618,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894.4981,1098.4453,5554.5195,6307.5078,0,6652.9648,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,0,0,0.1286,20.5011,1,0,0,0,0
,0.071000,0.081500,0.6530,0.1225,0.014900,0.2224,0.1296,0.002400,0.007300,0,0,0,0,0,271,173,1,0.4288,884.3392,884.3608,0.001000,0.007600,0.035400,1.2985,0.2502,0.2452,0.011200,0.003000,0.2815,0.3993,0.027700,0.001200,0.080500,20.1689,57,0,0,0,26,0,0,0,0,7.6071,20.5980,21.5699,0.002800,0.000800,0.004200,0.023400,0.049900,0.1275,0.002100,0.032000,0.001200,0.002100,0.4536,0.010900,0.000100,1,1,11,11,46,2,47,0,3,5,5,1,0,24,0,24,1,0,11,5,0,0,0,0,0,0,0,0.1231,0,0,0,0,0,0.1231,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919.1124,1145.7500,5554.5820,6307.5078,0,6700.3320,33.0686,0.6250,32.0039,0.000977,0.4387,0,0,6.1627,0,0,2.0112,0,11,0,0,0
,0.066500,0.1793,0.008800,0.1117,0.014600,0.1765,0.098900,0.002000,0.007000,0,0,0,0,0,208,664,0,0.4293,455.0107,455.0288,0.001500,0.009800,0.038900,37.1631,0.2872,0.2521,0.012200,0.003000,0.2429,0.3386,0.033600,0.000800,0.1227,18.0919,57,0,0,1200,13,0,0,0,0,7.1065,18.3847,19.3671,0.002400,0.000800,0.003500,0.018200,0.063200,1.0311,0.005000,0.034500,0.001200,0.001900,0.5681,0.012800,0.000200,1,1,10,10,46,2,49,0,3,4,4,0,50,32,0,22,2,0,10,4,0,0,0,0,0,0,0,0.2073,0,46,0,0,0.9218,1.1291,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.5230,1517.3789,5554.8984,6307.5742,0,7072.2773,33.1311,0.6875,32.0039,0.000977,0.4387,0,0,0,0,0,2.0186,0,0,0,0,0
,0.073600,0.1095,0.010800,0.1501,0.015400,0.1450,0.1129,0.002300,0.007500,0,0,0,0,0,1348,880,0,0.5561,558.7898,558.8120,0.002000,0.009200,0.040700,1.4444,0.3321,0.2733,0.013400,0.003000,0.3580,0.4001,0.017200,0.000800,0.083800,18.3880,57,0,0,1,26,0,0,0,0,7.0632,19.2975,20.1283,0.002800,0.000700,0.004300,0.020300,0.046800,0.1158,0.001500,0.036900,0.001400,0.002100,0.8571,0.010200,0.000100,1,1,6,6,46,2,49,0,5,9,9,1,0,30,0,30,2,0,6,9,0,0,0,0,0,0,0,0.1109,0,0,0,0,0,0.1109,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.3181,1407.2734,5554.9609,6307.5742,0,6962.2344,33.1311,0.6875,32.0039,0.000977,0.4387,0,0,5.1400,0.1081,0,2.0135,0,2,0,0,0
,0.061900,0.2011,0.010400,0.1101,0.013600,0.1592,0.1078,0.001800,0.007000,0,0,0,0,0,481,1279,0,0.8245,674.3418,674.3600,0.001800,0.008100,0.036200,31.7111,0.2792,0.2510,0.011300,0.002800,0.3364,0.3885,0.015900,0.001500,0.083100,16.7274,57,0,0,1105,13,0,0,0,0,7.7663,16.9448,17.8195,0.002500,0.000600,0.003200,0.017100,0.075000,0.6382,0.001800,0.027500,0.001100,0.001600,0.4110,0.015000,0.000200,1,1,7,7,46,2,49,0,5,8,8,1,7,319,0,19,2,0,7,8,0,0,0,0,0,0,0,0.1279,0,9,2.2773,0,0.7125,0.8404,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.4400,1421.3438,5555.2266,6307.5742,0,6976.5703,33.1311,0.6875,32.0039,0.000977,0.4387,0,0,0,0.052100,0,2.0219,0,0,0,0,0
,0.068100,0.086200,0.009300,0.1283,0.017500,0.1538,0.068200,0.001800,0.006500,0,0,0,0,0,1520,140,0,0.4482,553.6887,553.7065,0.002100,0.011000,0.045600,1.5371,0.5192,0.2623,0.014600,0.003400,0.2655,0.3591,0.016700,0.001000,0.074400,28.8850,58,0,0,0,26,0,0,0,0,8.7529,29.1059,30.0262,0.002800,0.001100,0.004300,0.023100,0.051800,0.1202,0.001700,0.032000,0.002100,0.003200,0.4390,0.013200,0.000300,1,1,9,9,46,2,49,0,5,5,5,1,0,23,0,23,2,0,9,5,0,0,0,0,0,0,0,0.1148,0,0,0,0,0,0.1148,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,58,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.0819,1480.4961,5555.3008,6307.5742,0,7035.7969,33.1311,0.6875,32.0039,0.000977,0.4387,0,0,6.6911,0.060900,0,2.0206,0,10,1,0,0
