monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16829893.099610601,78.769781902,127.0.0.1:49756,25781,674378,28
16829894.540207900,80.210379202,127.0.0.1:49756,27710,677142,28
16829895.023895901,80.694067203,127.0.0.1:49756,29442,682653,28
16829895.629779700,81.299951002,127.0.0.1:49756,30085,685427,28
16829896.334743202,82.004914504,127.0.0.1:49756,30887,690712,28
16829897.229604501,82.899775803,127.0.0.1:49756,31772,699067,28
16829898.148693401,83.818864703,127.0.0.1:49756,32937,702396,28
16829898.666064601,84.336235903,127.0.0.1:49756,34064,705498,28
16829899.257103100,84.927274402,127.0.0.1:49756,34790,710670,28
16829899.986982301,85.657153603,127.0.0.1:49756,35554,715566,28
16829900.584052000,86.254223302,127.0.0.1:49756,36477,718946,28
16829900.682678901,86.352850202,127.0.0.1:49756,37241,721874,28
16829900.730700701,86.400872003,127.0.0.1:49756,37438,727190,28
16829900.821320899,86.491492201,127.0.0.1:49756,37476,730064,28
16829900.903732698,86.573904000,127.0.0.1:49756,37635,735578,28
16829900.981376000,86.651547302,127.0.0.1:49756,37832,737785,28
16829901.060001601,86.730172902,127.0.0.1:49756,38029,742390,28
16829901.116425801,86.786597103,127.0.0.1:49756,38188,744338,28
16829901.179040100,86.849211402,127.0.0.1:49756,38264,749947,28
16829901.246978901,86.917150203,127.0.0.1:49756,38461,752244,28
16829901.327339102,86.997510403,127.0.0.1:49756,38658,756611,28
16829901.424595900,87.094767202,127.0.0.1:49756,38734,760940,28
16829901.539799299,87.209970601,127.0.0.1:49756,38893,763469,28
16829901.655284300,87.325455602,127.0.0.1:49756,39090,767814,28
16829901.794509400,87.464680701,127.0.0.1:49756,39332,772263,28
16829901.964385498,87.634556800,127.0.0.1:49756,39529,776639,28
16829902.127124500,87.797295801,127.0.0.1:49756,39847,779318,28
16829902.297447301,87.967618603,127.0.0.1:49756,40044,784149,28
16829902.543707602,88.213878904,127.0.0.1:49756,40362,786521,28
16829902.729261398,88.399432700,127.0.0.1:49756,40642,791657,28
16829902.935818400,88.605989702,127.0.0.1:49756,40960,794045,28
16829903.134505499,88.804676801,127.0.0.1:49756,41278,798800,28
16829903.253885102,88.924056403,127.0.0.1:49756,41558,801488,28
16829903.350833599,89.021004900,127.0.0.1:49756,41800,809770,28
16829903.480783701,89.150955003,127.0.0.1:49756,41959,814422,28
16829903.616306100,89.286477402,127.0.0.1:49756,42156,818355,28
16829903.761967499,89.432138801,127.0.0.1:49756,42353,820767,28
16829903.919452500,89.589623801,127.0.0.1:49756,42671,825083,28
16829904.095596399,89.765767701,127.0.0.1:49756,42906,829997,28
16829904.254730601,89.924901903,127.0.0.1:49756,43224,834869,28
16829904.447732098,90.117903400,127.0.0.1:49756,43542,837524,28
16829904.636385899,90.306557201,127.0.0.1:49756,43822,842687,28
16829904.846987899,90.517159201,127.0.0.1:49756,44019,845237,28
16829905.052928399,90.723099701,127.0.0.1:49756,44299,849985,28
16829905.277005300,90.947176602,127.0.0.1:49756,44738,852507,28
16829905.349744901,91.019916203,127.0.0.1:49756,45056,857720,28
16829905.450932100,91.121103402,127.0.0.1:49756,45253,860216,28
16829905.537059400,91.207230702,127.0.0.1:49756,45450,865083,28
16829905.629130799,91.299302101,127.0.0.1:49756,45526,867621,28
16829905.744522899,91.414694201,127.0.0.1:49756,45685,875806,28
16829905.870404702,91.540576003,127.0.0.1:49756,46003,880275,28
16829905.992682502,91.662853803,127.0.0.1:49756,46200,884387,28
16829906.142631698,91.812803000,127.0.0.1:49756,46397,886714,28
16829906.287026100,91.957197402,127.0.0.1:49756,46715,891443,28
16829906.474953402,92.145124704,127.0.0.1:49756,46912,893847,28
16829906.635691501,92.305862803,127.0.0.1:49756,47230,898628,28
16829906.837237101,92.507408403,127.0.0.1:49756,47427,901443,28
16829907.030518301,92.700689603,127.0.0.1:49756,47707,906126,28
