"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0014203","51746.5851545","server","46936","0","5526.2734375","6269.30078125"
"0.0014203","51746.5851545","client1","43576","0","35.73828125","23.6953125"
"1.059789","51747.6416978","server","46936","0.2066860064928224","5526.58984375","6269.30078125"
"1.059789","51747.6416978","client1","43576","1.4025121869155805","515.3828125","531.5390625"
"2.0884294","51748.6703266","server","46936","0.349368933983149","5526.9140625","6269.30078125"
"2.0884294","51748.6703266","client1","43576","0.5316483778004442","593.72265625","566.38671875"
"3.1188947","51749.7008002","server","46936","0.22744579560320957","5527.53515625","6269.30078125"
"3.1188947","51749.7008002","client1","43576","0.9097831824128383","609.5703125","578.52734375"
"4.1593112","51750.7412056","server","46936","0.27032443257099437","5527.78515625","6269.30078125"
"4.1593112","51750.7412056","client1","43576","0.9461355139984804","695.93359375","689.61328125"
"5.1798919","51751.7617882","server","46936","0.2296486696250478","5528.09765625","6269.30078125"
"5.1798919","51751.7617882","client1","43576","0.765495565416826","959.109375","1080.19921875"
"6.2046403","51752.7865316","server","46936","0.2439623228491989","5528.41015625","6269.30078125"
"6.2046403","51752.7865316","client1","43576","0","959.125","1080.21484375"
"7.2326263","51753.814527","server","46936","0.2887928434823042","5528.63671875","6269.30078125"
"7.2326263","51753.814527","client1","43576","3.3135178883759115","1064.05078125","1181.22265625"
"8.260939","51754.84284","server","46936","0.303895886922334","5528.97265625","6269.30078125"
"8.260939","51754.84284","client1","43576","4.771165424680644","1069.703125","1189.3984375"
"9.2903231","51755.8722583","server","46936","0.30357958705598814","5529.234375","6269.30078125"
"9.2903231","51755.8722583","client1","43576","0.9259177405207639","1551.328125","1742.078125"
"10.3184185","51756.9003231","server","46936","0.41034616048277234","5529.546875","6269.30078125"
"10.3184185","51756.9003231","client1","43576","1.2614344933359298","1664.9921875","1933.37109375"
"11.3450807","51757.9269824","server","46936","0.3043844411530881","5529.796875","6269.30078125"
"11.3450807","51757.9269824","client1","43576","1.1566608763817348","1759.234375","2039.2109375"
"12.374163","51758.9560654","server","46936","0.22775146360985898","5530.11328125","6269.30078125"
"12.374163","51758.9560654","client1","43576","2.095313465210703","2016.6015625","2260.5703125"
"13.4162289","51759.998141","server","46936","0.28489081160797985","5530.32421875","6269.30078125"
"13.4162289","51759.998141","client1","43576","4.768172531123032","2356.52734375","2584.91015625"
"14.4417747","51761.0236864","server","46936","0.25900842263699975","5530.6015625","6269.30078125"
"14.4417747","51761.0236864","client1","43576","0.944618953146705","2456.15234375","2744.984375"
"15.4686021","51762.0505031","server","46936","0.24346837647690353","5530.953125","6269.30078125"
"15.4686021","51762.0505031","client1","43576","2.6933689147757454","2688.33984375","3015.63671875"
"16.4946578","51763.0765647","server","46936","0.27410792610966445","5531.70703125","6269.19140625"
"16.4946578","51763.0765647","client1","43576","1.203029231259083","2795.859375","3132.12109375"
"17.5360612","51764.1180068","server","46936","0.210053087977243","5532.0234375","6269.19140625"
"17.5360612","51764.1180068","client1","43576","1.0052540638910914","2845.21484375","3180.21484375"
"18.5641793","51765.1460748","server","46936","0.2887557373029422","5532.3359375","6269.19140625"
"18.5641793","51765.1460748","client1","43576","2.2036622057329796","3471","3852.9765625"
"19.5819147","51766.1638322","server","46936","0.2763488427345654","5532.6484375","6269.19140625"
"19.5819147","51766.1638322","client1","43576","2.3643178767290594","2925.7109375","3253.91015625"
"20.6121084","51767.19401","server","46936","0.28817396184814564","5532.9609375","6269.19140625"
"20.6121084","51767.19401","client1","43576","2.851405517234283","3410.7578125","3774.46875"
"21.637033","51768.2189435","server","46936","0.3049004775570808","5533.30859375","6269.19140625"
"21.637033","51768.2189435","client1","43576","1.3415621012511554","3936.8359375","4593.046875"
"22.6684606","51769.2503833","server","46936","0.33327593715739234","5533.7578125","6269.19140625"
"22.6684606","51769.2503833","client1","43576","1.1513168738164463","4427.68359375","5392.63671875"
"23.698254","51770.2801958","server","46936","0.3338048194909775","5534.1796875","6269.19140625"
"23.698254","51770.2801958","client1","43576","0.9255497267704377","4481.82421875","5424.69921875"
"24.7256872","51771.3076236","server","46936","0.4562340403249574","5535.61328125","6269.19140625"
"24.7256872","51771.3076236","client1","43576","3.467378706469676","4926.44921875","8298.90234375"
"25.7835269","51772.3654704","server","46936","0.42834939925207954","5536.1171875","6269.19140625"
"25.7835269","51772.3654704","client1","43576","7.5330411592607085","5104.9375","9576.7421875"
"26.81024","51773.3921503","server","46936","0.31958781864183866","5536.72265625","6269.19140625"
"26.81024","51773.3921503","client1","43576","5.067749695606299","4821.57421875","9253.62109375"
"27.840817","51774.4227228","server","46936","0.30322819158587855","5537.265625","6269.19140625"
"27.840817","51774.4227228","client1","43576","5.215524895277111","4714.2109375","9134.390625"
"28.8561163","51775.4380165","server","46936","0.46168651943323513","5499.45703125","6229.56640625"
"28.8561163","51775.4380165","client1","43576","5.617185986437694","4703.30078125","9099.078125"
"29.8800514","51776.4619663","server","46936","0.5951304921571688","5492.70703125","6221.56640625"
"29.8800514","51776.4619663","client1","43576","6.470136632683067","5044.63671875","9866.421875"
"30.9202951","51777.5021964","server","46936","0.9162516437254078","5493.87890625","6221.56640625"
"30.9202951","51777.5021964","client1","43576","4.461094068630264","5846.28125","11477.8125"
"31.9645444","51778.5464669","server","46936","0.7331822008403549","4584.89453125","6523.86328125"
"31.9645444","51778.5464669","client1","43576","4.249464184462465","5568.57421875","11620.23046875"
