monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16826030.383076601,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1589888,1589888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826030.602671899,0.853288919,0.000000000,0.019297004,0.000000000,0.000000000,26,0,2,0,0,0,0,0,600,3962,1596800,1596800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826030.732751101,1.354184002,0.000000000,0.061195344,38.088399917,0.000000000,39,0,4,1,0,0,0,0,900,6009,1600064,1600064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826030.833375100,2.376206219,0.000000000,0.112295151,38.088399917,0.000000000,65,0,5,1,0,0,0,0,1500,10052,1606848,1606848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826030.966088399,2.996802330,0.000000000,0.146795064,71.208301932,0.000000000,78,0,6,2,0,0,0,0,1800,11962,1610240,1610240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826031.096377999,3.919001669,0.000000000,0.200193375,71.208301932,0.000000000,104,0,8,2,0,0,0,0,2400,15727,1616736,1616736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826031.266804699,4.338908941,0.000000000,0.231094658,104.661002755,0.000000000,117,0,9,3,0,0,0,0,2700,17795,1620192,1620192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826031.430372801,4.773311317,0.000000000,0.290893018,104.661002755,0.000000000,143,0,11,3,0,0,0,0,3300,21940,1626848,1626848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826031.631788202,5.260609090,0.000000000,0.321291387,136.729404330,0.000000000,156,0,12,4,0,0,0,0,3600,23871,1629760,1629760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826031.792648099,6.269607693,0.000000000,0.337488949,136.729404330,0.000000000,182,0,14,4,0,0,0,0,4200,28313,1636576,1636576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.003931299,6.839714944,0.000000000,0.377185643,161.965504289,0.000000000,195,0,16,5,0,0,0,0,4500,30343,1639328,1639328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.179406699,7.163029164,0.000000000,0.440683216,161.965504289,0.000000000,221,0,18,5,0,0,0,0,5100,34723,1644960,1644960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.400946401,7.645837963,0.000000000,0.475283712,197.148606181,0.000000000,234,0,20,6,0,0,0,0,5400,36818,1648224,1648224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.576627299,8.466940373,0.000000000,0.491682440,197.148606181,0.000000000,260,0,22,6,0,0,0,0,6000,41366,1653888,1653888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.822255202,9.231347591,0.000000000,0.516783446,233.094103634,0.000000000,273,0,24,7,0,0,0,0,6300,43466,1657248,1657248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826032.927623801,9.927153587,0.000000000,0.571481884,233.094103634,0.000000000,299,0,26,7,0,0,0,0,6900,48022,1662432,1662432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826033.065857399,10.588053614,0.000000000,0.604983419,267.207104713,0.000000000,312,0,27,8,0,0,0,10,7190,50210,1665728,1665728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826033.187650800,11.690866202,0.000000000,0.665284693,267.207104713,0.000000000,338,0,29,8,0,0,0,96,7704,55019,1670816,1670816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826033.347500999,12.240275741,0.000000000,0.683285296,301.340706646,0.000000000,351,0,30,9,0,0,0,96,8004,57139,1673568,1673568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
