"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"3.7E-05","49196.819835","server","24444","0","5530.2734375","6293.46875"
"3.7E-05","49196.819835","client1","39288","0","8.48046875","17.55078125"
"3.7E-05","49196.819835","client2","36308","0","14.96875","22.05078125"
"1.0261887","49197.8460788","server","24444","0.21317510851465724","5530.5859375","6293.46875"
"1.0261887","49197.8460788","client1","39288","0","481.08984375","533.85546875"
"1.0261887","49197.8460788","client2","36308","1.6444936942559272","521.3125","539.0078125"
"2.0611635","49198.8810082","server","24444","0.49820053589710583","5530.91015625","6293.46875"
"2.0611635","49198.8810082","client1","39288","0.9058191561765561","606.12890625","578.9296875"
"2.0611635","49198.8810082","client2","36308","0.8152372405589005","611.63671875","609.57421875"
"3.0837659","49199.9035935","server","24444","0.3819910847070181","5531.5","6293.46875"
"3.0837659","49199.9035935","client1","39288","0.8251007429671591","647.10546875","658.28515625"
"3.0837659","49199.9035935","client2","36308","0.9320582466851242","645.8125","660.68359375"
"4.108511","49200.9283459","server","24444","0.24396310848424646","5531.8046875","6293.46875"
"4.108511","49200.9283459","client1","39288","0.8081277968540663","811.83203125","881.6953125"
"4.108511","49200.9283459","client2","36308","0.869118573975128","776.41796875","897.578125"
"5.1422981","49201.9621417","server","24444","0.2116006284079188","5532.0546875","6293.46875"
"5.1422981","49201.9621417","client1","39288","0.30228661201131257","961.015625","1083.984375"
"5.1422981","49201.9621417","client2","36308","0.3174009426118782","920.10546875","1086.1640625"
"6.163518","49202.9833534","server","24444","0.29070624260259714","5532.4296875","6293.46875"
"6.163518","49202.9833534","client1","39288","0.01530032855803143","961.0234375","1083.984375"
"6.163518","49202.9833534","client2","36308","0","920.10546875","1086.1640625"
"7.1871993","49204.0070416","server","24444","0.22895309311599224","5532.7421875","6293.46875"
"7.1871993","49204.0070416","client1","39288","0.01526353954106615","961.0234375","1083.984375"
"7.1871993","49204.0070416","client2","36308","0","920.10546875","1086.1640625"
"8.2097558","49205.0295947","server","24444","0.2597655973044032","5532.9921875","6293.46875"
"8.2097558","49205.0295947","client1","39288","0.1680836217852021","999.640625","1118.80078125"
"8.2097558","49205.0295947","client2","36308","0","920.140625","1086.1796875"
"9.2422305","49206.0620709","server","24444","0.25727022657310633","5533.3515625","6293.46875"
"9.2422305","49206.0620709","client1","39288","7.233833429526166","1073.09375","1195.98828125"
"9.2422305","49206.0620709","client2","36308","0.15133542739594488","965.1328125","1128.39453125"
"10.2652579","49207.0850962","server","24444","0.2749193227864669","5533.6015625","6293.46875"
"10.2652579","49207.0850962","client1","39288","1.1302238825665862","1525.921875","1707.65234375"
"10.2652579","49207.0850962","client2","36308","6.995169435344548","1032.05859375","1193.328125"
"11.2869565","49208.1068105","server","24444","0.24469055746968824","5533.9140625","6293.46875"
"11.2869565","49208.1068105","client1","39288","1.0552280290880305","1665.51953125","1948.453125"
"11.2869565","49208.1068105","client2","36308","1.2234527873484413","1496.40234375","1705.44921875"
"12.3211285","49209.1409763","server","24444","0.22663057982617976","5534.1640625","6293.46875"
"12.3211285","49209.1409763","client1","39288","1.1784790150961348","1777.98046875","2051.19921875"
"12.3211285","49209.1409763","client2","36308","1.0273919618786815","1629.828125","1938.44140625"
"13.3467167","49210.1665672","server","24444","0.25899771467729443","5534.4765625","6293.46875"
"13.3467167","49210.1665672","client1","39288","1.5539862880637667","2050.0625","2289.7578125"
"13.3467167","49210.1665672","client2","36308","1.264518254012673","1743.78125","2040.20703125"
"14.3714946","49211.1913342","server","24444","0.3201913312143051","5534.7890625","6293.46875"
"14.3714946","49211.1913342","client1","39288","4.177734512034267","2423.3984375","2705.13671875"
"14.3714946","49211.1913342","client2","36308","1.5857094498232251","2005.3203125","2279.98828125"
"15.4058592","49212.2257076","server","24444","0.2719060571098431","5535.046875","6293.46875"
"15.4058592","49212.2257076","client1","39288","1.4350597458575052","2491.97265625","2822.5"
"15.4058592","49212.2257076","client2","36308","4.305179237572515","2389.90625","2701.26171875"
"16.4347453","49213.2545935","server","24444","0.2581675464368699","5535.359375","6293.46875"
"16.4347453","49213.2545935","client1","39288","2.687979748195646","2743.78515625","3062.96875"
"16.4347453","49213.2545935","client2","36308","1.7616138462751125","2462.125","2807.52734375"
"17.4614598","49214.2813019","server","24444","0.18262136163461215","5536.125","6293.36328125"
"17.4614598","49214.2813019","client1","39288","1.2935679782451694","2821.84765625","3153.87109375"
"17.4614598","49214.2813019","client2","36308","2.3436408076441895","2733.0234375","3091.0703125"
"18.5013793","49215.3212245","server","24444","0.27045362645858645","5536.51171875","6293.36328125"
"18.5013793","49215.3212245","client1","39288","1.0217136999546599","2867.69140625","3206.2265625"
"18.5013793","49215.3212245","client2","36308","1.2921673264132463","2787.125","3148.67578125"
"19.5398798","49216.3597275","server","24444","0.37614329506822575","5536.82421875","6293.36328125"
"19.5398798","49216.3597275","client1","39288","6.409481747962567","4165.55078125","4592.74609375"
"19.5398798","49216.3597275","client2","36308","0.993018298980116","2844.30078125","3273.35546875"
"20.5644101","49217.384257","server","24444","0.2897669302703883","5537.1484375","6293.48828125"
"20.5644101","49217.384257","client1","39288","1.0523114836135155","2959.39453125","3283.24609375"
"20.5644101","49217.384257","client2","36308","4.483761973657588","4064.30078125","4571.37890625"
"21.5950694","49218.4149146","server","24444","0.3638447739228667","5537.49609375","6293.48828125"
"21.5950694","49218.4149146","client1","39288","2.9107581913829335","3506.98046875","3887.95703125"
"21.5950694","49218.4149146","client2","36308","1.0460537250282418","2928.359375","3301.9453125"
"22.6168645","49219.4367224","server","24444","0.2599591640241766","5537.95703125","6293.48828125"
"22.6168645","49219.4367224","client1","39288","1.1927538114050458","3995.359375","4663.98828125"
"22.6168645","49219.4367224","client2","36308","3.073634821697618","3436.14453125","3835.3125"
"23.6402354","49220.4601243","server","24444","0.36643605949709923","5538.37109375","6293.48828125"
"23.6402354","49220.4601243","client1","39288","1.1603808550741477","4384.16796875","5308.2421875"
"23.6402354","49220.4601243","client2","36308","1.0840400093455853","3878.83984375","4497.8515625"
"24.6839184","49221.5037643","server","24444","0.3443334805683335","5538.74609375","6293.48828125"
"24.6839184","49221.5037643","client1","39288","0.9880873790221745","4503.21875","5428.4765625"
"24.6839184","49221.5037643","client2","36308","1.1377975879649282","4444.16015625","5424.2109375"
"25.7090472","49222.5289186","server","24444","0.27435576875803314","5540.2578125","6293.48828125"
"25.7090472","49222.5289186","client1","39288","5.517599349467111","5061.9296875","9509.40234375"
"25.7090472","49222.5289186","client2","36308","1.0516971135724602","4501.92578125","5444.25"
"26.7600332","49223.5799191","server","24444","0.4608767386054619","5540.70703125","6293.61328125"
"26.7600332","49223.5799191","client1","39288","3.6870139088436953","5204.63671875","9681.0078125"
"26.7600332","49223.5799191","client2","36308","3.984353740202058","4745.515625","7818.57421875"
"27.82551","49224.645611","server","24444","0.3666199020006818","5541.234375","6293.61328125"
"27.82551","49224.645611","client1","39288","5.8365888398508545","4974.90234375","9407.09375"
"27.82551","49224.645611","client2","36308","13.27164045242468","5053.24609375","8878.43359375"
"28.9015261","49225.7213912","server","24444","0.31946548011688675","5541.734375","6293.61328125"
"28.9015261","49225.7213912","client1","39288","4.879109150876088","4980.97265625","9407.4140625"
"28.9015261","49225.7213912","client2","36308","6.33122496958921","5130.43359375","9734.23046875"
"29.9394448","49226.7594769","server","24444","0.3462458090407273","5544.828125","6293.61328125"
"29.9394448","49226.7594769","client1","39288","4.260328867761993","4992.5","9415.49609375"
"29.9394448","49226.7594769","client2","36308","3.7936497338375346","5229.67578125","9755.79296875"
"30.9811476","49227.8009956","server","24444","0.35998751275315766","5545.69140625","6293.61328125"
"30.9811476","49227.8009956","client1","39288","3.0898928177979363","4754.3203125","9173.890625"
"30.9811476","49227.8009956","client2","36308","3.254887094476467","5040.01171875","9561.02734375"
"32.0052719","49228.8251348","server","24444","0.5034789234080277","5518.41015625","6261.61328125"
"32.0052719","49228.8251348","client1","39288","4.180400757993927","5207.12109375","9890.39453125"
"32.0052719","49228.8251348","client2","36308","3.020873540448166","5045.89453125","9561.84375"
"33.0422545","49229.8621115","server","24444","0.7835232722323403","5520.5859375","6261.61328125"
"33.0422545","49229.8621115","client1","39288","5.002494738098788","6050.984375","11657.04296875"
"33.0422545","49229.8621115","client2","36308","5.288782087568297","4793.8046875","9302.66796875"
"34.1125322","49230.9324046","server","24444","1.0073320223340165","5521.80859375","6261.61328125"
"34.1125322","49230.9324046","client1","39288","3.839540896722411","6093.30078125","11864.89453125"
"34.1125322","49230.9324046","client2","36308","3.6205556744758858","4766.1875","9271.05859375"
"35.1682715","49231.9881338","server","24444","1.0212038142370945","5525.78515625","6266"
"35.1682715","49231.9881338","client1","39288","3.9516147594391913","6081.796875","11849.546875"
"35.1682715","49231.9881338","client2","36308","3.256012161335663","4667.77734375","9169.0625"
"36.2213199","49233.041184","server","24444","1.0534890893903832","5526.5234375","6266"
"36.2213199","49233.041184","client1","39288","3.1901430171680616","6056.3203125","11822.34765625"
"36.2213199","49233.041184","client2","36308","4.3326593535491815","4673.92578125","9169.12890625"
"37.2602759","49234.0801525","server","24444","1.0828177516660955","5527.83984375","6267.5"
"37.2602759","49234.0801525","client1","39288","3.579314234674038","6044.53125","11810.359375"
"37.2602759","49234.0801525","client2","36308","3.5642750992342314","5145.28515625","10037.234375"
"38.3277868","49235.1476565","server","24444","1.0538534079605182","5528.46484375","6267.5"
"38.3277868","49235.1476565","client1","39288","4.273961043395435","6044.8671875","11810.55859375"
"38.3277868","49235.1476565","client2","36308","4.6106086598272675","6086.36328125","11791.875"
"39.3825202","49236.2023889","server","24444","1.0666202473535018","5529.34375","6267.5"
"39.3825202","49236.2023889","client1","39288","3.096161551345582","6044.453125","11810.046875"
"39.3825202","49236.2023889","client2","36308","3.7627992059415205","6110.51171875","11964.53515625"
"40.4396695","49237.2595391","server","24444","1.0494023881016616","5529.8828125","6267.625"
"40.4396695","49237.2595391","client1","39288","3.5916166240662504","5900.5859375","11665.81640625"
"40.4396695","49237.2595391","client2","36308","3.2812300022333645","6111.3515625","11964.89453125"
"41.4958984","49238.3157724","server","24444","1.0207304496212894","5530.3828125","6267.625"
"41.4958984","49238.3157724","client1","39288","3.3580552473048217","5884.97265625","11650.16015625"
"41.4958984","49238.3157724","client2","36308","3.3284688574607264","6111.60546875","11964.89453125"
"42.5484518","49239.3683272","server","24444","1.1727433496485784","5532.1953125","6269.42578125"
"42.5484518","49239.3683272","client1","39288","3.696368279272101","5886.66796875","11650.859375"
"42.5484518","49239.3683272","client2","36308","2.9838153579666358","6112.75","11965.29296875"
"43.6122881","49240.4321598","server","24444","1.0721809361083092","5533.0078125","6269.4921875"
"43.6122881","49240.4321598","client1","39288","3.3781043192453577","5887.2109375","11651.05859375"
"43.6122881","49240.4321598","client2","36308","3.4662287797474107","6105.0859375","11957.46875"
"44.6431696","49241.4630381","server","24444","1.076142117207458","5533.8828125","6269.4921875"
"44.6431696","49241.4630381","client1","39288","3.5467219074161287","5887.46875","11651.109375"
"44.6431696","49241.4630381","client2","36308","4.3651961937429276","6105.25","11957.46875"
"45.6687891","49242.4886728","server","24444","1.0664286316709073","5534.296875","6269.6171875"
"45.6687891","49242.4886728","client1","39288","3.6258573476810847","5888.2578125","11651.2421875"
