EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,Exclusive/AllWorkers/MassProcessorTask,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FMsgLogf/FMsgLogfCount,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/Pathfinding,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush
,0.067200,0.7082,0.012700,0.1561,0.016700,0.1578,0.074900,0.002300,0.007200,0,0,14.7051,0,0,93.3964,93.4177,0.002300,0.012800,0.050600,2.6030,0.2905,64,0,0,11.5312,80050,40020,0,1.8929,0.6861,0.020700,0.006900,0.3143,8.0080,0.3064,0.023500,0.000600,0.076100,5.6898,5.8063,6.0118,0.002200,0.000800,0.005000,0.021800,0.1174,1.0123,0.004600,0.032600,0.002800,0.001600,0.5534,1.0014,0.000300,26,0,0,0,0,2,2,4,4,50,2,100,0,8,3,4,0,38,32,0,28,1,0,8,7,0,0,0,0,0,0,0,0.2143,0,45,1.0049,0,1.0517,1.2660,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124.2684,2693.8398,5532.1211,6269.4258,0,8225.9609,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.069600,0.5599,0.015300,0.1540,0.017400,0.1366,0.1173,0.002600,0.008500,0,0,0,0,0,98.4341,98.4585,0.001800,0.012500,0.060200,2.5539,0.3779,62,0,0,9.0006,1391,143,0,0.4987,0.6641,0.021000,0.008500,0.5207,5.4761,0.3999,0.025300,0.000800,0.083600,5.5989,5.8837,7.0442,0.001800,0.001000,0.005000,0.023200,0.056300,1.0489,0.001800,0.1426,0.001100,0.001800,0.1580,0.011500,0.000200,52,0,0,0,0,2,2,1,2,50,2,100,0,8,7,7,0,28,58,0,54,2,0,3,14,0,0,0,0,0,0,0,0.2151,0,46,0,0,1.1590,1.3741,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.5390,2686.7852,5532.1250,6269.4258,0,8218.9102,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.065900,0.2675,0.009700,0.1139,0.015600,0.1315,0.1025,0.001700,0.006400,0,0,0,0,0,112.3439,112.3622,0.002400,0.014200,0.052200,2.8313,0.4364,64,0,0,13.9395,1732,176,0,0.2651,0.3798,0.018700,0.007700,0.3099,10.7278,0.3492,0.024800,0.000700,0.067300,5.6241,5.8781,6.0909,0.001900,0.000800,0.005000,0.021900,0.058400,1.0764,0.005500,0.024900,0.001300,0.001800,0.1172,0.013800,0.000100,26,0,0,0,0,2,2,2,3,50,2,100,0,8,3,4,0,38,34,0,28,2,0,5,7,0,0,0,0,0,0,0,0.2386,0,45,0.9473,0,1.0694,1.3080,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.9029,2686.2930,5532.1914,6269.4258,0,8218.4844,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.062900,0.3323,0.013500,0.1481,0.015500,0.1379,0.1109,0.002300,0.007700,0,0,0,0,0,115.6104,115.6312,0.002200,0.012500,0.044900,2.1565,0.2862,62,0,0,11.9266,1997,208,0,0.3203,0.3068,0.016900,0.007800,0.4925,9.2719,0.3568,0.030900,0.001200,0.090500,13.4409,14.7953,16.0142,0.002700,0.001000,0.005300,0.022700,0.055300,0.8705,0.002000,0.022300,0.001300,0.001800,0.7746,0.013400,0.000100,52,0,0,0,0,2,2,2,3,50,2,100,0,10,7,7,0,6,56,0,56,2,0,5,14,0,0,0,0,0,0,0,0.2111,0,45,0,0,0.7615,0.9726,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147.6665,2682.1328,5532.1953,6269.4258,0,8214.3281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1107,0,0,0
,0.067800,0.5790,0.011700,0.1367,0.018600,0.1351,0.074500,0.002200,0.006700,0,0,0,0,0,123.9148,123.9346,0.001900,0.010700,0.043000,28.2091,0.2987,64,0,0,12.4394,991,120,0,0.1143,0.3273,0.018600,0.007000,0.8669,0,0.2978,0.020100,0.000900,0.075400,6.3591,6.5019,6.7307,0.002100,0.001100,0.005400,0.024300,0.2362,2.4199,0.002300,0.034200,0.001700,0.002400,0.5099,0.016500,0.000100,26,0,0,0,0,2,2,3,4,50,2,100,0,10,8,10,0,4,1028,0,28,2,0,7,16,0,0,0,0,0,0,0,0.3631,0,45,8.3525,0,2.7648,3.1279,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,165.3893,2674.0430,5532.5078,6269.4922,0,8206.5508,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.073600,0.3484,0.013700,0.1290,0.017900,0.1756,0.1489,0.002800,0.006700,0,0,0,0,0,128.6344,128.6571,0.001900,0.011200,0.039900,1.8414,0.3008,62,0,0,11.7089,6020,1188,0,0.6102,0.2856,0.016400,0.005300,0.5870,9.5125,0.3475,0.016200,0.000700,0.1003,11.4355,11.7163,12.9720,0.002300,0.000800,0.005400,0.024700,0.068100,1.1650,0.001800,0.027600,0.001500,0.002200,0.1289,0.011400,0.000300,52,0,0,0,0,2,2,3,4,48,4,100,0,6,7,8,0,6,56,0,56,3,0,6,15,0,0,0,0,0,0,0,0.2466,0,43,1.0264,0,1.1864,1.4330,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.3177,2671.5938,5532.5078,6269.4922,0,8204.1016,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.057500,0.3726,0.009900,0.1240,0.015300,0.1313,0.070300,0.002900,0.007700,0,0,0,0,0,138.2209,138.2419,0.002600,0.012600,0.049000,30.9375,0.2953,64,0,0,11.3258,1594,558,0,0.2505,0.2629,0.014900,0.006000,0.3464,0,0.3218,0.021000,0.000800,0.075900,5.8073,6.0947,6.3236,0.001800,0.000900,0.004600,0.023000,0.096400,1.3130,0.008300,0.028800,0.001400,0.001800,0.1180,0.013600,0.000200,26,0,0,0,0,2,2,3,4,50,2,100,0,6,4,4,0,70,36,0,28,3,0,7,8,0,0,0,0,0,0,0,0.2726,0,45,0,0,1.2671,1.5397,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,179.5150,2666.3672,5532.7578,6269.4922,0,8199.1250,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.067400,0.4304,0.012100,0.1645,0.016000,0.1227,0.1111,0.002100,0.007000,0,0,0,0,0,147.2230,147.2425,0.002000,0.011200,0.041800,1.8921,0.2788,64,0,0,10.5647,2139,938,0,0.2246,0.2602,0.016200,0.006900,0.4915,8.2347,0.3856,0.023200,0.000700,0.1157,15.2813,16.6693,17.7862,0.006400,0.001400,0.007900,0.030000,0.064800,1.5394,0.001900,0.031000,0.001500,0.001700,1.1737,0.016800,0.000300,52,0,0,0,0,2,2,2,3,50,2,100,0,10,8,8,0,8,58,0,56,2,0,5,16,0,0,0,0,0,0,0,0.3469,0,45,0,0,1.3765,1.7234,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.9703,2653.8633,5532.8203,6269.4922,0,8186.6836,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0.1336,0,0,0
,0.069900,0.4743,0.014300,0.1296,0.017000,0.2036,0.1199,0.002800,0.007800,0,0,0,0,0,154.6723,154.6969,0.001700,0.010800,0.040700,31.4381,0.2614,62,0,0,11.5007,1298,1153,0,0.2077,0.2722,0.020400,0.008100,0.5975,0,0.4005,0.029200,0.000700,0.1009,11.5981,11.8525,12.0961,0.001700,0.000900,0.005200,0.024400,0.060000,1.5632,0.001700,0.024400,0.001500,0.001700,0.1556,0.015000,0.000100,26,0,0,0,0,2,2,3,4,50,2,100,0,10,9,11,1,25,1044,0,30,2,0,7,18,0,0,0,0,0,0,0,0.2030,0,30,9.0410,0,1.9169,2.1199,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,203.1514,2650.4062,5533.0078,6269.4922,0,8183.4141,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.067200,0.3191,0.012600,0.1349,0.016500,0.1615,0.1257,0.003000,0.009700,0,0,0,0,0,170.0100,170.0339,0.001800,0.011100,0.050800,2.7460,0.3639,64,0,0,13.3765,6216,184,0,0.5440,0.3850,0.017700,0.008200,0.5908,9.7838,0.3628,0.021500,0.000900,0.085200,12.2875,12.5438,13.9556,0.002300,0.000800,0.006000,0.028900,0.060900,0.6777,0.002000,0.023500,0.001400,0.001700,0.1370,0.012700,0.000300,52,0,0,0,0,2,2,3,4,50,2,100,0,10,7,8,1,5,52,0,52,2,0,7,15,0,0,0,0,0,0,0,0.1750,0,23.5000,0,0,0.5700,0.7450,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.6156,2648.3438,5533.0703,6269.4922,0,8181.4141,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0.1686,4,0,0
