monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16826454.942370400,84.856567599,127.0.0.1:58177,32975,820655,28
16826454.942370400,84.856567599,127.0.0.1:58182,26757,821736,28
16826455.078835301,84.993032500,127.0.0.1:58177,33210,822752,28
16826455.078835301,84.993032500,127.0.0.1:58182,26993,824118,28
16826455.198736701,85.112933900,127.0.0.1:58177,33331,826952,28
16826455.198736701,85.112933900,127.0.0.1:58182,27153,828347,28
16826455.334658999,85.248856198,127.0.0.1:58177,33490,829230,28
16826455.334658999,85.248856198,127.0.0.1:58182,27351,830372,28
16826455.481685899,85.395883098,127.0.0.1:58177,33770,833197,28
16826455.481685899,85.395883098,127.0.0.1:58182,27595,834366,28
16826455.647320099,85.561517298,127.0.0.1:58177,33967,841121,28
16826455.647320099,85.561517298,127.0.0.1:58182,27831,838808,28
16826455.805034898,85.719232097,127.0.0.1:58177,34285,845656,28
16826455.805034898,85.719232097,127.0.0.1:58182,28075,843416,28
16826455.984545600,85.898742799,127.0.0.1:58177,34482,848153,28
16826455.984545600,85.898742799,127.0.0.1:58182,28311,845927,28
16826456.164499301,86.078696501,127.0.0.1:58177,34724,852731,28
16826456.164499301,86.078696501,127.0.0.1:58182,28593,850516,28
16826456.368636198,86.282833397,127.0.0.1:58177,35042,857304,28
16826456.368636198,86.282833397,127.0.0.1:58182,28875,858577,28
16826456.569285098,86.483482298,127.0.0.1:58177,35322,861916,28
16826456.569285098,86.483482298,127.0.0.1:58182,29195,862680,28
16826456.809001599,86.723198798,127.0.0.1:58177,35678,864414,28
16826456.809001599,86.723198798,127.0.0.1:58182,29515,865226,28
16826456.914058000,86.828255199,127.0.0.1:58177,35996,869436,28
16826456.914058000,86.828255199,127.0.0.1:58182,29797,870276,28
16826457.031063199,86.945260398,127.0.0.1:58177,36155,871783,28
16826457.031063199,86.945260398,127.0.0.1:58182,30079,872620,28
16826457.135919999,87.050117198,127.0.0.1:58177,36397,876447,28
16826457.135919999,87.050117198,127.0.0.1:58182,30239,877442,28
16826457.267161001,87.181358200,127.0.0.1:58177,36594,878701,28
16826457.267161001,87.181358200,127.0.0.1:58182,30437,879710,28
16826457.376710001,87.290907200,127.0.0.1:58177,36753,883182,28
16826457.376710001,87.290907200,127.0.0.1:58182,30597,884453,28
16826457.503564201,87.417761400,127.0.0.1:58177,36912,891022,28
16826457.503564201,87.417761400,127.0.0.1:58182,30833,888820,28
16826457.634564601,87.548761800,127.0.0.1:58177,37147,895398,28
16826457.634564601,87.548761800,127.0.0.1:58182,31031,893261,28
16826457.787080899,87.701278098,127.0.0.1:58177,37389,897953,28
16826457.787080899,87.701278098,127.0.0.1:58182,31275,895563,28
16826457.966335401,87.880532600,127.0.0.1:58177,37586,902307,28
16826457.966335401,87.880532600,127.0.0.1:58182,31511,900176,28
16826458.162733201,88.076930400,127.0.0.1:58177,37904,904680,28
16826458.162733201,88.076930400,127.0.0.1:58182,31793,902547,28
16826458.345862299,88.260059498,127.0.0.1:58177,38184,909315,28
16826458.345862299,88.260059498,127.0.0.1:58182,32113,907223,28
16826458.548676401,88.462873600,127.0.0.1:58177,38502,911703,28
16826458.548676401,88.462873600,127.0.0.1:58182,32433,909896,28
16826458.746916600,88.661113799,127.0.0.1:58177,38820,916721,28
16826458.746916600,88.661113799,127.0.0.1:58182,32753,918148,28
16826458.981645301,88.895842500,127.0.0.1:58177,39100,921338,28
16826458.981645301,88.895842500,127.0.0.1:58182,33073,922780,28
16826459.068430200,88.982627399,127.0.0.1:58177,39418,926239,28
16826459.068430200,88.982627399,127.0.0.1:58182,33393,926625,28
16826459.180875599,89.095072798,127.0.0.1:58177,39615,928705,28
16826459.180875599,89.095072798,127.0.0.1:58182,33553,929183,28
16826459.285931200,89.200128399,127.0.0.1:58177,39774,933568,28
16826459.285931200,89.200128399,127.0.0.1:58182,33713,934070,28
16826459.409671001,89.323868200,127.0.0.1:58177,39933,936054,28
16826459.409671001,89.323868200,127.0.0.1:58182,33873,936303,28
16826459.547447100,89.461644299,127.0.0.1:58177,40092,940421,28
16826459.547447100,89.461644299,127.0.0.1:58182,34071,940911,28
16826459.688356798,89.602553997,127.0.0.1:58177,40372,942592,28
16826459.688356798,89.602553997,127.0.0.1:58182,34353,943097,28
16826459.825254899,89.739452098,127.0.0.1:58177,40569,946867,28
16826459.825254899,89.739452098,127.0.0.1:58182,34513,947422,28
16826460.009571999,89.923769198,127.0.0.1:58177,40728,955141,28
16826460.009571999,89.923769198,127.0.0.1:58182,34795,952314,28
16826460.162562400,90.076759599,127.0.0.1:58177,41008,959311,28
16826460.162562400,90.076759599,127.0.0.1:58182,35077,957184,28
16826460.346287601,90.260484800,127.0.0.1:58177,41288,961822,28
16826460.346287601,90.260484800,127.0.0.1:58182,35275,959742,28
16826460.523191102,90.437388301,127.0.0.1:58177,41568,966693,28
16826460.523191102,90.437388301,127.0.0.1:58182,35595,964924,28
