monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16826180.845068101,43.480944302,127.0.0.1:18112,753209,32114,28
16826180.867089599,43.502965800,127.0.0.1:18112,753209,32114,28
16826180.877435502,43.513311703,127.0.0.1:18112,753209,32114,28
16826180.886751398,43.522627600,127.0.0.1:18112,753209,32114,28
16826180.896598399,43.532474600,127.0.0.1:18112,753209,32114,28
16826180.908263501,43.544139702,127.0.0.1:18112,753209,32114,28
16826180.920691900,43.556568101,127.0.0.1:18112,754560,32152,28
16826180.932070099,43.567946300,127.0.0.1:18112,755754,32273,28
16826180.944954399,43.580830600,127.0.0.1:18112,755754,32273,28
16826180.956470601,43.592346802,127.0.0.1:18112,755754,32273,28
16826180.967648800,43.603525002,127.0.0.1:18112,755754,32273,28
16826180.980623901,43.616500102,127.0.0.1:18112,755754,32273,28
16826180.992311001,43.628187202,127.0.0.1:18112,755754,32273,28
16826181.003265802,43.639142003,127.0.0.1:18112,755754,32273,28
16826181.014911700,43.650787901,127.0.0.1:18112,759384,32311,28
16826181.027101401,43.662977602,127.0.0.1:18112,760282,32432,28
16826181.038835600,43.674711801,127.0.0.1:18112,760282,32432,28
16826181.053880800,43.689757001,127.0.0.1:18112,760282,32432,28
16826181.064701602,43.700577803,127.0.0.1:18112,760282,32432,28
16826181.074515600,43.710391801,127.0.0.1:18112,760282,32432,28
16826181.089543700,43.725419901,127.0.0.1:18112,760282,32432,28
16826181.099793300,43.735669501,127.0.0.1:18112,760282,32432,28
16826181.111961599,43.747837801,127.0.0.1:18112,760282,32432,28
16826181.124806602,43.760682803,127.0.0.1:18112,761403,32553,28
16826181.138324499,43.774200700,127.0.0.1:18112,762269,32591,28
16826181.153206300,43.789082501,127.0.0.1:18112,762269,32591,28
16826181.163475499,43.799351700,127.0.0.1:18112,762269,32591,28
16826181.173386399,43.809262600,127.0.0.1:18112,762269,32591,28
16826181.189205799,43.825082000,127.0.0.1:18112,762269,32591,28
16826181.200463802,43.836340003,127.0.0.1:18112,762269,32591,28
16826181.212283298,43.848159499,127.0.0.1:18112,762269,32591,28
16826181.222715199,43.858591400,127.0.0.1:18112,762269,32712,28
16826181.231996100,43.867872301,127.0.0.1:18112,762269,32712,28
16826181.247387599,43.883263800,127.0.0.1:18112,765497,32750,28
16826181.257666800,43.893543001,127.0.0.1:18112,769219,32788,28
16826181.268750899,43.904627100,127.0.0.1:18112,770010,32826,28
16826181.282257002,43.918133203,127.0.0.1:18112,770010,32826,28
16826181.293252200,43.929128401,127.0.0.1:18112,770010,32826,28
16826181.304635499,43.940511700,127.0.0.1:18112,770010,32826,28
16826181.317297999,43.953174200,127.0.0.1:18112,770010,32826,28
16826181.329804000,43.965680201,127.0.0.1:18112,770010,32947,28
16826181.342585701,43.978461903,127.0.0.1:18112,770010,32947,28
16826181.355262399,43.991138600,127.0.0.1:18112,770010,32947,28
16826181.366094999,44.001971200,127.0.0.1:18112,771135,32985,28
16826181.377918299,44.013794500,127.0.0.1:18112,771135,32985,28
16826181.390358999,44.026235200,127.0.0.1:18112,780543,33023,28
16826181.402295701,44.038171902,127.0.0.1:18112,780543,33023,28
16826181.413807798,44.049683999,127.0.0.1:18112,780543,33023,28
16826181.424502101,44.060378302,127.0.0.1:18112,780543,33144,28
16826181.434663001,44.070539203,127.0.0.1:18112,780543,33144,28
16826181.446912199,44.082788400,127.0.0.1:18112,780543,33144,28
16826181.458584499,44.094460700,127.0.0.1:18112,780543,33144,28
16826181.468123399,44.103999600,127.0.0.1:18112,780543,33144,28
16826181.480166901,44.116043102,127.0.0.1:18112,780543,33144,28
16826181.492791399,44.128667600,127.0.0.1:18112,780543,33144,28
16826181.502907101,44.138783302,127.0.0.1:18112,780543,33144,28
16826181.513430800,44.149307001,127.0.0.1:18112,780543,33144,28
16826181.529187500,44.165063702,127.0.0.1:18112,780591,33265,28
16826181.540255699,44.176131900,127.0.0.1:18112,780591,33265,28
16826181.552642401,44.188518602,127.0.0.1:18112,780591,33265,28
16826181.565527201,44.201403402,127.0.0.1:18112,780591,33265,28
16826181.576829098,44.212705299,127.0.0.1:18112,780591,33265,28
16826181.590679601,44.226555802,127.0.0.1:18112,780591,33265,28
16826181.601098701,44.236974902,127.0.0.1:18112,780591,33265,28
16826181.613602702,44.249478903,127.0.0.1:18112,780591,33265,28
16826181.627074700,44.262950901,127.0.0.1:18112,780591,33386,28
16826181.638825301,44.274701502,127.0.0.1:18112,780591,33386,28
16826181.649512999,44.285389200,127.0.0.1:18112,780591,33386,28
16826181.663693901,44.299570102,127.0.0.1:18112,780591,33386,28
16826181.674785201,44.310661402,127.0.0.1:18112,780591,33386,28
16826181.687148299,44.323024500,127.0.0.1:18112,781719,33424,28
16826181.698307399,44.334183600,127.0.0.1:18112,782884,33462,28
16826181.708121698,44.343997899,127.0.0.1:18112,782884,33462,28
16826181.719181500,44.355057701,127.0.0.1:18112,782884,33462,28
16826181.732273702,44.368149903,127.0.0.1:18112,782884,33583,28
16826181.744740698,44.380616900,127.0.0.1:18112,782884,33583,28
16826181.757329501,44.393205702,127.0.0.1:18112,782884,33583,28
16826181.768285502,44.404161703,127.0.0.1:18112,782884,33583,28
16826181.779349700,44.415225901,127.0.0.1:18112,782884,33583,28
16826181.795319598,44.431195799,127.0.0.1:18112,782884,33583,28
16826181.807084601,44.442960802,127.0.0.1:18112,782884,33583,28
16826181.818355300,44.454231501,127.0.0.1:18112,782884,33583,28
16826181.831791598,44.467667799,127.0.0.1:18112,782884,33704,28
16826181.843547300,44.479423501,127.0.0.1:18112,786807,33742,28
16826181.855102502,44.490978703,127.0.0.1:18112,786807,33742,28
16826181.867130999,44.503007200,127.0.0.1:18112,787467,33780,28
16826181.878269199,44.514145400,127.0.0.1:18112,787467,33780,28
16826181.889456000,44.525332201,127.0.0.1:18112,787467,33780,28
16826181.901158899,44.537035100,127.0.0.1:18112,787467,33780,28
16826181.911726002,44.547602203,127.0.0.1:18112,787467,33780,28
16826181.922621101,44.558497302,127.0.0.1:18112,787467,33901,28
16826181.934819199,44.570695400,127.0.0.1:18112,787467,33901,28
16826181.946828701,44.582704902,127.0.0.1:18112,787467,33901,28
16826181.960395701,44.596271902,127.0.0.1:18112,787467,33901,28
16826181.972269200,44.608145401,127.0.0.1:18112,787467,33901,28
16826181.984087400,44.619963601,127.0.0.1:18112,787467,33901,28
16826181.999416601,44.635292802,127.0.0.1:18112,787467,33901,28
16826182.011774998,44.647651199,127.0.0.1:18112,787467,33901,28
16826182.023723800,44.659600001,127.0.0.1:18112,787467,34022,28
16826182.036132701,44.672008902,127.0.0.1:18112,787467,34022,28
16826182.047042102,44.682918303,127.0.0.1:18112,787467,34022,28
16826182.058646500,44.694522701,127.0.0.1:18112,788838,34060,28
16826182.074487898,44.710364100,127.0.0.1:18112,798552,34098,28
16826182.085942701,44.721818902,127.0.0.1:18112,798552,34098,28
16826182.097015899,44.732892100,127.0.0.1:18112,798552,34098,28
16826182.109107401,44.744983602,127.0.0.1:18112,798552,34098,28
16826182.120398100,44.756274302,127.0.0.1:18112,798552,34098,28
16826182.133100100,44.768976301,127.0.0.1:18112,798552,34219,28
16826182.144187499,44.780063700,127.0.0.1:18112,798552,34219,28
16826182.156292900,44.792169102,127.0.0.1:18112,798552,34219,28
16826182.169870000,44.805746201,127.0.0.1:18112,798552,34219,28
16826182.180333301,44.816209503,127.0.0.1:18112,798552,34219,28
16826182.192313001,44.828189202,127.0.0.1:18112,798552,34219,28
16826182.205424398,44.841300599,127.0.0.1:18112,798552,34219,28
16826182.217110001,44.852986202,127.0.0.1:18112,798552,34219,28
16826182.231214400,44.867090601,127.0.0.1:18112,798552,34340,28
16826182.243775900,44.879652102,127.0.0.1:18112,798552,34340,28
16826182.255571801,44.891448002,127.0.0.1:18112,798552,34340,28
16826182.270380098,44.906256299,127.0.0.1:18112,798552,34340,28
16826182.281355798,44.917231999,127.0.0.1:18112,798610,34378,28
16826182.292855699,44.928731900,127.0.0.1:18112,798610,34378,28
16826182.306844600,44.942720801,127.0.0.1:18112,798610,34378,28
16826182.320326999,44.956203200,127.0.0.1:18112,798610,34378,28
16826182.332026999,44.967903201,127.0.0.1:18112,798610,34499,28
16826182.343493499,44.979369700,127.0.0.1:18112,798610,34499,28
16826182.355063599,44.990939800,127.0.0.1:18112,798610,34499,28
16826182.366829399,45.002705600,127.0.0.1:18112,798610,34499,28
16826182.378850199,45.014726400,127.0.0.1:18112,798610,34499,28
16826182.389259301,45.025135502,127.0.0.1:18112,798610,34499,28
16826182.400853898,45.036730099,127.0.0.1:18112,798610,34499,28
16826182.413184699,45.049060900,127.0.0.1:18112,798610,34499,28
16826182.424337100,45.060213301,127.0.0.1:18112,798610,34620,28
16826182.436742999,45.072619200,127.0.0.1:18112,798610,34620,28
16826182.447946101,45.083822303,127.0.0.1:18112,798610,34620,28
16826182.459075700,45.094951902,127.0.0.1:18112,798610,34620,28
16826182.470219702,45.106095903,127.0.0.1:18112,798888,34658,28
16826182.480969999,45.116846200,127.0.0.1:18112,799931,34696,28
16826182.492650099,45.128526300,127.0.0.1:18112,799987,34734,28
16826182.503658101,45.139534302,127.0.0.1:18112,799987,34734,28
16826182.515969001,45.151845202,127.0.0.1:18112,799987,34734,28
16826182.527964000,45.163840201,127.0.0.1:18112,799987,34855,28
16826182.543663900,45.179540101,127.0.0.1:18112,799987,34855,28
16826182.557422299,45.193298500,127.0.0.1:18112,799987,34855,28
16826182.570028700,45.205904901,127.0.0.1:18112,799987,34855,28
16826182.582383901,45.218260102,127.0.0.1:18112,799987,34855,28
16826182.593954898,45.229831100,127.0.0.1:18112,799987,34855,28
16826182.608176600,45.244052801,127.0.0.1:18112,799987,34855,28
16826182.618504200,45.254380401,127.0.0.1:18112,799987,34855,28
16826182.630282599,45.266158801,127.0.0.1:18112,799987,34976,28
16826182.640591402,45.276467603,127.0.0.1:18112,799987,34976,28
16826182.652704399,45.288580600,127.0.0.1:18112,799987,34976,28
16826182.664696701,45.300572902,127.0.0.1:18112,803428,35014,28
16826182.675773501,45.311649702,127.0.0.1:18112,803428,35014,28
16826182.687191200,45.323067401,127.0.0.1:18112,803428,35014,28
16826182.700649299,45.336525500,127.0.0.1:18112,804094,35052,28
16826182.712459501,45.348335702,127.0.0.1:18112,804094,35052,28
16826182.723311100,45.359187301,127.0.0.1:18112,804094,35173,28
16826182.735265799,45.371142000,127.0.0.1:18112,804094,35173,28
16826182.747617401,45.383493602,127.0.0.1:18112,804094,35173,28
16826182.758866899,45.394743100,127.0.0.1:18112,804094,35173,28
16826182.769667398,45.405543599,127.0.0.1:18112,804094,35173,28
16826182.783482000,45.419358201,127.0.0.1:18112,804094,35173,28
16826182.795035500,45.430911701,127.0.0.1:18112,804094,35173,28
16826182.806347899,45.442224100,127.0.0.1:18112,804094,35173,28
16826182.823035799,45.458912000,127.0.0.1:18112,804094,35173,28
16826182.834422901,45.470299102,127.0.0.1:18112,804094,35294,28
16826182.847819399,45.483695600,127.0.0.1:18112,804094,35294,28
16826182.860628702,45.496504903,127.0.0.1:18112,804094,35294,28
16826182.871540099,45.507416300,127.0.0.1:18112,804094,35294,28
16826182.883780301,45.519656502,127.0.0.1:18112,804094,35294,28
16826182.896035101,45.531911302,127.0.0.1:18112,804094,35294,28
16826182.907589700,45.543465901,127.0.0.1:18112,805515,35332,28
16826182.918296900,45.554173101,127.0.0.1:18112,805515,35332,28
16826182.930135600,45.566011801,127.0.0.1:18112,806522,35453,28
16826182.941179499,45.577055700,127.0.0.1:18112,806522,35453,28
16826182.951989502,45.587865703,127.0.0.1:18112,806522,35453,28
16826182.964103300,45.599979501,127.0.0.1:18112,806522,35453,28
16826182.974471100,45.610347301,127.0.0.1:18112,806522,35453,28
16826182.986862000,45.622738201,127.0.0.1:18112,806522,35453,28
16826182.999133501,45.635009702,127.0.0.1:18112,806522,35453,28
16826183.011661202,45.647537403,127.0.0.1:18112,810933,35491,28
16826183.026937202,45.662813403,127.0.0.1:18112,810933,35612,28
16826183.038443200,45.674319401,127.0.0.1:18112,810933,35612,28
16826183.050952900,45.686829101,127.0.0.1:18112,812098,35650,28
16826183.065368999,45.701245200,127.0.0.1:18112,812098,35650,28
16826183.076806601,45.712682802,127.0.0.1:18112,812098,35650,28
16826183.089800000,45.725676201,127.0.0.1:18112,812098,35650,28
16826183.101181399,45.737057600,127.0.0.1:18112,812098,35650,28
16826183.112971202,45.748847403,127.0.0.1:18112,812098,35650,28
16826183.123769999,45.759646200,127.0.0.1:18112,812098,35771,28
16826183.138326500,45.774202701,127.0.0.1:18112,812098,35771,28
16826183.149330400,45.785206601,127.0.0.1:18112,812098,35771,28
16826183.159369901,45.795246102,127.0.0.1:18112,812098,35771,28
16826183.172737401,45.808613602,127.0.0.1:18112,812098,35771,28
16826183.183599800,45.819476001,127.0.0.1:18112,812098,35771,28
16826183.199192099,45.835068300,127.0.0.1:18112,813693,35809,28
16826183.210895400,45.846771602,127.0.0.1:18112,814678,35847,28
16826183.222225100,45.858101301,127.0.0.1:18112,814678,35847,28
16826183.233635399,45.869511601,127.0.0.1:18112,814678,35968,28
16826183.245471299,45.881347500,127.0.0.1:18112,814678,35968,28
16826183.257832199,45.893708400,127.0.0.1:18112,814678,35968,28
16826183.270130999,45.906007200,127.0.0.1:18112,814678,35968,28
16826183.280611999,45.916488200,127.0.0.1:18112,814678,35968,28
16826183.292169601,45.928045802,127.0.0.1:18112,814678,35968,28
16826183.304713100,45.940589301,127.0.0.1:18112,814678,35968,28
16826183.316310499,45.952186700,127.0.0.1:18112,818734,36006,28
16826183.330297899,45.966174100,127.0.0.1:18112,818734,36127,28
16826183.342523500,45.978399701,127.0.0.1:18112,822943,36165,28
16826183.353437100,45.989313301,127.0.0.1:18112,822943,36165,28
16826183.370392699,46.006268900,127.0.0.1:18112,822943,36165,28
16826183.381874301,46.017750502,127.0.0.1:18112,822943,36165,28
16826183.394740101,46.030616302,127.0.0.1:18112,822943,36165,28
16826183.406898901,46.042775102,127.0.0.1:18112,822943,36165,28
16826183.417093799,46.052970000,127.0.0.1:18112,822943,36165,28
16826183.427719198,46.063595399,127.0.0.1:18112,822943,36286,28
16826183.440264799,46.076141000,127.0.0.1:18112,822943,36286,28
16826183.451762699,46.087638900,127.0.0.1:18112,822943,36286,28
16826183.464572299,46.100448500,127.0.0.1:18112,822943,36286,28
16826183.475196701,46.111072902,127.0.0.1:18112,822943,36286,28
16826183.485815398,46.121691599,127.0.0.1:18112,823992,36324,28
16826183.495633401,46.131509602,127.0.0.1:18112,824824,36362,28
16826183.508404899,46.144281100,127.0.0.1:18112,824824,36362,28
16826183.520229101,46.156105302,127.0.0.1:18112,824824,36362,28
16826183.534884099,46.170760300,127.0.0.1:18112,824824,36483,28
16826183.544606000,46.180482201,127.0.0.1:18112,824824,36483,28
16826183.554443300,46.190319501,127.0.0.1:18112,824824,36483,28
16826183.566202201,46.202078402,127.0.0.1:18112,824824,36483,28
16826183.578997400,46.214873601,127.0.0.1:18112,824824,36483,28
16826183.590817198,46.226693399,127.0.0.1:18112,824824,36483,28
16826183.602259900,46.238136102,127.0.0.1:18112,828437,36521,28
16826183.615665201,46.251541402,127.0.0.1:18112,828437,36521,28
16826183.624928799,46.260805000,127.0.0.1:18112,828437,36642,28
16826183.636108201,46.271984402,127.0.0.1:18112,828982,36680,28
16826183.650468800,46.286345001,127.0.0.1:18112,828982,36680,28
16826183.661408499,46.297284700,127.0.0.1:18112,828982,36680,28
16826183.674460199,46.310336400,127.0.0.1:18112,828982,36680,28
16826183.686813101,46.322689302,127.0.0.1:18112,828982,36680,28
16826183.697148301,46.333024502,127.0.0.1:18112,828982,36680,28
16826183.710728198,46.346604399,127.0.0.1:18112,828982,36680,28
16826183.721137099,46.357013300,127.0.0.1:18112,828982,36680,28
16826183.730820902,46.366697103,127.0.0.1:18112,828982,36801,28
16826183.741934098,46.377810299,127.0.0.1:18112,828982,36801,28
16826183.757935699,46.393811900,127.0.0.1:18112,828982,36801,28
16826183.766710799,46.402587000,127.0.0.1:18112,828982,36801,28
16826183.778500602,46.414376803,127.0.0.1:18112,830377,36839,28
16826183.792730600,46.428606801,127.0.0.1:18112,839749,36877,28
16826183.801639099,46.437515300,127.0.0.1:18112,839749,36877,28
16826183.814087398,46.449963599,127.0.0.1:18112,839749,36877,28
16826183.827799302,46.463675503,127.0.0.1:18112,839749,36998,28
16826183.838174701,46.474050902,127.0.0.1:18112,839749,36998,28
16826183.853028599,46.488904800,127.0.0.1:18112,839749,36998,28
16826183.863648001,46.499524202,127.0.0.1:18112,839749,36998,28
16826183.873339798,46.509215999,127.0.0.1:18112,839749,36998,28
16826183.888702601,46.524578802,127.0.0.1:18112,839749,36998,28
16826183.897478800,46.533355001,127.0.0.1:18112,839749,36998,28
16826183.906573601,46.542449802,127.0.0.1:18112,839749,36998,28
16826183.918666899,46.554543100,127.0.0.1:18112,839749,36998,28
