Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3234,3234.000000,59.596883,0.007093,0.025543,0.018428,0.018461,0.532121,0.000004,0.002701,0.000165,0.000058
SceneRender,3234,3234.000000,58.116270,0.007065,0.024771,0.017970,0.017975,11.063379,0.000002,0.011439,0.003421,0.002486
RenderGraphExecute,6466,6466.000000,47.855407,0.000003,0.024175,0.007401,0.006962,2.130707,0.000002,0.003842,0.000330,0.000041
Scene,3234,3234.000000,44.598567,0.005457,0.023006,0.013791,0.013611,1.777425,0.000028,0.004185,0.000550,0.000322
FEngineLoop::Tick,1617,1617.000000,29.998768,0.009903,0.026652,0.018552,0.018531,0.013507,0.000001,0.000205,0.000008,0.000007
Frame,1617,1617.000000,29.966218,0.009902,0.026628,0.018532,0.018518,0.005489,0.000000,0.000199,0.000003,0.000002
FrameTime,3233,3233.000000,29.937352,0.000076,0.026328,0.009260,0.009887,0.090362,0.000000,0.000507,0.000028,0.000011
Frame Sync Time,1617,1617.000000,17.558616,0.000017,0.019532,0.010859,0.010858,0.015983,0.000003,0.000058,0.000010,0.000009
GameThreadWaitForTask,1616,1616.000000,17.530138,0.002328,0.019515,0.010848,0.010835,0.002062,0.000000,0.000016,0.000001,0.000001
Game thread idle time,1616,1616.000000,17.528075,0.002327,0.019514,0.010847,0.010834,17.528075,0.002327,0.019514,0.010847,0.010834
Tick_Engine,1616,1616.000000,8.893529,0.003081,0.014136,0.005503,0.005203,0.001877,0.000001,0.000031,0.000001,0.000001
GameEngine Tick,1616,1616.000000,8.891651,0.003080,0.014134,0.005502,0.005202,0.084553,0.000038,0.000351,0.000052,0.000050
DiffuseIndirectAndAO,3234,3234.000000,8.341173,0.000038,0.008678,0.002579,0.001915,0.087020,0.000001,0.001698,0.000027,0.000001
PostProcessing,3232,3232.000000,7.505154,0.000238,0.005441,0.002322,0.002182,0.660991,0.000003,0.002484,0.000205,0.000128
LumenScreenProbeGather,3234,3234.000000,7.211234,0.000036,0.007053,0.002230,0.001915,4.625389,0.000001,0.006632,0.001430,0.000571
UWorld_Tick,1616,1616.000000,6.818392,0.002406,0.012889,0.004219,0.003994,0.034845,0.000014,0.000534,0.000022,0.000019
World Tick Time,1616,1616.000000,6.765619,0.002379,0.012860,0.004187,0.003967,0.043571,0.000018,0.000185,0.000027,0.000027
Tick Time,6464,6464.000000,5.795292,0.000003,0.007796,0.000897,0.000830,0.014553,0.000000,0.000049,0.000002,0.000001
ReleaseTickGroup Block,9696,9696.000000,5.582979,0.000028,0.004424,0.000576,0.000295,0.001441,0.000000,0.000018,0.000000,0.000000
TickCompletionEvents,11312,11312.000000,5.581538,0.000001,0.004424,0.000493,0.000224,0.012325,0.000000,0.000034,0.000001,0.000001
ProcessUntilTasksComplete,11312,11312.000000,5.556128,0.000000,0.004418,0.000491,0.000223,0.098731,0.000000,0.000486,0.000009,0.000005
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3232,3232.000000,5.379274,0.000233,0.003716,0.001664,0.001535,5.379274,0.000233,0.003716,0.001664,0.001535
ExecuteTask,112984,112984.000000,5.317877,0.000000,0.002569,0.000047,0.000000,0.042873,0.000000,0.000095,0.000000,0.000000
FTickFunctionTask,99779,99779.000000,4.439500,0.000000,0.002566,0.000044,0.000000,0.059373,0.000000,0.000206,0.000001,0.000000
PrepareImageBasedVRS,1617,1617.000000,4.432697,0.000978,0.006587,0.002741,0.002678,0.030890,0.000001,0.001579,0.000019,0.000001
ContrastAdaptiveShading,1617,1617.000000,4.401807,0.000971,0.006582,0.002722,0.002671,4.401807,0.000971,0.006582,0.002722,0.002671
RenderDeferredLighting,1616,1616.000000,3.663054,0.000958,0.004070,0.002267,0.002090,0.034581,0.000001,0.001711,0.000021,0.000001
ParallelDraw,6467,6467.000000,3.408878,0.000000,0.004857,0.000527,0.000099,3.408878,0.000000,0.004857,0.000527,0.000099
TG_PostUpdateWork,1616,1616.000000,2.766105,0.000903,0.004436,0.001712,0.001509,0.002915,0.000000,0.000034,0.000002,0.000002
ShadowDepths,1617,1617.000000,2.655779,0.000532,0.006829,0.001642,0.001613,0.088824,0.000004,0.001822,0.000055,0.000022
Total Slate Tick Time,3232,3232.000000,2.533177,0.000010,0.002930,0.000784,0.001057,0.012613,0.000000,0.000044,0.000004,0.000004
Slate::Tick (Time and Widgets),1616,1616.000000,2.494224,0.001082,0.002931,0.001543,0.001455,0.000364,0.000000,0.000019,0.000000,0.000000
Slate::DrawWindows,1616,1616.000000,2.478880,0.001077,0.002911,0.001534,0.001447,0.035962,0.000011,0.000081,0.000022,0.000021
Nanite::DrawGeometry,3233,3233.000000,2.470579,0.000174,0.002192,0.000764,0.000806,0.440940,0.000029,0.001801,0.000136,0.000047
BasePass,1617,1617.000000,2.301126,0.000269,0.003597,0.001423,0.001445,0.179729,0.000022,0.002306,0.000111,0.000022
UpdateRadianceCaches,3234,3234.000000,1.999249,0.000035,0.002176,0.000618,0.000337,1.999249,0.000035,0.002176,0.000618,0.000337
DiffuseIndirectAndAO,3232,3232.000000,1.966849,0.000069,0.002198,0.000609,0.000262,0.466552,0.000000,0.001836,0.000144,0.000074
GuLiCommanderPresentationActor,1616,1616.000000,1.918831,0.000809,0.002338,0.001187,0.001118,0.003093,0.000001,0.000019,0.000002,0.000002
GuLiCommanderPresentation_RebuildLocalInstances,1616,1616.000000,1.915738,0.000808,0.002335,0.001185,0.001117,1.678547,0.000762,0.002081,0.001039,0.000975
PrePass %s %s,1617,1617.000000,1.730857,0.000107,0.004881,0.001070,0.001072,0.130171,0.000014,0.001882,0.000081,0.000032
CaptureConvolveSkyEnvMap,3234,3234.000000,1.690723,0.000008,0.003416,0.000523,0.000249,0.039593,0.000000,0.001568,0.000012,0.000000
RenderVirtualShadowMaps,1616,1616.000000,1.636299,0.000269,0.002225,0.001013,0.000961,0.116711,0.000022,0.001698,0.000072,0.000022
RedrawViewports,1616,1616.000000,1.528803,0.000340,0.002158,0.000946,0.000927,0.010710,0.000004,0.000147,0.000007,0.000007
FViewport_Draw,1616,1616.000000,1.518093,0.000335,0.002017,0.000939,0.000930,0.101457,0.000036,0.000228,0.000063,0.000061
LumenReflections,1616,1616.000000,1.500297,0.000185,0.002198,0.000928,0.000917,1.500297,0.000185,0.002198,0.000928,0.000917
FXSystemPreRender,3232,3232.000000,1.494282,0.000000,0.002108,0.000462,0.000053,1.494163,0.000000,0.002108,0.000462,0.000053
ComputeVolumetricFog,1616,1616.000000,1.477789,0.000227,0.002233,0.000914,0.000937,0.002146,0.000000,0.000004,0.000001,0.000001
