EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,FMsgLogf/FMsgLogfCount,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Exclusive/AllWorkers/MassProcessorTask,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/EventWait/PrePhysics,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush
,0.070700,0.2869,0.015600,0.1742,0.017400,0.1747,0.089200,0.002800,0.007900,0,0,13.2111,0,0,80895,41170,0,2.0569,152.3445,152.3675,0.002300,0.012500,0.046200,31.8603,0.3087,0.2541,0.015600,0.005800,0.2489,0.096000,0.4645,0.019800,0.001000,0.087800,8.4128,8.5065,8.7604,0.001900,0.000900,0.005300,0.024600,0.066100,0.9469,64,0,0,1108,26,0,0,0,0,11.3058,0.001800,0.031500,0.003000,0.001500,0.4091,0.037000,0.000100,2,2,4,4,50,2,100,0,10,3,3,0,12,36,0,30,2,0,8,6,0,0,0,0,0,0,0,0.2053,0,46,0,0,0.8755,1.0808,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.9774,2760.7500,5560.5391,6305.4844,0,8321.2891,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.067700,0.5709,0.013200,0.1335,0.016600,0.1723,0.1485,0.002300,0.008500,0,0,0,0,0,534,116,0,0.3634,153.8390,153.8629,0.001900,0.013900,0.053400,3.0813,0.3157,0.3834,0.023700,0.011900,0.4460,0.1356,0.3851,0.020200,0.000600,0.080700,11.8505,12.1204,13.2588,0.002200,0.001000,0.005300,0.022700,0.1929,1.0155,64,0,0,0,52,0,0,0,0,9.1484,0.001900,0.025700,0.001500,0.001800,0.1573,0.014200,0.000200,2,2,3,3,50,2,100,0,10,6,6,0,18,62,0,56,2,0,6,12,0,0,0,0,0,0,0,0.2164,0,47,0,0,1.1251,1.3415,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.3718,2758.1797,5560.6094,6305.4844,0,8318.7891,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,5.4690,0,0,0
,0.057500,0.2336,0.011900,0.1175,0.013800,0.1335,0.1129,0.002900,0.009700,0,0,0,0,0,2119,1417,0,0.4174,175.1435,175.1698,0.002000,0.011200,0.038200,36.5484,0.3157,0.6828,0.015800,0.006000,0.2738,0,0.3285,0.024100,0.000700,0.077400,13.6931,13.9457,14.1489,0.001800,0.001100,0.006500,0.025000,0.045500,0.8548,62,0,0,1197,26,0,0,0,0,11.6253,0.001400,0.022400,0.001400,0.001600,0.1168,0.015200,0.000300,2,2,2,3,48,4,100,0,6,4,4,0,4,30,0,30,2,0,5,8,0,0,0,0,0,0,0,0.2089,0,43,0,0,0.7478,0.9567,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.6347,2820.0625,5560.8594,6305.4844,0,8380.9219,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.064800,0.6394,0.015700,0.1577,0.016400,0.1968,0.1356,0.002200,0.006500,0,0,0,0,0,1510,172,0,0.1413,73.3418,73.3607,0.001400,0.010000,0.043200,2.7194,0.2664,0.9271,0.021200,0.008600,0.7197,0.1165,0.3580,0.025200,0.000800,0.078600,12.8779,14.2356,15.2425,0.002300,0.002500,0.005100,0.023600,0.070700,1.4962,64,0,0,1,52,0,0,0,0,7.3747,0.007300,0.032000,0.001800,0.003000,1.2108,0.014900,0.000200,2,2,4,5,50,2,100,0,6,7,8,0,84,65,0,57,2,0,9,15,0,0,0,0,0,0,0,0.2921,0,46,1.9883,0,1.7232,2.0153,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6759,2808.3359,5560.8594,6305.4844,0,8369.1953,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,3.4159,0,0,0
,0.069000,0.3596,0.013000,0.1192,0.016100,0.1240,0.097600,0.002500,0.008100,0,0,0,0,0,1379,310,0,0.1243,76.8413,76.8648,0.001800,0.011000,0.044400,29.3090,0.2757,0.2551,0.015800,0.005400,0.5506,0,0.2965,0.025800,0.000700,0.066800,5.5719,5.6875,5.9003,0.001600,0.000800,0.006000,0.023300,0.066000,1.5321,64,0,0,1099,26,0,0,0,0,7.5787,0.002000,0.027300,0.001600,0.002200,0.1085,0.011900,0.000100,2,2,2,2,50,2,100,0,10,9,11,1,2,1028,0,28,2,0,4,18,0,0,0,0,0,0,0,0.2008,0,25,8.9980,0,1.8349,2.0357,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.4744,2807.6484,5561.0469,6305.4844,0,8368.6953,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.058200,0.2600,0.010300,0.1208,0.015100,0.1270,0.080700,0.002500,0.008100,0,0,0,0,0,5588,1049,0,0.6147,84.7903,84.8127,0.002100,0.011500,0.042300,1.9384,0.3773,0.2491,0.015900,0.005700,0.4609,0,0.3146,0.024700,0.000700,0.1289,6.6915,6.9512,7.1597,0.001500,0.000700,0.005800,0.030200,0.1335,0.6464,62,0,0,0,52,0,0,0,0,11.2626,0.001500,0.024000,0.001500,0.001900,0.1491,0.012400,0.000300,2,2,2,2,50,2,100,0,10,7,8,1,1,50,0,50,2,0,4,15,0,0,0,0,0,0,0,0.1930,0,22.5000,0,0,0.4959,0.6889,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.3062,2806.8555,5561.1094,6305.4844,0,8367.9648,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.8628,5,0,0
,0.073800,0.2767,0.013000,0.1377,0.016500,0.1467,0.079800,0.002200,0.007800,0,0,0,0,0,1413,216,0,0.1628,89.3023,89.3241,0.002600,0.013100,0.049100,2.4675,0.3366,0.2752,0.020400,0.006300,0.2603,0,0.3570,0.019200,0.002100,0.088100,12.4573,12.6970,13.7579,0.002500,0.000800,0.004900,0.023300,0.064400,1.0581,62,0,0,0,26,0,0,0,0,12.2698,0.002400,0.026100,0.001500,0.001800,0.3103,0.018300,0.000300,2,2,2,3,50,2,100,0,8,3,3,0,8,30,0,28,2,0,5,6,0,0,0,0,0,0,0,0.2636,0,44,0,0,0.9228,1.1864,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.2043,2801.2266,5561.1719,6305.4844,0,8362.3984,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,9.6906,0,0,0
,0.062300,0.4224,0.012900,0.1801,0.017400,0.1408,0.093800,0.002200,0.007400,0,0,0,0,0,947,111,0,0.1051,113.7008,113.7220,0.002000,0.013700,0.059200,2.5872,0.5225,0.3849,0.020200,0.007700,0.5568,0.1445,0.3990,0.021000,0.001000,0.091400,8.3236,9.7397,9.8167,0.002100,0.001000,0.005300,0.025500,0.062100,1.0193,64,0,0,1,52,0,0,0,0,11.8705,0.006700,0.024800,0.001400,0.002000,0.6725,0.015700,0.000200,2,2,3,4,50,2,100,0,8,7,7,0,36,58,0,54,2,0,7,14,0,0,0,0,0,0,0,0.2315,0,45,0,0,0.9028,1.1343,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8648,2801.3008,5561.1719,6305.4844,0,8362.4727,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.5058,0,0,0
,0.067700,0.3752,0.013800,0.1300,0.016500,0.1288,0.067200,0.002300,0.007500,0,0,0,0,0,7484,1294,0,0.5160,110.6453,110.6663,0.002400,0.012100,0.051800,28.2030,0.3454,0.2765,0.029600,0.007700,0.4928,0,0.2980,0.027900,0.000600,0.078600,5.8914,6.1356,7.3014,0.002000,0.001100,0.005700,0.024100,0.066600,1.5803,64,0,0,1003,26,0,0,0,0,11.6660,0.001600,0.023700,0.001700,0.001800,0.3975,0.012400,0.000100,2,2,2,3,50,2,100,0,10,9,11,1,15,1034,0,28,2,0,5,18,0,0,0,0,0,0,0,0.2101,0,28.5000,8.8848,0,1.8687,2.0788,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.9563,2797.4961,5561.3594,6305.4844,0,8358.8555,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0
,0.054800,0.3354,0.011500,0.1059,0.013600,0.1227,0.099900,0.002200,0.007500,0,0,0,0,0,34,38,0,0.043700,110.8741,110.8939,0.001800,0.010500,0.039200,2.2190,0.2986,0.2628,0.015400,0.006500,0.5108,0,0.3828,0.023800,0.000800,0.1193,12.1291,12.4911,12.7671,0.002500,0.000300,0.004200,0.021700,0.047300,0.7161,62,0,0,0,52,0,0,0,0,11.7318,0.001100,0.021600,0.001400,0.001600,0.1132,0.012300,0.000200,2,2,3,4,50,2,100,0,10,7,8,1,1,54,0,54,2,0,7,15,0,0,0,0,0,0,0,0.1909,0,22.5000,0,0,0.5886,0.7795,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.5740,2785.9805,5561.4219,6305.4844,0,8347.4023,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,9.1219,2,0,0
