EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/GarbageCollection,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/AllWorkers/MassProcessorTask,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/Pathfinding,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Exclusive/GameThread/LogFlush
,0.081600,0.2108,0.1596,0.1831,0.017300,0.1574,0.094100,0.003000,0.009000,0,0,6.3284,0,0,80023,40023,0,1.7050,191.1081,191.1337,0.002000,0.010700,0.045300,1.3532,0.3074,0.2535,0.015000,0.004200,0.3259,9.5133,0.3692,0.018600,0.000600,0.068100,11.5195,11.6447,12.7536,0.001700,0.001000,0.004100,0.019900,0.052800,0.7523,0.005300,2.0016,0.030200,0.002600,0.001900,0.3637,0.060900,0.028000,0.000100,57,0,0,26,0,0,0,0,1,1,4,4,46,2,51,0,3,5,5,0,39,32,0,28,3,0,4,5,0,0,0,0,0,0,0,0.1849,0,45,0,0,0.6605,0.8454,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.9716,4442.3867,5526.8984,6251.3086,0,9969.2852,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,11.1245,0,0,0,0,0
,0.063700,0.1273,0.012200,0.1395,0.019800,0.1300,0.052600,0.001600,0.007400,0,0,0,0,0,1223,1377,0,0.4935,181.3901,181.4094,0.001800,0.009900,0.038600,32.1823,0.2673,0.2429,0.015400,0.003000,0.2117,0,0.3887,0.020700,0.000800,0.070600,11.0613,11.3319,11.5750,0.003000,0.000900,0.005000,0.021600,0.053300,0.6840,0.001900,2.0041,0.046000,0.001800,0.002300,0.1455,0,0.014200,0.000100,58,0,0,13,0,0,0,0,1,1,5,5,46,2,49,0,5,3,3,0,2,18,0,15,3,0,5,3,0,0,0,0,0,0,0,0.1483,0,45,0,0,0.5872,0.7355,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,58,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.1997,4439.4375,5527.9805,6252.5000,0,9967.4180,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,11.3654,1196,1,0,0,0
,0.067000,0.1506,0.011300,0.1380,0.019000,0.1252,0.070500,0.002400,0.010000,0,0,0,0,0,523,109,0,0.056400,41.6422,41.6674,0.001900,0.010300,0.045000,1.3887,0.3103,0.2896,0.015800,0.003900,0.3410,8.0084,0.3464,0.017700,0.000700,0.065700,17.6136,17.9032,18.9880,0.001800,0.000800,0.003900,0.020800,0.1325,0.5644,0.001600,1.3920,0.039200,0.002100,0.003100,0.1809,0,0.011700,0.000300,57,0,0,26,0,0,0,0,1,1,4,4,46,2,49,0,5,7,7,0,3,29,0,29,2,0,4,7,0,0,0,0,0,0,0,0.1333,0,45,0,0,0.4741,0.6074,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6701,4438.6250,5528.0742,6252.5000,0,9966.6992,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,9.7902,0,0,0,0,0
,0.065600,0.2375,0.012600,0.1128,0.016400,0.1325,0.065800,0.002100,0.007600,0,0,0,0,0,915,152,0,0.1180,60.4982,60.5191,0.001700,0.010200,0.047000,31.6103,0.2696,0.2555,0.015100,0.003400,0.2418,0,0.3360,0.016600,0.000900,0.072100,0,1.3207,1.4116,0.002100,0.000800,0.002600,0.017700,0.067600,0.5323,0.002000,1.6538,0.029000,0.001500,0.001800,0.1205,0,0.013800,0.000100,55,0,0,13,0,0,0,0,1,1,3,3,44,4,49,0,3,4,4,0,0,14,0,14,2,0,3,4,0,0,0,0,0,0,0,0.1243,0,40,0,0,0.5745,0.6988,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2470,4436.8242,5528.3242,6252.5000,0,9965.1484,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.2842,1199,0,0.1133,0,0
,0.058200,0.1908,0.011000,0.1623,0.014900,0.067500,0,0.002000,0.007600,0,0,0,0,0,678,1333,0,0.1455,60.2624,60.2818,0.002400,0.013400,0.049100,1.9091,0.4857,0.3614,0.021100,0.005000,0.3474,9.1788,0.2691,0.019300,0.000500,0.076800,7.8536,8.0265,8.3007,0.002100,0.001200,0.005400,0.024300,0.052500,0.8706,0.004900,0,0.024000,0.001300,0.001700,0.6872,0,0.013900,0.000100,57,0,0,26,0,0,0,0,1,1,1,1,46,2,49,0,3,8,8,0,41,32,0,26,2,0,1,8,0,0,0,0,0,0,0,0.1941,0,46,1.0254,0,0.8883,1.0824,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.8456,4454.0898,5528.3242,6252.5000,0,9982.4141,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,11.7448,1,0,0.1034,0,0
,0.067200,0.1746,0.013100,0.1315,0.017100,0.1026,0.057300,0.002600,0.007400,0,0,0,0,0,1192,160,0,0.1588,72.2788,72.2996,0.001900,0.010800,0.035400,2.2134,0.2950,0.2576,0.015700,0.003200,0.3334,4.7434,0.4051,0.019500,0.000900,0.003000,5.8634,6.1346,7.3176,0.002100,0.000800,0.004300,0.020900,0.058500,0.9887,0.002400,0,0.029900,0.001600,0.002200,0.5166,0,0.015900,0.000100,55,0,0,13,0,0,0,0,1,1,3,3,46,2,49,0,5,10,10,1,3,714,0,14,0,0,3,10,0,0,0,0,0,0,0,0.1397,0,10,6.2246,0,1.1527,1.2924,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5155,4449.1211,5528.3281,6252.5000,0,9977.4492,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,7.2936,0,0,0.1002,0,0
,0.058800,0.1048,0.010500,0.1186,0.014400,0.097100,0.059700,0.002300,0.007500,0,0,0,0,0,3499,115,0,0.1867,96.6979,96.7178,0.001700,0.009100,0.035500,1.1764,0.2699,0.5850,0.017300,0.003700,0.2818,9.4023,0.3695,0.020900,0.001100,0.056600,5.4584,5.6914,5.9238,0.002200,0.000800,0.004400,0.019800,0.053800,0.1058,0.001500,0,0.020800,0.001400,0.001900,0.1166,0,0.014100,0.000100,55,0,0,26,0,0,0,0,1,1,3,3,46,2,49,0,5,7,7,1,0,26,0,26,1,0,3,7,0,0,0,0,0,0,0,0.1005,0,0,0,0,0,0.1005,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.9174,4441.4961,5528.3906,6252.5000,0,9969.8867,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,11.2417,0,0,0,1,0
,0.059100,0.1600,0.012500,0.1548,0.016300,0.094900,0.045600,0.001900,0.007300,0,0,0,0,0,404,147,0,0.1794,94.4734,94.4930,0.001800,0.011200,0.037600,2.5091,0.2803,0.6504,0.020500,0.004900,0.2585,8.2804,0.4302,0.019700,0.000600,0.051700,6.2155,7.0777,7.1988,0.002900,0.001100,0.004800,0.042700,0.1384,0.8778,0.001600,0,0.022300,0.001500,0.001700,0.6592,0,0.015700,0.000200,57,0,0,13,0,0,0,0,1,1,3,3,46,2,49,0,5,3,3,0,4,14,0,14,2,0,3,3,0,0,0,0,0,0,0,0.1914,0,45,0,0,0.7568,0.9482,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.8924,4440.0625,5528.3906,6252.5000,0,9968.4531,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,11.4842,1,0,0.1042,0,0
,0.061200,0.2682,0.013100,0.1245,0.017100,0.1005,0.059300,0.002200,0.008000,0,0,0,0,0,736,139,0,0.1082,120.5743,120.5950,0.002000,0.010300,0.042200,1.6978,0.4213,0.6542,0.022500,0.005900,0.2716,6.3174,0.3637,0.023600,0.000700,0.067400,5.7358,5.8885,6.7780,0.001900,0.000700,0.004400,0.019800,0.053200,0.6564,0.001700,0,0.023800,0.001400,0.001700,0.1561,0,0.013200,0.000200,55,0,0,26,0,0,0,0,1,1,2,2,44,4,49,0,3,6,6,0,7,29,0,27,2,0,2,6,0,0,0,0,0,0,0,0.1358,0,43,0,0,0.6859,0.8217,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.1889,4447.3867,5528.3906,6252.5000,0,9975.7773,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,9.0330,0,0,0.1034,0,0
,0.059400,0.1880,0.012400,0.1201,0.016500,0.1482,0.055700,0.001800,0.007400,0,0,0,0,0,886,150,0,0.2352,125.2309,125.2499,0.001800,0.010500,0.037300,2.5850,0.2970,0.6628,0.015900,0.003600,0.3063,5.6121,0.4123,0.025300,0.000800,0.056200,12.0069,12.2744,12.4889,0.002000,0.000900,0.004300,0.020900,0.053100,1.0674,0.005700,0,0.025500,0.001500,0.001800,0.3395,0,0.014900,0.000100,57,0,0,13,0,0,0,0,1,1,4,4,46,2,49,0,3,7,7,0,42,319,0,15,2,0,4,7,0,0,0,0,0,0,0,0.1840,0,46,3.1445,0,1.1685,1.3525,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.2376,4431.0586,5528.4531,6252.5000,0,9959.5117,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.8858,0,0,0.1102,0,0
