seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.232916,232.91560,2,11.51320,2.66530,1200,1200,1200,0,0,1492,23354,0.000
0.463338,230.42250,2,11.05520,2.62970,1200,1200,1200,0,0,1492,23354,0.000
0.538021,74.68300,3,17.60100,4.16930,1200,1200,1200,0,0,1492,23354,0.000
0.636278,98.25720,0,0.00000,0.00000,1200,1200,1200,0,0,1852,18725,0.000
0.719551,83.27310,1,7.84900,1.37250,1200,1200,1200,0,0,1852,18725,0.000
0.810245,90.69310,1,5.86010,1.35110,1200,1200,1200,0,0,1852,18725,0.000
0.926559,116.31430,1,5.45440,1.27350,1200,1200,1200,0,0,1852,18725,0.000
1.042903,116.34420,1,6.21170,1.47590,1200,1200,1200,0,0,1852,18725,0.000
1.182617,139.71430,1,5.73210,1.27800,1200,1200,1200,0,0,1852,18725,0.000
1.332655,150.03760,2,11.99840,2.55310,1200,1200,1200,0,0,1852,18725,0.000
1.494100,161.44530,1,6.63430,1.95900,1200,1200,1200,0,0,1852,18725,0.000
1.687421,193.32070,2,11.21070,2.51570,1200,1200,1200,0,0,1503,32620,0.000
1.880372,192.95100,2,16.25560,4.46150,1200,1200,1200,0,0,1503,32620,0.000
2.094786,214.41430,2,17.61390,4.21450,1200,1200,1200,0,0,1503,32620,0.000
2.290473,195.68690,2,11.31590,2.67620,1200,1200,1200,0,0,1503,32620,0.000
2.531105,240.63180,2,12.60160,2.74990,1200,1200,1200,0,0,1503,32620,0.000
2.632613,101.50790,2,11.58180,2.70120,1200,1200,1200,0,0,1503,32620,0.000
2.752773,120.16040,1,6.63660,2.15080,1200,1200,1200,0,0,1677,26183,0.000
2.865079,112.30630,1,6.05960,1.56860,1200,1200,1200,0,0,1677,26183,0.000
3.001653,136.57380,2,11.98350,3.00730,1200,1200,1200,0,0,1677,26183,0.000
3.141325,139.67170,1,5.60270,1.25270,1200,1200,1200,0,0,1677,26183,0.000
3.312612,171.28740,1,5.69310,1.25430,1200,1200,1200,0,0,1677,26183,0.000
3.473508,160.89590,2,11.52070,2.72270,1200,1200,1200,0,0,1677,26183,0.000
3.655193,181.68460,2,11.18050,2.48360,1200,1200,1200,0,0,1677,26183,0.000
3.837700,182.50720,1,6.99910,1.42180,1200,1200,1200,0,0,1647,24457,0.000
4.047034,209.33420,2,10.83160,2.53120,1200,1200,1200,0,0,1647,24457,0.000
4.234059,187.02470,2,12.14300,2.27200,1200,1200,1200,0,0,1647,24457,0.000
4.437685,203.62590,2,11.40480,2.44080,1200,1200,1200,0,0,1647,24457,0.000
