Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3300,3300.000000,59.688117,0.001322,0.025273,0.018087,0.018257,0.471302,0.000003,0.002642,0.000143,0.000070
SceneRender,3300,3300.000000,58.254481,0.001294,0.025223,0.017653,0.017730,11.171895,0.000001,0.011167,0.003385,0.002426
RenderGraphExecute,6598,6598.000000,47.879031,0.000035,0.022766,0.007257,0.002905,2.180670,0.000002,0.003729,0.000331,0.000040
Scene,3299,3299.000000,44.686083,0.000628,0.021292,0.013545,0.013360,1.783354,0.000001,0.004170,0.000541,0.000296
DiffuseIndirectAndAO,3298,3298.000000,8.365252,0.000043,0.008459,0.002536,0.002296,0.076034,0.000001,0.001630,0.000023,0.000001
PostProcessing,3298,3298.000000,7.630587,0.000285,0.005391,0.002314,0.002090,0.705114,0.000003,0.002950,0.000214,0.000122
LumenScreenProbeGather,3298,3298.000000,7.152947,0.000041,0.006952,0.002169,0.002030,4.482413,0.000001,0.006482,0.001359,0.000492
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3298,3298.000000,5.471546,0.000279,0.004440,0.001659,0.001540,5.471546,0.000279,0.004440,0.001659,0.001540
PrepareImageBasedVRS,1648,1648.000000,4.315035,0.000909,0.005494,0.002618,0.002484,0.026643,0.000001,0.001547,0.000016,0.000001
ContrastAdaptiveShading,1648,1648.000000,4.288392,0.000905,0.005488,0.002602,0.002479,4.288392,0.000905,0.005488,0.002602,0.002479
RenderDeferredLighting,1649,1649.000000,3.718148,0.000875,0.004147,0.002255,0.002098,0.039186,0.000000,0.001811,0.000024,0.000000
ParallelDraw,6594,6594.000000,3.414529,0.000000,0.003363,0.000518,0.000102,3.414529,0.000000,0.003363,0.000518,0.000102
ShadowDepths,1649,1649.000000,2.641056,0.000716,0.006591,0.001602,0.001547,0.079028,0.000007,0.002899,0.000048,0.000007
Nanite::DrawGeometry,3297,3297.000000,2.472709,0.000173,0.002056,0.000750,0.000801,0.444183,0.000028,0.001894,0.000135,0.000047
BasePass,1649,1649.000000,2.320623,0.000261,0.003469,0.001407,0.001395,0.167568,0.000015,0.001748,0.000102,0.000033
DiffuseIndirectAndAO,3298,3298.000000,2.069562,0.000070,0.002180,0.000628,0.000283,0.534843,0.000000,0.001830,0.000162,0.000074
UpdateRadianceCaches,3298,3298.000000,2.051246,0.000039,0.002151,0.000622,0.000316,2.051246,0.000039,0.002151,0.000622,0.000316
CaptureConvolveSkyEnvMap,3296,3296.000000,1.759144,0.000008,0.003030,0.000534,0.000252,0.040131,0.000000,0.001569,0.000012,0.000000
PrePass %s %s,1648,1648.000000,1.702375,0.000106,0.003227,0.001033,0.001052,0.130233,0.000020,0.001658,0.000079,0.000020
RenderVirtualShadowMaps,1649,1649.000000,1.687090,0.000266,0.002074,0.001023,0.000960,0.126385,0.000022,0.001604,0.000077,0.000022
LumenReflections,1649,1649.000000,1.534718,0.000199,0.002180,0.000931,0.000939,1.534718,0.000199,0.002180,0.000931,0.000939
ComputeVolumetricFog,1649,1649.000000,1.471999,0.000230,0.002286,0.000893,0.000895,0.002252,0.000000,0.000004,0.000001,0.000001
VolumetricFog,1649,1649.000000,1.469747,0.000229,0.002285,0.000891,0.000894,0.066418,0.000002,0.001529,0.000040,0.000002
FXSystemPreRender,3297,3297.000000,1.403143,0.000000,0.002055,0.000426,0.000083,1.402390,0.000000,0.002055,0.000425,0.000083
