monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16826734.684000701,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1487120,1487120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.705404598,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1487120,1487120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.723942101,0.000000000,0.000000000,0.112596899,0.000000000,0.000000000,0,0,1,0,0,0,0,0,0,0,1487120,1487120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.746962801,0.000000000,0.207189471,0.112596899,0.000000000,0.008791685,0,19,1,0,19,492,0,0,0,0,1493456,1493456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.764041401,0.000000000,0.260498375,0.112596899,0.000000000,0.012394041,0,26,1,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.786594000,0.000000000,0.260498375,0.112596899,0.000000000,0.012394041,0,26,1,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.805247702,0.000000000,0.260498375,0.112596899,0.000000000,0.012394041,0,26,1,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.827688899,0.000000000,0.260498375,0.210296363,0.000000000,0.012394041,0,26,2,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.846206602,0.000000000,0.260498375,0.210296363,0.000000000,0.012394041,0,26,2,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826734.868727200,0.000000000,0.260498375,0.210296363,0.000000000,0.012394041,0,26,2,0,26,600,0,0,0,0,1493776,1493776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
