EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,Exclusive/GameThread/HandleRPC,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,FMsgLogf/FMsgLogfCount,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/FlushNet,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/FixedStep,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Pathfinding,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush
,0.073100,0.4014,0.013400,0.2020,0.018100,0.1557,0.084100,0.002400,0.006700,0,0,13.3248,0,0,80092,41124,0,1.9170,163.5481,163.5686,0.002200,0.011600,0.050800,33.9094,0.3368,0.4002,0.022800,0.008200,64,0,0,1102,7.4378,0.3363,0.4651,0.015800,0.001100,0.087900,15.3428,15.4336,15.6466,0.002800,0.001200,0.005000,0.027400,0.096000,1.4892,0.006200,0.033300,0.002600,0.002400,0.3657,0.029500,0.000100,26,0,0,0,0,2,2,4,4,50,2,102,0,8,3,3,0,44,42,0,30,3,0,8,6,0,0,0,0,0,0,0,0.3159,0,46,0,0,1.4094,1.7253,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.6196,3471.7500,5551.4531,6290.8594,0,9023.2031,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0,0
,0.064700,0.4661,0.012700,0.1283,0.016600,0.1898,0.1243,0.002000,0.006400,0,0,0,0,0,2028,213,0,0.3308,170.7392,170.7590,0.001800,0.011100,0.042400,1.7954,0.2795,0.2499,0.016900,0.005300,64,0,0,0,11.4863,0.3945,0.2558,0.019000,0.000600,0.088800,12.0193,12.3022,13.4308,0.002200,0.001000,0.005000,0.022900,0.056900,0.9275,0.001400,0.026200,0.001400,0.001800,0.1444,0.015500,0.000100,52,0,0,0,0,2,2,3,4,50,2,100,0,10,6,6,0,10,57,0,57,3,0,7,12,0,0,0,0,0,0,0,0.2057,0,45,0,0,0.9867,1.1924,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.1539,3470.7148,5551.4570,6290.8594,0,9022.1719,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,9.3503,0,0,0,0
,0.066500,0.2654,0.013000,0.1351,0.017100,0.1526,0.1092,0.002000,0.007300,0,0,0,0,0,1089,213,0,0.1492,171.1503,171.1708,0.002200,0.012600,0.040500,33.9038,0.3379,0.2869,0.016600,0.005700,62,0,0,1195,11.6039,0.2881,0.3479,0.019500,0.000800,0.077900,11.4814,11.7371,11.9719,0.002900,0.001000,0.005800,0.024000,0.2113,1.1391,0.001400,0.023100,0.001400,0.001700,0.1177,0.014400,0.000100,26,0,0,0,0,2,2,3,4,50,2,100,0,10,4,4,0,2,30,0,30,2,0,7,8,0,0,0,0,0,0,0,0.2577,0,45,0,0,1.0088,1.2665,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0333,3469.1406,5551.7695,6290.8594,0,9020.9102,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0,0
,0.055700,0.6558,0.013100,0.1501,0.014900,0.1348,0.087100,0.002300,0.007800,0,0,0,0,0,1805,1309,0,0.1924,49.9660,49.9860,0.001300,0.011000,0.037800,2.1258,0.2495,0.2424,0.013900,0.004700,64,0,0,1,6.8903,0.5256,0.2837,0.021900,0.000800,0.089100,13.9959,15.3787,16.3510,0.002100,0.000900,0.004700,0.026500,0.070300,1.8113,0.006400,0.032900,0.001400,0.001600,0.7357,0.013900,0.000200,52,0,0,0,0,2,2,3,4,50,2,104,0,6,8,8,0,80,70,0,56,2,0,7,16,0,0,0,0,0,0,0,0.3124,0,46,2.0264,0,2.0890,2.4014,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6899,3593.4492,5551.7695,6290.8594,0,9145.2188,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,4.5667,0.1207,0,0,0
,0.071500,0.4163,0.011700,0.1327,0.017100,0.1721,0.1510,0.001900,0.007100,0,0,0,0,0,1482,547,0,0.2193,61.6397,61.6596,0.002200,0.011200,0.047000,30.7203,0.3033,0.2584,0.013300,0.005300,64,0,0,1099,9.2455,0.6490,0.3943,0.019700,0.000700,0.063500,5.8734,5.9890,6.2187,0.002400,0.001000,0.004400,0.022700,0.059800,2.1489,0.001800,0.024500,0.001500,0.002100,0.5429,0.018000,0.000400,26,0,0,0,0,2,2,3,3,50,2,100,0,10,9,11,1,2,1028,0,28,2,0,6,18,0,0,0,0,0,0,0,0.3036,0,25,8.9951,0,2.5124,2.8160,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.4000,3594.0938,5552.0195,6290.8594,0,9146.1133,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,0,0,0,0,0
,0.079000,0.3544,0.015100,0.1489,0.018400,0.1385,0.089400,0.002300,0.007100,0,0,0,0,0,5583,816,0,0.7059,75.4569,75.4811,0.002400,0.011200,0.049100,2.5171,0.3810,0.3614,0.019400,0.008400,62,0,0,0,10.6994,0.6757,0.3265,0.018900,0.000700,0.085900,5.6136,5.8463,6.0904,0.001800,0.001100,0.005400,0.024600,0.1825,0.8632,0.002000,0.035000,0.001700,0.001800,0.1660,0.014100,0.000400,52,0,0,0,0,2,2,2,3,50,2,100,0,10,7,8,1,1,48,0,48,2,0,5,15,0,0,0,0,0,0,0,0.1868,0,22.5000,0,0,0.7438,0.9306,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8697,3591.0508,5552.0195,6290.8594,0,9143.0703,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,7.3952,0,6,0,0
,0.067200,0.3214,0.012800,0.1206,0.016400,0.1350,0.087000,0.002500,0.007200,0,0,0,0,0,1068,178,0,0.1085,92.9667,92.9867,0.001700,0.009700,0.037600,2.7050,0.2988,0.2563,0.014900,0.007000,62,0,0,0,7.2984,0.3148,0.3111,0.016000,0.000800,0.079300,5.5560,5.8279,6.9597,0.001900,0.000600,0.005200,0.022200,0.057700,0.9379,0.001700,0.023700,0.001500,0.002200,0.1563,0.013200,0.000200,26,0,0,0,0,2,2,2,2,50,2,100,0,8,3,3,0,16,34,0,28,2,0,4,6,0,0,0,0,0,0,0,0.1874,0,45,0,0,0.8717,1.0591,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.5934,3594.2500,5552.0820,6290.8594,0,9146.3320,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,4.3579,0,0,0,0
,0.059700,0.3114,0.012300,0.1523,0.015600,0.1317,0.070700,0.001800,0.006900,0,0,0,0,0,1963,207,0,0.2326,100.9442,100.9639,0.001600,0.011200,0.042200,2.0813,0.2902,0.2417,0.014200,0.004800,64,0,0,1,10.4751,0.4145,0.3774,0.022700,0.000800,0.072800,7.3716,8.7285,8.8145,0.002600,0.001000,0.005700,0.023000,0.058300,1.0568,0.005300,0.021800,0.001200,0.001800,0.7866,0.014700,0.000300,52,0,0,0,0,2,2,3,4,50,2,100,0,8,7,7,0,36,58,0,54,2,0,6,14,0,0,0,0,0,0,0,0.2218,0,45,0,0,0.9596,1.1814,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.8068,3579.4531,5552.0820,6290.8594,0,9131.5352,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.3411,0.1309,0,0,0
,0.063200,0.4526,0.012400,0.1314,0.016500,0.1242,0.066000,0.002500,0.006500,0,0,0,0,0,1093,117,0,0.2019,112.3929,112.4129,0.002000,0.011100,0.042500,2.4145,0.3255,0.3000,0.016100,0.007900,62,0,0,0,11.1486,0.5250,0.2953,0.017500,0.000800,0.089300,6.7857,6.9500,7.2011,0.001800,0.001000,0.005500,0.024600,0.080200,1.9229,0.001700,0.025800,0.001300,0.001800,0.1214,0.015100,0.000200,26,0,0,0,0,2,2,2,3,50,2,100,0,10,8,10,0,6,1030,0,28,2,0,5,16,0,0,0,0,0,0,0,0.2341,0,45,9.0947,0,2.2891,2.5232,0,1,2,3,12,1,2,1,0,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.4654,3577.6328,5552.0820,6290.8594,0,9129.7148,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,8.4950,0,0,0,0
,0.058400,0.4205,0.012300,0.1299,0.015900,0.1246,0.094400,0.002300,0.007000,0,0,0,0,0,6647,215,0,0.3973,125.1337,125.1539,0.002200,0.011300,0.043000,2.3149,0.3287,0.2948,0.021900,0.023900,64,0,0,0,14.0929,0.5726,0.2241,0.011500,0.000700,0.065700,10.6096,10.9087,11.7667,0.003000,0.001000,0.005600,0.028100,0.1196,1.1338,0.001600,0.021300,0.001300,0.001400,0.4040,0.014700,0.000200,52,0,0,0,0,2,2,3,4,50,2,100,0,10,7,7,0,6,55,0,55,2,0,7,14,0,0,0,0,0,0,0,0.3492,0,45,0,0,0.9023,1.2515,0,1,2,3,12,1,2,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.7679,3639.2070,5552.1445,6290.8594,0,9191.3516,32.9436,0.5000,32.0039,0.000977,0.4387,0,0,11.0676,0,0,0,0
