monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16871513.489455000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1896656,1896656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.505508300,0.000000000,0.053104013,0.000000000,0.000000000,0.002902001,0,7,0,0,7,108,0,0,0,0,1896816,1896816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.511731401,0.000000000,0.053104013,0.000000000,0.000000000,0.002902001,0,7,0,0,7,108,0,0,0,0,1896816,1896816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.520228699,0.000000000,0.121302903,0.000000000,0.000000000,0.005397946,0,13,0,0,13,300,0,0,0,0,1899728,1899728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.530317601,0.000000000,0.162798911,0.000000000,0.000000000,0.008001924,0,20,0,0,20,408,0,0,0,0,1899856,1899856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.539174899,0.000000000,0.162798911,0.000000000,0.000000000,0.008001924,0,20,0,0,20,408,0,0,0,0,1899856,1899856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.549519900,0.000000000,0.162798911,0.000000000,0.000000000,0.008001924,0,20,0,0,20,408,0,0,0,0,1899856,1899856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.559517302,0.000000000,0.271096826,0.000000000,0.000000000,0.013403594,0,33,0,0,33,708,0,0,0,0,1902864,1902864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.568907499,0.000000000,0.271096826,0.000000000,0.000000000,0.013403594,0,33,0,0,33,708,0,0,0,0,1902864,1902864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.578763600,0.000000000,0.271096826,0.080998987,0.000000000,0.013403594,0,33,1,0,33,708,0,0,0,0,1902864,1902864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.587680399,0.000000000,0.386495143,0.080998987,0.000000000,0.018395483,0,46,1,0,46,1008,0,0,0,0,1905904,1905904,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.596869700,0.000000000,0.386495143,0.080998987,0.000000000,0.018395483,0,46,1,0,46,1008,0,0,0,0,1905904,1905904,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.608182799,0.000000000,0.386495143,0.080998987,0.000000000,0.018395483,0,46,1,0,46,1008,0,0,0,0,1905904,1905904,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.617793702,0.000000000,0.386495143,0.080998987,0.000000000,0.018395483,0,46,1,0,46,1008,0,0,0,0,1905904,1905904,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.627516899,0.000000000,0.444293022,0.080998987,0.000000000,0.020693988,0,52,1,0,52,1200,0,0,0,0,1908720,1908720,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.636760399,0.000000000,0.540785491,0.080998987,0.000000000,0.025697052,0,65,1,0,65,1500,0,0,0,0,1911568,1911568,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.647278301,0.000000000,0.587984920,0.080998987,0.000000000,0.028599054,0,72,1,0,72,1608,0,0,0,0,1911696,1911696,408,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.657217398,0.000000000,0.587984920,0.080998987,0.000000000,0.028599054,0,72,1,0,72,1608,0,0,0,0,1911696,1911696,408,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.666101102,0.000000000,0.587984920,0.080998987,0.000000000,0.028599054,0,72,1,0,72,1608,0,0,0,0,1911696,1911696,408,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.676330801,0.000000000,0.659484416,0.080998987,0.000000000,0.032600015,0,77,1,0,77,1768,0,0,0,0,1914000,1914000,568,568,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.685460702,0.000000000,0.711586326,0.140998513,0.000000000,0.035598874,0,85,2,0,85,1908,0,0,0,0,1914672,1914672,708,808,608,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.694817901,0.000000000,0.711586326,0.140998513,0.000000000,0.035598874,0,85,2,0,85,1908,0,0,0,0,1914672,1914672,708,808,608,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.705196202,0.000000000,0.787787139,0.140998513,0.000000000,0.039402395,0,91,2,0,91,2100,0,0,0,0,1917584,1917584,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.714435998,0.000000000,0.830590725,0.140998513,0.000000000,0.041700900,0,98,2,0,98,2208,0,0,0,0,1917712,1917712,1008,1208,808,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.724640299,0.000000000,0.830590725,0.140998513,0.000000000,0.041700900,0,98,2,0,98,2208,0,0,0,0,1917712,1917712,1008,1208,808,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.734005600,0.000000000,0.830590725,0.140998513,0.000000000,0.041700900,0,98,2,0,98,2208,0,0,0,0,1917712,1917712,1008,1208,808,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.743273500,0.000000000,0.923588872,0.140998513,0.000000000,0.046502799,0,111,2,0,111,2508,0,0,0,0,1920720,1920720,1308,1608,1008,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.754411198,0.000000000,0.923588872,0.140998513,0.000000000,0.046502799,0,111,2,0,111,2508,0,0,0,0,1920720,1920720,1308,1608,1008,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.763567898,0.000000000,0.923588872,0.140998513,0.000000000,0.046502799,0,111,2,0,111,2508,0,0,0,0,1920720,1920720,1308,1608,1008,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.774627801,0.000000000,0.974185765,0.140998513,0.000000000,0.049106777,0,116,2,0,116,2668,0,0,0,0,1922736,1922736,1468,1768,1168,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.783697899,0.000000000,1.026686281,0.202998519,0.000000000,0.052310526,0,124,3,0,124,2808,0,0,0,0,1923376,1923376,1608,2008,1208,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.793189101,0.000000000,1.026686281,0.202998519,0.000000000,0.052310526,0,124,3,0,124,2808,0,0,0,0,1923376,1923376,1608,2008,1208,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.802797802,0.000000000,1.026686281,0.202998519,0.000000000,0.052310526,0,124,3,0,124,2808,0,0,0,0,1923376,1923376,1608,2008,1208,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.811795399,0.000000000,1.118980348,0.202998519,0.000000000,0.057213008,0,137,3,0,137,3108,0,0,0,0,1925872,1925872,1908,2408,1408,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.821304400,0.000000000,1.118980348,0.202998519,0.000000000,0.057213008,0,137,3,0,137,3108,0,0,0,0,1925872,1925872,1908,2408,1408,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.830989901,0.000000000,1.118980348,0.202998519,0.000000000,0.057213008,0,137,3,0,137,3108,0,0,0,0,1925872,1925872,1908,2408,1408,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.840252802,0.000000000,1.171872020,0.202998519,0.000000000,0.059910119,0,142,3,0,142,3268,0,0,0,0,1928272,1928272,2068,2568,1568,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.849602800,0.000000000,1.221064478,0.202998519,0.000000000,0.062711537,0,150,3,0,150,3408,0,0,0,0,1928816,1928816,2208,2808,1608,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.858778302,0.000000000,1.221064478,0.202998519,0.000000000,0.062711537,0,150,3,0,150,3408,0,0,0,0,1928816,1928816,2208,2808,1608,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.869012602,0.000000000,1.221064478,0.202998519,0.000000000,0.062711537,0,150,3,0,150,3408,0,0,0,0,1928816,1928816,2208,2808,1608,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.878404099,0.000000000,1.221064478,0.269096345,0.000000000,0.062711537,0,150,4,0,150,3408,0,0,0,0,1928816,1928816,2208,2808,1608,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.887922101,0.000000000,1.311469823,0.269096345,0.000000000,0.066820532,0,163,4,0,163,3708,0,0,0,0,1931760,1931760,2508,3208,1808,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.897829201,0.000000000,1.311469823,0.269096345,0.000000000,0.066820532,0,163,4,0,163,3708,0,0,0,0,1931760,1931760,2508,3208,1808,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871513.907145701,0.000000000,1.311469823,0.269096345,0.000000000,0.066820532,0,163,4,0,163,3708,0,0,0,0,1931760,1931760,2508,3208,1808,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
