EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/HandleRPC,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.070900,0.4838,0.013300,1.0117,0.019400,0.081600,0.002200,0.007700,1.7379,1.7583,0.001200,0.006500,0.032300,0.6626,0.2784,0.2387,0.013900,0.003100,0.2611,0.014700,0.000600,0.002500,0.1461,0.3634,0.002000,0.001000,0.002700,0.018400,0.1708,0.6703,0.1028,0.002000,0.2683,0.003100,0.002600,0.3423,0.5487,0.000400,0,0,0,0,8.8218,0,0,54,0,0,0,0,0,0,1,1,3,3,46,2,49,0,5,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0.1580,0,41,0,0,0.5924,0.7504,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6014,7579.2773,5542.8906,6263.0820,0,13122.1680,32.8225,0.4375,32.0039,0.004883,0.3762,0,0,0,0,0.1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.066200,0.088200,0.011700,0.094300,0.014900,0.032400,0.002200,0.008900,1.8413,1.8654,0.001700,0.009600,0.036600,0.7596,0.2782,0.2394,0.014900,0.002800,0.3079,0.017100,0.000600,0.056400,0.2519,0.4466,0.001600,0.000900,0.002100,0.016100,0.044800,0.2906,0.1809,0.001700,0.021900,0.001200,0.001700,0.1152,0.012100,0.000100,3.0656,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,0,44,4,49,0,3,3,3,0,0,13,0,13,1,0,0,3,0,0,0,0,0,0,0,0.079893,0,20,0,0,0.2242,0.3041,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0007,7579.3125,5542.8984,6263.1484,0,13122.2109,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,4.2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067800,0.048600,0.013200,0.1021,0.015800,0.1297,0.002800,0.008300,2.0251,2.0516,0.001600,0.010900,0.042900,0.4696,0.4101,0.2983,0.016800,0.004400,0.2930,0.015100,0.000800,0.002200,0.2581,0.4534,0.001400,0.001000,0.002000,0.014600,0.045100,0.3327,0.078500,0.001700,0.020000,0.001300,0.002100,0.1010,0.013300,0.000200,0,0.080100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.097491,0,27,0,0,0.2732,0.3707,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9205,7579.3750,5542.8984,6263.1484,0,13122.2734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1300,0.076300,0.014000,0.1043,0.016400,0.069300,0.002500,0.007300,1.7443,1.7665,0.001600,0.007000,0.034400,0.9269,0.2280,0.2587,0.014300,0.003200,0.2869,0.015700,0.000500,0.002500,1.4259,1.5299,0.001600,0.000700,0.002800,0.017900,0.046400,0.2993,0.2226,0.001700,0.019200,0.001200,0.001700,0.1052,0.013300,0.000100,2.3031,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.082891,0,20,0,0,0.2316,0.3145,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4056,7576.9375,5542.9062,6263.1484,0,13119.8438,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,3.4864,0.1255,0,0,76159,40358,0,2.0273,0,0,0,0,0,0,0,0,0,0,0
,0.073500,0.049800,0.012700,0.1472,0.017400,0.069400,0.002400,0.009000,1.9151,1.9402,0.001600,0.008800,0.034300,0.4137,0.3198,0.2653,0.019200,0.004400,0.2545,0.013600,0.000600,0.002200,7.3530,7.5641,0.002200,0.000800,0.004000,0.018900,0.054900,0.3412,0.1021,0.002500,0.040600,0.002000,0.002200,0.6313,0.013900,0.000300,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.097603,0,26,0,0,0.2799,0.3775,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1462,7577.5000,5542.9688,6263.1484,0,13120.4688,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,0.1441,0,7.2206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.066900,0.1342,0.013500,0.1183,0.016500,0.067800,0.002400,0.007300,1.8632,1.8858,0.001600,0.009800,0.036200,1.7722,0.2789,0.2368,0.014200,0.002600,0.2857,0.014600,0.000600,0.002500,0.3735,1.4713,0.001900,0.000700,0.002900,0.018300,0.044700,0.6947,0.2376,0.001400,0.020800,0.001200,0.001800,0.1402,0.010600,0.000100,2.6180,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,6,6,0,6,313,0,13,0,0,1,6,0,0,0,0,0,0,0,0.098702,0,34,2.6631,0,0.7850,0.8837,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8532,7577.2500,5542.9688,6263.1484,0,13120.2188,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,4.8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.089400,0.1192,0.011500,0.1161,0.016500,0.070400,0.002700,0.007600,1.7634,1.7857,0.001900,0.006800,0.034300,0.7036,0.2817,0.2451,0.014000,0.003100,0.3854,0.018200,0.000600,0.073300,0.3453,0.5970,0.002200,0.001000,0.003500,0.020800,0.045100,0.7982,0.1968,0.001800,0.020900,0.001500,0.001400,0.1096,0.014400,0.000100,3.7496,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,4,4,0,0,400,0,0,1,0,2,4,0,0,0,0,0,0,0,0.1150,0,18,2.9180,0,0.9396,1.0546,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4565,7577.1055,5542.9688,6263.1484,0,13120.0742,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,4.4434,0,0,0,2918,365,0,0.3824,0,0,0,0,0,0,0,0,0,0,0
,0.070100,0.087000,0.014000,0.1067,0.017500,0.036800,0.002600,0.011000,1.8534,1.8830,0.001700,0.008500,0.034300,0.7027,0.2638,0.2371,0.014700,0.003000,0.2366,0.013800,0.000600,0.002400,1.2870,1.3422,0.001500,0.000700,0.002400,0.016800,0.049000,0.4013,0.1894,0.001900,0.020100,0.001300,0.001900,0.1112,0.013800,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,0,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0.1044,0,29,0,0,0.3230,0.4274,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2545,7577.0586,5542.9688,6263.1484,0,13120.0273,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0.1540,0.1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067200,0.041900,0.008400,0.1067,0.014600,0.1582,0.002400,0.007100,2.0229,2.0454,0.001500,0.007100,0.035100,0.6401,0.2593,0.2475,0.014500,0.003200,0.3783,0.022800,0.000700,0.002600,0.1757,0.3901,0.002200,0.000900,0.002400,0.019400,0.063100,0.3559,0.080400,0.001800,0.018300,0.001300,0.001900,0.099200,0.014700,0.000200,3.6394,0.071800,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.094801,0,24,0,0,0.2925,0.3873,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0123,7576.9180,5543.0312,6263.1484,0,13119.9492,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,4.4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.071000,0.2343,0.012700,0.1499,0.017500,0.037400,0.002200,0.009700,1.7634,1.7888,0.001500,0.010400,0.037100,0.7376,0.3314,0.2471,0.015100,0.003700,0.2347,0.015200,0.000600,0.015400,7.4248,7.6307,0.001900,0.000900,0.004100,0.018800,0.049000,0.3286,0.1777,0.001800,0.023600,0.001500,0.002100,0.6502,0.013000,0.000200,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,0,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0.095502,0,23,0,0,0.4094,0.5049,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7425,7576.8359,5543.0312,6263.1484,0,13119.8672,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0.1702,0,7.1792,1,3076,351,0,0.1837,0,0,0,0,0,0,0,0,0,0,0
