EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.1579,0.061300,0.099300,0.010500,0.1262,0.015400,0.076200,0.002500,0.007100,1.7878,1.8084,0.001500,0.008200,0.035900,0.8275,0.2938,0.5163,0.017500,0.003600,0.4032,0.022600,0.000800,0.002800,0.1184,1.1963,0.001600,0.000700,0.002300,0.015200,0.1008,0.5326,0.073900,0.001700,0.028400,0.002600,0.001500,0.3139,0.032600,0.000200,0,0,0,0,8.5704,0,0,54,0,0,0,0,0,0,1,1,2,2,46,2,49,0,5,1,1,0,10,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1149,0,35,0,0,0.4934,0.6083,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6449,7666.2656,5552.8984,6279.1836,0,13219.1641,32.8225,0.4375,32.0039,0.004883,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.6526,0.073400,0.080800,0.013100,0.1066,0.015900,0.1434,0.002300,0.007100,1.6896,1.7123,0.001700,0.008400,0.041100,0.8045,0.3039,0.2531,0.018300,0.003300,0.3058,0.023600,0.000800,0.002700,0.2852,0.5030,0.001700,0.000700,0.002200,0.016600,0.1193,0.3227,0.1895,0.001700,0.025500,0.001300,0.001800,0.099600,0.014100,0.000300,0.097800,2.4025,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,45,3,48,0,4,2,2,0,0,14,0,14,1,0,2,2,0,0,0,0,0,0,0,0.090797,0,23,0,0,0.2529,0.3437,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8673,7666.7031,5552.8984,6279.1836,0,13219.6016,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1364,0.067200,0.051100,0.013900,0.094400,0.015400,0.087000,0.002800,0.006900,1.6612,1.6837,0.001300,0.006600,0.035000,0.5736,0.2414,0.2351,0.014200,0.003000,0.2665,0.020000,0.000600,0.002000,0.2640,0.4400,0.001400,0.000800,0.001500,0.012800,0.043100,0.3747,0.083500,0.001400,0.019000,0.001300,0.001200,0.1022,0.014000,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.099305,0,29,0,0,0.3158,0.4151,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8058,7666.5781,5552.8984,6279.1836,0,13219.4766,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.4462,0.1232,0.094100,0.008100,0.096300,0.015900,0.058500,0.002400,0.006800,1.4303,1.4507,0.001300,0.008300,0.036000,1.0044,0.2636,0.2362,0.014400,0.004100,0.2488,0.016500,0.000500,0.002300,1.3866,1.4535,0.001500,0.000800,0.002100,0.015800,0.044900,0.3612,0.2120,0.001700,0.020600,0.001300,0.001700,0.1278,0.014400,0.000400,0,1.9601,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.098489,0,27,0,0,0.2826,0.3811,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1415,7666.4531,5552.9141,6279.1836,0,13219.3672,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,13,0,0.1193,0,0,81425,40354,0,1.9351,0,0,0,0,0,0,0,0,0,0,0
,0.1769,0.071100,0.070000,0.014600,0.1562,0.018200,0.076900,0.002600,0.007100,1.6971,1.7199,0.001900,0.008400,0.037500,0.5868,0.3009,0.2460,0.014800,0.003900,0.2762,0.014300,0.000600,0.062600,7.4837,7.6934,0.001900,0.001000,0.003700,0.022300,0.058200,0.5247,0.092600,0.001800,0.026300,0.001300,0.001800,0.6682,0.013200,0.000200,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1371,0,26,0,0,0.4203,0.5574,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8951,7663.4531,5552.9922,6279.1836,0,13216.4453,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,1,0,7.3501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.0379,0.063400,0.1202,0.012200,0.1008,0.014800,0.033400,0.002300,0.008600,1.7767,1.8000,0.001500,0.006800,0.038300,1.7906,0.2800,0.2659,0.014900,0.003200,0.3030,0.013600,0.000800,0.002200,0.2648,0.4727,0.002400,0.001400,0.001900,0.019300,0.041200,0.7089,0.2392,0.001300,0.040900,0.001400,0.001500,0.1064,0.014500,0.000200,0,2.8358,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,6,6,0,1,313,0,13,0,0,0,6,0,0,0,0,0,0,0,0.1246,0,24,2.6611,0,0.7526,0.8772,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4862,7663.3281,5553.0117,6279.1836,0,13216.3398,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1321,0.062100,0.1148,0.009600,0.084000,0.013200,0.052700,0.002000,0.005800,1.6145,1.6329,0.001300,0.007300,0.035100,0.6094,0.2288,0.2342,0.014700,0.002800,0.3012,0.014200,0.000500,0.002400,0.2701,0.4479,0.001800,0.000800,0.001600,0.013400,0.039200,0.6534,0.1223,0.001300,0.022100,0.001500,0.001100,0.1020,0.013300,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,1,400,0,0,0,0,1,4,0,0,0,0,0,0,0,0.095014,0,26,2.9229,0,0.7647,0.8597,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2271,7663.3281,5553.0312,6279.1836,0,13216.3594,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,2850,365,0,0.2631,0,0,0,0,0,0,0,0,0,0,0
,3.3403,0.064100,0.042400,0.013700,0.1019,0.015300,0.1121,0.002300,0.008100,2.0676,2.0905,0.001300,0.008200,0.041200,0.4986,0.2606,0.2439,0.020000,0.003800,0.2631,0.014600,0.000800,0.002400,1.3167,1.3912,0.001300,0.000800,0.002200,0.016800,0.046800,0.3102,0.096500,0.001700,0.022600,0.001300,0.001500,0.098000,0.013900,0.000100,0.071800,2.5236,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.088602,0,22,0,0,0.2538,0.3424,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2071,7663.1055,5553.0312,6279.1836,0,13216.1367,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,1,0.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1641,0.067600,0.093100,0.013000,0.1066,0.016700,0.063200,0.002300,0.007100,1.8128,1.8345,0.001400,0.006800,0.036800,0.8055,0.2725,0.2425,0.015100,0.003100,0.3589,0.016900,0.000800,0.002500,0.2120,0.4432,0.001600,0.001000,0.002100,0.017200,0.055500,0.4343,0.1789,0.002000,0.024200,0.001400,0.001700,0.1151,0.012100,0.000300,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.1179,0,26,0,0,0.3441,0.4620,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5991,7662.9688,5553.0938,6279.1836,0,13216.0625,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5210,0.070000,0.1911,0.013000,0.094200,0.015400,0.068900,0.002500,0.007300,1.6621,1.6832,0.001600,0.007100,0.035200,0.6386,0.2555,0.2434,0.014300,0.003100,0.3075,0.015600,0.000700,0.002400,0.2432,0.4425,0.001300,0.001000,0.002200,0.016000,0.049400,0.3449,0.087400,0.001800,0.020200,0.001300,0.001700,0.1059,0.013100,0.000100,0,3.7950,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.096798,0,25,0,0,0.4281,0.5249,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4338,7662.6406,5553.0938,6279.1836,0,13215.7344,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,3100,351,0,0.2340,0,0,0,0,0,0,0,0,0,0,0
