seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017618,17.61810,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.035723,18.10450,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.049527,13.80390,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.069641,20.11470,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.090989,21.34820,1,7.34230,1.31350,1200,1200,0,0,0,3409,58809,0.000
0.105042,14.05300,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.117276,12.23310,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.137484,20.20880,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.150066,12.58140,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.170512,20.44620,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.190533,20.02150,1,7.50090,1.28190,1200,1200,0,0,0,3409,58809,0.000
0.204224,13.69080,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.218296,14.07220,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.237212,18.91530,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.251543,14.33110,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.272549,21.00620,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.290817,18.26780,1,6.75250,1.26640,1200,1200,0,0,0,3409,58809,0.000
0.303462,12.64540,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.317447,13.98460,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.337505,20.05770,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.351990,14.48560,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
0.371825,19.83530,0,0.00000,0.00000,1200,1200,0,0,0,3409,58809,0.000
