monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16871644.383067299,77.878297199,127.0.0.1:63637,44782,1068891,28
16871644.400685400,77.895915300,127.0.0.1:63637,44858,1069035,28
16871644.418789901,77.914019801,127.0.0.1:63637,45017,1070831,28
16871644.432593800,77.927823700,127.0.0.1:63637,45055,1070869,28
16871644.452708501,77.947938401,127.0.0.1:63637,45093,1072729,28
16871644.474056698,77.969286598,127.0.0.1:63637,45131,1072777,28
16871644.488109700,77.983339600,127.0.0.1:63637,45131,1076921,28
16871644.500342801,77.995572701,127.0.0.1:63637,45169,1080435,28
16871644.520551600,78.015781499,127.0.0.1:63637,45328,1080473,28
16871644.533133000,78.028362900,127.0.0.1:63637,45366,1082432,28
16871644.553579200,78.048809100,127.0.0.1:63637,45442,1082470,28
16871644.573600698,78.068830598,127.0.0.1:63637,45442,1084462,28
16871644.587291501,78.082521401,127.0.0.1:63637,45518,1088729,28
16871644.601363700,78.096593600,127.0.0.1:63637,45556,1088783,28
16871644.620278999,78.115508899,127.0.0.1:63637,45556,1091202,28
16871644.634610102,78.129840001,127.0.0.1:63637,45715,1091240,28
16871644.655616298,78.150846198,127.0.0.1:63637,45791,1093340,28
16871644.673884101,78.169114001,127.0.0.1:63637,45829,1093394,28
16871644.686529499,78.181759398,127.0.0.1:63637,45829,1097697,28
16871644.700514100,78.195744000,127.0.0.1:63637,45905,1097735,28
16871644.720571801,78.215801701,127.0.0.1:63637,46064,1101259,28
16871644.735057399,78.230287299,127.0.0.1:63637,46064,1103422,28
16871644.754892699,78.250122599,127.0.0.1:63637,46140,1103460,28
16871644.774364501,78.269594401,127.0.0.1:63637,46178,1105578,28
16871644.788963702,78.284193601,127.0.0.1:63637,46216,1109896,28
16871644.798817400,78.294047300,127.0.0.1:63637,46254,1109934,28
16871644.819487002,78.314716902,127.0.0.1:63637,46413,1109972,28
16871644.834286001,78.329515900,127.0.0.1:63637,46451,1112079,28
16871644.853095699,78.348325599,127.0.0.1:63637,46527,1112157,28
16871644.872635499,78.367865399,127.0.0.1:63637,46527,1114560,28
16871644.887211502,78.382441401,127.0.0.1:63637,46603,1116677,28
16871644.899462100,78.394692000,127.0.0.1:63637,46679,1116728,28
16871644.920019101,78.415249001,127.0.0.1:63637,46800,1116817,28
16871644.931747600,78.426977500,127.0.0.1:63637,46838,1118927,28
16871644.954170901,78.449400801,127.0.0.1:63637,46914,1118965,28
16871644.973182101,78.468412001,127.0.0.1:63637,46952,1121135,28
