monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16871644.383067299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2008960,2008960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.400685400,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2008960,2008960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.418789901,0.388097018,0.000000000,0.046301633,0.000000000,0.000000000,13,0,1,0,0,0,0,0,300,1633,2011840,2011840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.432593800,0.388097018,0.000000000,0.046301633,0.000000000,0.000000000,13,0,1,0,0,0,0,0,300,1633,2011840,2011840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.452708501,0.950504094,0.000000000,0.046301633,0.000000000,0.000000000,26,0,1,0,0,0,0,0,600,3300,2014880,2014880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.474056698,0.950504094,0.000000000,0.046301633,0.000000000,0.000000000,26,0,1,0,0,0,0,0,600,3300,2014880,2014880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.488109700,1.360099763,0.000000000,0.046301633,0.490300357,0.000000000,39,0,1,1,0,0,0,0,900,5091,2017792,2017792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.500342801,1.360099763,0.000000000,0.046301633,0.490300357,0.000000000,39,0,1,1,0,0,0,0,900,5091,2017792,2017792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.520551600,1.360099763,0.000000000,0.091899186,0.490300357,0.000000000,39,0,2,1,0,0,0,0,900,5091,2017792,2017792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.533133000,1.789391041,0.000000000,0.091899186,0.490300357,0.000000000,52,0,2,1,0,0,0,0,1200,6857,2020736,2020736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.553579200,1.789391041,0.000000000,0.091899186,0.490300357,0.000000000,52,0,2,1,0,0,0,0,1200,6857,2020736,2020736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.573600698,2.202294767,0.000000000,0.091899186,0.490300357,0.000000000,65,0,2,1,0,0,0,0,1500,8646,2023808,2023808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.587291501,2.617694438,0.000000000,0.091899186,0.909700990,0.000000000,78,0,2,2,0,0,0,0,1800,10479,2026784,2026784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.601363700,2.617694438,0.000000000,0.091899186,0.909700990,0.000000000,78,0,2,2,0,0,0,0,1800,10479,2026784,2026784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.620278999,3.021996468,0.000000000,0.091899186,0.909700990,0.000000000,91,0,2,2,0,0,0,0,2100,12408,2029824,2029824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.634610102,3.021996468,0.000000000,0.138696283,0.909700990,0.000000000,91,0,3,2,0,0,0,0,2100,12408,2029824,2029824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.655616298,3.433901817,0.000000000,0.138696283,0.909700990,0.000000000,104,0,3,2,0,0,0,0,2400,14258,2032832,2032832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.673884101,3.433901817,0.000000000,0.138696283,0.909700990,0.000000000,104,0,3,2,0,0,0,0,2400,14258,2032832,2032832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.686529499,3.840804100,0.000000000,0.138696283,1.319602132,0.000000000,117,0,3,3,0,0,0,0,2700,16208,2035744,2035744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.700514100,3.840804100,0.000000000,0.138696283,1.319602132,0.000000000,117,0,3,3,0,0,0,0,2700,16208,2035744,2035744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.720571801,3.840804100,0.000000000,0.185996294,1.319602132,0.000000000,117,0,4,3,0,0,0,0,2700,16208,2035744,2035744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.735057399,4.244305193,0.000000000,0.185996294,1.319602132,0.000000000,130,0,4,3,0,0,0,0,3000,18163,2038752,2038752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.754892699,4.244305193,0.000000000,0.185996294,1.319602132,0.000000000,130,0,4,3,0,0,0,0,3000,18163,2038752,2038752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.774364501,4.669107497,0.000000000,0.185996294,1.319602132,0.000000000,143,0,4,3,0,0,0,0,3300,20078,2041728,2041728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.788963702,5.071505904,0.000000000,0.185996294,1.861002296,0.000000000,156,0,4,4,0,0,0,0,3600,22018,2044704,2044704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.798817400,5.071505904,0.000000000,0.185996294,1.861002296,0.000000000,156,0,4,4,0,0,0,0,3600,22018,2044704,2044704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.819487002,5.071505904,0.000000000,0.231496990,1.861002296,0.000000000,156,0,5,4,0,0,0,0,3600,22018,2044704,2044704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.834286001,5.611903965,0.000000000,0.231496990,1.861002296,0.000000000,169,0,5,4,0,0,0,0,3900,23932,2047200,2047200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.853095699,5.611903965,0.000000000,0.231496990,1.861002296,0.000000000,169,0,5,4,0,0,0,0,3900,23932,2047200,2047200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.872635499,6.035715342,0.000000000,0.231496990,1.861002296,0.000000000,182,0,5,4,0,0,0,0,4200,25850,2049792,2049792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.887211502,6.431013346,0.000000000,0.231496990,2.313002944,0.000000000,195,0,5,5,0,0,0,0,4500,27774,2052864,2052864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.899462100,6.431013346,0.000000000,0.231496990,2.313002944,0.000000000,195,0,5,5,0,0,0,0,4500,27774,2052864,2052864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.920019101,6.431013346,0.000000000,0.278897583,2.313002944,0.000000000,195,0,6,5,0,0,0,0,4500,27774,2052864,2052864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.931747600,6.821312010,0.000000000,0.278897583,2.313002944,0.000000000,208,0,6,5,0,0,0,0,4800,29691,2055808,2055808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.954170901,6.821312010,0.000000000,0.278897583,2.313002944,0.000000000,208,0,6,5,0,0,0,0,4800,29691,2055808,2055808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.973182101,7.199317217,0.000000000,0.278897583,2.313002944,0.000000000,221,0,6,5,0,0,0,0,5100,31644,2057824,2057824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871644.988768701,7.632501423,0.000000000,0.278897583,2.788700163,0.000000000,234,0,6,6,0,0,0,0,5400,33658,2060992,2060992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.000737201,7.632501423,0.000000000,0.278897583,2.788700163,0.000000000,234,0,6,6,0,0,0,0,5400,33658,2060992,2060992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.020041700,8.023299277,0.000000000,0.324197114,2.788700163,0.000000000,247,0,7,6,0,0,0,0,5700,35652,2063968,2063968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.032962900,8.023299277,0.000000000,0.324197114,2.788700163,0.000000000,247,0,7,6,0,0,0,0,5700,35652,2063968,2063968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.053234700,8.497696370,0.000000000,0.324197114,2.788700163,0.000000000,260,0,7,6,0,0,0,0,6000,37640,2066592,2066592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.073657099,8.497696370,0.000000000,0.324197114,2.788700163,0.000000000,260,0,7,6,0,0,0,0,6000,37640,2066592,2066592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.088965800,8.891101927,0.000000000,0.324197114,3.208599985,0.000000000,273,0,7,7,0,0,0,0,6300,39622,2068544,2068544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.101063699,8.891101927,0.000000000,0.324197114,3.208599985,0.000000000,273,0,7,7,0,0,0,0,6300,39622,2068544,2068544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16871645.122991800,8.891101927,0.000000000,0.390898436,3.208599985,0.000000000,273,0,8,7,0,0,0,0,6300,39622,2068544,2068544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
