Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3720,3720.000000,59.682799,0.002433,0.021353,0.016044,0.016193,0.513329,0.000002,0.002415,0.000138,0.000075
SceneRender,3720,3720.000000,58.341929,0.002387,0.021156,0.015683,0.015848,10.670612,0.000001,0.009354,0.002868,0.002694
RenderGraphExecute,7438,7438.000000,48.359443,0.000037,0.021020,0.006502,0.003746,1.884648,0.000002,0.003412,0.000253,0.000036
Scene,3720,3720.000000,45.518476,0.002384,0.019052,0.012236,0.011980,1.938256,0.000001,0.003534,0.000521,0.000322
FEngineLoop::Tick,1860,1860.000000,29.998437,0.001881,0.023495,0.016128,0.016290,0.015752,0.000002,0.000065,0.000008,0.000009
Frame,1860,1860.000000,29.956638,0.001880,0.023469,0.016106,0.016273,0.007545,0.000000,0.000016,0.000004,0.000004
FrameTime,3719,3719.000000,29.919061,0.000103,0.023149,0.008045,0.001965,0.100622,0.000001,0.000150,0.000027,0.000006
Frame Sync Time,1860,1860.000000,17.883318,0.001691,0.015158,0.009615,0.009581,0.019535,0.000003,0.000082,0.000011,0.000011
GameThreadWaitForTask,1860,1860.000000,17.848019,0.001677,0.015142,0.009596,0.009565,0.002517,0.000000,0.000018,0.000001,0.000001
Game thread idle time,1860,1860.000000,17.845502,0.001677,0.015141,0.009594,0.009565,17.845474,0.001677,0.015141,0.009594,0.009565
Tick_Engine,1859,1859.000000,9.193621,0.002801,0.008076,0.004945,0.004933,0.002435,0.000001,0.000042,0.000001,0.000001
GameEngine Tick,1859,1859.000000,9.191186,0.002800,0.008075,0.004944,0.004931,0.092065,0.000037,0.000170,0.000050,0.000049
DiffuseIndirectAndAO,3716,3716.000000,8.842229,0.000043,0.009887,0.002380,0.002777,0.085410,0.000001,0.002211,0.000023,0.000001
LumenScreenProbeGather,3716,3716.000000,7.757611,0.000041,0.008917,0.002088,0.002148,5.243158,0.000001,0.005844,0.001411,0.000562
PostProcessing,3718,3718.000000,7.219402,0.000267,0.006566,0.001942,0.002176,0.688735,0.000003,0.002331,0.000185,0.000121
UWorld_Tick,1859,1859.000000,7.079261,0.001900,0.006854,0.003808,0.003801,0.039278,0.000016,0.000050,0.000021,0.000021
World Tick Time,1859,1859.000000,7.020600,0.001872,0.006829,0.003777,0.003775,0.048666,0.000018,0.000107,0.000026,0.000026
Tick Time,7436,7436.000000,5.479043,0.000003,0.002791,0.000737,0.000566,0.017242,0.000000,0.000023,0.000002,0.000002
ReleaseTickGroup Block,11154,11154.000000,5.241421,0.000010,0.002426,0.000470,0.000229,0.001839,0.000000,0.000017,0.000000,0.000000
TickCompletionEvents,13013,13013.000000,5.239583,0.000001,0.002426,0.000403,0.000074,0.013166,0.000000,0.000032,0.000001,0.000001
