monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16871775.213142902,37.066885602,127.0.0.1:18713,1035182,45615,28
16871775.229962200,37.083704900,127.0.0.1:18713,1037279,45735,28
16871775.236570399,37.090313099,127.0.0.1:18713,1037332,45735,28
16871775.245169301,37.098912001,127.0.0.1:18713,1037332,45773,28
16871775.253970999,37.107713699,127.0.0.1:18713,1039139,45811,28
16871775.264173798,37.117916498,127.0.0.1:18713,1039139,45811,28
16871775.274612602,37.128355302,127.0.0.1:18713,1039184,45849,28
16871775.283947699,37.137690399,127.0.0.1:18713,1040274,45887,28
16871775.294681299,37.148424000,127.0.0.1:18713,1040986,45925,28
16871775.304270498,37.158013199,127.0.0.1:18713,1045089,45963,28
16871775.313691702,37.167434402,127.0.0.1:18713,1045089,45963,28
16871775.324505702,37.178248402,127.0.0.1:18713,1048598,46083,28
16871775.333876502,37.187619202,127.0.0.1:18713,1048598,46083,28
16871775.344233099,37.197975799,127.0.0.1:18713,1048680,46121,28
16871775.353477299,37.207219999,127.0.0.1:18713,1050662,46159,28
16871775.363947898,37.217690598,127.0.0.1:18713,1050662,46159,28
16871775.372851498,37.226594198,127.0.0.1:18713,1052703,46197,28
16871775.382421099,37.236163799,127.0.0.1:18713,1052703,46197,28
16871775.393621299,37.247363999,127.0.0.1:18713,1052813,46235,28
16871775.402885702,37.256628402,127.0.0.1:18713,1056980,46273,28
16871775.412375700,37.266118400,127.0.0.1:18713,1056980,46273,28
16871775.421547800,37.275290500,127.0.0.1:18713,1057028,46393,28
16871775.431010298,37.284752999,127.0.0.1:18713,1057028,46393,28
16871775.441612698,37.295355398,127.0.0.1:18713,1057090,46431,28
16871775.450649198,37.304391898,127.0.0.1:18713,1059094,46469,28
16871775.460849199,37.314591900,127.0.0.1:18713,1059094,46469,28
16871775.470278401,37.324021101,127.0.0.1:18713,1061384,46507,28
16871775.479454201,37.333196901,127.0.0.1:18713,1061384,46507,28
16871775.490389299,37.344131999,127.0.0.1:18713,1061384,46507,28
16871775.499340300,37.353083000,127.0.0.1:18713,1062564,46545,28
16871775.511038098,37.364780799,127.0.0.1:18713,1065766,46583,28
16871775.520539299,37.374281999,127.0.0.1:18713,1069300,46621,28
16871775.530752901,37.384495601,127.0.0.1:18713,1069300,46741,28
16871775.540267099,37.394009799,127.0.0.1:18713,1071483,46779,28
16871775.550236098,37.403978799,127.0.0.1:18713,1071521,46817,28
16871775.559502602,37.413245302,127.0.0.1:18713,1071521,46817,28
16871775.569188599,37.422931299,127.0.0.1:18713,1072662,46855,28
16871775.579055101,37.432797801,127.0.0.1:18713,1073672,46893,28
16871775.588319201,37.442061901,127.0.0.1:18713,1073672,46893,28
16871775.597595200,37.451337900,127.0.0.1:18713,1074879,46931,28
16871775.608021300,37.461764000,127.0.0.1:18713,1078056,46969,28
16871775.616989501,37.470732201,127.0.0.1:18713,1078104,47007,28
16871775.627873700,37.481616400,127.0.0.1:18713,1078104,47127,28
16871775.636960499,37.490703199,127.0.0.1:18713,1080393,47165,28
16871775.645401798,37.499144498,127.0.0.1:18713,1080393,47165,28
16871775.656181600,37.509924300,127.0.0.1:18713,1080456,47165,28
16871775.665660899,37.519403599,127.0.0.1:18713,1080456,47203,28
16871775.676044598,37.529787298,127.0.0.1:18713,1080456,47203,28
16871775.685687002,37.539429702,127.0.0.1:18713,1081556,47241,28
16871775.695002399,37.548745099,127.0.0.1:18713,1082572,47279,28
16871775.704573799,37.558316499,127.0.0.1:18713,1084738,47317,28
16871775.713699300,37.567442000,127.0.0.1:18713,1084738,47317,28
16871775.722466599,37.576209299,127.0.0.1:18713,1085056,47437,28
16871775.732101999,37.585844699,127.0.0.1:18713,1086426,47475,28
16871775.741511300,37.595254000,127.0.0.1:18713,1087296,47513,28
16871775.750651300,37.604394000,127.0.0.1:18713,1087347,47551,28
16871775.760590199,37.614332899,127.0.0.1:18713,1087347,47551,28
16871775.770153400,37.623896100,127.0.0.1:18713,1089501,47589,28
16871775.779849000,37.633591700,127.0.0.1:18713,1089501,47589,28
16871775.789324299,37.643066999,127.0.0.1:18713,1089501,47589,28
16871775.798716299,37.652458999,127.0.0.1:18713,1090796,47627,28
16871775.809437901,37.663180601,127.0.0.1:18713,1097462,47665,28
16871775.819258500,37.673001200,127.0.0.1:18713,1097525,47703,28
16871775.828958500,37.682701200,127.0.0.1:18713,1097525,47823,28
16871775.838308100,37.692050800,127.0.0.1:18713,1099800,47861,28
16871775.847655900,37.701398600,127.0.0.1:18713,1099800,47861,28
16871775.858069099,37.711811800,127.0.0.1:18713,1099863,47899,28
16871775.867341001,37.721083701,127.0.0.1:18713,1101033,47937,28
16871775.877783999,37.731526699,127.0.0.1:18713,1102043,47975,28
16871775.886785101,37.740527801,127.0.0.1:18713,1102043,47975,28
16871775.895789899,37.749532599,127.0.0.1:18713,1102081,48013,28
16871775.906545199,37.760287900,127.0.0.1:18713,1106422,48051,28
16871775.915824499,37.769567199,127.0.0.1:18713,1106495,48089,28
16871775.926560599,37.780303299,127.0.0.1:18713,1106495,48209,28
16871775.935972601,37.789715301,127.0.0.1:18713,1108800,48247,28
16871775.945729800,37.799472500,127.0.0.1:18713,1108800,48247,28
16871775.955862299,37.809604999,127.0.0.1:18713,1108838,48285,28
16871775.964970399,37.818713099,127.0.0.1:18713,1109958,48323,28
16871775.975536302,37.829279002,127.0.0.1:18713,1111261,48361,28
16871775.984470099,37.838212799,127.0.0.1:18713,1111261,48361,28
16871775.993675102,37.847417802,127.0.0.1:18713,1111325,48399,28
