Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3636,3636.000000,59.683048,0.004850,0.020921,0.016414,0.016538,0.512021,0.000002,0.002949,0.000141,0.000062
SceneRender,3636,3636.000000,58.321192,0.004792,0.020864,0.016040,0.016156,10.685333,0.000001,0.008600,0.002939,0.002867
RenderGraphExecute,7270,7270.000000,48.356341,0.000027,0.019180,0.006651,0.007088,1.959623,0.000003,0.003532,0.000270,0.000039
Scene,3636,3636.000000,45.410507,0.004788,0.018016,0.012489,0.012270,2.007058,0.000005,0.006137,0.000552,0.000315
DiffuseIndirectAndAO,3636,3636.000000,8.684780,0.000042,0.007188,0.002389,0.002461,0.060213,0.000001,0.002244,0.000017,0.000001
LumenScreenProbeGather,3636,3636.000000,7.607360,0.000040,0.006503,0.002092,0.002162,5.161348,0.000001,0.006183,0.001420,0.000531
PostProcessing,3634,3634.000000,7.143895,0.000232,0.005029,0.001966,0.002219,0.706508,0.000003,0.002830,0.000194,0.000117
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3634,3634.000000,5.180207,0.000226,0.004154,0.001425,0.001258,5.180207,0.000226,0.004154,0.001425,0.001258
PrepareImageBasedVRS,1817,1817.000000,4.863946,0.000976,0.005050,0.002677,0.002375,0.036146,0.000001,0.001946,0.000020,0.000001
ContrastAdaptiveShading,1817,1817.000000,4.827800,0.000972,0.005044,0.002657,0.002370,4.827800,0.000972,0.005044,0.002657,0.002370
ParallelDraw,7269,7269.000000,4.702348,0.000000,0.003948,0.000647,0.000120,4.702348,0.000000,0.003948,0.000647,0.000120
RenderDeferredLighting,1817,1817.000000,3.568283,0.000892,0.004476,0.001964,0.001978,0.029662,0.000000,0.001622,0.000016,0.000000
BasePass,1818,1818.000000,3.152903,0.000288,0.004266,0.001734,0.001895,0.205053,0.000013,0.002478,0.000113,0.000038
ShadowDepths,1817,1817.000000,2.504331,0.000483,0.005369,0.001378,0.001125,0.101881,0.000007,0.002510,0.000056,0.000007
Nanite::DrawGeometry,3634,3634.000000,2.255590,0.000174,0.002968,0.000621,0.000724,0.420400,0.000028,0.002585,0.000116,0.000028
PrePass %s %s,1817,1817.000000,2.153521,0.000132,0.003666,0.001185,0.001132,0.141293,0.000019,0.002111,0.000078,0.000019
DiffuseIndirectAndAO,3634,3634.000000,1.962726,0.000066,0.003383,0.000540,0.000334,0.451069,0.000000,0.002598,0.000124,0.000066
UpdateRadianceCaches,3636,3636.000000,1.826444,0.000039,0.002902,0.000502,0.000328,1.826444,0.000039,0.002902,0.000502,0.000328
CaptureConvolveSkyEnvMap,3634,3634.000000,1.520034,0.000008,0.003057,0.000418,0.000224,0.037583,0.000000,0.001903,0.000010,0.000000
RenderVirtualShadowMaps,1817,1817.000000,1.518072,0.000262,0.002998,0.000835,0.000898,0.130536,0.000022,0.002074,0.000072,0.000022
LumenReflections,1817,1817.000000,1.511657,0.000168,0.003383,0.000832,0.000947,1.511657,0.000168,0.003383,0.000832,0.000947
ComputeVolumetricFog,1817,1817.000000,1.436690,0.000230,0.003218,0.000791,0.000864,0.002385,0.000000,0.000003,0.000001,0.000001
VolumetricFog,1817,1817.000000,1.434306,0.000229,0.003217,0.000789,0.000863,0.085800,0.000002,0.002961,0.000047,0.000002
FXSystemPreRender,3634,3634.000000,1.334797,0.000000,0.002846,0.000367,0.000072,1.334676,0.000000,0.002846,0.000367,0.000072
LumenSceneLighting%s,1817,1817.000000,1.248957,0.000147,0.003075,0.000687,0.000828,0.098627,0.000010,0.002384,0.000054,0.000010
Lights,1817,1817.000000,1.233636,0.000154,0.002943,0.000679,0.000830,0.000145,0.000000,0.000002,0.000000,0.000000
DirectLighting,1817,1817.000000,1.233491,0.000154,0.002943,0.000679,0.000830,0.119418,0.000023,0.002652,0.000066,0.000023
UnbatchedLights,1817,1817.000000,1.114073,0.000131,0.002837,0.000613,0.000787,0.000304,0.000000,0.000003,0.000000,0.000000
%s,1817,1817.000000,1.113770,0.000130,0.002837,0.000613,0.000786,0.183670,0.000028,0.002406,0.000101,0.000028
TranslucencyVolumeLighting,1817,1817.000000,1.017206,0.000130,0.003039,0.000560,0.000747,1.017206,0.000130,0.003039,0.000560,0.000747
MainPass,3634,3634.000000,0.973319,0.000063,0.002659,0.000268,0.000116,0.572888,0.000040,0.002502,0.000158,0.000065
ShadowProjectionOnOpaque,1817,1817.000000,0.930099,0.000102,0.002791,0.000512,0.000211,0.930099,0.000102,0.002791,0.000512,0.000211
Nanite::VisBuffer,1817,1817.000000,0.869109,0.000174,0.002907,0.000478,0.000174,0.001056,0.000000,0.000621,0.000001,0.000000
VolumetricFog::LightScattering,1817,1817.000000,0.851263,0.000138,0.003021,0.000468,0.000167,0.851263,0.000138,0.003021,0.000468,0.000167
VirtualShadowMapMarkPages,1817,1817.000000,0.795152,0.000136,0.003241,0.000438,0.000136,0.003883,0.000001,0.000005,0.000002,0.000002
ShadowDepths,1817,1817.000000,0.791269,0.000134,0.003239,0.000435,0.000134,0.030183,0.000001,0.001387,0.000017,0.000001
FVirtualShadowMapArray::BeginMarkPages,1817,1817.000000,0.761086,0.000132,0.003232,0.000419,0.000132,0.761086,0.000132,0.003232,0.000419,0.000132
HZB,1817,1817.000000,0.681762,0.000129,0.002444,0.000375,0.000129,0.000552,0.000000,0.000379,0.000000,0.000000
BeginOcclusionTests,1817,1817.000000,0.681210,0.000129,0.002444,0.000375,0.000129,0.000217,0.000000,0.000002,0.000000,0.000000
BeginOcclusionTests,1817,1817.000000,0.680993,0.000129,0.002444,0.000375,0.000129,0.000838,0.000000,0.000607,0.000000,0.000000
ViewOcclusionTests,1817,1817.000000,0.680155,0.000129,0.002444,0.000374,0.000129,0.000193,0.000000,0.000002,0.000000,0.000000
BeginOcclusionTests,1817,1817.000000,0.679962,0.000129,0.002444,0.000374,0.000129,0.014682,0.000001,0.001703,0.000008,0.000001
PostPass,3634,3634.000000,0.665265,0.000055,0.002612,0.000183,0.000081,0.472334,0.000038,0.002584,0.000130,0.000038
IndividualQueries,1817,1817.000000,0.660650,0.000124,0.002438,0.000364,0.000124,0.660650,0.000124,0.002438,0.000364,0.000124
Integrate,1817,1817.000000,0.619568,0.000084,0.002847,0.000341,0.000140,0.619568,0.000084,0.002847,0.000341,0.000140
DirectLighting,1817,1817.000000,0.554764,0.000061,0.002760,0.000305,0.000116,0.073737,0.000010,0.001912,0.000041,0.000010
VirtualTextureUpdate,1817,1817.000000,0.503629,0.000077,0.002659,0.000277,0.000077,0.503629,0.000077,0.002659,0.000277,0.000077
Capture,2046,2046.000000,0.494763,0.000000,0.002902,0.000242,0.000000,0.254879,0.000000,0.002902,0.000125,0.000000
Radiosity,1817,1817.000000,0.432934,0.000054,0.002785,0.000238,0.000082,0.432934,0.000054,0.002785,0.000238,0.000082
StochasticLighting,1818,1818.000000,0.418308,0.000066,0.002795,0.000230,0.000066,0.418308,0.000066,0.002795,0.000230,0.000066
FVirtualShadowMapArray::BuildPageAllocation,1817,1817.000000,0.393729,0.000068,0.002543,0.000217,0.000093,0.354202,0.000064,0.002538,0.000195,0.000089
RenderVirtualShadowMaps,1817,1817.000000,0.373455,0.000048,0.003738,0.000206,0.000048,0.001294,0.000000,0.000002,0.000001,0.000001
Batched,1817,1817.000000,0.372162,0.000047,0.003737,0.000205,0.000047,0.078474,0.000006,0.003685,0.000043,0.000006
SlateUI Title = %s,1817,1817.000000,0.369245,0.000068,0.002422,0.000203,0.000068,0.349290,0.000060,0.002412,0.000192,0.000060
TranslucencyLightingVolume,1817,1817.000000,0.340812,0.000033,0.002812,0.000188,0.000061,0.043519,0.000001,0.002306,0.000024,0.000001
Offscreen,1817,1817.000000,0.334633,0.000018,0.002717,0.000184,0.000046,0.334633,0.000018,0.002717,0.000184,0.000046
MotionBlur,1817,1817.000000,0.332304,0.000049,0.002473,0.000183,0.000049,0.259833,0.000034,0.002451,0.000143,0.000034
Bloom,1817,1817.000000,0.328651,0.000061,0.002496,0.000181,0.000061,0.328651,0.000061,0.002496,0.000181,0.000061
SkyAtmosphereLUTs,1817,1817.000000,0.300610,0.000052,0.002574,0.000165,0.000052,0.028268,0.000002,0.001925,0.000016,0.000002
