"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"3.68E-05","94919.9483296","server","46592","0","5534.25","6286.6875"
"3.68E-05","94919.9483296","client1","33852","0","11.58203125","21.21875"
"3.68E-05","94919.9483296","client2","44044","0","14.70703125","22.125"
"1.0329225","94920.9812548","server","46592","0.24204033418218493","5534.51171875","6286.6875"
"1.0329225","94920.9812548","client1","33852","1.573262172184202","573.8046875","551.7890625"
"1.0329225","94920.9812548","client2","44044","1.5883896930705885","573.59375","546.4453125"
"2.0540458","94922.0023879","server","46592","0.15301775995122235","5534.88671875","6286.6875"
"2.0540458","94922.0023879","client1","33852","0.9181065597073341","607.26171875","586.4296875"
"2.0540458","94922.0023879","client2","44044","0.9181065597073341","607.59765625","581.72265625"
"3.0780223","94923.0263529","server","46592","0.2746645064608416","5535.3203125","6286.6875"
"3.0780223","94923.0263529","client1","33852","0.9002892156216475","603.36328125","619.9296875"
"3.0780223","94923.0263529","client2","44044","0.8392526586303494","628.5234375","636.90625"
"4.1025276","94924.0508525","server","46592","0.18301515863314716","5535.6328125","6286.6875"
"4.1025276","94924.0508525","client1","33852","0.9608295828240225","777.0703125","787.91015625"
"4.1025276","94924.0508525","client2","44044","0.9608295828240225","932.3359375","860.515625"
"5.1254595","94925.0737897","server","46592","0.1985713809492108","5514.41015625","6262.6875"
"5.1254595","94925.0737897","client1","33852","0.33604387545251063","962.0546875","1096.29296875"
"5.1254595","94925.0737897","client2","44044","0.3054944322295551","1081.43359375","1092.875"
"6.1524747","94926.1008134","server","46592","0.30427981981181973","5491.04296875","6238.6875"
"6.1524747","94926.1008134","client1","33852","0.015213990990590988","962.0546875","1096.29296875"
"6.1524747","94926.1008134","client2","44044","0.045641972971772964","1081.44140625","1092.875"
"7.1740262","94927.12237","server","46592","0.3212026021204022","5491.35546875","6238.6875"
"7.1740262","94927.12237","client1","33852","0","962.08203125","1096.30859375"
"7.1740262","94927.12237","client2","44044","0.015295362005733436","1081.6171875","1092.875"
"8.202614","94928.150942","server","46592","0.3493868000378772","5491.6015625","6238.6875"
"8.202614","94928.150942","client1","33852","0.015190730436429442","962.0859375","1096.30859375"
"8.202614","94928.150942","client2","44044","8.081468592180464","1193.49609375","1201.78515625"
"9.2261747","94929.1745079","server","46592","0.1679187174732285","5491.9296875","6238.6875"
