seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016980,16.97970,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,7.679
0.024113,7.13320,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,14.812
0.036951,12.83800,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,27.650
0.049907,12.95620,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,11.848
0.063019,13.11200,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,24.960
0.075788,12.76930,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,37.730
0.089085,13.29690,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,12.402
0.099641,10.55610,0,0.00000,0.00000,1200,1200,1199,0,0,58385,3336,22.958
0.113353,13.71190,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.832
0.125689,12.33600,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.203
0.139522,13.83240,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,25.036
0.152348,12.82650,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.791
0.161745,9.39710,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,21.188
0.174524,12.77920,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,33.967
0.187762,13.23740,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.301
0.198537,10.77510,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,23.076
0.211177,12.64050,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.752
0.224112,12.93460,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.059
0.237229,13.11680,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,25.176
0.250930,13.70060,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.665
0.263518,12.58870,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,25.254
0.277424,13.90620,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,39.160
0.287150,9.72550,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,48.885
0.300581,13.43150,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.431
0.314247,13.66550,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.881
0.327117,12.87010,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.061
0.339465,12.34800,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,24.409
0.352137,12.67180,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.779
0.362870,10.73300,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,22.512
0.376429,13.55910,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,36.071
0.389100,12.67140,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,48.743
0.402134,13.03400,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.115
0.411965,9.83090,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,21.946
0.425954,13.98930,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,35.935
0.438750,12.79550,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.835
0.452599,13.84880,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.866
0.466237,13.63850,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,26.505
0.479276,13.03850,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,12.211
0.489604,10.32870,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,9.605
0.503725,14.12060,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,23.726
0.516316,12.59050,0,0.00000,0.00000,1200,1200,1199,0,0,64414,3506,11.589
0.529710,13.39460,0,0.00000,0.00000,1200,1200,1198,0,0,64414,3506,24.984
0.542495,12.78500,0,0.00000,0.00000,1200,1200,1198,0,0,64414,3506,37.769
0.555665,13.16990,0,0.00000,0.00000,1200,1200,1198,0,0,64414,3506,12.175
0.567689,12.02370,0,0.00000,0.00000,1200,1200,1198,0,0,64414,3506,24.199
0.578975,11.28580,0,0.00000,0.00000,1200,1200,1198,0,0,64414,3506,10.345
