monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16886964.326997701,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1900720,1900720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.358258002,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1900720,1900720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.385272302,0.000000000,0.224705786,0.090297312,0.000000000,0.010598451,0,19,1,0,19,492,0,0,0,0,1906608,1906608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.415010899,0.000000000,0.374983996,0.090297312,0.000000000,0.018484890,0,39,1,0,39,900,0,0,0,0,1909712,1909712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.443519901,0.000000000,0.374983996,0.090297312,0.000000000,0.018484890,0,39,1,0,39,900,0,0,0,0,1909712,1909712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.471873101,0.000000000,0.502582639,0.090297312,0.000000000,0.025890768,0,52,1,0,52,1200,0,0,0,0,1912720,1912720,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.500693500,0.000000000,0.651076436,0.199798495,0.000000000,0.034496188,0,65,2,0,65,1500,0,0,0,0,1915696,1915696,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.527795799,0.000000000,0.789973885,0.199798495,0.000000000,0.042594969,0,78,2,0,78,1800,0,0,0,0,1918576,1918576,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.557230499,0.000000000,0.846475363,0.199798495,0.000000000,0.045098364,0,84,2,0,84,1992,0,0,0,0,1921424,1921424,792,792,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.583175700,0.000000000,0.981170684,0.298399478,0.000000000,0.052906573,0,104,3,0,104,2400,0,0,0,0,1924560,1924560,1200,1400,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.626145098,0.000000000,1.075372100,0.298399478,0.000000000,0.057708472,0,117,3,0,117,2700,0,0,0,0,1927536,1927536,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.659438301,0.000000000,1.141171902,0.298399478,0.000000000,0.061012805,0,122,3,0,122,2860,0,0,0,0,1929424,1929424,1660,1960,1360,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.695103198,0.000000000,1.214273274,0.395100564,0.000000000,0.065311790,0,130,4,0,130,3000,0,0,0,0,1930032,1930032,1800,2200,1400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.723315898,0.000000000,1.473262906,0.395100564,0.000000000,0.081207603,0,156,4,0,156,3600,0,0,0,0,1935664,1935664,2400,3000,1800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.750565302,0.000000000,1.473262906,0.395100564,0.000000000,0.081207603,0,156,4,0,156,3600,0,0,0,0,1935664,1935664,2400,3000,1800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.777939200,0.000000000,1.576356590,0.468801707,0.000000000,0.087317079,0,169,5,0,169,3900,0,0,0,0,1938608,1938608,2700,3400,2000,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.808148399,0.000000000,1.717157662,0.468801707,0.000000000,0.094406307,0,188,5,0,188,4392,0,0,0,0,1943472,1943472,3192,3992,2392,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.837800801,0.000000000,1.783460379,0.468801707,0.000000000,0.099305063,0,195,5,0,195,4500,0,0,0,0,1943728,1943728,3300,4200,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.866546899,0.000000000,1.916259527,0.468801707,0.000000000,0.107303262,0,208,5,0,208,4800,0,0,0,0,1947056,1947056,3600,4600,2600,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.892879400,0.000000000,2.022653818,0.546000898,0.000000000,0.112600625,0,221,6,0,221,5100,0,0,0,0,1949648,1949648,3900,5000,2800,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.919284001,0.000000000,2.114348114,0.546000898,0.000000000,0.117406249,0,234,6,0,234,5400,0,0,0,0,1951600,1951600,4200,5400,3000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.950817998,0.000000000,2.215251327,0.546000898,0.000000000,0.122901052,0,247,6,0,247,5700,0,0,0,0,1954544,1954544,4500,5800,3200,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.978359200,0.000000000,2.351559699,0.638000667,0.000000000,0.131499022,0,260,7,0,260,6000,0,0,0,0,1957552,1957552,4800,6200,3400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.005500600,0.000000000,2.422761172,0.638000667,0.000000000,0.135194510,0,265,7,0,265,6160,0,0,0,0,1958928,1958928,4960,6360,3560,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.027703699,0.000000000,2.475559711,0.638000667,0.000000000,0.138588250,0,273,7,0,273,6300,0,0,0,0,1959536,1959536,5100,6600,3600,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.050859202,0.000000000,2.606660128,0.638000667,0.000000000,0.145994127,0,286,7,0,286,6600,0,0,0,0,1962448,1962448,5400,7000,3800,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.078645799,0.000000000,2.687957138,0.710099936,0.000000000,0.150490552,0,291,8,0,291,6760,0,0,0,0,1964816,1964816,5560,7160,3960,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.109657299,0.000000000,2.750650048,0.710099936,0.000000000,0.153996050,0,299,8,0,299,6900,0,0,0,0,1965456,1965456,5700,7400,4000,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.135935102,0.000000000,2.847142518,0.710099936,0.000000000,0.158395618,0,312,8,0,312,7200,0,0,0,0,1968816,1968816,6000,7800,4200,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.165478699,0.000000000,2.945836633,0.710099936,0.000000000,0.163294375,0,325,8,0,325,7500,0,0,0,0,1970320,1970320,6300,8200,4400,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.193523198,0.000000000,3.043331206,0.783100724,0.000000000,0.168103725,0,338,9,0,338,7800,0,0,0,0,1973616,1973616,6600,8600,4600,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.216468599,0.000000000,3.136828542,0.783100724,0.000000000,0.172711909,0,351,9,0,351,8100,0,0,0,0,1976592,1976592,6900,9000,4800,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.248655200,0.000000000,3.136828542,0.783100724,0.000000000,0.172711909,0,351,9,0,351,8100,0,0,0,0,1976592,1976592,6900,9000,4800,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.272709001,0.000000000,3.334037960,0.849299133,0.000000000,0.183816999,0,369,10,0,369,8560,0,0,0,0,1980592,1980592,7360,9560,5160,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.301039301,0.000000000,3.397248685,0.849299133,0.000000000,0.187519938,0,377,10,0,377,8700,0,0,0,0,1980592,1980592,7500,9800,5200,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.331618398,0.000000000,3.498449922,0.849299133,0.000000000,0.192813575,0,390,10,0,390,9000,0,0,0,0,1983568,1983568,7800,10200,5400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.360726699,0.000000000,3.558948636,0.849299133,0.000000000,0.195715576,0,396,10,0,396,9192,0,0,0,0,1985968,1985968,7992,10392,5592,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886965.387890600,0.000000000,3.606751561,0.942301005,0.000000000,0.198610127,0,403,11,0,403,9300,0,0,0,0,1986160,1986160,8100,10600,5600,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
