"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"5.67E-05","109709.0785905","server","22440","0","5519.1484375","6262.765625"
"5.67E-05","109709.0785905","client1","46920","0","23.81640625","22.98828125"
"5.67E-05","109709.0785905","client2","35256","0","17.625","22.1953125"
"1.0381503","109710.1166918","server","22440","0.3160842143714208","5519.4609375","6262.765625"
"1.0381503","109710.1166918","client1","46920","1.5653694426013223","572.17578125","534.5"
"1.0381503","109710.1166918","client2","35256","1.610524330368668","572.76953125","544.3359375"
"2.07359","109711.1521062","server","22440","0.2565335287028303","5519.7734375","6262.765625"
"2.07359","109711.1521062","client1","46920","0.9657732845283024","603.3203125","567.546875"
"2.07359","109711.1521062","client2","35256","0.9054124542452835","606.28515625","579.31640625"
"3.1094625","109712.1879596","server","22440","0.16592292970418657","5520.09765625","6262.765625"
"3.1094625","109712.1879596","client1","46920","0.8899502593224552","611.56640625","608.12109375"
"3.1094625","109712.1879596","client2","35256","0.9201180647232164","751.57421875","586.1796875"
"4.1387538","109713.2172208","server","22440","0.27324626177254197","5520.4765625","6262.765625"
"4.1387538","109713.2172208","client1","46920","0.9108208725751399","830.67578125","761.15625"
"4.1387538","109713.2172208","client2","35256","0.9563619162038969","770.62109375","770.78515625"
"5.1756837","109714.2541264","server","22440","0.18082225230461577","5520.7265625","6262.765625"
"5.1756837","109714.2541264","client1","46920","0.43698710973615473","1081.26171875","1078.734375"
"5.1756837","109714.2541264","client2","35256","0.3917815466600008","961.328125","1082.75"
"6.2122552","109715.2906747","server","22440","0.3014746209016937","5521.0390625","6262.765625"
"6.2122552","109715.2906747","client1","46920","0","1081.26171875","1078.734375"
"6.2122552","109715.2906747","client2","35256","0.030147462090169372","961.39453125","1082.75"
"7.2477867","109716.3261804","server","22440","0.3470440059042144","5521.3515625","6262.765625"
"7.2477867","109716.3261804","client1","46920","0.015088869821922365","1081.29296875","1078.75"
"7.2477867","109716.3261804","client2","35256","0.015088869821922365","961.62890625","1082.75"
"8.2819973","109717.3603756","server","22440","0.19640583842401152","5521.69921875","6262.765625"
"8.2819973","109717.3603756","client1","46920","0.015108141417231656","1081.359375","1078.75"
"8.2819973","109717.3603756","client2","35256","7.040393900429951","1073.2265625","1193.11328125"
"9.3088934","109718.3872447","server","22440","0.16737331069813197","5521.98046875","6262.765625"
"9.3088934","109718.3872447","client1","46920","0","1081.53125","1078.75"
"9.3088934","109718.3872447","client2","35256","1.0194556197068037","1315.91015625","1554.11328125"
"10.3473744","109719.4257092","server","22440","0.3009202864568538","5522.29296875","6262.765625"
"10.3473744","109719.4257092","client1","46920","7.312362960901548","1193.8203125","1190.3984375"
"10.3473744","109719.4257092","client2","35256","1.1434970885360445","1664.20703125","1943.640625"
"11.3765611","109720.4548777","server","22440","0.22772836065604038","5522.54296875","6262.765625"
"11.3765611","109720.4548777","client1","46920","1.0930961311489937","1418.2578125","1543.1015625"
"11.3765611","109720.4548777","client2","35256","0.9716410054657723","1746.671875","2042.1328125"
"12.4006154","109721.4789004","server","22440","0.1830957596682129","5522.85546875","6262.765625"
"12.4006154","109721.4789004","client1","46920","1.1290905179539796","1781.140625","1932.0078125"
"12.4006154","109721.4789004","client2","35256","1.7088937569033205","1948.35546875","2182.9296875"
"13.4238209","109722.5020893","server","22440","0.3512246562396312","5523.171875","6262.765625"
"13.4238209","109722.5020893","client1","46920","0.9315088708964133","1862.3046875","2028.94921875"
"13.4238209","109722.5020893","client2","35256","4.245237149331195","2368.6875","2581.8359375"
"14.4608644","109723.5391099","server","22440","0.24106992618921","5523.42578125","6262.765625"
"14.4608644","109723.5391099","client1","46920","1.4614864275220856","2070.49609375","2181.3046875"
"14.4608644","109723.5391099","client2","35256","1.0546809270777937","2473.78125","2753.4453125"
"15.4965561","109724.5747838","server","22440","0.31681725362866187","5523.73828125","6262.765625"
"15.4965561","109724.5747838","client1","46920","4.525960766123741","2490.33984375","2593.3203125"
"15.4965561","109724.5747838","client2","35256","2.3836726701585036","2692.95703125","2997.32421875"
"16.528086","109725.6063027","server","22440","0.24235846193115682","5524.66015625","6262.765625"
"16.528086","109725.6063027","client1","46920","1.0754656748195084","2608.9453125","2830.94921875"
"16.528086","109725.6063027","client2","35256","1.4390033677162437","2804.86328125","3123.16015625"
"17.5652162","109726.6433919","server","22440","0.22598416283702857","5524.97265625","6262.765625"
"17.5652162","109726.6433919","client1","46920","2.666613121476937","2863.4921875","3066.5234375"
"17.5652162","109726.6433919","client2","35256","1.0244615381945295","2853.6640625","3176.1484375"
"18.596164","109727.674319","server","22440","0.4546786946923986","5525.296875","6262.765625"
"18.596164","109727.674319","client1","46920","1.3640360840771957","2945.28515625","3158.953125"
"18.596164","109727.674319","client2","35256","3.3494663842340024","4145.71875","4558.73046875"
"19.6344314","109728.7125689","server","22440","0.2708839745907461","5525.54296875","6262.65234375"
"19.6344314","109728.7125689","client1","46920","0.993241240166069","2987.4375","3207.046875"
"19.6344314","109728.7125689","client2","35256","0.993241240166069","2979.33984375","3297.33984375"
"20.6696859","109729.7477999","server","22440","0.2716723279155029","5525.86328125","6262.65234375"
