EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.4017,0.070200,0.1899,0.013500,0.1400,0.018200,0.080200,0.002000,0.007600,1.6853,1.7037,0.001900,0.007600,0.040600,2.3709,0.3086,0.2559,0.015200,0.005000,0.2745,1.8916,0.3612,0.021300,0.000900,0.003000,0.1195,0.3572,0.001800,0.000700,0.002300,0.020800,0.058300,0.5890,0.001800,0.034800,0.003000,0.002400,0.3407,0.034700,0.000200,0,0,0,19.5826,0,0,62,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,0,26,0,26,0,0,2,5,0,0,0,0,0,0,0,0.1436,0,30.5000,0,0,0.5174,0.6610,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6710,3204.7031,5538.7188,6259.6289,0,8743.4219,32.8831,0.4375,32.0039,0.002930,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1388,0.066400,0.074100,0.012500,0.097900,0.016300,0.034300,0.002100,0.008900,1.6771,1.7004,0.001400,0.006100,0.038300,0.4108,0.2397,0.2374,0.017000,0.003600,0,0,0.2050,0.015100,0.000800,0.002800,0.2653,0.4851,0.002300,0.001300,0.002600,0.017100,0.049100,0.5731,0.001600,0.021500,0.001300,0.001700,0.1304,0.016900,0.000300,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1424,0,28,0,0,0.4968,0.6392,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1138,3204.7031,5538.7227,6259.6289,0,8743.4258,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1363,0.073700,0.1240,0.014000,0.1269,0.019400,0.1200,0.002600,0.008300,1.7993,1.8234,0.002100,0.009600,0.046900,0.5626,0.3424,0.3333,0.018300,0.006800,0.1494,2.2753,0.4075,0.018000,0.000800,0.002700,0.3201,0.5596,0.002500,0.000800,0.004500,0.026100,0.066900,0.7309,0.002700,0.027500,0.001500,0.002100,0.1618,0.018700,0.000100,0.073600,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0.1801,0,22.5000,0,0,0.6502,0.8303,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7387,3204.9688,5538.7422,6259.6289,0,8743.7109,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1752,0.1559,0.1817,0.014100,0.1287,0.019600,0.036700,0.002700,0.013700,1.7238,1.7553,0.001300,0.006700,0.041300,1.3342,0.2522,0.2412,0.014200,0.005500,0.2772,0,0.2670,0.017700,0.000600,0.067400,1.2520,1.3515,0.001600,0.000700,0.004200,0.022600,0.054200,0.5697,0.001600,0.023100,0.001300,0.001500,0.1458,0.017200,0.000200,0,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,0,0,48,4,96,0,6,3,3,0,0,26,0,26,1,0,0,6,0,0,0,0,0,0,0,0.1404,0,27.5000,0,0,0.4870,0.6274,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2963,3204.9805,5538.8125,6259.6289,0,8743.7930,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1505,0,0,82153,40367,0,2.5081,0,0,0,0,0,0,0
,5.4230,0.073500,0.3271,0.011400,0.1584,0.017600,0.073800,0.001900,0.006100,1.2735,1.2909,0.001300,0.005600,0.037700,0.9646,0.3079,0.2834,0.011400,0.004000,0.2231,3.9776,0.4399,0.016000,0.000600,0.002100,7.3770,7.6416,0.002800,0.000900,0.006200,0.024300,0.059400,0.5611,0.002200,0.026400,0.001600,0.002000,0.7226,0.011500,0.000300,0,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,0,26,0,26,0,0,2,5,0,0,0,0,0,0,0,0.1526,0,27,0,0,0.4680,0.6206,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7252,3204.9258,5538.8320,6259.6289,0,8743.7578,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,7.2450,1,0,0,0,0,0,0,0,0,0,0,0
,4.9142,0.068800,0.2851,0.014600,0.1010,0.017900,0.1026,0.001800,0.006200,1.6330,1.6497,0.001600,0.005500,0.037300,2.2510,0.2809,0.2587,0.015000,0.004900,0.4887,2.5938,0.3164,0.018500,0.000700,0.002800,0.2686,0.4908,0.001700,0.000900,0.002800,0.019800,0.060300,1.2777,0.002200,0.031100,0.001700,0.001900,0.1522,0.018500,0.000400,0.070000,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,8,10,0,2,1027,0,27,0,0,2,16,0,0,0,0,0,0,0,0.1538,0,25,8.7168,0,1.6128,1.7666,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8991,3204.9258,5538.9023,6259.6289,0,8743.8281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,2134,319,0,0.2170,0,0,0,0,0,0,0
,0.1759,0.064300,0.068400,0.013000,0.1026,0.016300,0.034100,0.002000,0.009000,1.8379,1.8618,0.001800,0.009500,0.042500,0.4966,0.3098,0.3126,0.017600,0.005800,0,0,0.3082,0.015600,0.001200,0.002800,0.2958,0.5195,0.001700,0.000900,0.003200,0.018300,0.050000,0.5320,0.001300,0.023100,0.001300,0.001500,0.1183,0.013400,0.000100,0,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1397,0,22.5000,0,0,0.4530,0.5927,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4552,3204.9531,5538.9023,6259.6289,0,8743.8555,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.5583,0.086600,0.077600,0.017400,0.1509,0.021200,0.083000,0.002100,0.008600,1.9010,1.9257,0.001700,0.007300,0.042600,0.5685,0.2806,0.2525,0.015300,0.004100,0.1403,2.8063,0.3058,0.018800,0.001200,0.029000,1.6232,1.7819,0.002000,0.001000,0.005400,0.025800,0.068500,0.5493,0.002300,0.029900,0.001700,0.002300,0.1542,0.016900,0.000100,0,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1415,0,25,0,0,0.4667,0.6082,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4264,3204.9648,5538.9023,6259.6289,0,8743.8672,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1662,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1450,0.071500,0.3141,0.013100,0.1176,0.017200,0.067500,0.002300,0.007400,1.8807,1.9026,0.001600,0.008500,0.040800,2.6925,0.3404,0.3571,0.018500,0.011000,0.4757,0,0.5244,0.029300,0.001200,0.003700,0.2118,0.5808,0.001800,0.000900,0.003300,0.021600,0.084300,0.6838,0.002400,0.028000,0.001600,0.001800,0.1198,0.013300,0.000200,0,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,1,6,0,0,0,0,0,0,0,0.1777,0,25,0,0,0.5838,0.7615,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1737,3205,5538.9648,6259.6289,0,8743.9648,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1319,0.082400,0.1981,0.012400,0.1195,0.019900,0.1002,0.001600,0.006200,1.3488,1.3657,0.001300,0.006900,0.047000,0.6163,0.3570,0.3125,0.014500,0.004000,0.1509,2.1965,0.3655,0.016700,0.000700,0.067900,0.2978,0.5320,0.002000,0.000900,0.003400,0.020500,0.079700,1.0700,0.008200,0.029800,0.001300,0.002300,0.1378,0.015200,0.000200,0.080600,0,0,0,0,0,65,0,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,1,1,0,70,9,0,1,1,0,1,2,0,0,0,0,0,0,0,0.2162,0,29.5000,0,0,0.9904,1.2066,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,65,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2630,3204.0781,5538.9648,6259.6289,0,8743.0430,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,7236,462,0,0.4990,1,2,0,0,0,0,0
