monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16886964.275361899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4035776,4035776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.295719199,0.684805214,0.000000000,0.000000000,0.425402075,0.000000000,26,0,0,1,0,0,0,0,600,3268,4041600,4041600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.308065102,0.684805214,0.000000000,0.000000000,0.425402075,0.000000000,26,0,0,1,0,0,0,0,600,3268,4041600,4041600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.327771399,0.684805214,0.000000000,0.047098845,0.425402075,0.000000000,26,0,1,1,0,0,0,0,600,3268,4041600,4041600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.344087500,1.327518374,0.000000000,0.047098845,0.425402075,0.000000000,52,0,1,1,0,0,0,0,1200,6510,4047488,4047488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.371251099,1.949615777,0.000000000,0.047098845,0.425402075,0.000000000,78,0,1,1,0,0,0,0,1800,9815,4053632,4053632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.382704299,2.593424171,0.000000000,0.091899186,0.847000629,0.000000000,104,0,2,2,0,0,0,0,2400,13385,4059584,4059584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.393192500,2.593424171,0.000000000,0.091899186,0.847000629,0.000000000,104,0,2,2,0,0,0,0,2400,13385,4059584,4059584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.414580800,2.593424171,0.000000000,0.091899186,0.847000629,0.000000000,104,0,2,2,0,0,0,0,2400,13385,4059584,4059584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.429788101,4.061415792,0.000000000,0.091899186,0.847000629,0.000000000,130,0,2,2,0,0,0,0,3000,16971,4065600,4065600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.446041498,4.061415792,0.000000000,0.148098916,0.847000629,0.000000000,130,0,3,2,0,0,0,0,3000,16971,4065600,4065600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.468286701,4.835106432,0.000000000,0.148098916,0.847000629,0.000000000,156,0,3,2,0,0,0,0,3600,20507,4071552,4071552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.480381999,5.593806505,0.000000000,0.148098916,1.182902604,0.000000000,182,0,3,3,0,0,0,0,4200,24287,4077312,4077312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.497225702,5.593806505,0.000000000,0.199299306,1.182902604,0.000000000,182,0,4,3,0,0,0,0,4200,24287,4077312,4077312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.514129099,5.593806505,0.000000000,0.246401876,1.182902604,0.000000000,182,0,5,3,0,0,0,0,4200,24287,4077312,4077312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.531861302,6.251510233,0.000000000,0.246401876,1.182902604,0.000000000,208,0,5,3,0,0,0,0,4800,27889,4083200,4083200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.548990000,7.868800312,0.000000000,0.246401876,1.182902604,0.000000000,234,0,5,3,0,0,0,0,5400,31519,4089280,4089280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.569689300,7.868800312,0.000000000,0.246401876,1.182902604,0.000000000,234,0,5,3,0,0,0,0,5400,31519,4089280,4089280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.584545702,8.696991950,0.000000000,0.293601304,1.640204340,0.000000000,260,0,6,4,0,0,0,0,6000,35409,4095232,4095232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.597056299,8.696991950,0.000000000,0.293601304,1.640204340,0.000000000,260,0,6,4,0,0,0,0,6000,35409,4095232,4095232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.615622699,8.696991950,0.000000000,0.343400985,1.640204340,0.000000000,260,0,7,4,0,0,0,0,6000,35409,4095232,4095232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.632666301,9.740293026,0.000000000,0.343400985,1.640204340,0.000000000,286,0,7,4,0,0,0,0,6600,39281,4100224,4100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.652230501,9.740293026,0.000000000,0.343400985,1.640204340,0.000000000,286,0,7,4,0,0,0,0,6600,39281,4100224,4100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.672591399,10.736286640,0.000000000,0.343400985,1.640204340,0.000000000,312,0,7,4,0,0,0,0,7200,43159,4105408,4105408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.682750799,11.439383030,0.000000000,0.391103327,2.069905400,0.000000000,338,0,8,5,0,0,0,0,7800,47033,4111488,4111488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.695242401,11.439383030,0.000000000,0.391103327,2.069905400,0.000000000,338,0,8,5,0,0,0,0,7800,47033,4111488,4111488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.714708600,11.439383030,0.000000000,0.391103327,2.069905400,0.000000000,338,0,8,5,0,0,0,0,7800,47033,4111488,4111488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.728847701,12.090284377,0.000000000,0.449202955,2.069905400,0.000000000,364,0,9,5,0,0,0,0,8400,50849,4117376,4117376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.750043899,12.090284377,0.000000000,0.449202955,2.069905400,0.000000000,364,0,9,5,0,0,0,0,8400,50849,4117376,4117376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.770003200,12.794673443,0.000000000,0.495202839,2.069905400,0.000000000,390,0,10,5,0,0,0,0,9000,54771,4121408,4121408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.786319699,13.677582145,0.000000000,0.495202839,2.385005355,0.000000000,416,0,10,6,0,0,0,0,9600,58601,4127616,4127616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.795713399,13.677582145,0.000000000,0.495202839,2.385005355,0.000000000,416,0,10,6,0,0,0,0,9600,58601,4127616,4127616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.815868199,13.677582145,0.000000000,0.576503575,2.385005355,0.000000000,416,0,11,6,0,0,0,0,9600,58601,4127616,4127616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.830253098,14.387283474,0.000000000,0.576503575,2.385005355,0.000000000,442,0,11,6,0,0,0,0,10200,62461,4133568,4133568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.849850800,15.112180263,0.000000000,0.576503575,2.385005355,0.000000000,468,0,11,6,0,0,0,0,10800,66345,4138752,4138752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.872726001,15.112180263,0.000000000,0.576503575,2.385005355,0.000000000,468,0,11,6,0,0,0,0,10800,66345,4138752,4138752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.885156099,15.814073384,0.000000000,0.627502799,2.831306309,0.000000000,494,0,12,7,0,0,0,0,11400,70367,4142656,4142656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.896649901,15.814073384,0.000000000,0.627502799,2.831306309,0.000000000,494,0,12,7,0,0,0,0,11400,70367,4142656,4142656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.916533601,16.497679055,0.000000000,0.627502799,2.831306309,0.000000000,520,0,12,7,0,0,0,0,12000,74421,4148544,4148544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.929352801,16.497679055,0.000000000,0.627502799,2.831306309,0.000000000,520,0,12,7,0,0,0,0,12000,74421,4148544,4148544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16886964.951721702,17.173964530,0.000000000,0.627502799,2.831306309,0.000000000,546,0,12,7,0,0,0,0,12600,78472,4154560,4154560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
