monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16887097.407869101,79.275507599,127.0.0.1:60762,44000,1069765,28
16887097.428130001,79.295768499,127.0.0.1:60762,44000,1071675,28
16887097.445659000,79.313297499,127.0.0.1:60762,44038,1071713,28
16887097.460277800,79.327916298,127.0.0.1:60762,44038,1073533,28
16887097.480282798,79.347921297,127.0.0.1:60762,44076,1073586,28
16887097.501075801,79.368714299,127.0.0.1:60762,44235,1075424,28
16887097.513854899,79.381493397,127.0.0.1:60762,44273,1079566,28
16887097.525701299,79.393339798,127.0.0.1:60762,44311,1079604,28
16887097.551088400,79.418726899,127.0.0.1:60762,44387,1085124,28
16887097.560741801,79.428380299,127.0.0.1:60762,44425,1085162,28
16887097.581037801,79.448676299,127.0.0.1:60762,44463,1087185,28
16887097.602773201,79.470411699,127.0.0.1:60762,44622,1087248,28
16887097.617341802,79.484980300,127.0.0.1:60762,44622,1091425,28
16887097.629923701,79.497562200,127.0.0.1:60762,44698,1091463,28
16887097.650349300,79.517987799,127.0.0.1:60762,44698,1091749,28
16887097.664978001,79.532616500,127.0.0.1:60762,44736,1093747,28
16887097.684868600,79.552507099,127.0.0.1:60762,44895,1095752,28
16887097.706375901,79.574014399,127.0.0.1:60762,44933,1095806,28
16887097.717154998,79.584793497,127.0.0.1:60762,44971,1100127,28
16887097.732532501,79.600171000,127.0.0.1:60762,45047,1103626,28
16887097.752024401,79.619662900,127.0.0.1:60762,45085,1105751,28
16887097.766505800,79.634144299,127.0.0.1:60762,45085,1105751,28
16887097.788412001,79.656050500,127.0.0.1:60762,45244,1107888,28
16887097.805845302,79.673483800,127.0.0.1:60762,45282,1107952,28
16887097.818512298,79.686150797,127.0.0.1:60762,45320,1112253,28
16887097.829401799,79.697040297,127.0.0.1:60762,45396,1112306,28
16887097.851445399,79.719083898,127.0.0.1:60762,45434,1112344,28
16887097.864957798,79.732596297,127.0.0.1:60762,45434,1114462,28
16887097.886034802,79.753673300,127.0.0.1:60762,45472,1117086,28
16887097.904967900,79.772606399,127.0.0.1:60762,45631,1117124,28
16887097.919489399,79.787127897,127.0.0.1:60762,45669,1119278,28
16887097.932766199,79.800404698,127.0.0.1:60762,45707,1119331,28
16887097.987560499,79.855198998,127.0.0.1:60762,45783,1121455,28
16887098.007572599,79.875211097,127.0.0.1:60762,45980,1123554,28
16887098.020362701,79.888001200,127.0.0.1:60762,46018,1127933,28
16887098.033284299,79.900922798,127.0.0.1:60762,46056,1131432,28
16887098.053154901,79.920793399,127.0.0.1:60762,46094,1133605,28
16887098.068308398,79.935946897,127.0.0.1:60762,46170,1133684,28
16887098.086324900,79.953963399,127.0.0.1:60762,46208,1135931,28
16887098.108989298,79.976627797,127.0.0.1:60762,46329,1135969,28
16887098.119608302,79.987246800,127.0.0.1:60762,46367,1140328,28
16887098.133666798,80.001305297,127.0.0.1:60762,46405,1140614,28
16887098.150797099,80.018435597,127.0.0.1:60762,46443,1140652,28
16887098.166766301,80.034404799,127.0.0.1:60762,46519,1142898,28
16887098.184189402,80.051827900,127.0.0.1:60762,46640,1142957,28
16887098.204836100,80.072474599,127.0.0.1:60762,46640,1145140,28
16887098.215936501,80.083574999,127.0.0.1:60762,46716,1147353,28
16887098.230769400,80.098407898,127.0.0.1:60762,46754,1147391,28
16887098.251138799,80.118777297,127.0.0.1:60762,46792,1149590,28
16887098.263150901,80.130789399,127.0.0.1:60762,46830,1149628,28
16887098.283449601,80.151088100,127.0.0.1:60762,46868,1149666,28
16887098.307879198,80.175517697,127.0.0.1:60762,47027,1151907,28
16887098.318183899,80.185822397,127.0.0.1:60762,47065,1156285,28
16887098.333294898,80.200933397,127.0.0.1:60762,47141,1159810,28
16887098.349639300,80.217277799,127.0.0.1:60762,47179,1159848,28
16887098.364413898,80.232052397,127.0.0.1:60762,47179,1162103,28
16887098.383466098,80.251104597,127.0.0.1:60762,47338,1162141,28
16887098.407127898,80.274766397,127.0.0.1:60762,47376,1164673,28
16887098.419310700,80.286949199,127.0.0.1:60762,47414,1169132,28
16887098.432420202,80.300058700,127.0.0.1:60762,47490,1169264,28
16887098.451992400,80.319630899,127.0.0.1:60762,47528,1171552,28
16887098.467242200,80.334880698,127.0.0.1:60762,47566,1171590,28
16887098.488888599,80.356527098,127.0.0.1:60762,47687,1173891,28
16887098.505107898,80.372746397,127.0.0.1:60762,47687,1173953,28
16887098.520031299,80.387669798,127.0.0.1:60762,47725,1176219,28
16887098.536563098,80.404201597,127.0.0.1:60762,47801,1176272,28
16887098.554427799,80.422066297,127.0.0.1:60762,47839,1178556,28
16887098.568187799,80.435826298,127.0.0.1:60762,47915,1178619,28
16887098.588555399,80.456193898,127.0.0.1:60762,48036,1180976,28
16887098.605923500,80.473561998,127.0.0.1:60762,48074,1181014,28
16887098.623887502,80.491526000,127.0.0.1:60762,48150,1189030,28
16887098.636091702,80.503730200,127.0.0.1:60762,48188,1189341,28
16887098.657572899,80.525211398,127.0.0.1:60762,48188,1191693,28
16887098.669427302,80.537065800,127.0.0.1:60762,48264,1191792,28
16887098.690130498,80.557768997,127.0.0.1:60762,48385,1194114,28
16887098.712515399,80.580153897,127.0.0.1:60762,48423,1194152,28
16887098.722333901,80.589972399,127.0.0.1:60762,48461,1198666,28
16887098.735966899,80.603605397,127.0.0.1:60762,48499,1198704,28
16887098.753871098,80.621509597,127.0.0.1:60762,48575,1198742,28
16887098.767229900,80.634868398,127.0.0.1:60762,48575,1201111,28
16887098.788912900,80.656551398,127.0.0.1:60762,48734,1201159,28
16887098.813176502,80.680815000,127.0.0.1:60762,48734,1203503,28
16887098.822266500,80.689904999,127.0.0.1:60762,48772,1205858,28
16887098.836016800,80.703655299,127.0.0.1:60762,48810,1205922,28
16887098.854967002,80.722605500,127.0.0.1:60762,48848,1205960,28
16887098.869444098,80.737082597,127.0.0.1:60762,48886,1208297,28
16887098.887040101,80.754678600,127.0.0.1:60762,49007,1208608,28
16887098.910810601,80.778449100,127.0.0.1:60762,49083,1210996,28
16887098.920202799,80.787841298,127.0.0.1:60762,49121,1215574,28
16887098.935613099,80.803251598,127.0.0.1:60762,49197,1219073,28
16887098.956506699,80.824145198,127.0.0.1:60762,49235,1221572,28
16887098.970835000,80.838473499,127.0.0.1:60762,49273,1221610,28
16887098.999683399,80.867321897,127.0.0.1:60762,49432,1224057,28
16887099.007482901,80.875121400,127.0.0.1:60762,49470,1226437,28
16887099.021011598,80.888650097,127.0.0.1:60762,49508,1226526,28
16887099.040797599,80.908436097,127.0.0.1:60762,49508,1226526,28
16887099.056284700,80.923923198,127.0.0.1:60762,49546,1228886,28
16887099.075808398,80.943446897,127.0.0.1:60762,49584,1231392,28
16887099.100308999,80.967947498,127.0.0.1:60762,49705,1231490,28
16887099.110374101,80.978012599,127.0.0.1:60762,49743,1236018,28
16887099.121723101,80.989361599,127.0.0.1:60762,49781,1236071,28
16887099.141973302,81.009611800,127.0.0.1:60762,49819,1236357,28
16887099.154840499,81.022478998,127.0.0.1:60762,49895,1238728,28
16887099.172831401,81.040469900,127.0.0.1:60762,49933,1238779,28
16887099.187042199,81.054680698,127.0.0.1:60762,50054,1241144,28
16887099.209603600,81.077242099,127.0.0.1:60762,50092,1241182,28
16887099.223085199,81.090723697,127.0.0.1:60762,50130,1243544,28
16887099.235664699,81.103303198,127.0.0.1:60762,50168,1243597,28
16887099.255274601,81.122913100,127.0.0.1:60762,50244,1243635,28
16887099.272790302,81.140428800,127.0.0.1:60762,50244,1246000,28
16887099.287377302,81.155015800,127.0.0.1:60762,50365,1246073,28
16887099.308888201,81.176526699,127.0.0.1:60762,50403,1248416,28
16887099.320936400,81.188574899,127.0.0.1:60762,50479,1250694,28
16887099.334284801,81.201923300,127.0.0.1:60762,50517,1250732,28
16887099.354010101,81.221648600,127.0.0.1:60762,50517,1250844,28
16887099.368281499,81.235919997,127.0.0.1:60762,50555,1253249,28
16887099.387908399,81.255546898,127.0.0.1:60762,50714,1253545,28
16887099.407845300,81.275483798,127.0.0.1:60762,50714,1255859,28
16887099.420564398,81.288202897,127.0.0.1:60762,50752,1258151,28
16887099.434790801,81.302429300,127.0.0.1:60762,50828,1258196,28
16887099.456458800,81.324097298,127.0.0.1:60762,50866,1260479,28
16887099.467896700,81.335535198,127.0.0.1:60762,50866,1260479,28
16887099.487121101,81.354759600,127.0.0.1:60762,51025,1262821,28
16887099.509487499,81.377125997,127.0.0.1:60762,51063,1262859,28
16887099.520358101,81.387996599,127.0.0.1:60762,51101,1265115,28
16887099.534677502,81.402316000,127.0.0.1:60762,51139,1265153,28
16887099.554203600,81.421842098,127.0.0.1:60762,51177,1265216,28
16887099.567999501,81.435637999,127.0.0.1:60762,51253,1267439,28
16887099.588420201,81.456058700,127.0.0.1:60762,51374,1267525,28
16887099.611782499,81.479420997,127.0.0.1:60762,51374,1269851,28
16887099.623560999,81.491199497,127.0.0.1:60762,51450,1272023,28
16887099.640728500,81.508366998,127.0.0.1:60762,51526,1272309,28
16887099.653631799,81.521270297,127.0.0.1:60762,51526,1274530,28
16887099.671128701,81.538767200,127.0.0.1:60762,51564,1274651,28
16887099.699487999,81.567126498,127.0.0.1:60762,51723,1276838,28
16887099.707364999,81.575003497,127.0.0.1:60762,51723,1279066,28
16887099.720791299,81.588429797,127.0.0.1:60762,51799,1279119,28
16887099.741041102,81.608679600,127.0.0.1:60762,51837,1279181,28
16887099.755341802,81.622980300,127.0.0.1:60762,51837,1281341,28
16887099.776209299,81.643847797,127.0.0.1:60762,51875,1283647,28
16887099.796182301,81.663820799,127.0.0.1:60762,52034,1283695,28
16887099.808791399,81.676429898,127.0.0.1:60762,52034,1285852,28
16887099.822229099,81.689867597,127.0.0.1:60762,52072,1285890,28
16887099.843146801,81.710785300,127.0.0.1:60762,52110,1285943,28
16887099.857680399,81.725318898,127.0.0.1:60762,52186,1288134,28
16887099.875733800,81.743372299,127.0.0.1:60762,52224,1288197,28
16887099.898333199,81.765971698,127.0.0.1:60762,52383,1290635,28
16887099.909015100,81.776653599,127.0.0.1:60762,52421,1292724,28
16887099.921401300,81.789039798,127.0.0.1:60762,52459,1292769,28
16887099.942167498,81.809805997,127.0.0.1:60762,52497,1292839,28
16887099.955828000,81.823466498,127.0.0.1:60762,52535,1295050,28
16887099.976946000,81.844584499,127.0.0.1:60762,52573,1297314,28
16887099.995735399,81.863373898,127.0.0.1:60762,52694,1297362,28
16887100.008594800,81.876233298,127.0.0.1:60762,52732,1299504,28
16887100.024328500,81.891966999,127.0.0.1:60762,52808,1299542,28
16887100.043993101,81.911631599,127.0.0.1:60762,52808,1301650,28
16887100.056926500,81.924564999,127.0.0.1:60762,52846,1301688,28
16887100.079251502,81.946890000,127.0.0.1:60762,52922,1303982,28
16887100.097010601,81.964649100,127.0.0.1:60762,53043,1304030,28
16887100.110810500,81.978448998,127.0.0.1:60762,53081,1306245,28
16887100.122044899,81.989683397,127.0.0.1:60762,53119,1306283,28
16887100.143798500,82.011436999,127.0.0.1:60762,53195,1306569,28
16887100.155933499,82.023571998,127.0.0.1:60762,53195,1308689,28
16887100.176272299,82.043910798,127.0.0.1:60762,53233,1308740,28
16887100.195786800,82.063425299,127.0.0.1:60762,53354,1310861,28
16887100.207583301,82.075221799,127.0.0.1:60762,53430,1312886,28
16887100.222300500,82.089938998,127.0.0.1:60762,53468,1312924,28
16887100.242410801,82.110049300,127.0.0.1:60762,53506,1315014,28
16887100.255514499,82.123152997,127.0.0.1:60762,53582,1315052,28
16887100.275200799,82.142839298,127.0.0.1:60762,53620,1315090,28
16887100.294991001,82.162629500,127.0.0.1:60762,53741,1317184,28
16887100.308972899,82.176611397,127.0.0.1:60762,53817,1319261,28
16887100.322083499,82.189721998,127.0.0.1:60762,53855,1319299,28
16887100.340356302,82.207994800,127.0.0.1:60762,53893,1319337,28
16887100.356012698,82.223651197,127.0.0.1:60762,53969,1321364,28
16887100.377304100,82.244942598,127.0.0.1:60762,54007,1323659,28
16887100.395986602,82.263625100,127.0.0.1:60762,54128,1323955,28
16887100.407024901,82.274663400,127.0.0.1:60762,54166,1325961,28
16887100.420258701,82.287897199,127.0.0.1:60762,54204,1326027,28
16887100.436045598,82.303684097,127.0.0.1:60762,54204,1326027,28
16887100.457237199,82.324875697,127.0.0.1:60762,54242,1328051,28
16887100.472604301,82.340242799,127.0.0.1:60762,54280,1328089,28
16887100.494673900,82.362312399,127.0.0.1:60762,54439,1330144,28
16887100.506958298,82.374596797,127.0.0.1:60762,54477,1332193,28
16887100.521026202,82.388664700,127.0.0.1:60762,54515,1332231,28
16887100.540797301,82.408435799,127.0.0.1:60762,54553,1332284,28
16887100.555454500,82.423092999,127.0.0.1:60762,54629,1334310,28
16887100.574034002,82.441672500,127.0.0.1:60762,54667,1334348,28
16887100.594053000,82.461691499,127.0.0.1:60762,54788,1336425,28
16887100.606015399,82.473653898,127.0.0.1:60762,54864,1338404,28
16887100.620682798,82.488321297,127.0.0.1:60762,54902,1338442,28
16887100.640372202,82.508010700,127.0.0.1:60762,54902,1340785,28
16887100.653792601,82.521431100,127.0.0.1:60762,54940,1340862,28
16887100.674227901,82.541866399,127.0.0.1:60762,55016,1340907,28
16887100.693751499,82.561389998,127.0.0.1:60762,55137,1342944,28
16887100.705703199,82.573341697,127.0.0.1:60762,55175,1344943,28
16887100.720627598,82.588266097,127.0.0.1:60762,55251,1345006,28
16887100.741327900,82.608966399,127.0.0.1:60762,55251,1346992,28
16887100.753236599,82.620875098,127.0.0.1:60762,55289,1347030,28
16887100.769526999,82.637165498,127.0.0.1:60762,55365,1347083,28
16887100.790202700,82.657841198,127.0.0.1:60762,55486,1349109,28
16887100.812565200,82.680203699,127.0.0.1:60762,55524,1349185,28
16887100.822568201,82.690206699,127.0.0.1:60762,55562,1351162,28
16887100.835223399,82.702861898,127.0.0.1:60762,55600,1351200,28
16887100.854872201,82.722510699,127.0.0.1:60762,55638,1353182,28
16887100.868858099,82.736496598,127.0.0.1:60762,55676,1353220,28
16887100.889522702,82.757161200,127.0.0.1:60762,55714,1355587,28
16887100.909769900,82.777408399,127.0.0.1:60762,55873,1355687,28
16887100.923151799,82.790790297,127.0.0.1:60762,55911,1357673,28
16887100.936003599,82.803642098,127.0.0.1:60762,55949,1357711,28
16887100.955790099,82.823428597,127.0.0.1:60762,55987,1359664,28
16887100.968129002,82.835767500,127.0.0.1:60762,56025,1359702,28
16887100.989878301,82.857516799,127.0.0.1:60762,56184,1361673,28
16887101.009928301,82.877566800,127.0.0.1:60762,56222,1361726,28
16887101.022541001,82.890179500,127.0.0.1:60762,56260,1363696,28
16887101.039407998,82.907046497,127.0.0.1:60762,56298,1363734,28
16887101.053148001,82.920786500,127.0.0.1:60762,56336,1363772,28
16887101.070312399,82.937950898,127.0.0.1:60762,56412,1365754,28
16887101.097810000,82.965448499,127.0.0.1:60762,56533,1365802,28
16887101.103357900,82.970996398,127.0.0.1:60762,56533,1367765,28
16887101.122041199,82.989679698,127.0.0.1:60762,56571,1369849,28
16887101.139751699,83.007390197,127.0.0.1:60762,56609,1370151,28
16887101.156941101,83.024579599,127.0.0.1:60762,56685,1372184,28
16887101.177088600,83.044727098,127.0.0.1:60762,56723,1372235,28
