monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16887231.751669999,38.954730701,127.0.0.1:17951,1033093,27191,28
16887231.788550101,38.991610803,127.0.0.1:17951,1035256,27229,28
16887231.809986800,39.013047501,127.0.0.1:17951,1037097,27267,28
16887231.838457599,39.041518301,127.0.0.1:17951,1037148,27388,28
16887231.902696900,39.105757602,127.0.0.1:17951,1042583,27426,28
16887231.915940002,39.119000703,127.0.0.1:17951,1045359,27464,28
16887231.930647101,39.133707803,127.0.0.1:17951,1046496,27585,28
16887231.951497700,39.154558402,127.0.0.1:17951,1053188,27623,28
16887231.977873299,39.180934001,127.0.0.1:17951,1055199,27661,28
16887232.004532900,39.207593601,127.0.0.1:17951,1055237,27699,28
16887232.067008998,39.270069700,127.0.0.1:17951,1061848,27820,28
16887232.097358201,39.300418902,127.0.0.1:17951,1065186,27858,28
16887232.110168699,39.313229401,127.0.0.1:17951,1066194,27896,28
16887232.134148698,39.337209400,127.0.0.1:17951,1074035,28017,28
16887232.149734400,39.352795102,127.0.0.1:17951,1074073,28055,28
16887232.178466499,39.381527200,127.0.0.1:17951,1074111,28093,28
16887232.237475701,39.440536402,127.0.0.1:17951,1077365,28131,28
16887232.255535200,39.458595902,127.0.0.1:17951,1083045,28252,28
16887232.269304100,39.472364802,127.0.0.1:17951,1083109,28290,28
16887232.320083000,39.523143701,127.0.0.1:17951,1085198,28328,28
16887232.344658900,39.547719602,127.0.0.1:17951,1089612,28449,28
16887232.358432598,39.561493300,127.0.0.1:17951,1089612,28449,28
16887232.371187299,39.574248001,127.0.0.1:17951,1091791,28487,28
16887232.397815801,39.600876503,127.0.0.1:17951,1092964,28525,28
16887232.427769799,39.630830500,127.0.0.1:17951,1095336,28563,28
16887232.490280502,39.693341203,127.0.0.1:17951,1102029,28684,28
16887232.507678401,39.710739102,127.0.0.1:17951,1106894,28722,28
16887232.524177302,39.727238003,127.0.0.1:17951,1109175,28843,28
16887232.550407100,39.753467802,127.0.0.1:17951,1110681,28881,28
16887232.569081500,39.772142202,127.0.0.1:17951,1111449,28919,28
16887232.596247401,39.799308103,127.0.0.1:17951,1112824,28957,28
16887232.624986399,39.828047100,127.0.0.1:17951,1113808,28995,28
16887232.686128501,39.889189202,127.0.0.1:17951,1118232,29116,28
16887232.701866601,39.904927302,127.0.0.1:17951,1122813,29154,28
