seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.020022,20.02200,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.039181,19.15910,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.052022,12.84050,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.072222,20.19990,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.092267,20.04530,1,7.35880,1.32550,1200,1200,0,0,0,4199,116756,0.000
0.106108,13.84110,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.118797,12.68910,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.140505,21.70820,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.156532,16.02630,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.170297,13.76500,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.191910,21.61320,1,7.13260,1.27470,1200,1200,0,0,0,4199,116756,0.000
0.208785,16.87570,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.223663,14.87770,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.238374,14.71060,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.259090,20.71620,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.281602,22.51250,1,7.04680,1.31550,1200,1200,0,0,0,4199,116756,0.000
0.292908,11.30550,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.304289,11.38090,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.323929,19.63970,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.337927,13.99830,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.358037,20.11020,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.372501,14.46410,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.393157,20.65610,1,7.32820,1.35860,1200,1200,0,0,0,4199,116756,0.000
0.407931,14.77330,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.422866,14.93520,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.435562,12.69600,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.456766,21.20390,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.476184,19.41790,1,5.70710,1.29450,1200,1200,0,0,0,4199,116756,0.000
0.490591,14.40760,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.505759,15.16830,0,0.00000,0.00000,1200,1200,0,0,0,4199,116756,0.000
0.525208,19.44860,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.539311,14.10280,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.557585,18.27410,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.580379,22.79380,1,7.35930,1.26060,1200,1200,1200,0,0,4199,116756,0.000
0.593018,12.63970,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.604704,11.68570,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.624090,19.38630,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
0.637564,13.47360,0,0.00000,0.00000,1200,1200,1200,0,0,4199,116756,0.000
