EVENTS,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Exclusive/GameThread/HandleRPC,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.064200,0.3860,0.013700,0.8731,0.017600,0.075400,0.002400,0.008000,1.7305,1.7507,0.001600,0.007200,0.034300,0.8418,0.2793,0.016100,0.4310,0.005100,3.2941,0.2901,0.028500,0.000500,0.065500,0.1190,0.3297,0.001200,0.001000,0.002100,0.014700,0.047500,0.4370,0.1047,0.002200,0.3232,0.004000,0.001800,0.3289,0.6101,0.000300,0,0,9.3282,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1087,0,38,0,0,0.3616,0.4703,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2873,10328.6406,5556.3086,6285.6562,0,15884.9492,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,0,4.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.065300,0.078200,0.013300,0.1050,0.015900,0.033700,0.002600,0.009100,1.7247,1.7489,0.001600,0.007600,0.035000,0.8232,0.2588,0.015400,0.4144,0.003500,0,0.4101,0.028600,0.000700,0.002000,0.5671,0.7664,0.001700,0.000900,0.002700,0.014400,0.043100,0.2341,0.1648,0.001500,0.019700,0.001300,0.001700,0.1313,0.013800,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,0,13,0,13,0,0,0,3,0,0,0,0,0,0,0,0.077110,0,15,0,0,0.1685,0.2456,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0636,10348.6562,5556.3086,6285.6562,0,15904.9648,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.065100,0.060200,0.012600,0.089800,0.015300,0.063600,0.002300,0.006400,1.9390,1.9606,0.001300,0.008400,0.033600,0.5299,0.3158,0.016200,0.5844,0.004800,3.4091,0.3632,0.019600,0.001000,0.002200,0.2622,0.4657,0.001400,0.001300,0.002700,0.015100,0.042100,0.3852,0.092100,0.001500,0.021100,0.001300,0.001500,0.1235,0.015500,0.000400,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1018,0,26,0,0,0.3330,0.4348,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5432,10365.5195,5556.3711,6285.6562,0,15921.8906,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,4.5942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2166,0.1217,0.025500,0.2082,0.020600,0.1313,0.003900,0.013000,2.7232,2.7633,0.001800,0.009500,0.044300,1.3600,0.3476,0.020700,0.5785,0.005500,0,0.4764,0.028600,0.001100,0.002900,9.1769,9.3183,0.002400,0.001000,0.004600,0.023500,0.046700,0.3564,0.1970,0.001700,0.022900,0.001500,0.001800,0.6579,0.012700,0.000200,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,2,2,0,1,13,0,13,0,0,1,2,0,0,0,0,0,0,0,0.096694,0,23,0,0,0.2855,0.3822,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9485,10364.1602,5556.3789,6285.6562,0,15920.5391,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.1655,0.1370,7.5446,0,1,74616,40358,0,2.3340,0,0,0,0,0,0,0,0,0,0,0
,0.056600,0.1242,0.011500,0.081700,0.014200,0.079600,0.002000,0.006400,1.6990,1.7161,0.001500,0.006100,0.032800,1.6946,0.2716,0.014200,0.4157,0.002400,2.5346,0.3544,0.020400,0.001000,0.002500,0.1150,0.3184,0.002000,0.001000,0.002300,0.016000,0.043400,0.6546,0.2651,0.001600,0.020700,0.001400,0.001400,0.1147,0.011900,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,6,6,0,1,314,0,14,0,0,1,6,0,0,0,0,0,0,0,0.1066,0,28,2.6357,0,0.7425,0.8491,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1821,10348.6914,5556.3789,6285.6562,0,15905.0703,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,4.8676,0,0,0.065600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.072300,0.090600,0.016000,0.095900,0.014100,0.078000,0.002800,0.008000,1.8273,1.8530,0.001400,0.008200,0.033900,0.5978,0.2409,0.016800,0.4317,0.003600,0,0.2830,0.017100,0.000500,0.002000,0.2678,0.4450,0.001200,0.001000,0.001800,0.012200,0.036900,0.5857,0.1260,0.001100,0.020400,0.001300,0.001300,0.099800,0.012700,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,0,400,0,0,0,0,1,4,0,0,0,0,0,0,0,0.083111,0,22,2.9082,0,0.6907,0.7738,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1375,10326.5625,5556.3789,6285.6562,0,15882.9414,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.069800,0.090800,0.011600,0.094400,0.014900,0.066400,0.002700,0.007500,1.7119,1.7346,0.001200,0.006900,0.036100,0.7367,0.2431,0.014500,0.3741,0.002800,2.7978,0.3492,0.021300,0.000600,0.059100,0.2687,0.4697,0.001400,0.001000,0.002300,0.015700,0.045000,0.3906,0.2057,0.001600,0.021500,0.001200,0.001800,0.1062,0.014000,0.000200,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,1,0,1,3,0,0,0,0,0,0,0,0.1230,0,28,0,0,0.2890,0.4120,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0437,10315.9102,5556.4414,6285.6562,0,15872.3516,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,4.0272,0,0,0,0,4654,365,0,0.3770,0,0,0,0,0,0,0,0,0,0,0
,0.083200,0.052900,0.013300,0.091900,0.013900,0.070900,0.002800,0.007700,1.6698,1.6926,0.001100,0.007000,0.034900,0.6468,0.2361,0.014900,0.3716,0.003100,0,0.2843,0.017800,0.000500,0.001900,1.3113,1.3705,0.001200,0.000900,0.002500,0.014100,0.039200,0.4178,0.072100,0.001300,0.017300,0.001200,0.001200,0.1013,0.013400,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.096396,0,30,0,0,0.3635,0.4599,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7063,10315.8516,5556.4414,6285.6562,0,15872.2930,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1531,0.1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.067600,0.079600,0.013500,0.1084,0.018000,0.069200,0.002500,0.006800,1.7123,1.7340,0.001200,0.007400,0.031700,0.7312,0.2307,0.014100,0.2333,0.002900,3.4072,0.2614,0.021300,0.000600,0.002600,0.2136,0.4249,0.002100,0.001200,0.002900,0.018800,0.049600,0.2981,0.2128,0.002000,0.028100,0.001500,0.002500,0.1241,0.011100,0.000200,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.089601,0,23,0,0,0.2265,0.3161,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4177,10320.6953,5556.4414,6285.6562,0,15877.1367,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,4.5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.076300,0.2650,0.014500,0.1515,0.017200,0.074600,0.002500,0.007300,1.7427,1.7646,0.001600,0.007200,0.036600,0.7769,0.2565,0.014100,0.2443,0.003000,0.093100,0.3831,0.034500,0.000700,0.002400,8.1723,8.5055,0.002400,0.001300,0.004200,0.019900,0.054500,0.7031,0.1067,0.005600,0.024300,0.001200,0.001900,0.6723,0.014500,0.000300,0,0,0,0,0,57,0,0,0,0,0,0,1,1,2,2,46,2,49,0,3,1,1,0,35,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1736,0,24,0,0,0.7831,0.9567,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7099,10352.6875,5556.5039,6285.6562,0,15909.1914,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.2373,0,7.8740,0,1,1436,364,0,0.1076,2,0,0,0,0,0,0,0,0,0,0
