monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16888105.584304400,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2017664,2017664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.617790598,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,2017664,2017664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.629643500,0.397495925,0.000000000,0.000000000,0.000000000,0.000000000,13,0,0,0,0,0,0,0,300,1600,2020608,2020608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.649194598,0.397495925,0.000000000,0.000000000,0.000000000,0.000000000,13,0,0,0,0,0,0,0,300,1600,2020608,2020608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.673621200,0.989794731,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,600,3226,2023648,2023648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.683352102,1.400291920,0.000000000,0.043999404,0.413700938,0.000000000,39,0,1,1,0,0,0,0,900,4983,2026656,2026656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.696490601,1.400291920,0.000000000,0.043999404,0.413700938,0.000000000,39,0,1,1,0,0,0,0,900,4983,2026656,2026656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.716529001,1.817993820,0.000000000,0.043999404,0.413700938,0.000000000,52,0,1,1,0,0,0,0,1200,6746,2029696,2029696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.731240399,1.817993820,0.000000000,0.043999404,0.413700938,0.000000000,52,0,1,1,0,0,0,0,1200,6746,2029696,2029696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16888105.750647500,2.223387361,0.000000000,0.043999404,0.413700938,0.000000000,65,0,1,1,0,0,0,0,1500,8525,2032640,2032640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
