monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16888369.459790099,40.487687398,127.0.0.1:17951,1083906,41338,28
16888369.482704300,40.510601599,127.0.0.1:17951,1085143,41376,28
16888369.501586001,40.529483300,127.0.0.1:17951,1086023,41414,28
16888369.520124301,40.548021600,127.0.0.1:17951,1086086,41452,28
16888369.535235099,40.563132398,127.0.0.1:17951,1087932,41490,28
16888369.558236800,40.586134098,127.0.0.1:17951,1087980,41528,28
16888369.577652302,40.605549600,127.0.0.1:17951,1095696,41649,28
16888369.598427001,40.626324300,127.0.0.1:17951,1097687,41687,28
16888369.622272201,40.650169499,127.0.0.1:17951,1097725,41725,28
16888369.640290201,40.668187499,127.0.0.1:17951,1099715,41763,28
16888369.662025198,40.689922497,127.0.0.1:17951,1100977,41801,28
16888369.685165301,40.713062599,127.0.0.1:17951,1104028,41922,28
16888369.704994299,40.732891597,127.0.0.1:17951,1106195,41960,28
16888369.725932401,40.753829699,127.0.0.1:17951,1106248,41998,28
16888369.748660699,40.776557997,127.0.0.1:17951,1108246,42036,28
16888369.770959198,40.798856497,127.0.0.1:17951,1116381,42157,28
16888369.792144801,40.820042100,127.0.0.1:17951,1116436,42195,28
16888369.813291099,40.841188397,127.0.0.1:17951,1118575,42233,28
16888369.837998699,40.865895998,127.0.0.1:17951,1120797,42271,28
16888369.854085401,40.881982699,127.0.0.1:17951,1120851,42309,28
16888369.871707700,40.899604999,127.0.0.1:17951,1125140,42430,28
16888369.892359901,40.920257200,127.0.0.1:17951,1125178,42468,28
16888369.909123302,40.937020600,127.0.0.1:17951,1127305,42506,28
16888369.928193200,40.956090499,127.0.0.1:17951,1128450,42544,28
16888369.946224000,40.974121299,127.0.0.1:17951,1129555,42582,28
16888369.963208199,40.991105497,127.0.0.1:17951,1130871,42703,28
16888369.979655501,41.007552799,127.0.0.1:17951,1131832,42741,28
16888370.002494399,41.030391697,127.0.0.1:17951,1133070,42779,28
16888370.020875201,41.048772499,127.0.0.1:17951,1134268,42817,28
16888370.039611299,41.067508597,127.0.0.1:17951,1136367,42855,28
16888370.058992799,41.086890098,127.0.0.1:17951,1136447,42893,28
16888370.076834999,41.104732297,127.0.0.1:17951,1140781,43014,28
16888370.097977299,41.125874598,127.0.0.1:17951,1144293,43052,28
16888370.122204300,41.150101598,127.0.0.1:17951,1146508,43090,28
16888370.133638501,41.161535800,127.0.0.1:17951,1146546,43128,28
16888370.146493901,41.174391199,127.0.0.1:17951,1148745,43166,28
16888370.165713001,41.193610299,127.0.0.1:17951,1150204,43287,28
16888370.178452700,41.206349999,127.0.0.1:17951,1153186,43325,28
16888370.190817900,41.218715198,127.0.0.1:17951,1153186,43325,28
16888370.204359300,41.232256599,127.0.0.1:17951,1154542,43363,28
16888370.220672101,41.248569399,127.0.0.1:17951,1155500,43401,28
16888370.232252199,41.260149498,127.0.0.1:17951,1155554,43439,28
16888370.255347699,41.283244997,127.0.0.1:17951,1158019,43477,28
16888370.268885002,41.296782300,127.0.0.1:17951,1160244,43598,28
16888370.282485999,41.310383298,127.0.0.1:17951,1160330,43636,28
16888370.295892201,41.323789500,127.0.0.1:17951,1160377,43674,28
16888370.314391199,41.342288498,127.0.0.1:17951,1162579,43712,28
16888370.333524801,41.361422099,127.0.0.1:17951,1164799,43750,28
16888370.355491500,41.383388799,127.0.0.1:17951,1164799,43750,28
16888370.377275601,41.405172899,127.0.0.1:17951,1172744,43871,28
16888370.401640002,41.429537300,127.0.0.1:17951,1172744,43871,28
16888370.420565400,41.448462699,127.0.0.1:17951,1175115,43909,28
16888370.444383301,41.472280599,127.0.0.1:17951,1175115,43909,28
16888370.463309798,41.491207097,127.0.0.1:17951,1181675,44030,28
16888370.480154201,41.508051500,127.0.0.1:17951,1181914,44068,28
16888370.500993501,41.528890800,127.0.0.1:17951,1184464,44106,28
16888370.522847101,41.550744399,127.0.0.1:17951,1184525,44144,28
16888370.543475300,41.571372598,127.0.0.1:17951,1186825,44182,28
16888370.570093401,41.597990699,127.0.0.1:17951,1189178,44303,28
16888370.589615900,41.617513198,127.0.0.1:17951,1189216,44341,28
16888370.604643099,41.632540397,127.0.0.1:17951,1191504,44379,28
16888370.628070898,41.655968197,127.0.0.1:17951,1191567,44417,28
16888370.642810300,41.670707598,127.0.0.1:17951,1193897,44455,28
16888370.666163601,41.694060899,127.0.0.1:17951,1195407,44576,28
16888370.685127102,41.713024400,127.0.0.1:17951,1202065,44614,28
16888370.708598498,41.736495797,127.0.0.1:17951,1204417,44652,28
16888370.729120500,41.757017799,127.0.0.1:17951,1205897,44690,28
16888370.752680201,41.780577499,127.0.0.1:17951,1206769,44728,28
16888370.776706599,41.804603897,127.0.0.1:17951,1211593,44849,28
16888370.795326199,41.823223498,127.0.0.1:17951,1211640,44887,28
16888370.811311901,41.839209199,127.0.0.1:17951,1213999,44925,28
16888370.833632499,41.861529797,127.0.0.1:17951,1215467,44963,28
16888370.848718300,41.876615599,127.0.0.1:17951,1218751,45001,28
16888370.868612099,41.896509398,127.0.0.1:17951,1218810,45122,28
16888370.886977401,41.914874699,127.0.0.1:17951,1221139,45160,28
16888370.903724499,41.931621797,127.0.0.1:17951,1221139,45160,28
16888370.921232399,41.949129697,127.0.0.1:17951,1221177,45198,28
16888370.941254701,41.969152000,127.0.0.1:17951,1222589,45236,28
16888370.958254501,41.986151800,127.0.0.1:17951,1228145,45357,28
16888370.974654499,42.002551798,127.0.0.1:17951,1228239,45395,28
16888370.993850499,42.021747798,127.0.0.1:17951,1231753,45433,28
16888371.021051899,42.048949197,127.0.0.1:17951,1235917,45471,28
16888371.043825202,42.071722500,127.0.0.1:17951,1236947,45509,28
16888371.060447499,42.088344797,127.0.0.1:17951,1241546,45630,28
16888371.080376901,42.108274199,127.0.0.1:17951,1241591,45668,28
16888371.105381500,42.133278798,127.0.0.1:17951,1244091,45706,28
16888371.125287499,42.153184798,127.0.0.1:17951,1246482,45744,28
16888371.142160598,42.170057897,127.0.0.1:17951,1246530,45782,28
16888371.161163300,42.189060599,127.0.0.1:17951,1248949,45903,28
16888371.182828601,42.210725900,127.0.0.1:17951,1248987,45941,28
16888371.204134502,42.232031800,127.0.0.1:17951,1251414,45979,28
16888371.223414700,42.251311999,127.0.0.1:17951,1251467,46017,28
16888371.241970599,42.269867897,127.0.0.1:17951,1254135,46055,28
16888371.261202902,42.289100200,127.0.0.1:17951,1256444,46093,28
16888371.284732100,42.312629398,127.0.0.1:17951,1256491,46214,28
16888371.308059599,42.335956898,127.0.0.1:17951,1258967,46252,28
16888371.320522100,42.348419398,127.0.0.1:17951,1261283,46290,28
16888371.342216000,42.370113298,127.0.0.1:17951,1261283,46290,28
16888371.367021400,42.394918699,127.0.0.1:17951,1263612,46328,28
16888371.384766102,42.412663400,127.0.0.1:17951,1263650,46449,28
16888371.410170998,42.438068297,127.0.0.1:17951,1265922,46487,28
16888371.431728002,42.459625300,127.0.0.1:17951,1265960,46525,28
16888371.443002898,42.470900197,127.0.0.1:17951,1269623,46563,28
16888371.468121201,42.496018499,127.0.0.1:17951,1270541,46684,28
16888371.480160199,42.508057497,127.0.0.1:17951,1270936,46722,28
16888371.502995402,42.530892700,127.0.0.1:17951,1272327,46760,28
16888371.526612200,42.554509498,127.0.0.1:17951,1273282,46798,28
16888371.545584399,42.573481698,127.0.0.1:17951,1275575,46836,28
16888371.570172802,42.598070100,127.0.0.1:17951,1277841,46957,28
16888371.589150202,42.617047500,127.0.0.1:17951,1277932,46995,28
16888371.610535499,42.638432797,127.0.0.1:17951,1280147,47033,28
16888371.626203399,42.654100697,127.0.0.1:17951,1280185,47071,28
16888371.652818099,42.680715397,127.0.0.1:17951,1282416,47109,28
16888371.670570999,42.698468298,127.0.0.1:17951,1284622,47230,28
16888371.686738402,42.714635700,127.0.0.1:17951,1284756,47268,28
16888371.710169200,42.738066498,127.0.0.1:17951,1286994,47306,28
16888371.735741399,42.763638698,127.0.0.1:17951,1289162,47344,28
16888371.755463801,42.783361100,127.0.0.1:17951,1291788,47382,28
16888371.779594999,42.807492297,127.0.0.1:17951,1291843,47503,28
16888371.800514601,42.828411900,127.0.0.1:17951,1294120,47541,28
16888371.816439401,42.844336700,127.0.0.1:17951,1296367,47579,28
16888371.837427001,42.865324300,127.0.0.1:17951,1296367,47579,28
16888371.861773200,42.889670499,127.0.0.1:17951,1298542,47617,28
16888371.880345602,42.908242900,127.0.0.1:17951,1298542,47738,28
16888371.904473700,42.932370998,127.0.0.1:17951,1299881,47776,28
16888371.924253900,42.952151198,127.0.0.1:17951,1302925,47814,28
16888371.943800200,42.971697498,127.0.0.1:17951,1302973,47852,28
16888371.962049201,42.989946499,127.0.0.1:17951,1305087,47973,28
16888371.979598999,43.007496297,127.0.0.1:17951,1305125,48011,28
16888371.997483600,43.025380898,127.0.0.1:17951,1307613,48049,28
16888372.022047199,43.049944498,127.0.0.1:17951,1307660,48087,28
16888372.042182900,43.070080198,127.0.0.1:17951,1308990,48125,28
16888372.061728802,43.089626100,127.0.0.1:17951,1312044,48246,28
16888372.085159998,43.113057297,127.0.0.1:17951,1312082,48284,28
16888372.109316301,43.137213599,127.0.0.1:17951,1314234,48322,28
16888372.130974300,43.158871599,127.0.0.1:17951,1314272,48360,28
16888372.153523698,43.181420997,127.0.0.1:17951,1317610,48398,28
16888372.169386901,43.197284199,127.0.0.1:17951,1318578,48519,28
16888372.187884498,43.215781797,127.0.0.1:17951,1320685,48557,28
16888372.209852599,43.237749897,127.0.0.1:17951,1320747,48595,28
16888372.234344602,43.262241900,127.0.0.1:17951,1322852,48633,28
16888372.252578799,43.280476097,127.0.0.1:17951,1324193,48671,28
16888372.270331498,43.298228797,127.0.0.1:17951,1325327,48792,28
16888372.291704100,43.319601398,127.0.0.1:17951,1326570,48830,28
16888372.314215999,43.342113297,127.0.0.1:17951,1327471,48868,28
16888372.337012298,43.364909597,127.0.0.1:17951,1327547,48906,28
16888372.360977400,43.388874698,127.0.0.1:17951,1331708,48944,28
16888372.382017702,43.409915000,127.0.0.1:17951,1331746,49065,28
16888372.404153999,43.432051297,127.0.0.1:17951,1333922,49103,28
16888372.423823401,43.451720700,127.0.0.1:17951,1335985,49141,28
16888372.446130902,43.474028200,127.0.0.1:17951,1335985,49141,28
16888372.463629901,43.491527200,127.0.0.1:17951,1338031,49262,28
16888372.483155198,43.511052497,127.0.0.1:17951,1338031,49262,28
16888372.500159800,43.528057098,127.0.0.1:17951,1340457,49300,28
16888372.521738600,43.549635898,127.0.0.1:17951,1340457,49300,28
16888372.545961700,43.573858999,127.0.0.1:17951,1342527,49338,28
16888372.569474000,43.597371299,127.0.0.1:17951,1344590,49459,28
16888372.585842699,43.613739997,127.0.0.1:17951,1345818,49497,28
16888372.604888700,43.632785998,127.0.0.1:17951,1346639,49535,28
16888372.626894601,43.654791899,127.0.0.1:17951,1347864,49573,28
