EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,0.1425,0.089200,0.1204,0.017400,0.1669,0.019800,0.098000,0.002400,0.008900,2.0860,2.1114,0.001600,0.009500,0.036900,0.8569,0.2543,0.3626,0.014300,0.004300,0.3557,0.020900,0.000700,0.002600,0.1183,0.3341,0.001300,0.000900,0.002700,0.016800,0.057600,0.7070,0.1544,0.002000,0.034800,0.003800,0.001800,0.3467,0.042200,0.000200,0,0,0,0,21.2020,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2575,0,24,0,0,0.5339,0.7914,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6103,5521.2891,5495.1836,6217.8477,0,11016.4727,32.8225,0.4375,32.0039,0.004883,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.7166,0.077700,0.2630,0.014500,0.1072,0.017000,0.1128,0.002600,0.007600,1.9127,1.9345,0.001900,0.007100,0.039400,1.2168,0.3108,0.4034,0.016000,0.005200,0.3029,0.020900,0.000600,0.001800,0.2505,0.4501,0.001700,0.000800,0.002700,0.016500,0.060000,0.9858,0.3271,0.006100,0.027200,0.001400,0.002000,0.1297,0.016100,0.000200,0.072500,2.8768,0,0,0,0,0,64,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,3,3,0,68,35,0,27,1,0,2,6,0,0,0,0,0,0,0,0.2063,0,26.5000,0,0,0.9183,1.1246,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4349,5519.1875,5496.1406,6219.5391,0,11015.3281,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1875,0.081200,0.1267,0.013900,0.1168,0.017600,0.069000,0.002500,0.007500,1.7213,1.7440,0.002400,0.008800,0.046700,0.8530,0.3377,0.4538,0.020500,0.005400,0.3720,0.027400,0.000800,0.002400,0.2702,0.5079,0.002000,0.000900,0.003000,0.022100,0.064300,0.7591,0.1435,0.002400,0.030000,0.001600,0.002200,0.1573,0.012000,0.000100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1677,0,24,0,0,0.6846,0.8523,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1928,5521.6680,5496.2031,6219.5391,0,11017.8711,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4906,0.1301,0.2203,0.014300,0.1127,0.015600,0.1264,0.002300,0.007900,1.9449,1.9678,0.002100,0.011900,0.046000,1.3772,0.4265,0.5670,0.020400,0.009400,0.3502,0.022500,0.000700,0.002500,1.0526,1.2059,0.001500,0.001000,0.003800,0.020000,0.1250,0.8305,0.4141,0.002300,0.025800,0.001400,0.001300,0.1379,0.015300,0.000100,0.073000,2.0248,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,2,50,2,100,0,10,3,3,0,2,29,0,27,1,0,3,6,0,0,0,0,0,0,0,0.1880,0,25,0,0,0.7185,0.9065,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9658,5519.9102,5496.2109,6219.5391,0,11016.1211,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,82391,40372,0,2.1505,0.1077,0,0,0,0,0,0,0,0,0
,0.1517,0.071500,0.2598,0.012500,0.1570,0.016200,0.068000,0.002100,0.007200,1.7328,1.7527,0.001800,0.008200,0.034400,0.4318,0.2926,0.3740,0.015800,0.004100,0.3258,0.018600,0.000700,0.077700,7.1378,7.4266,0.002000,0.001100,0.006100,0.026800,0.055400,0.5290,0.1183,0.001500,0.025900,0.001500,0.001800,0.8121,0.018900,0.000100,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,50,2,100,0,8,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1387,0,24,0,0,0.4479,0.5866,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6400,5512.4453,5496.2109,6219.5391,0,11008.6562,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,1,0,0,0,0,0,6.9734,1,0,0,0,0,0,0,0
,3.3053,0.075900,0.2888,0.013800,0.1052,0.016900,0.076800,0.002100,0.008500,1.6011,1.6248,0.001500,0.007100,0.041600,2.4513,0.3049,0.4304,0.017200,0.005900,0.3698,0.030100,0.000700,0.003200,0.2823,0.4913,0.002000,0.001100,0.003300,0.019400,0.1181,1.3343,0.4312,0.001300,0.020800,0.001300,0.001300,0.1051,0.014600,0.000300,0,0.5778,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,50,2,100,0,8,8,10,0,2,1026,0,26,1,0,1,16,0,0,0,0,0,0,0,0.1656,0,26.5000,8.7539,0,1.5851,1.7507,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4414,5515.3164,5496.2734,6219.5391,0,11011.5898,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1689,0.082100,0.089200,0.015200,0.1092,0.016400,0.089200,0.002300,0.007300,1.8823,1.9037,0.001900,0.009000,0.040200,0.5478,0.2827,0.4277,0.022400,0.006700,0.4850,0.034000,0.001500,0.002900,0.2923,0.5504,0.001400,0.000900,0.003800,0.020500,0.052200,0.5900,0.1110,0.001600,0.023300,0.001300,0.001700,0.1136,0.013600,0.000100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,98,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1365,0,24,0,0,0.5210,0.6575,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6980,5513.4414,5496.2734,6219.5391,0,11009.7148,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,7164,391,0,0.4757,0,0,0,0,0,0,0,0,0,0
,3.7454,0.071000,0.1843,0.013300,0.1239,0.016200,0.1402,0.002400,0.009000,1.8542,1.8789,0.001800,0.008600,0.034500,1.4576,0.2818,0.4037,0.016300,0.005500,0.4385,0.024400,0.000800,0.003100,1.3384,1.4317,0.002200,0.000900,0.003100,0.019400,0.056400,0.5921,0.2803,0.001700,0.026500,0.001800,0.001500,0.1123,0.015300,0.000100,0.091900,2.0274,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,2,27,0,27,0,0,2,6,0,0,0,0,0,0,0,0.1386,0,27,0,0,0.5219,0.6605,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8638,5514.6602,5496.2734,6219.5391,0,11010.9336,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,1,0,0,0,0,0.1237,0,0,0,0,0,0,0,0,0
,0.1676,0.068700,0.070200,0.010600,0.1023,0.016400,0.067400,0.002100,0.006700,1.8401,1.8598,0.001800,0.008500,0.041000,0.4697,0.3156,0.4371,0.016200,0.004300,0.3861,0.019900,0.000400,0.002500,0.2190,0.4262,0.002100,0.000800,0.002900,0.017500,0.053000,0.4516,0.1272,0.001700,0.024700,0.001500,0.001600,0.1060,0.013900,0.000100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1223,0,20.5000,0,0,0.3813,0.5036,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2084,5514.2852,5496.2734,6219.5391,0,11010.5586,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.5137,0.081700,0.2940,0.015200,0.1015,0.015200,0.1174,0.002900,0.010700,1.9184,1.9449,0.001700,0.008500,0.035600,1.3652,0.2994,0.3947,0.014500,0.005600,0.3846,0.038400,0.000900,0.002800,0.2553,0.4662,0.001700,0.000700,0.002600,0.017200,0.051300,0.6155,0.2614,0.001500,0.021300,0.001400,0.001600,0.1166,0.015200,0.000100,0.086800,1.8221,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,2,27,0,27,0,0,1,6,0,0,0,0,0,0,0,0.1413,0,27.5000,0,0,0.5572,0.6985,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5434,5514.0664,5496.3359,6219.5391,0,11010.4023,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,2044,364,0,0.1409,0,0,0,0,0,0,0,0,0,0
