EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.5574,0.077200,0.070400,0.017000,0.1413,0.018000,0.078300,0.002500,0.009500,1.8403,1.8628,0.001400,0.007600,0.035000,0.5686,0.2930,0.013900,0.3740,0.003400,3.6459,0.3867,0.020600,0.000800,0.002400,0.1188,0.3282,0.001600,0.000700,0.002000,0.018200,0.051300,0.3688,0.1032,0.001800,0.026100,0.002800,0.001900,0.3290,0.031700,0.000100,0,0,10.0623,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1011,0,25,0,0,0.3174,0.4185,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8384,9871.4492,5568.7461,6304.1641,0,15440.1953,32.8225,0.4375,32.0039,0.004883,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2468,0.070000,0.1380,0.013600,0.1026,0.027900,0.072700,0.001700,0.006800,1.8216,1.8602,0.001500,0.009400,0.038200,1.1860,0.3148,0.017500,0.4086,0.004500,0,0.3169,0.025900,0.000700,0.048300,0.2770,0.4922,0.001600,0.001000,0.002200,0.015200,0.046000,0.5965,0.1993,0.004700,0.022300,0.001400,0.001600,0.1080,0.014800,0.000200,0,0,0,0,0,57,0,0,0,0,0,0,1,1,2,2,46,2,49,0,3,2,2,0,34,17,0,13,1,0,2,2,0,0,0,0,0,0,0,0.1364,0,27,0,0,0.5249,0.6613,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2924,9862.9805,5568.8164,6304.2305,0,15431.7969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2637,0.1081,0.055700,0.009400,0.1013,0.014700,0.028500,0.001900,0.007800,2.0419,2.0640,0.001400,0.008800,0.040500,0.4776,0.2390,0.015400,0.4291,0.003200,3.4546,0.4920,0.028600,0.000800,0.003700,0.2656,0.5227,0.001900,0.000900,0.002700,0.019100,0.048700,0.3704,0.098800,0.001700,0.019600,0.001300,0.001500,0.1046,0.015600,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,46,2,49,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.096984,0,23,0,0,0.3174,0.4144,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7134,9854.3320,5568.8164,6304.2305,0,15423.1484,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1434,0.069200,0.096200,0.014900,0.1556,0.017200,0.1131,0.002300,0.009400,1.7714,1.7958,0.001300,0.008300,0.036500,0.9693,0.2718,0.013600,0.3832,0.003500,0,0.2777,0.022200,0.000800,0.002500,8.7174,8.8007,0.001500,0.001200,0.004400,0.021000,0.1325,0.4051,0.2119,0.001500,0.020900,0.001500,0.001700,0.6278,0.013600,0.000100,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,46,2,49,0,5,3,3,0,1,14,0,14,1,0,1,3,0,0,0,0,0,0,0,0.1083,0,26,0,0,0.3246,0.4329,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5127,9841.7227,5569.0742,6304.2305,0,15410.7969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,1,0.076700,0.1257,7.2610,1,81389,40355,0,2.0844,0,0,0,0,0,0,0,0,0,0
,4.3580,0.070900,0.1284,0.016200,0.1125,0.017500,0.067400,0.002300,0.008300,1.8456,1.8691,0.001300,0.008000,0.033600,1.7595,0.2909,0.014400,0.4038,0.003200,2.0108,0.4370,0.023500,0.001100,0.002300,0.1233,0.3696,0.001700,0.000900,0.003000,0.019100,0.048800,0.7301,0.2824,0.001800,0.019600,0.001400,0.001400,0.1165,0.016700,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,49,0,3,6,6,0,1,313,0,13,0,0,1,6,0,0,0,0,0,0,0,0.1161,0,27,2.6494,0,0.8272,0.9433,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3606,9835.0273,5569.0742,6304.2305,0,15404.1016,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1719,0.073400,0.1280,0.015000,0.1352,0.020000,0.1070,0.002900,0.009800,1.9622,1.9893,0.002200,0.011500,0.039000,0.7561,0.3347,0.016100,0.3895,0.003700,0,0.3783,0.030800,0.001100,0.002600,0.3555,0.6560,0.002700,0.001100,0.004300,0.028200,0.055500,1.0289,0.2314,0.001900,0.026300,0.001600,0.002000,0.1276,0.015200,0.000400,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,4,4,0,0,400,0,0,0,0,2,4,0,0,0,0,0,0,0,0.1675,0,25,2.9082,0,1.1566,1.3241,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6871,9830.5312,5569.1367,6304.2305,0,15399.6680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3279,0.072000,0.056800,0.012600,0.1163,0.017200,0.033600,0.001900,0.030800,2.0409,2.0904,0.001600,0.008100,0.036400,0.4841,0.2873,0.014300,0.4077,0.003400,3.3971,0.3731,0.020400,0.000900,0.081400,0.2879,0.5363,0.002000,0.001000,0.003400,0.020700,0.052200,0.2719,0.1347,0.001600,0.024400,0.001500,0.002300,0.1102,0.014400,0.000300,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.097405,0,17,0,0,0.1864,0.2838,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2937,9818.4180,5569.1367,6304.2305,0,15387.5547,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,1,0,0,0,0,4718,365,0,0.3606,0,0,0,0,0,0,0,0,0,0
,0.1670,0.073500,0.085000,0.016300,0.1355,0.018100,0.078400,0.002300,0.009200,1.9795,2.0056,0.001500,0.008200,0.035400,0.7276,0.2772,0.015200,0.3991,0.003700,0,0.2687,0.021300,0.000800,0.002400,1.2947,1.3827,0.001800,0.001100,0.002600,0.017000,0.048100,0.4149,0.2113,0.001600,0.020000,0.001600,0.001600,0.1225,0.016200,0.000300,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,1,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.1139,0,26,0,0,0.3250,0.4389,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5467,9809.8945,5569.1367,6304.2305,0,15379.0312,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0.1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.8767,0.073500,0.2053,0.015600,0.096700,0.015000,0.066500,0.003000,0.009300,1.9141,1.9400,0.001600,0.006400,0.035300,0.6361,0.2518,0.016500,0.4436,0.004000,2.9283,0.3703,0.022100,0.000500,0.002000,0.1429,0.3429,0.001400,0.000700,0.001900,0.013600,0.047600,0.3827,0.089400,0.001800,0.020400,0.001700,0.001500,0.1075,0.014300,0.000300,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1099,0,23,0,0,0.4667,0.5766,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9593,9801.1289,5569.1992,6304.2305,0,15370.3281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1568,0.1295,0.1396,0.012700,0.2711,0.027300,0.2298,0.005400,0.013800,2.9457,2.9881,0.001500,0.010300,0.042100,0.8739,0.3655,0.015700,0.3824,0.004200,0,0.3148,0.022300,0.000700,0.003900,9.0856,9.3541,0.003500,0.001700,0.006600,0.041400,0.072600,0.9302,0.2833,0.002800,0.031400,0.001400,0.002900,0.8641,0.015900,0.000400,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,3,3,0,1,14,0,14,0,0,2,3,0,0,0,0,0,0,0,0.2540,0,28,0,0,0.7417,0.9957,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4727,9789.8242,5569.1992,6304.2305,0,15359.0234,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,1,0.1696,0,8.8272,1,1178,351,0,0.1610,0,0,0,0,0,0,0,0,0,0
