EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/HandleRPC,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,4.3265,0.075700,0.2208,0.011900,0.1440,0.017100,0.080700,0.002500,0.010700,1.8978,1.9238,0.001200,0.009400,0.037600,2.4224,0.2534,0.4066,0.018900,0.007500,0.2573,1.5602,0.3180,0.022200,0.000600,0.002600,0.1154,0.3065,0.002100,0.001100,0.002600,0.022900,0.050700,0.7618,0.001700,0.037100,0.003300,0.001600,0.3493,0.045700,0.000200,0,0,21.0899,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,97,0,6,3,3,0,0,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1773,0,38,0,0,0.6730,0.8503,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3887,5825.4297,5562.4180,6284.1719,0,11387.8477,32.8860,0.4375,32.0039,0.005859,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.7661,0.079400,0.1111,0.011000,0.1118,0.020400,0.068800,0.002000,0.007000,1.5432,1.5637,0.002000,0.008200,0.039100,0.5614,0.3801,0.4146,0.020500,0.007700,0.1426,3.6401,0.3531,0.020100,0.000600,0.002300,0.5439,0.7808,0.001800,0.000900,0.003500,0.021900,0.067700,0.6070,0.002800,0.030600,0.001400,0.002300,0.1249,0.014500,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1388,0,16,0,0,0.5597,0.6985,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6587,5823.9961,5562.4180,6284.1719,0,11386.4141,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1524,0.078300,0.1623,0.015800,0.1130,0.019700,0.086000,0.002700,0.008500,1.7827,1.8063,0.001700,0.008100,0.037800,1.3542,0.2876,0.3754,0.015900,0.006000,0.2467,0,0.2801,0.023400,0.000700,0.002600,0.2700,0.4764,0.001900,0.000600,0.002500,0.018500,0.056400,0.6043,0.002100,0.025600,0.001900,0.002200,0.1111,0.014800,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,0,26,0,26,0,0,2,5,0,0,0,0,0,0,0,0.1401,0,28.5000,0,0,0.5239,0.6640,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9854,5827.4531,5562.4180,6284.1719,0,11389.8711,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.0706,0.1623,0.1210,0.009100,0.1516,0.020900,0.055300,0.002300,0.008700,2.0280,2.0535,0.002200,0.010200,0.050900,0.5647,0.3307,0.4873,0.021900,0.005300,0.1826,2.9525,0.3901,0.032300,0.000700,0.002700,1.8413,1.9929,0.006300,0.002800,0.010100,0.039100,0.073400,0.6980,0.002900,0.035600,0.001700,0.002400,0.1610,0.016800,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1747,0,20,0,0,0.6149,0.7896,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4398,5823.9805,5562.4883,6284.1719,0,11386.4688,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1769,0,0,0,82467,40393,0,2.3441,0,0,0,0,0,0,0,0
,0.1383,0.1094,0.4962,0.013900,0.1940,0.026600,0.1447,0.001700,0.006900,1.4469,1.4659,0.001300,0.006900,0.030300,1.2606,0.2655,0.3620,0.010600,0.003600,0.3958,0,0.3624,0.020400,0.000700,0.064200,7.0388,7.2964,0.001800,0.001000,0.005000,0.023100,0.1321,1.2768,0.005300,0.073000,0.003000,0.003300,1.2872,0.023400,0.000900,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,10,28,0,28,1,0,2,5,0,0,0,0,0,0,0,0.2938,0,30.5000,0,0,1.3181,1.6119,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3792,5821.8203,5562.4883,6284.1719,0,11384.3086,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0.1564,6.9235,1,0,0,0,0,0,0,0,0,0,0,0,0
,4.9246,0.1188,0.3116,0.020200,0.1156,0.020400,0.057600,0.003800,0.015700,2.2025,2.2416,0.001700,0.008300,0.038300,2.3108,0.2896,0.2679,0.016000,0.006800,0.4678,2.0556,0.4065,0.021200,0.000700,0.002100,0.2165,0.4387,0.001500,0.000700,0.002200,0.015200,0.053600,1.0819,0.001800,0.025300,0.001400,0.001800,0.1582,0.024400,0.000300,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,0,48,4,96,0,6,6,6,0,2,626,0,26,0,0,0,12,0,0,0,0,0,0,0,0.1787,0,21,5.3389,0,1.2639,1.4426,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9828,5815.7812,5562.4883,6284.1719,0,11378.2695,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2121,0.077200,0.072800,0.014600,0.1347,0.019400,0.1165,0.002700,0.008300,2.2526,2.2801,0.005200,0.013700,0.061900,0.6296,0.4412,0.4392,0.020900,0.012000,0.1546,0,0.2832,0.030600,0.000700,0.003500,0.2908,0.5326,0.001500,0.001300,0.002700,0.016700,0.053300,0.4895,0.001900,0.024300,0.001400,0.001800,0.1109,0.013400,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1239,0,25,0,0,0.4186,0.5425,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5700,5817.2070,5562.5508,6284.1719,0,11379.7578,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,5218,388,0,0.4248,0,0,0,0,0,0,0,0
,4.5404,0.1387,0.4052,0.015000,0.1652,0.025400,0.091000,0.002200,0.008500,1.8047,1.8304,0.002100,0.007700,0.048000,1.6047,0.3868,0.2558,0.017200,0.005200,0.6020,2.8605,0.4047,0.019300,0.000900,0.002600,1.5916,1.6592,0.002400,0.000900,0.004900,0.024500,0.097700,1.8495,0.007800,0.054300,0.002800,0.003800,0.2551,0.029700,0.000300,0,0,0,0,0,64,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,6,5,7,0,68,434,0,26,1,0,2,10,0,0,0,0,0,0,0,0.3376,0,24.5000,3.6299,0,1.9854,2.3230,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3148,5817.1562,5562.5508,6284.1719,0,11379.7070,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0.2002,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,0.1753,0.068500,0.074800,0.014500,0.1115,0.014900,0.1161,0.001900,0.007800,1.9021,1.9240,0.002000,0.009000,0.042200,0.4601,0.2952,0.2531,0.014600,0.003900,0.1184,0,0.2740,0.016800,0.000800,0.002200,0.1825,0.4460,0.001400,0.000800,0.002800,0.019300,0.048100,0.5097,0.001500,0.020100,0.001400,0.001800,0.1078,0.014500,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,1,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0.1206,0,26,0,0,0.4468,0.5674,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4492,5814.4102,5562.5508,6284.1719,0,11376.9609,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.071000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.7377,0.088600,0.2710,0.013600,0.1110,0.019300,0.041800,0.002000,0.011000,1.4018,1.4279,0.001600,0.007200,0.049600,1.2977,0.2720,0.2397,0.011300,0.003900,0.2519,2.2605,0.3462,0.021100,0.000800,0.003500,0.2607,0.4971,0.002200,0.000900,0.003300,0.022600,0.053600,0.5122,0.001700,0.023800,0.001300,0.001800,0.1131,0.013500,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,0,50,2,100,0,10,3,3,0,2,28,0,26,0,0,0,6,0,0,0,0,0,0,0,0.1335,0,21.5000,0,0,0.4425,0.5760,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6226,5814.7500,5562.5508,6284.1719,0,11377.3008,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,4282,368,0,0.4798,0,0,0,0,0,0,0,0
