EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/HandleRPC,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates
,4.1364,0.072700,0.1854,0.015900,0.1497,0.018500,0.086300,0.002000,0.018300,1.7012,1.7324,0.002100,0.007500,0.039100,2.3626,0.3051,0.3041,0.015500,0.004500,0.2634,1.5895,0.2867,0.016100,0.000700,0.059400,0.1162,1.2379,0.001500,0.000800,0.002900,0.016500,0.047300,0.6273,0.004900,0.039200,0.003400,0.001600,0.3333,0.034100,0.000200,0,0,9.8094,0,0,57,0,0,13,0,0,0,0,1,1,2,2,46,2,49,0,3,4,4,0,40,17,0,13,1,0,2,4,0,0,0,0,0,0,0,0.1353,0,37,1.0156,0,0.6752,0.8105,0,1,2,2,12,1,1,1,2,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6057,11219.3672,5510.4844,6230.0312,0,16729.8516,32.8235,0.4375,32.0039,0.005859,0.3762,0,0,0,0,0,0,0,0,0,0,0,0
,4.6461,0.081900,0.046000,0.014900,0.1019,0.015600,0.037300,0.002300,0.009600,1.7430,1.7683,0.002100,0.008200,0.043200,0.5157,0.2773,0.2638,0.018200,0.003500,0,3.8423,0.3258,0.014600,0.000600,0.002300,0.4954,0.7050,0.001300,0.001100,0.002600,0.016300,0.047700,0.3177,0.001500,0.021800,0.001400,0.002000,0.1067,0.014500,0.000300,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,0,0,46,2,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084303,0,19,0,0,0.2709,0.3552,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2851,11220.6914,5510.4961,6230.0977,0,16731.1875,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0
,0.1622,0.080800,0.054300,0.017500,0.1212,0.018600,0.1183,0.003000,0.012300,1.8368,1.8709,0.002200,0.009400,0.040500,0.4393,0.3012,0.2603,0.015100,0.003500,0.098500,0,0.2530,0.015500,0.000600,0.002500,0.2684,0.4831,0.002000,0.001000,0.001900,0.014500,0.048200,0.3738,0.001400,0.020900,0.001200,0.001700,0.097900,0.013700,0.000200,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,1,1,46,2,49,0,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.097107,0,31,0,0,0.3190,0.4161,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1393,11217.5000,5510.4961,6230.0977,0,16727.9961,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0
,4.3735,0.1577,0.092800,0.022800,0.1312,0.019000,0.091100,0.002700,0.009700,1.8885,1.9164,0.001800,0.008800,0.040000,1.1325,0.2412,0.2281,0.012200,0.003100,0.1846,3.0130,0.3523,0.016200,0.000500,0.003500,1.4326,1.5876,0.001600,0.000800,0.003500,0.018800,0.1398,0.3030,0.001400,0.021000,0.001300,0.001600,0.1055,0.015500,0.000100,0,0,0,0,0,55,0,0,13,0,0,0,0,1,1,1,1,46,2,49,0,5,2,2,0,0,13,0,13,1,0,1,2,0,0,0,0,0,0,0,0.082511,0,19,0,0,0.2373,0.3198,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3088,11218.8672,5510.5664,6230.0977,0,16729.4336,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1168,0,0,0,81541,40355,0,2.1270,0,0
,0.1876,0.068200,0.043800,0.015000,0.1690,0.016200,0.1035,0.002100,0.008500,1.8332,1.8562,0.002900,0.010600,0.043300,0.4636,0.3244,0.2603,0.015500,0.003500,0.096200,0,0.3204,0.017000,0.000800,0.003000,9.1860,9.4042,0.001700,0.000800,0.004100,0.020200,0.046400,0.3199,0.001700,0.021500,0.001200,0.001500,0.6404,0.012400,0.000100,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,1,1,44,4,49,0,3,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.092510,0,24,0,0,0.2594,0.3519,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9240,11212.4062,5510.5664,6230.0977,0,16722.9727,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.063900,9.0691,1,0,0,0,0,0,0
,4.9300,0.064900,0.1423,0.013300,0.093100,0.016000,0.081800,0.001700,0.007000,1.6145,1.6351,0.001800,0.008000,0.033600,1.1014,0.2686,0.2489,0.014400,0.003400,0.3702,3.7012,0.3246,0.014700,0.000600,0.002000,0.2692,0.4823,0.001700,0.000700,0.001900,0.015000,0.041200,0.7102,0.001400,0.021700,0.001300,0.001500,0.1061,0.014200,0.000200,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,44,4,47,0,3,7,7,0,1,413,0,13,0,0,1,7,0,0,0,0,0,0,0,0.1073,0,27,3.6152,0,0.9266,1.0339,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2866,11212.3242,5510.5664,6230.0977,0,16722.8906,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0
,0.1721,0.075700,0.1777,0.014600,0.1209,0.019000,0.068900,0.001900,0.008500,1.8012,1.8246,0.001600,0.009200,0.035700,2.2913,0.3883,0.3469,0.022000,0.005700,0.3070,0,0.3418,0.022600,0.000800,0.059300,0.3585,0.6215,0.002200,0.001000,0.002900,0.019400,0.050400,0.8460,0.001800,0.029700,0.001600,0.001900,0.1313,0.016100,0.000300,0,0,0,0,0,55,0,0,13,0,0,0,0,1,1,1,1,44,4,47,0,3,6,6,0,1,313,0,13,1,0,1,6,0,0,0,0,0,0,0,0.1262,0,23,2.6553,0,0.9436,1.0698,0,1,2,2,12,1,1,1,0,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6029,11212.1367,5510.5664,6230.0977,0,16722.7031,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,3206,365,0,0.2752,0,0
,3.7457,0.082700,0.2248,0.015700,0.1212,0.019000,0.083300,0.002700,0.033300,1.7894,1.8435,0.002800,0.010300,0.036200,0.4647,0.2759,0.2427,0.015000,0.003500,0.1132,3.1625,0.4903,0.019900,0.000900,0.002400,1.3808,1.4896,0.001500,0.001000,0.002800,0.024300,0.051500,0.3606,0.001700,0.023100,0.001600,0.001800,0.1166,0.013700,0.000200,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.1025,0,23,0,0,0.4700,0.5725,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6799,11211.6328,5510.6289,6230.0977,0,16722.2617,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0.1433,0,0,0,0,0,0,0,0,0
,0.1135,0.075400,0.043000,0.012500,0.1035,0.016200,0.032600,0.001800,0.008600,1.6444,1.6667,0.001600,0.008100,0.034100,0.6021,0.2899,0.2723,0.016000,0.004200,0,0,0.2380,0.016500,0.000700,0.002500,0.1988,0.3890,0.001500,0.001000,0.002500,0.015800,0.055600,0.3754,0.002000,0.019700,0.001500,0.001700,0.1504,0.016600,0.000200,0,0,0,0,0,54,0,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1032,0,25,0,0,0.3073,0.4105,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0780,11215.6992,5510.6289,6230.0977,0,16726.3281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0
,3.7209,0.076600,0.083900,0.013300,0.1074,0.017800,0.065400,0.002100,0.007700,1.7675,1.7892,0.002000,0.009000,0.039500,0.8106,0.3468,0.2755,0.016300,0.004600,0.2219,2.3446,0.3131,0.016100,0.000800,0.002500,0.2421,0.4708,0.001400,0.001000,0.002100,0.016300,0.055500,0.2665,0.002100,0.027800,0.001600,0.002400,0.1119,0.014600,0.000200,0,0,0,0,0,54,0,0,13,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.080597,0,20,0,0,0.1998,0.2804,0,1,2,2,12,1,1,1,0,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0390,11211.1484,5510.6289,6230.0977,0,16721.7773,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,2648,351,0,0.4174,0,0
