seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.021582,21.58200,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.037117,15.53540,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.049264,12.14690,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.071568,22.30380,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.091948,20.38010,1,9.06340,1.85560,1200,1200,0,0,0,3462,58445,0.000
0.104774,12.82590,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.119357,14.58250,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.138054,18.69690,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.149124,11.07040,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.168168,19.04400,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.188813,20.64500,1,7.36570,1.28440,1200,1200,0,0,0,3462,58445,0.000
0.198714,9.90140,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.221394,22.67960,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.236939,15.54470,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.251944,15.00510,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.271974,20.03030,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.293592,21.61790,1,7.40620,1.33770,1200,1200,0,0,0,3462,58445,0.000
0.306133,12.54060,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.320586,14.45300,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.339668,19.08280,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.352971,13.30230,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.372019,19.04810,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.393850,21.83080,1,7.79850,2.30690,1200,1200,0,0,0,3462,58445,0.000
0.406903,13.05330,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.420073,13.17060,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.440052,19.97850,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.453002,12.94990,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.473637,20.63520,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.492911,19.27430,1,5.73640,1.30350,1200,1200,0,0,0,3462,58445,0.000
0.507445,14.53380,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.520447,13.00140,0,0.00000,0.00000,1200,1200,0,0,0,3462,58445,0.000
0.540381,19.93410,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.553641,13.26050,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.571470,17.82840,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.594233,22.76320,1,7.09630,1.28380,1200,1200,1200,0,0,3262,75808,0.000
0.609145,14.91220,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.619437,10.29190,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.640096,20.65920,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.652914,12.81840,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.673623,20.70830,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.693350,19.72700,1,6.63070,1.27460,1200,1200,1200,0,0,3262,75808,0.000
0.707536,14.18680,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.721257,13.72050,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.741317,20.06010,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.753857,12.53980,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.777439,23.58240,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.793768,16.32850,1,5.87280,1.27860,1200,1200,1200,0,0,3262,75808,0.000
0.807679,13.91130,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.821234,13.55500,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.840346,19.11200,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.854624,14.27810,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.874676,20.05160,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.899300,24.62440,1,9.79150,1.29090,1200,1200,1200,0,0,3262,75808,0.000
0.912108,12.80780,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.922142,10.03370,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.944976,22.83380,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.955766,10.79020,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.976471,20.70500,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
0.996641,20.17060,1,7.37350,1.43510,1200,1200,1200,0,0,3262,75808,0.000
1.009748,13.10690,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.023076,13.32810,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.043756,20.68020,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.057622,13.86590,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.079852,22.23000,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.096356,16.50350,1,6.13990,1.31110,1200,1200,1200,0,0,3262,75808,0.000
1.112169,15.81300,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.124841,12.67160,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.145748,20.90710,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.158749,13.00120,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.178149,19.40030,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.200511,22.36230,1,9.08030,2.31200,1200,1200,1200,0,0,3262,75808,0.000
1.214017,13.50520,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.225699,11.68200,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.246038,20.33970,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.258362,12.32340,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.277951,19.58950,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.301679,23.72770,1,8.20410,1.64500,1200,1200,1200,0,0,3262,75808,0.000
1.315686,14.00660,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.325177,9.49130,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.344954,19.77680,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.358110,13.15620,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.378945,20.83490,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.400306,21.36130,1,7.76250,2.08080,1200,1200,1200,0,0,3262,75808,0.000
1.411507,11.20110,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.424260,12.75310,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.443391,19.13120,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.459583,16.19180,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.477448,17.86460,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.501152,23.70420,1,9.99290,2.24080,1200,1200,1200,0,0,3262,75808,0.000
1.509115,7.96320,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.525678,16.56230,0,0.00000,0.00000,1200,1200,1200,0,0,3262,75808,0.000
1.545652,19.97480,0,0.00000,0.00000,1200,1200,1199,0,0,3547,101277,0.000
1.558058,12.40600,0,0.00000,0.00000,1200,1200,1199,0,0,3547,101277,0.000
