monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16889433.382550102,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1893296,1893296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.403096400,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1893296,1893296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.412489600,0.000000000,0.135198236,0.000000000,0.000000000,0.006601214,0,13,0,0,13,300,0,0,0,0,1896144,1896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.420719702,0.000000000,0.135198236,0.090699643,0.000000000,0.006601214,0,13,1,0,13,300,0,0,0,0,1896144,1896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.431559000,0.000000000,0.135198236,0.090699643,0.000000000,0.006601214,0,13,1,0,13,300,0,0,0,0,1896144,1896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.444544598,0.000000000,0.221807510,0.090699643,0.000000000,0.010006130,0,19,1,0,19,492,0,0,0,0,1898992,1898992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.457760401,0.000000000,0.221807510,0.090699643,0.000000000,0.010006130,0,19,1,0,19,492,0,0,0,0,1898992,1898992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.470489401,0.000000000,0.393502414,0.090699643,0.000000000,0.019308180,0,39,1,0,39,900,0,0,0,0,1902000,1902000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.483733401,0.000000000,0.393502414,0.090699643,0.000000000,0.019308180,0,39,1,0,39,900,0,0,0,0,1902000,1902000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.496787801,0.000000000,0.393502414,0.090699643,0.000000000,0.019308180,0,39,1,0,39,900,0,0,0,0,1902000,1902000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.510186099,0.000000000,0.513307750,0.090699643,0.000000000,0.025313348,0,52,1,0,52,1200,0,0,0,0,1904944,1904944,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.524645600,0.000000000,0.513307750,0.185199082,0.000000000,0.025313348,0,52,2,0,52,1200,0,0,0,0,1904944,1904944,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.538275801,0.000000000,0.613301992,0.185199082,0.000000000,0.029712915,0,58,2,0,58,1392,0,0,0,0,1907824,1907824,392,392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.550746199,0.000000000,0.673603266,0.185199082,0.000000000,0.032916665,0,65,2,0,65,1500,0,0,0,0,1907952,1907952,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.562122598,0.000000000,0.673603266,0.185199082,0.000000000,0.032916665,0,65,2,0,65,1500,0,0,0,0,1907952,1907952,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.574409802,0.000000000,0.809099525,0.185199082,0.000000000,0.040411949,0,78,2,0,78,1800,0,0,0,0,1910960,1910960,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.588712301,0.000000000,0.809099525,0.185199082,0.000000000,0.040411949,0,78,2,0,78,1800,0,0,0,0,1910960,1910960,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16889433.600900900,0.000000000,0.809099525,0.185199082,0.000000000,0.040411949,0,78,2,0,78,1800,0,0,0,0,1910960,1910960,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
