EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Pathfinding,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,5.2606,0.1133,0.1837,0.015100,0.1924,0.026900,0.099400,0.002900,0.008700,2.1882,2.2134,0.001800,0.010600,0.063100,1.2558,0.3948,0.3767,0.020800,0.008400,4.1043,0.3314,0.023800,0.000900,0.002700,0.1583,0.4797,0.002400,0.001100,0.003700,0.025500,0.070800,1.1382,0.1736,0.002400,0.046700,0.005400,0.003800,0.5354,0.046400,0.000100,0,0,0,0,22.6384,0,0,62,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0.2652,0,41,0,0,1.0134,1.2786,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1546,5960.0938,5494.9648,6212.1914,0,11455.0586,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1891,0.074500,0.2239,0.011400,0.1179,0.017300,0.1508,0.003100,0.009000,2.1511,2.1777,0.001700,0.009200,0.046300,1.5710,0.3570,0.3735,0.022500,0.009100,0,0.3390,0.019500,0.000500,0.002700,0.3507,0.6090,0.002600,0.001000,0.004000,0.021600,0.052400,0.5667,0.3202,0.001800,0.028700,0.001500,0.002500,0.1644,0.016400,0.000200,0.1027,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,2,3,0,10,33,0,27,0,0,1,5,0,0,0,0,0,0,0,0.1332,0,16.5000,0,0,0.5244,0.6576,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2627,5957.6836,5494.9648,6212.1914,0,11452.6484,32.8821,0.4375,32.0039,0.001953,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1748,0.075800,0.1541,0.014400,0.1408,0.016900,0.068800,0.003000,0.008300,2.1660,2.1931,0.002500,0.011000,0.050900,1.0310,0.3770,0.3532,0.068800,0.012000,0,0.3493,0.024100,0.000700,0.099600,0.3907,0.6985,0.002200,0.001200,0.004600,0.026500,0.066000,0.8606,0.1591,0.003000,0.026700,0.001400,0.001900,0.1280,0.013100,0.000200,0,0.1327,0,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0.2007,0,27,0,0,0.7471,0.9478,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5741,5951.9766,5495.0273,6212.1914,0,11447.0039,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.9992,0.1622,0.2291,0.011800,0.2009,0.019500,0.080300,0.002500,0.007200,1.3432,1.3630,0.001400,0.005400,0.1218,1.8182,0.2781,0.4052,0.012700,0.005500,3.9979,0.5594,0.025300,0.000800,0.003200,11.9063,12.0392,0.003500,0.001400,0.006400,0.033000,0.072900,0.7321,0.3525,0.003300,0.035500,0.001600,0.002200,0.8814,0.018700,0.000200,0,0.1534,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,2,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1980,0,24,0,0,0.6260,0.8240,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2015,5948.5586,5497.3047,6215.8164,0,11445.8633,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,82397,40372,0,2.3290,9.9231,1,0,0,0,0,0,0,0,0
,4.5188,0.073400,0.5893,0.013700,0.1180,0.016900,0.1983,0.002100,0.006000,1.3085,1.3268,0.001000,0.005900,0.031200,2.3320,0.2926,0.3960,0.012600,0.006000,1.1789,0.3502,0.025700,0.000500,0.002800,0.1208,1.4976,0.002100,0.001000,0.003300,0.024400,0.062100,1.8237,0.5676,0.002100,0.029400,0.001500,0.001800,0.1620,0.013200,0.000300,0.077200,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,2,2,48,4,96,0,6,6,6,0,12,627,0,27,0,0,4,12,0,0,0,0,0,0,0,0.2530,0,38.5000,5.3408,0,2.0826,2.3356,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5432,5948.4023,5497.4922,6215.8164,0,11445.8945,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1913,0.077500,0.2736,0.015200,0.1487,0.020900,0.091900,0.003100,0.008800,2.1511,2.1776,0.001800,0.009300,0.050000,1.0345,0.3511,0.4149,0.017900,0.005300,0,0.5381,0.034800,0.001000,0.003100,0.3554,0.6558,0.002900,0.001500,0.004500,0.030200,0.075500,1.5996,0.3054,0.007000,0.032300,0.001500,0.002100,0.1448,0.018100,0.000200,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,3,5,0,68,408,0,0,1,0,2,6,0,0,0,0,0,0,0,0.2804,0,19,3.1846,0,1.7575,2.0379,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3588,5949.1523,5497.4922,6215.8164,0,11446.6445,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,4942,283,0,0.5250,0,0,2,0,0,0,0,0,0,0
,5.5590,0.072000,0.2346,0.009100,0.2055,0.015000,0.096800,0.002200,0.006900,1.3517,1.3707,0.000900,0.005700,0.045100,1.2944,0.3785,0.4976,0.016400,0.005600,3.3199,0.3805,0.021700,0.000600,0.002400,0.3113,0.5236,0.001500,0.000700,0.003800,0.020000,0.063000,0.8246,0.3399,0.002600,0.029700,0.001600,0.001500,0.1239,0.015900,0.000200,0.095700,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,3,3,0,2,29,0,27,0,0,2,6,0,0,0,0,0,0,0,0.1813,0,27,0,0,0.7344,0.9157,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3185,5947.1562,5497.4922,6215.8164,0,11444.6484,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1644,0.075500,0.1199,0.016000,0.1291,0.016300,0.092400,0.002800,0.008300,2.3484,2.3735,0.002300,0.008400,0.047300,0.9736,0.3484,0.5854,0.022400,0.006600,0,0.4051,0.025300,0.000600,0.003000,1.7632,1.8636,0.001800,0.000900,0.004700,0.026000,0.1496,0.6977,0.1606,0.002100,0.026500,0.002200,0.001900,0.1286,0.012200,0.000200,0,0.1550,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,1,1,0,2,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1783,0,24.5000,0,0,0.6117,0.7900,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1019,5947.5078,5497.4922,6215.8164,0,11445,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.3663,0.070700,0.4005,0.011800,0.1204,0.016600,0.1237,0.001900,0.006800,1.4653,1.4854,0.001700,0.007500,0.040500,1.4176,0.3224,0.5212,0.019900,0.006700,3.0644,0.3194,0.026500,0.000700,0.096400,0.2265,0.5217,0.002800,0.001100,0.004500,0.025000,0.1200,0.9253,0.3301,0.001500,0.027600,0.001400,0.001900,0.1341,0.013500,0.000100,0.095000,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,2,2,50,2,98,0,8,3,3,0,10,27,0,27,1,0,4,6,0,0,0,0,0,0,0,0.2245,0,26,0,0,0.9359,1.1604,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4270,5946.7969,5497.5547,6215.8164,0,11444.3516,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,4208,365,0,0.4215,0,0,0,0,0,0,0,0,0,0
,0.1746,0.076800,0.1134,0.014400,0.1653,0.019400,0.066800,0.002400,0.007200,2.0371,2.0592,0.001400,0.008200,0.044500,1.0654,0.2420,0.3636,0.018100,0.007000,0,0.4213,0.038200,0.001000,0.003200,10.4950,10.7928,0.003100,0.001200,0.005100,0.024200,0.1443,0.6903,0.1712,0.001800,0.031900,0.001500,0.002100,0.8675,0.016500,0.000100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,49,3,98,0,7,1,1,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.1685,0,23.5000,0,0,0.6091,0.7776,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7063,5950.0273,5497.5547,6215.8164,0,11447.5820,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,10.1488,1,0,0,0,0,0,0,0,0
